,ALB,ARG,ABW,AUS,AUT,BHS,BHR,BGD,BLR,BEL,BMU,BOL,BRA,BGR,CAN,CYM,CHL,HKG,MAC,CHN,COL,CRI,CMQ,CYP,CZE,DNK,EGY,SLV,EST,FIN,FRA,DEU,GIB,GRC,GGY,HND,HUN,ISL,IND,IDN,IRL,ISR,ITA,JPN,JEY,KAZ,KOR,KWT,LVA,LBN,LTU,LUX,MKD,MYS,MLT,MUS,MEX,MNG,NLD,NZL,NOR,PAK,PAN,PHL,POL,PRT,ROU,RUS,SAU,SGP,SVK,SVN,ZAF,ESP,SWE,CHE,THA,TUR,UKR,GBR,USA,URY,PSE
GUY,,0,,C,0,0,,,0,,0,,,0,,0,0,0,,0,30,,0,0,0,0,,0,0,,,0,,,0,0,0,,0,,0,,0,0,,0,0,,,0,0,13,0,0,0,0,,,1,,0,,,,0,0,,,0,,0,0,,C,0,0,,0,,0,0,,0
HTI,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,,0,0,,0,0,,,0,0,0,,0,,0,,0,0,,0,0,,,0,0,3,0,0,0,0,,,0,,0,,,,0,0,,,0,,0,0,,C,0,0,,0,,0,0,,0
HND,,0,,C,11,10,,,0,0,2,,0,0,64,0,5,52,,16,0,5,0,0,0,62,,20,0,10,10,80,,,0,,0,,0,,91,,21,16,,0,0,,,0,0,683,0,0,0,0,,,81,,208,,11,,C,0,,,0,C,0,0,,C,3,336,,0,,94,541,,0
HUN,2,0,3,388,"1,560",0,21,,0,430,79,,0,419,"1,583",46,6,34,8,455,0,0,0,C,559,658,,0,31,C,"1,212","3,605",0,0,354,0,,0,0,,"3,429",1,430,"1,291",14,48,194,,11,0,79,"6,290",0,1,26,0,,,"3,193",,189,,0,C,912,4,40,5,63,841,171,163,23,67,313,728,,0,,"2,362","12,393",0,27
ISL,,0,1,C,118,0,,,0,119,6,,3,0,27,0,0,0,2,4,0,,0,C,0,572,,0,24,377,150,920,,0,0,0,0,,0,,256,,98,158,,2,24,,7,0,4,"1,551",0,0,C,0,0,,142,,823,,0,,0,34,C,,0,C,16,26,0,345,"1,095",104,11,0,1,"1,741","2,510",0,0
IND,,0,2,"8,629",375,0,"1,546",,0,575,936,,6,0,"18,475","10,144",88,"5,763",43,"1,266",3,,15,C,5,"3,100",0,0,2,495,"8,808","6,041",0,6,"1,208",0,3,2,,546,"21,009",15,233,"20,766","9,869",86,"3,331",17,13,4,1,"56,473",0,"1,029",C,"93,078",4,0,"11,410",45,"12,209",,1,C,7,29,C,73,475,"60,655",9,55,780,180,"3,156","4,366",476,10,,"32,401","200,659",0,9
IDN,,0,2,"2,514",509,35,334,,0,285,817,,0,230,"6,095","2,303",122,"6,015",28,"1,104",3,0,3,C,49,"2,560",13,0,46,638,"2,481","8,392",4,,129,0,6,0,64,,"13,582",1,"1,669","11,790","2,567",373,"1,927",155,65,1,1,"32,954",0,"4,910",C,"1,491",25,,"10,021",,"4,941",16,,"3,169",90,22,C,91,"1,097","26,169",32,26,92,222,"1,131","2,752","1,723",2,,"10,331","72,742",1,6
IRN,,0,,0,0,0,,,0,,0,,,0,,21,0,0,,0,0,,0,C,0,0,,0,0,,1,0,0,0,0,0,0,,0,,0,,0,0,,0,0,,,0,0,0,0,0,0,0,,,6,,0,,,,0,0,,,0,C,0,6,,C,0,1,56,0,,0,0,,0
IRQ,,0,,C,8,0,17,,0,1,57,,,0,51,291,1,0,,29,0,,0,0,0,72,,0,0,12,2,57,0,,1,0,0,,0,,189,,58,19,5,0,289,,0,2,0,625,0,0,0,0,,,58,,0,,,,0,0,,,0,C,0,0,,C,0,50,,0,,-2,"2,001",,0
IRL,,10,12,"10,963","23,850",2,153,,0,"44,773","29,108",,"1,586",362,"21,794","22,112","15,727","17,567","1,803","6,074","2,296",352,"2,169","2,555","1,846","34,462",,0,"1,108","60,801","145,517","233,686",85,"34,892","8,506",0,609,"4,533",13,,,"4,868","169,136","79,150","7,995",640,"14,258",112,"2,070",26,"2,935","222,631",1,783,"9,439",456,"7,668",0,"112,104","1,211","27,595",,68,529,"1,599","12,812",205,"23,766","2,211",C,"3,741","1,197","25,445","68,225","28,256","98,834","4,451",1,,"435,836","647,745",140,2
IMN,,0,,19,157,0,,,0,64,24,,59,8,470,20,4,153,12,24,0,,0,C,2,40,,0,1,37,356,382,1,0,356,0,0,0,0,,892,6,247,197,1,1,30,,1,0,0,"1,407",0,191,125,6,,,157,,252,,,C,C,7,1,40,0,159,0,0,60,21,27,209,,0,,"2,669","4,831",2,0
ISR,,0,2,834,465,0,,,0,416,121,,41,63,"2,055",806,42,121,18,221,1,0,9,C,3,725,,0,17,40,"1,380","4,317",1,15,"1,230",0,11,0,0,,"2,005",,906,"2,430",541,29,446,,16,0,2,"4,852",0,0,33,29,1,,"1,098",C,"1,951",,3,,8,10,0,13,0,C,176,25,9,152,"1,281","2,069",63,0,,"6,199","69,562",1,0
ITA,85,0,10,"5,430","13,345",0,250,,0,"22,775","3,467",,77,421,"9,796","61,010",349,736,181,"2,406",3,0,9,C,183,"9,750",12,1,72,"5,507","234,916","140,895",18,"9,030","2,006",0,187,6,0,11,"129,309",444,,"58,392","3,618",136,"2,382",,568,3,28,"189,441",3,826,"2,282",11,20,0,"39,492",710,"16,871",,5,C,726,"20,921",189,39,546,C,986,"1,261","1,484","134,915","5,529","11,596",78,14,,"58,205","142,897",4,0
JAM,,0,,C,22,0,,,0,1,145,,0,0,70,102,3,0,,29,0,0,16,0,0,143,,0,0,6,5,158,0,0,13,0,0,,0,,280,,44,63,10,0,0,,,0,0,900,0,0,C,0,,,247,,0,,0,,C,0,,,4,C,0,0,,C,10,68,,0,,51,"1,093",,0
JPN,,0,55,"50,330","3,350",22,211,,0,"5,583","10,858",33,27,34,"73,560","106,540","3,740","67,158","1,539","13,672",137,9,237,24,32,"13,526",5,0,64,"5,347","115,342","45,974",3,27,"3,380",0,14,1,21,68,"122,536","1,583","13,622",,"14,305","3,859","26,952",3,58,3,2,"169,011",0,"4,962",176,54,18,1,"56,731","5,858","104,675",,40,149,31,"1,410",0,63,"21,696",C,121,218,925,"8,208","23,481","39,486","4,243",0,1,"145,326","1,145,392",259,7
JEY,,0,0,"1,043","1,216",4,3,,0,"1,290",805,,28,15,"4,085",198,53,"1,559",25,235,1,2,2,C,88,"2,130",,0,C,"1,442","8,210","13,661",2,56,"1,363",0,65,5,0,,"13,367",7,"3,887","27,132",,180,"1,633",24,22,4,4,"39,373",0,588,"3,445",5,,,"8,160",,"4,814",,1,,71,181,20,"1,602",29,"1,060",14,13,"2,831","2,852","3,861","16,141",0,0,,"58,441","105,812",1,0
JOR,,0,,C,11,0,955,,0,0,59,,0,0,38,2,1,0,,11,0,,0,C,0,99,31,0,0,3,8,129,17,,2,0,0,,0,0,197,,37,17,41,0,2,3,,80,0,437,0,0,0,0,,0,137,,0,,,C,C,0,,1,129,C,0,0,,C,3,56,,0,,221,"3,349",,"1,080"
KAZ,1,0,,C,275,0,15,,0,30,117,,,12,217,152,36,8,,77,3,0,0,5,67,383,,0,4,99,215,"1,917",,1,20,0,34,0,0,,"1,165",,487,140,5,,53,,7,0,0,"3,583",0,0,C,0,6,0,532,,0,,,C,47,0,,102,15,18,5,3,,7,54,485,,0,,569,"4,952",,0
KEN,,0,,C,26,0,,,0,2,6,,,0,84,112,2,123,,38,0,,6,C,0,203,1,0,0,161,73,508,,,25,0,1,,1,,703,,96,67,94,0,1,,0,0,0,"2,457",0,0,C,292,,,292,,169,,,,C,0,,1,0,12,0,0,161,C,30,146,6,0,,309,"3,009",,0
KIR,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,,0,0,,,0,,,0,0,0,,0,,0,,0,0,,0,0,,,0,0,0,0,0,0,0,,,0,,0,,,,0,0,,,0,,0,0,,C,0,0,,0,,0,0,,0
PRK,,0,,0,0,0,,,0,,7,,,0,,8,0,0,,0,0,,0,0,0,0,,0,0,,,0,,,0,0,0,,0,,0,,0,0,,0,0,,,0,0,0,0,0,0,0,,,0,,0,,,,0,0,,,0,,0,0,,C,0,0,,0,,1,0,,0
KOR,1,0,6,"13,459",647,1,558,,0,997,"4,548",,"1,126",12,"19,582","5,745",145,"24,691","2,855","7,301",8,,8,27,40,"3,255",,0,C,"1,193","12,346","9,000",1,9,"7,128",0,86,0,4,13,"24,672",171,906,"22,539","4,045","3,096",,85,6,0,1,"45,814",0,"4,381",16,36,18,7,"16,666",C,"21,991",,5,480,5,72,0,33,"6,738","58,419",182,82,138,411,"4,670","13,789","1,432",3,,"36,275","231,203",0,8
KWT,,0,,C,11,0,385,,0,1,97,,,0,34,53,0,14,,24,16,,0,C,0,48,15,0,0,C,44,186,,,49,0,1,,0,,844,,22,189,17,14,130,,,11,0,"1,499",0,234,C,11,,0,194,,426,,,,C,10,,C,"1,635",C,0,0,,C,18,156,20,12,,"1,227","4,615",,33
KGZ,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,,0,2,,,0,,,0,0,0,,0,,0,,0,0,,0,0,,,0,0,111,0,0,0,0,,,4,,0,,,,0,0,,0,0,,0,0,,C,0,0,,0,,0,0,,0
LAO,,0,,C,0,0,,,0,,0,,,0,,0,0,0,,0,0,,0,0,0,21,,0,0,,,0,,,5,0,0,,0,,8,,0,0,,0,51,,,0,0,55,0,0,0,0,,,1,,0,,,,0,0,,,0,C,0,0,,C,0,3,"2,659",0,,2,33,,0
LVA,,0,,C,662,0,,,0,435,0,,0,36,4,6,0,0,,1,0,,0,10,15,27,,0,386,37,630,"2,985",,0,0,0,1,,0,,28,24,230,23,16,0,25,,,0,364,302,0,0,C,0,,0,224,,190,,,,14,98,,10,0,C,143,116,,28,5,171,,0,1,34,342,1,2
LBN,,0,,C,12,0,,,0,4,0,,9,0,87,0,2,0,,19,0,,0,C,0,136,18,0,0,19,56,21,,,23,0,0,,0,0,176,,93,30,1,0,0,52,,,0,"1,756",0,0,C,0,,0,197,,0,,,C,0,0,,0,482,C,0,0,,0,0,64,,0,,169,995,0,5
LSO,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,,0,0,,,0,,,0,0,0,,0,,0,,0,0,,0,0,,,0,0,0,0,0,0,4,,,0,,0,,,,0,0,,,0,,0,0,44,C,0,0,,0,,0,0,,0
LBR,,0,,36,0,0,,,0,41,4,,,0,567,0,2,7,4,44,0,,0,C,0,53,,0,0,12,35,183,0,0,0,0,0,,0,,356,,58,344,,52,60,0,0,0,0,629,0,5,C,9,,,339,,"3,035",,,,C,0,C,2,0,C,0,0,0,52,157,144,,0,,150,"19,995",0,0
LBY,,0,,C,0,0,28,,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,,0,0,,,0,,,0,0,0,,0,,0,,0,0,,0,0,,,0,0,0,0,0,C,0,,,0,,0,,,,0,47,,,0,,0,0,,C,0,0,,0,,53,0,,0
LIE,,0,,C,"2,211",0,,,0,27,0,,9,1,2,22,165,58,,0,0,,0,1,231,137,,0,1,2,108,"1,659",0,,1,0,5,,0,,112,,40,24,5,0,19,,,0,0,"2,328",0,0,C,0,,0,162,,44,,0,,C,0,C,,0,C,5,6,,25,0,,130,0,,14,123,0,0
LTU,,0,,C,852,0,,,0,557,38,,,105,14,1,0,0,3,23,0,,0,41,0,53,,0,671,64,778,"3,410",,0,553,0,23,0,0,,154,55,280,60,,4,97,,"1,018",2,,706,0,0,C,4,,,282,,258,,,C,26,70,,4,0,C,120,134,,22,36,192,,0,,108,"1,689",,3
LUX,35,96,10,"11,547","64,898",226,378,,0,"264,492","15,409",,"2,077",711,"12,035","20,157","54,251","84,941","2,227","12,701","3,596",444,480,"2,585","6,093","43,072",,0,"2,421","52,539","511,239","765,559",132,"41,286","14,046",0,"4,013","4,846",361,,"156,262","9,165","724,239","127,919","26,860",351,"30,921",60,"3,235",116,"2,660",,1,"2,541","5,318","1,646","1,465",15,"129,825",C,"28,181",1,157,575,"5,100","21,558","1,383","15,960",733,"25,491","3,592","1,349","15,846","202,624","115,667","256,042","8,527",89,25,"192,139","156,693",759,1
MKD,16,0,,0,119,,,,0,9,6,,,63,,14,0,0,,0,0,,,1,0,130,,0,2,40,8,249,,6,0,0,1,,0,,18,,160,13,,0,0,,26,0,14,455,,0,0,2,,,13,,0,,,,37,4,14,3,0,C,12,33,,94,0,17,2,0,,95,122,,0
MDG,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,,0,0,,70,0,1,,0,0,0,,0,,0,,0,0,,0,0,,,0,0,2,0,0,0,0,,,0,,0,,,,0,0,,,0,,0,0,0,C,0,0,,0,,0,0,,0
MWI,,0,,0,0,0,,,0,,0,,,0,,1,0,0,,0,0,,0,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,,0,0,4,0,0,,,0,0,2,0,0,0,4,,,0,,0,,,,0,0,,,0,C,0,0,6,C,0,0,,0,,0,0,,0
MYS,,0,3,"2,766",160,0,530,,0,110,"2,295",,1,0,"3,224",423,53,"5,494",482,403,1,,1,C,0,"1,230",26,0,0,C,767,"2,737",0,,27,0,1,0,1,38,"7,054",1,172,"8,969",327,15,818,503,7,4,0,"10,054",0,,C,98,,1,"4,780",,"4,020",5,,C,C,6,,5,941,"18,055",1,1,58,30,955,"1,809",846,0,,"6,431","31,649",,8
MDV,,0,,0,0,0,,,0,,0,,,0,,1,0,7,,7,0,,0,0,0,0,,0,0,0,,1,,,0,0,0,,0,,0,1,0,0,,0,0,,,0,0,28,0,0,0,0,,,0,,0,,,C,0,0,,2,0,C,0,0,,C,0,4,0,0,,0,34,,0
MLI,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,0,0,,0,0,0,1,,0,0,,15,0,,,5,0,0,,0,,0,,0,0,,0,0,,,0,0,2,0,0,0,0,,,0,,0,,,,0,0,,,0,,0,0,,C,0,0,0,0,,24,0,,0
MLT,,0,,4,338,0,,,0,256,479,,6,2,19,136,0,15,,0,24,,0,C,498,46,,0,44,99,436,344,11,0,41,0,222,,0,0,255,2,278,2,516,0,1,27,20,1,0,"1,025",0,0,,2,,0,12,,118,,0,,20,228,C,C,0,C,185,3,247,10,"1,109",951,0,0,,79,874,,0
MHL,,0,0,C,1,0,,,0,23,44,,,0,168,15,2,6,,20,0,,0,2,5,116,,0,2,78,98,109,0,10,1,0,5,0,0,,466,9,53,108,5,0,216,,0,0,1,"1,085",0,0,C,355,,,110,,456,,,,C,0,0,3,0,C,0,0,,408,201,43,0,0,,397,"15,826",0,0
MTQ,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,0,0,,0,0,,0,,0,0,,,0,,,0,0,0,,0,,0,,0,,,0,0,,,0,0,0,0,0,0,0,,,,,0,,,,0,0,,,0,,0,0,,C,0,,,0,,0,0,,0
MRT,,0,,0,0,0,,,0,,0,,0,0,,0,0,0,,0,0,,0,0,0,0,,0,0,,25,0,,,0,0,0,,0,,0,,0,0,,0,0,,,0,0,44,0,0,0,0,,,0,,1,,,,0,0,,,0,,0,0,,C,0,4,,0,,50,0,,0
MUS,,0,,C,17,0,4,,0,6,"1,747",,1,0,268,"3,929",1,89,20,38,0,,106,C,81,154,,0,10,13,498,420,3,,637,0,4,,90,0,"1,759",,45,"1,656",58,2,39,102,1,0,0,"9,014",0,38,C,,,,377,,177,0,,25,C,6,,36,19,C,0,0,"1,543",2,138,277,46,0,,768,"17,603",,0
MYT,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,0,0,,0,0,,0,,0,0,,,0,,,129,0,0,,0,,0,,0,,,0,0,,,0,0,0,0,0,0,0,,,,,0,,,,0,0,,,0,,0,0,,C,0,,,0,,0,0,,0
MEX,0,2,12,"3,575","1,432",315,110,,0,"1,317","2,500",,"2,184",243,"9,266","8,180","4,388",350,240,987,956,14,44,43,146,"3,006",,0,30,672,"11,920","16,591",2,71,667,3,75,0,0,1,"19,235",287,"6,067","20,817",171,307,"1,681",,112,7,22,"44,103",0,309,51,5,,,"10,461",,"8,140",,365,C,166,461,0,955,545,C,111,99,119,"5,438","1,560","7,083",606,2,,"18,755","150,930",132,6
FSM,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,,0,0,,,0,,,0,0,0,,0,,0,,0,0,,0,0,,,0,0,0,0,0,0,0,,,0,,0,,,,0,0,,,0,,0,0,,C,0,0,,0,,0,0,,0
MDA,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,,0,0,,53,0,,,0,0,0,,0,,0,,0,0,,0,0,,,0,0,29,0,0,0,0,,,0,,0,,,,0,0,C,,0,,0,0,,C,0,0,,0,,0,0,,0
MCO,,0,,16,7,0,,,0,51,0,,7,0,,2,1,C,,0,0,,0,0,,0,,0,0,,,0,,,5,0,0,,0,,55,,2,0,,0,0,,,0,0,0,0,0,0,4,,,,,2,,,,0,0,,,0,C,0,0,5,C,0,,,0,,51,31,,0
MNG,,0,,4,26,0,,,0,1,37,,,0,80,2,2,17,,255,0,,0,0,0,293,,0,2,15,36,301,,,2,0,0,,0,,292,,91,259,1,0,10,,0,0,0,"1,057",0,4,0,0,,,312,,0,,,C,C,0,,,2,43,0,0,,C,7,76,5,0,,112,988,,0
MNE,1,0,0,0,128,0,,,0,1,0,,,123,,0,0,0,,0,0,,0,0,0,8,,0,1,29,8,173,,,0,0,4,,0,,2,,125,1,,0,0,,8,0,0,254,1,0,0,0,,,2,,0,,,,28,0,13,2,0,,29,23,,C,2,11,,0,,5,44,,0
MSR,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,,0,0,,,0,,,0,0,0,,0,,0,,0,0,,0,0,,,0,0,0,0,0,0,0,,,0,,0,,,,0,0,,,0,,0,0,,C,0,,,0,,0,0,,0
MAR,0,0,0,C,98,0,103,,0,105,71,,0,2,98,7,40,312,,24,2,,0,C,9,54,,0,C,44,"1,261",936,16,,245,0,2,,0,1,326,,175,74,3,8,18,3,8,0,0,"1,792",0,1,C,2,10,,190,,95,,,C,6,51,,4,0,C,10,9,,C,5,237,3,0,,209,"2,334",,1
MOZ,,0,,C,0,0,,,0,0,0,,0,0,,0,0,0,,1,0,,0,C,0,45,,0,0,2,17,2,,,1,0,0,,0,,38,,7,1,,0,0,,,0,0,316,0,0,0,15,,,29,,14,,,,0,73,,,0,,0,0,85,C,0,7,,0,,101,125,,0
MMR,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,0,0,,0,0,0,12,,0,0,,,0,,,0,0,0,,25,,0,,0,0,,0,0,,,0,0,47,0,0,0,0,,,2,,8,,,,0,0,,,0,C,0,0,,C,0,0,14,0,,0,0,,0
NAM,,0,,C,36,0,,,0,0,2,,,0,,0,0,0,1,4,0,,0,C,0,32,,0,0,53,12,225,,,0,0,0,,0,,48,,47,3,4,0,0,,0,0,0,457,0,2,0,137,,,61,,0,,,,C,0,,3,95,C,0,0,495,C,6,38,,0,,23,327,,0
NRU,,0,,0,0,0,,,0,,0,,,0,,1,0,0,,0,0,,0,0,0,0,,0,0,,,0,1,,0,0,0,,0,,0,,12,0,,0,0,,,0,0,0,0,0,0,0,,,0,,0,,,,0,0,,,0,,0,0,,C,0,0,,0,,91,0,,0
NPL,,0,,0,0,0,,,0,,0,,,0,,1,0,46,,1,0,,0,0,0,0,,0,0,,,0,,,17,0,0,,0,,0,,0,1,,0,0,,,0,0,0,0,0,0,1,,,0,,0,,,,0,0,,,0,,0,0,,C,0,0,,0,,0,0,,4
NLD,8,1,47,"23,771","17,665",292,440,,0,"70,699","11,645",292,366,387,"30,377","16,198",525,"6,619",963,"3,963",182,23,99,882,"2,297","15,582",2,0,294,"13,253","289,197","311,884",73,"1,157","6,475",0,196,361,22,3,"142,964","2,692","65,021","115,964","4,642","1,153","9,701",114,437,63,93,"232,066",7,718,"15,302",125,105,1,,"1,136","32,393",,91,362,"1,027","8,218",503,"5,778","4,011","13,760","1,251","1,561","12,478","44,900","13,167","66,736",347,47,1,"108,691","569,940",420,10
NZL,,0,4,"14,817",319,0,14,,0,352,912,,4,0,"4,091",978,259,"2,141",57,838,7,0,1,C,4,166,,0,C,82,"1,064","4,158",7,1,890,0,0,0,0,,"2,241",8,357,"8,904",56,90,393,,1,0,0,"3,240",0,87,C,2,,0,"1,691",,"3,045",,0,,C,37,,2,81,"2,168",8,8,10,"1,227",351,"2,808",0,0,,"5,215","29,209",0,0
NIC,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,,0,1,,,0,,,0,0,0,,0,,0,,0,0,,0,0,,,0,0,88,0,0,0,0,,,51,,3,,1,,0,0,,,0,,0,0,,C,0,5,,0,,0,1,,0
NER,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,,0,0,,5,0,,,0,0,0,,0,,0,,0,0,3,0,20,,,0,0,0,0,0,0,12,,,0,,22,,,,0,0,,,0,,0,0,,C,0,0,,0,,166,1,,0
NGA,1,0,,C,73,0,8,,0,12,86,,0,0,200,465,4,16,2,88,0,,0,C,0,437,15,0,2,190,119,922,,,146,0,4,0,0,,"1,141",,183,116,139,0,3,,1,1,0,"5,115",0,3,C,844,,,984,,87,,,C,3,0,,2,296,C,0,0,"1,456",10,27,214,1,0,,"4,691","4,297",,0
NIU,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,,0,0,,0,0,,,0,0,0,0,0,0,0,,,0,,0,,,,0,0,,,0,,0,0,,C,0,,,0,,0,0,,0
NFK,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,,0,0,,,0,,,2,0,0,,0,,0,,0,,,0,0,,,0,0,0,0,0,0,0,,,0,,0,,,,0,0,,,0,,0,0,,C,0,,,0,,0,,,0
NOR,0,0,6,"6,218","4,116",9,8,,0,"4,003","2,218",,18,3,"6,062","1,221",54,"2,381",48,524,72,,6,C,29,"8,369",,0,73,"10,853","19,530","51,425",7,46,"11,650",0,31,354,1,0,"14,026",172,"4,067","14,544","3,314",216,948,3,91,1,11,"29,017",0,122,"1,868",91,,,"12,029",C,,,1,0,38,273,1,10,"1,166",C,676,223,18,"2,103","21,328","8,035",0,0,,"28,661","67,353",96,4
OMN,6,0,,C,55,0,293,,0,3,76,,0,1,60,74,9,95,,58,0,,0,6,2,418,13,0,0,75,138,"1,147",,,20,0,13,,0,0,"1,104",,450,61,4,80,38,695,2,8,0,"2,917",0,2,0,1,,,839,,51,28,,C,23,9,5,57,852,C,0,0,,17,17,390,2,1,,305,"3,463",,8
PAK,,0,,28,22,0,282,4,0,2,6,,,0,112,0,1,62,,94,0,,0,C,0,138,,0,0,C,8,130,,,24,0,0,,0,5,364,,93,69,21,0,9,,1,0,0,"1,703",0,20,0,271,,,220,,0,,,,C,5,C,0,"1,148",C,0,0,1,1,61,74,,1,,822,"2,793",,0
PLW,,0,,0,0,0,,,0,,3,,,0,,0,0,0,,0,0,,0,0,0,0,,0,0,,,0,,,0,0,0,,0,,0,,0,0,,0,0,,,0,0,0,0,0,0,0,,,0,,0,,,,0,0,,,0,,0,0,,C,0,0,,0,,0,0,0,0
PAN,,0,0,72,131,155,,,0,99,110,,74,2,863,271,632,58,4,123,289,21,50,C,0,459,,181,0,65,358,"2,352",0,,16,6,0,0,0,,"1,731",1,266,"1,166",8,47,321,,2,0,0,"4,920",0,18,C,17,23,,"1,646",,233,,,,25,8,C,3,9,26,0,0,2,125,96,797,1,0,,"10,808","31,122",2,2
PNG,,0,,C,9,0,,,0,2,2,,,0,111,0,1,28,0,12,0,,0,0,0,15,,0,0,7,-6,76,,,0,0,0,0,0,,118,,5,108,,0,3,,,0,0,336,0,38,0,0,,,84,,94,,,,0,0,,,0,32,0,0,,C,21,34,,0,,77,"1,858",,0
PRY,,0,,C,31,1,,,0,0,18,,18,0,8,0,15,0,,28,0,1,2,0,0,104,,0,0,26,26,481,,,3,0,0,,0,,182,,33,42,3,24,0,,1,0,0,"1,210",0,0,0,0,,,449,,1,,4,C,C,0,,C,0,,0,0,,C,3,144,,0,,131,"1,626",0,0
PER,,5,3,242,235,32,,,0,165,603,,22,0,"1,345",743,"1,219",62,28,178,327,5,31,C,1,681,,0,1,142,504,"3,720",0,0,55,0,0,,0,,"4,202",53,443,814,290,82,120,,16,0,0,"6,860",0,17,C,1,21,,"3,030",,45,,143,C,C,2,,28,227,C,16,7,9,270,118,"1,006",124,0,,"2,257","15,233",16,0
PHL,,0,0,"6,083",138,9,39,,0,62,295,,0,0,"2,299",580,1,"2,675",3,428,0,,1,C,0,473,,0,0,109,380,"2,151",26,0,38,0,0,0,3,11,"2,793",,482,"4,965",14,89,340,,3,0,0,"5,900",0,"2,236",C,28,,0,"2,770",C,"2,432",,0,,C,0,,0,210,C,0,4,54,66,490,972,227,0,15,"4,256","26,224",0,0
PCN,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,,0,0,,,0,,,0,0,0,,0,,0,,0,0,,0,0,,,0,0,0,0,0,0,0,,,0,,0,,,,0,0,,,0,,0,0,,C,0,,,0,,14,0,,0
POL,34,0,2,797,"5,927",5,75,,0,"3,250",138,,2,638,"2,375",126,78,39,18,230,0,,0,101,"1,725","1,164",,0,102,C,"10,400","22,167",,204,"1,446",0,572,3,0,0,"6,478",70,"3,114","10,023","2,350",94,457,,138,18,263,"11,465",0,28,182,1,,0,"6,098",,"1,909",,2,,,202,48,C,96,C,"1,183",428,43,393,784,"3,133",2,0,27,"4,853","17,113",2,2
PRT,12,0,2,202,"1,988",0,66,,0,"5,072",16,,453,332,"1,501",878,33,87,44,236,0,,2,19,25,"1,025",,0,8,764,"21,253","15,623",7,836,142,0,8,2,0,3,"8,105",73,"12,820","3,090",419,8,128,,18,0,10,"16,371",0,0,"1,478",13,12,,"14,368",,"1,450",,0,,160,,8,7,0,C,132,259,3,"17,359",580,625,72,0,,"5,559","12,898",2,0
PRI,,0,,8,1,0,,,0,16,19,,48,0,520,504,10,6,,11,0,,1,0,,30,,0,0,,31,0,0,,8,0,0,0,0,,482,,7,60,91,0,17,,,0,0,0,0,0,0,0,1,,248,,155,,0,,0,0,,,0,,0,0,,0,7,,,0,,53,,,0
QAT,,0,0,269,252,0,"3,041",,0,9,850,,1,16,269,694,5,530,361,523,43,,0,44,0,605,10,0,2,100,335,"2,377",,,72,0,7,,0,0,"3,121",,299,"2,081",49,134,373,970,,21,0,"5,893",0,332,906,36,,,"1,628",,128,15,1,C,C,0,C,37,"3,039",C,0,0,17,16,217,"1,299","1,675",5,,"5,303","17,756",97,4
REU,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,0,0,,0,0,,0,,0,0,,,0,,,0,0,0,,0,,0,,0,0,,0,0,,,0,0,0,0,0,0,1,,,,,0,,,,0,0,,,0,,0,0,,C,0,,,0,,0,,,0
ROU,0,0,1,C,"2,615",0,5,,0,317,54,,0,"1,309",564,776,96,4,2,74,2,,0,C,245,468,,0,68,209,"1,620","7,636",0,162,"1,954",0,338,,0,,"2,058",1,"2,990",432,307,18,36,,133,0,120,"4,928",0,0,18,1,,,"1,866",,186,,,,348,44,,6,0,C,384,156,45,228,132,584,,0,,732,"5,463",0,0
RUS,29,11,0,"1,839","3,058",4,244,,4,256,915,,2,31,"4,180","6,716",4,58,9,"2,072",4,0,5,"9,196",101,"2,474",,0,54,"1,117","3,287","6,776",2,43,434,0,381,0,0,,"30,927",77,"1,349","4,644",88,467,"1,314",,31,5,18,"29,474",3,5,C,6,20,0,"9,020",,"5,813",,4,12,154,0,2,,62,C,30,125,143,149,"2,395","3,815",5,22,,"12,746","83,401",2,5
