,ALB,ARG,ABW,AUS,AUT,BHS,BHR,BGD,BLR,BEL,BMU,BOL,BRA,BGR,CAN,CYM,CHL,HKG,MAC,CHN,COL,CRI,CMQ,CYP,CZE,DNK,EGY,SLV,EST,FIN,FRA,DEU,GIB,GRC,GGY,HND,HUN,ISL,IND,IDN,IRL,ISR,ITA,JPN,JEY,KAZ,KOR,KWT,LVA,LBN,LTU,LUX,MKD,MYS,MLT,MUS,MEX,MNG,NLD,NZL,NOR,PAK,PAN,PHL,POL,PRT,ROU,RUS,SAU,SGP,SVK,SVN,ZAF,ESP,SWE,CHE,THA,TUR,UKR,GBR,USA,URY,PSE
THA,,0,4,"2,006",145,0,86,,0,131,559,,0,0,"3,867",366,1,"2,711",91,686,2,,4,0,0,"1,320",,0,0,281,326,"2,270",9,0,75,0,1,0,21,33,"7,763",,203,"6,727",500,1,640,,,0,0,"12,659",0,"4,303",0,700,,,"6,442",,"3,312",,0,196,C,0,,,903,"9,277",1,3,68,54,"1,172","1,445",,0,,"13,915","44,373",,0
TLS,,0,,C,0,0,,,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,,0,0,,,0,,,0,0,0,,0,,0,,0,0,,0,0,,,0,0,1,0,0,0,0,,,0,,0,,,,0,4,,,0,,0,0,,C,0,0,,0,,0,0,,0
TGO,8,0,,C,39,0,,,0,1,20,,,0,,0,0,0,,4,0,,0,C,0,80,,0,0,4,108,184,,,10,0,0,,0,,119,,46,0,1,0,0,,0,0,0,828,0,0,C,73,,,30,,0,3,,,0,0,,,0,19,0,0,,7,0,17,,0,,24,44,,0
TKL,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,,0,0,,,0,,,0,0,0,,0,,0,,0,0,,0,0,,,0,0,62,0,0,0,0,,,0,,0,,,,0,0,,,0,,0,0,,C,0,,,0,,0,0,,0
TON,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,,0,0,,,0,,,0,0,0,,0,,0,,0,0,,0,0,,,0,0,0,0,0,0,0,,,0,,0,,,,0,0,,,0,,0,0,,C,0,0,,0,,0,0,,0
TTO,,0,4,0,8,22,7,,0,0,5,,,0,25,179,0,0,,4,0,1,66,C,0,24,,0,0,9,6,101,,,0,0,1,,0,0,87,,42,6,,3,2,,,0,0,380,0,2,C,0,,,40,,0,,3,,C,0,,1,1,C,0,0,,C,4,63,,0,,25,733,0,0
TUN,8,0,1,C,56,0,127,,0,9,8,,,0,15,3,0,7,,11,0,,0,C,0,104,4,0,1,34,390,437,7,,0,0,0,,0,0,308,,292,949,28,0,0,2,2,0,0,124,0,0,C,39,,,173,,17,,,,C,0,,2,3,C,0,1,,6,3,83,,0,,70,"1,666",,0
TUR,165,0,0,560,"1,139",0,"4,450",,0,94,469,,5,46,"2,617",908,33,280,1,312,0,0,0,75,254,"1,634",1,0,25,465,"2,917","4,295",2,18,239,0,192,0,0,2,"6,742",184,"1,878","4,970","2,993",44,354,181,53,42,46,"17,042",6,354,C,10,10,11,"5,076",,"1,306",12,3,C,230,95,66,"1,032","3,694",C,54,39,46,359,528,"1,658",9,,,"7,817","28,314",10,7
TKM,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,,0,0,,,0,,,0,0,0,,4,,0,,0,7,,0,0,,,0,0,0,0,0,0,0,,,0,,0,,,,0,0,,,0,,0,0,,C,0,0,,0,,0,0,,0
TCA,,0,,0,0,0,,,0,,0,,,0,,7,0,0,,0,0,,0,0,0,0,,0,0,,15,0,,,0,0,0,,0,,0,,3,0,,0,0,,,0,0,0,0,0,C,0,,,1,,0,,,,0,0,,,0,,0,0,,C,1,27,,0,,0,43,,0
TUV,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,,0,0,,,0,,,0,0,0,,0,,0,,0,0,,0,0,,,0,0,0,0,0,0,0,,,0,,0,,,,0,0,,,0,,0,0,,C,0,0,,0,,0,0,,0
UGA,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,0,0,,0,C,0,13,,0,0,53,,0,1,,5,0,0,,0,,6,,0,0,118,0,0,,,0,0,280,0,0,0,13,,,20,,4,,,,0,0,,,0,,0,0,22,C,0,3,,0,,33,60,,0
UKR,,0,,55,155,0,11,,1,5,119,,0,4,257,"2,147",6,9,,159,0,,0,C,9,634,,0,8,C,232,"1,438",12,0,64,0,28,0,0,,"1,817",1,281,267,60,6,1,,4,0,0,"5,416",1,0,0,14,0,0,"1,262",,6,,0,,26,5,2,C,19,C,1,0,,8,32,260,,1,,"1,849","10,232",0,0
ARE,,0,1,"1,389",338,93,"5,986",,0,223,"1,630",,12,3,"1,103","1,707",18,"4,816",664,"3,659",57,,88,C,1,515,47,0,5,93,760,"3,256",4,0,969,0,14,0,29,578,"8,379",,493,"2,126",356,219,"1,235","2,823",1,44,0,"11,910",0,"1,356",170,251,,0,"1,748",,933,73,3,63,1,110,C,37,"15,912",C,64,4,21,51,686,"7,682","3,200",8,,"5,132","19,550",0,57
GBR,60,2,30,"81,054","13,910",171,"1,780",,0,"24,478","50,844",25,629,266,"95,532","61,132","6,104","85,496","3,441","21,805",712,89,253,686,786,"28,887",41,1,280,"17,774","217,266","231,016",318,"6,758","37,745",0,165,310,17,160,"778,417","14,229","54,222","169,513","64,290","4,626","36,437",676,138,85,42,"409,149",2,"6,645","9,276","2,190",161,19,"122,800","4,682","97,119",9,81,416,574,"5,460",124,"8,931","8,371","44,649","1,513",781,"63,314","33,185","41,843","89,877","1,639",68,34,,"1,517,165",349,5
USA,19,"34,487",615,"391,029","35,588","10,128","5,598",,57,"59,739","414,757","1,929","18,757","1,275","1,192,633","1,601,283","45,032","204,360","10,176","162,830","29,677","1,835","6,509","1,892","3,823","179,490",215,304,"1,018","69,001","338,718","504,231",296,"1,578","47,934",79,"1,939","3,087","3,850",122,"1,201,042","89,926","145,949","1,754,979","55,291","36,316","257,943","1,964",448,791,181,"1,324,514",316,"21,303","2,162","7,359","19,578",33,"585,439","46,537","481,770",10,"9,759","7,522",C,"15,105",793,"6,501","92,476","388,539","2,742","2,810","20,657","65,680","202,067","348,265","9,193",790,345,"1,166,927",,"4,450",25
URY,,0,,C,78,64,11,,0,11,118,,87,0,366,9,121,13,0,57,1,4,24,C,0,376,,0,0,143,95,"1,585",,0,15,0,0,,0,0,895,,254,495,16,22,30,,0,0,0,"1,889",0,0,C,0,,,894,,3,,6,C,C,0,,,8,C,0,0,,48,29,374,,0,,373,"5,888",,0
PUQ,,0,,0,0,0,,,0,,0,,1,0,,0,0,0,,0,0,,0,0,0,0,,0,0,,,0,,,39,0,0,,0,,0,,0,,,0,0,,,0,0,0,0,0,0,0,,,0,,0,,,,0,0,,,0,,0,0,,C,0,0,,0,,0,,,0
VIR,,0,,0,0,0,,,0,,2,,5,0,,23,0,55,,10,0,,0,0,0,0,,5,0,,0,0,,,76,0,0,,0,,6,1,0,466,,0,14,,,0,0,723,0,40,C,1,,,2,,7,,19,,0,0,,,0,C,0,0,,C,0,0,19,0,,43,,,0
UZB,2,0,,C,19,0,,,0,,14,,,0,,4,0,0,,4,0,,0,0,0,63,,0,0,46,1,100,,,0,0,0,,0,,61,,12,3,,5,1,,0,0,0,512,0,0,0,1,,,100,,0,,,,23,3,,10,0,C,0,0,,C,0,26,,0,,4,242,,0
VUT,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,,0,0,,,0,1,,0,0,0,,0,,0,,0,0,,0,0,,,0,0,0,0,0,0,0,,,0,,0,,,,0,0,,,0,,0,0,,C,0,0,,0,,0,0,,0
VAT,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,,0,0,,,0,,,0,0,0,,0,,0,,0,0,,0,0,,,0,0,0,0,0,0,0,,,0,,0,,,,0,0,,,0,,0,0,,C,0,0,,0,,0,0,,0
VEN,,36,,C,11,15,,,0,1,55,,1,0,17,10,2,36,,6,0,3,6,C,0,131,,9,0,2,137,116,0,0,73,0,1,,0,,228,1,650,19,8,0,4,,0,13,0,861,0,0,C,22,,,106,,445,,29,C,C,14,0,C,2,C,0,0,,3,1,"1,027",,9,,128,"1,323",131,0
VNM,6,0,0,C,26,0,,,0,15,128,,,0,195,779,0,745,,68,0,,1,1,0,73,,0,0,C,96,130,,,"1,142",0,0,,0,28,686,1,47,993,417,0,"4,084",,2,0,0,"1,941",0,479,0,102,,,319,,500,,,C,C,0,,,0,C,0,0,,C,77,100,490,0,,"1,148","3,121",,0
VGB,,0,0,C,318,0,34,,0,441,"9,430",,590,0,874,"3,708",872,"41,246","10,639","45,883",1,1,218,99,32,526,,0,20,631,"3,862","5,633",108,16,"1,033",0,6,0,4,"4,112","5,744",50,583,"4,469",787,209,"2,757",,15,2,3,"23,538",0,696,"3,179",468,,,"1,975",,563,7,18,302,76,511,0,271,246,"13,595",27,3,13,456,635,255,"1,023",0,,"4,963","71,033",7,0
WLF,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,,0,0,,,0,,,0,0,0,,0,,0,,0,0,,0,0,,,0,0,0,0,0,0,0,,,0,,0,,,,0,0,,,0,,0,0,,C,0,0,,0,,0,,,0
PSE,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,,0,0,,0,0,,,0,0,0,,0,,0,,0,0,,0,0,,,0,0,64,0,0,0,0,,,0,,0,,,,0,0,,,0,,0,0,,C,0,0,,0,,0,0,,
ESH,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,0,0,,0,0,,0,,0,0,,,0,,,0,0,0,,0,,0,,0,0,,0,0,,,0,0,0,0,0,0,0,,,0,,0,,,,0,0,,,0,,0,0,,C,0,,,0,,0,0,,0
YEM,,0,,0,0,0,3,,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,,0,0,,,0,,,0,0,0,,0,,0,,0,0,,0,0,,,0,0,0,0,0,0,0,,,0,,0,,,,0,0,,,"1,237",,0,0,,C,0,0,,0,,0,0,,0
ZMB,,0,,C,18,0,,,0,1,5,,,0,28,218,1,10,,10,0,,0,C,0,93,,0,0,27,19,21,,,13,0,0,,0,,115,,19,11,77,0,0,,0,1,0,762,0,1,0,26,,,166,,0,,,,0,0,,1,0,,0,0,19,1,2,23,,0,,250,354,,0
ZWE,,0,,C,0,0,,,0,0,0,,,0,,6,0,0,,0,0,,0,C,0,0,,0,0,,0,6,0,0,0,0,0,,0,,15,,0,0,,0,0,,,0,0,1,0,0,0,89,,,35,,0,,,,0,0,,,0,,0,0,1,C,0,0,,0,,90,15,,0
