,ARG,ABW,AUS,AUT,BHS,BHR,BRB,BEL,BMU,BRA,BGR,CAN,CYM,CHL,HKG,MAC,COL,CRI,CYP,CZE,DNK,EGY,EST,FIN,FRA,DEU,GIB,GRC,GGY,HUN,ISL,IND,IDN,IRL,IMN,ISR,ITA,JPN,JEY,KAZ,KOR,KWT,LVA,LBN,LUX,MYS,MLT,MUS,MEX,NLD,ANT,NZL,NOR,PAK,PAN,PHL,POL,PRT,ROU,RUS,SGP,SVK,ZAF,ESP,SWE,CHE,THA,TUR,UKR,GBR,USA,URY,VEN
IRL,9,3,"1,151","19,373",92,"1,212",369,"39,350","6,220",18,62,"9,841","1,518","3,509","17,527",357,340,6,997,"1,339","11,394",18,92,"13,776","153,563","142,493",18,"2,426","9,902",563,"1,937",92,8,,"4,636",436,"69,830","50,127","14,240",8,"1,533",6,27,100,"80,641",373,422,118,180,"54,911",403,C,"12,526",,11,13,326,"21,600",0,"2,110","3,690",422,"6,567","31,409","17,244","30,167",554,3,,"208,283","131,854",1,0
IMN,0,,0,74,,0,0,0,10,1,0,28,3,0,3,,,,0,,33,,6,0,47,0,,0,233,0,0,,,159,,,52,744,92,0,0,3,,2,565,90,,12,,165,4,,3,,,,8,0,0,0,,,232,26,3,144,,,,"2,735","1,306",0,0
ISR,0,1,C,177,22,0,2,221,14,2,0,"1,394",132,2,24,0,,0,76,2,271,0,2,75,"1,016",886,2,7,261,0,0,,0,604,1,,178,932,88,2,46,,,,"3,501",,,10,,"1,981",2,C,268,,3,,3,6,0,0,376,,3,33,70,291,54,,,"4,289","54,250",1,0
ITA,16,1,"4,243","24,162",2,141,179,"62,298","3,178",40,45,"9,773",132,5,"1,291",24,3,0,572,"1,267","6,086",95,24,"9,394","293,688","213,659",6,"1,596","2,194",36,421,,27,"143,340",14,123,,"71,276","3,298","1,011",470,10,1,29,"189,317",31,990,54,,"104,844","2,054",C,"21,321",,0,1,74,"11,463",24,46,"8,033",206,325,"65,726","9,984","11,992",16,52,,"113,910","119,963",17,6
JAM,0,,C,24,,0,26,14,9,,0,25,4,0,C,,,1,0,,26,,,C,17,188,,1,0,,,,,18,0,,25,46,6,0,1,,,,153,,,,,16,6,,,,2,,0,11,0,0,,,,85,181,30,,,,253,662,0,299
JPN,174,12,"26,619","2,703",1,196,386,"6,541","14,340",5,6,"43,511",4,"1,342","20,827",171,26,4,64,17,"11,306",172,2,"3,335","111,368","31,451",,197,"4,838",11,187,,23,"60,150",172,182,"11,092",,"2,100","1,667","5,366",53,0,6,"87,645",220,52,607,,"38,301",350,"2,353","27,682",,0,83,4,304,0,20,"33,136",30,265,"1,254","14,695","19,373",60,1,,"204,595","582,342",0,0
JEY,0,,C,"5,818",40,269,0,"16,240",605,73,1,687,493,0,"4,878",0,18,25,188,348,982,,0,882,"21,551","23,010",4,"1,643","1,772",39,19,,,"17,524",354,25,"8,958","21,998",,0,455,,,56,"24,816",,"1,178",49,,"8,440",151,,"1,448",,,124,C,"5,078",0,80,345,2,"4,184","11,119",631,"64,170",17,,,"52,030","28,633",1,0
JOR,0,,0,1,,16,0,0,0,,0,0,,0,2,,,,0,,0,6,,,2,4,,,2,,,0,,13,0,,0,0,84,0,0,748,,173,0,,,3,,7,,,,,,,0,0,0,0,,,,0,0,3,,,,22,111,0,0
KAZ,0,,4,191,,107,,20,0,0,1,44,40,0,108,,,,38,60,84,,47,C,468,222,,69,96,0,0,,,79,0,1,49,71,22,,156,,25,0,0,,,5,,113,,,27,,2,31,52,28,0,70,,0,,1,76,108,,7,,"2,712","1,341",0,0
KEN,0,,0,0,,0,,3,0,,0,0,,0,26,,,,4,,1,0,,,0,0,,,20,,,1,,13,0,,0,0,4,0,0,2,,,72,,,161,,6,,,3,,,,0,0,0,0,,,17,0,8,2,,,,4,32,0,0
KIR,0,,0,0,,0,,0,0,,0,0,,0,0,,,,0,,0,,,,,0,,,0,,,,,0,0,,0,0,,0,0,,,,0,,,,,0,,,,,,,0,0,0,0,,,,0,0,0,,,,0,0,0,0
PRK,0,1,C,,,0,,,,,0,,,,0,,,,0,,0,,,,,0,,,,,,,,0,0,,,0,,0,0,,,,0,,,,,0,,,,,,,0,0,0,0,,,,0,0,,,,,,0,0,0
KOR,3,1,"4,231",985,233,84,52,925,"6,541","4,026",0,"10,742",20,32,"20,234",237,,,441,15,"1,839",0,,678,"24,263","5,587",,28,708,13,63,54,9,"14,353",60,,"1,222","13,763",701,0,,15,1,20,"33,871",961,,49,,"8,067",0,C,"5,261",,,170,C,40,0,0,"27,773",,12,297,"1,692","2,779",527,,,"42,102","139,555",0,0
KWT,0,,C,112,40,"1,015",,5,0,,0,0,,0,214,3,,,44,,3,23,,0,2,90,,0,42,,,,,46,0,,1,7,2,0,10,,,33,130,40,,,,34,,,,,,,0,5,0,0,,,,1,0,1,,,,"1,376",0,0,0
KGZ,0,,0,0,,0,,0,0,0,0,0,,0,0,,,,0,,0,,,,,0,,,0,,,,,0,0,6,0,4,,0,0,,,,0,,,,,0,,,,,,,0,0,0,6,,,,0,0,0,,,,0,0,0,100
LAO,0,,0,0,,0,,0,0,,0,0,,0,0,,,,0,,0,,,,,0,,,0,,,,,0,0,,0,0,,0,0,,,,0,,,,,0,,,,,,,0,0,0,0,,,,0,0,0,,,,23,0,0,0
LVA,0,,0,158,,0,,14,0,,3,0,,0,0,,,,13,0,4,,131,23,6,676,,24,0,8,,,,13,0,,6,6,,2,0,,,,165,,,,,41,0,,45,,,,0,0,0,0,,,,0,132,9,,,,12,18,0,0
LBN,0,,C,1,,10,,7,0,4,0,2,4,0,12,,,,23,,124,18,,0,47,37,,,20,,,,,13,0,,71,24,24,0,2,163,,,233,,,11,,71,,,,,,,0,0,0,0,,,,55,0,16,,,,259,432,0,0
LSO,0,,0,0,,0,,0,0,,0,0,,0,0,,,,0,,0,,,,,0,,,0,,,,,0,0,,0,0,,0,0,,,,0,,,,,0,,,,,,,0,0,0,0,,,1,0,0,0,,,,0,0,0,0
LBR,0,,0,22,,0,,4,48,,0,103,,0,8,,,,0,,75,,,6,209,113,,6,0,,,,,66,0,,79,69,,0,2,,,,383,,,,,112,,,249,,,,0,0,0,0,,,,2,1,102,,,,124,"6,763",0,0
LBY,0,,0,0,,0,,0,0,,0,0,,0,0,,,,0,,0,,,,,0,,,0,,,,,0,0,,0,0,18,0,0,,,,0,,,,,0,,,,,,,0,0,0,0,,,,0,0,0,,,,0,0,0,0
LIE,0,,0,393,,0,,17,0,2,0,23,,0,0,,,,0,,1,,5,0,34,774,,,15,,,,,47,1,,13,2,595,0,0,,,,264,,,,,3,,,1,,,6,C,0,0,1,,3,,25,0,,,,,227,263,0,0
LTU,0,,C,521,,0,,138,12,,0,2,,0,0,,,,28,1,65,,85,172,254,"1,917",,28,17,,0,,,339,0,,77,0,,0,2,,17,,803,,,,,526,,,19,,,,46,54,0,71,,,,13,541,104,,,,77,74,0,0
LUX,"1,373",23,661,"29,438",29,171,556,"170,165","7,005",195,196,"1,924",438,"28,761","27,391",653,424,8,577,"3,318","10,343",26,638,"20,751","173,908","478,004",92,"9,413","9,082","3,777","5,328",652,47,"46,658","4,835","2,164","373,606","98,599","7,909",157,"12,402",16,70,117,,"1,410",502,557,"1,183","86,726",443,C,"11,295",,46,38,"5,454","16,407",91,"3,686","4,176",571,"3,847","67,864","59,858","154,627",623,174,,"86,854","95,121",35,0
MKD,0,,0,62,,0,,2,0,,0,0,,0,0,,,,7,,0,,,C,1,74,,3,0,,,,,21,0,,3,0,,0,0,,,,39,,,,,0,,,,,,,0,0,0,0,,,,0,0,1,,,4,0,0,0,0
MDG,0,,0,0,,0,,0,0,,0,0,,0,0,,,,0,,0,,,,52,0,,,0,,,,,0,0,,0,0,,0,0,,,,0,,,23,,1,,,0,,,,0,0,0,0,,,,0,0,0,,,,0,0,0,0
MWI,0,,0,0,,0,,0,0,,0,0,,0,0,,,,-1,,0,,,,,0,,,0,,,,,0,0,,0,0,,0,0,,,,0,,,5,,0,,,,,,,0,0,0,0,,,5,0,0,0,,,,16,0,0,0
MYS,0,,551,131,,48,0,97,121,,0,"1,042",21,16,"5,875",115,,,89,0,684,,,240,"3,470","1,116",8,0,506,,0,3,4,"1,705",1,,252,"3,229",250,4,943,247,3,1,"9,607",,,"3,223",,"2,632","1,955",C,208,,,272,0,0,0,1,"20,295",1,1,2,188,301,43,1,,"10,581","25,209",0,0
MDV,0,,C,0,,0,,0,0,,0,0,,0,0,,,,0,,9,,,,,0,,,0,,,,,0,0,,0,0,2,0,0,,,,0,,,3,,0,,,,,,,0,0,0,0,,,,0,0,0,,,,2,0,0,0
MLI,0,,0,0,,0,,0,5,,0,0,,0,0,,,,0,,0,,,,,0,,0,0,,,,,0,0,,0,0,,0,0,,,0,0,,,0,,0,,,,,,,0,0,0,0,,,,0,0,0,,,,7,0,0,0
MLT,0,,0,97,,0,,21,0,,0,0,,0,C,,,,36,,69,,7,242,132,15,,0,18,,,0,,22,2,,402,0,140,0,0,56,,,183,,,53,,29,,,3,,,,C,0,0,0,,,1,66,209,67,,,,69,126,0,0
MHL,0,,0,1,,0,,5,33,,0,126,,0,6,,,,0,1,18,,,0,34,19,,,0,,0,,,31,0,4,6,80,,0,0,,,,136,,,,,16,0,,6,,,,C,0,0,0,,,,0,0,20,,,,17,"13,586",0,0
MTQ,0,,0,0,,0,,0,0,,0,0,,0,0,,,,0,,0,,,,,0,,,0,,,,,0,0,,0,0,,0,0,,,,0,,,,,0,,,,,,,0,0,0,0,,,,0,0,,,,,0,0,0,0
MRT,0,,0,0,,0,,0,0,,0,0,,0,0,,,,0,,0,,,,,0,,,0,,,,,0,0,,0,0,,0,0,5,,,0,,,,,0,,,,,,,0,0,0,0,,,,0,0,0,,,,4,0,0,0
MUS,0,,C,9,,9,,3,0,,0,66,,0,100,4,,,0,7,77,,,0,422,46,,,163,,,0,146,237,207,,53,584,34,0,7,3,,,590,28,,,,228,52,,1,0,0,,0,0,0,0,365,,133,0,11,298,,,,934,"1,657",0,0
MYT,0,,0,0,,0,,0,0,,0,0,,0,0,,,,0,,0,,,,,0,,,0,,,,,0,0,,0,0,,0,0,,,,0,,,8,,0,,,,,,,0,0,0,0,,,,0,0,,,,,0,0,0,0
MEX,185,2,481,732,"1,216",61,2,414,332,4,0,"5,406","2,314",873,161,4,1,16,104,1,"1,959",,,339,"1,753","3,086",14,32,512,0,1,12,,"4,494",2,2,"3,815","3,347",156,0,496,,2,2,"12,380",,11,0,,"4,927",505,C,"1,983",,46,43,1,166,0,3,"1,182",3,,"2,426",505,"1,087",71,0,,"10,759","109,731",14,11
FSM,0,,0,0,,0,,0,0,,0,0,,0,0,,,,0,,0,,,,,0,,,0,,,,,0,0,,0,0,,0,0,,,,0,,,,,0,0,,,,,,0,0,0,0,,,,0,0,0,,,,0,0,0,0
MDA,0,,0,0,,0,,0,0,,0,0,,0,0,,,,0,,0,,0,,0,0,,,0,,,,,0,0,,72,0,,0,0,,0,,0,,,,,0,,,,,,,0,0,1,1,,,,0,0,0,,,,0,0,0,0
MCO,0,,0,0,,0,,0,0,,0,0,,0,0,,,,0,,0,,,,,7,,,0,,,,,0,0,,13,0,28,0,0,,,1,100,,,,,0,,,,,,,0,0,0,0,,,,,0,,,,,0,16,0,0
MNG,0,,0,3,,0,,0,0,,0,0,,0,0,,,,0,,0,,,,,7,,,0,,,,,0,0,,0,0,,0,4,,,,0,,,,,3,,,,,,,0,0,0,0,,,,0,0,0,,,,20,0,0,0
MNE,0,,0,3,,0,,0,0,,0,0,,0,0,,,,0,,0,,0,,0,0,,,,,,,,1,0,,0,0,,0,0,,,,0,,,,,0,,,,,,,0,0,0,0,,,,0,0,1,,,,0,0,0,0
MSR,0,,0,0,,0,,0,0,,0,0,,0,0,,,,0,,0,,,,1,0,,,0,,,,,0,,,0,0,,0,0,,,,0,,,,,0,,,,,6,,0,0,0,0,,,,0,0,,,,,0,0,0,0
MAR,0,,C,56,,50,0,6,0,,0,5,2,0,6,,,,38,,7,12,,C,"2,654",233,,,22,,,,,127,0,,228,19,66,0,1,73,,1,390,,,42,,93,0,,,,,,0,21,0,0,,,,"1,503",12,14,,,,188,455,0,0
MOZ,0,,0,0,22,0,,0,0,0,0,0,,0,0,,,,0,,0,,,,,0,,,0,,,,,0,0,,0,0,,0,0,,,,0,,,11,,0,,,1,,,,0,77,0,0,,,,0,0,0,,,,0,0,0,0
MMR,0,,0,0,,0,,0,0,,0,0,,0,0,,,,0,,0,,,,,12,,,0,,,,,0,0,,0,0,,0,0,,,,0,,,,,0,,,,,,,0,0,0,0,,,,0,0,0,0,,,0,0,0,0
NAM,0,,0,0,,0,,0,0,,0,0,,0,0,,,,0,,0,,,,,0,,,0,,,,,1,1,,0,0,2,0,0,,,,0,,,13,,0,,,,,,,0,0,0,0,,,72,0,1,0,,,,2,3,0,0
NRU,0,,0,0,,0,,0,0,,0,0,,0,0,,,,0,,0,,,,,0,,,0,,,,,0,0,,0,1,,0,0,,,,0,,,,,0,,,,,,,0,0,0,0,,,,0,0,0,,,,0,0,0,0
NPL,0,,0,0,,0,,0,0,,0,0,,0,0,,,,0,,0,,,,3,0,,,0,,,3,,0,0,,0,0,,0,0,,,,0,,,35,,0,,,2,,,,0,0,0,0,,,,0,0,0,,,,0,0,0,0
NLD,31,21,"22,953","26,605",2,"1,072","1,232","86,749","8,727",145,107,"16,073","1,209",255,"12,795",683,161,75,"1,206","3,227","9,184",28,364,"14,004","272,662","192,530",118,"3,620","3,620",319,"1,935",,333,"64,705",173,692,"79,995","76,134","15,198",638,"2,052",320,6,84,"133,447",66,578,"1,101",17,,388,C,"17,696",215,44,108,957,"11,705",22,"2,698","7,160",876,65,"64,239","12,006","58,589","1,482",14,,"156,708","235,059",61,714
ANT,0,34,70,"1,223",21,20,0,"4,451",124,3,11,"1,699",36,4,957,5,0,3,28,173,218,,7,33,"71,277","5,922",2,149,450,20,,,1,995,10,4,"2,070","8,618","14,917",5,1,,,3,"6,327",,,,,"2,675",,,628,,161,,7,410,0,1,88,,,"2,442",165,"3,469",,,,"2,682","89,289",10,3
NZL,2,,"4,262",29,10,0,6,88,87,0,0,"1,103",32,0,531,3,14,,49,,46,,,0,428,938,,0,88,1,0,16,,"2,193",9,15,77,"5,390","1,170",0,13,5,,0,"1,437",4,,82,,371,12,,368,,,11,C,14,0,0,797,,5,78,223,"1,462",1,,,"5,372","9,798",0,0
NIC,0,,0,0,,0,,0,0,,0,0,,0,C,,,,0,,6,,,,,0,,,0,,,,,1,0,,330,0,,0,0,,,,0,,,,,0,,,1,,24,,0,0,0,0,,,,0,0,0,,,,0,29,0,0
NER,0,,0,0,,0,,0,0,,0,0,,0,0,,,,0,,0,,,,,0,,,0,,,,,0,0,,0,0,,0,0,,,,0,3,,,,0,,,,,,,0,0,0,0,,,,0,0,0,,,,2,0,0,0
NGA,0,,0,1,,2,,0,0,,0,16,,0,49,,,,23,,44,6,,C,8,10,,,97,,0,,,35,0,,6,0,,0,2,,1,1,299,,,310,,22,,,,,,,0,0,0,0,,,91,0,30,2,,,,"2,752",0,0,0
NIU,0,,0,0,,0,,0,0,,0,0,,0,0,,,,0,,0,,,,,0,,,0,,,,,0,0,,0,0,,0,0,,,,0,,,,,0,,,,,,,0,0,0,0,,,,0,0,,,,,0,0,0,0
NFK,0,,0,0,,0,,0,0,,0,0,,0,0,,,,0,,0,,,,,0,,,0,,,,,0,0,,0,0,,0,0,,,,0,,,,,0,,,,,,,0,0,0,0,,,,0,0,,,,,0,0,0,0
NOR,0,1,"1,438","2,089",10,161,289,"2,184","1,016",459,14,"3,866",212,7,"2,891",87,17,6,485,169,"6,489",,26,"4,747","9,938","20,793",8,171,"1,489",10,"1,437",,,"8,515",76,127,"1,731","27,987","11,796",23,214,,10,0,"21,385",37,134,3,,"5,968",20,86,,,2,23,7,635,20,1,"1,674",5,11,"2,181","16,071","7,534",109,13,,"28,388","67,909",0,0
OMN,0,,0,32,,104,,0,0,,0,7,,0,2,,,,0,,12,1,,C,428,37,,,91,,,,,99,0,,1,15,44,0,7,95,,80,243,,,2,,7,,,4,,,,0,0,0,0,,,,0,1,0,,,,92,0,0,0
PAK,0,,C,21,,200,0,0,0,,0,21,29,0,118,,,,0,,94,4,,0,37,52,,,21,,,,,84,0,,20,50,12,0,5,113,0,,853,0,,201,,97,1,,,,,1,0,0,0,0,,,,0,13,14,0,2,,636,"1,757",0,0
PLW,0,,0,0,,0,,0,0,,0,0,,0,0,,,,0,,0,,,,,0,,,0,,,,,0,0,,0,0,,0,0,,,,0,,,,,0,,,,,2,,0,0,0,0,,,,0,0,2,,,,0,0,0,0
PAN,0,,22,97,20,0,,52,20,40,0,913,30,6,130,,36,19,15,0,442,,,14,400,450,,,47,,0,0,,375,1,,188,585,48,3,15,,,0,"2,455",,,1,,755,135,,133,,,,C,0,0,4,,1,,19,14,"1,411",,,,"1,687","29,435",1,82
PNG,0,0,C,6,,0,,4,49,,0,210,,0,33,,,,0,,3,,,,42,15,,,6,,0,,,66,0,,34,21,,0,3,,,,781,0,,,,35,,,204,,,,0,0,0,0,,,,0,5,93,,,,156,"2,429",0,0
PRY,0,,0,0,,0,,0,0,16,0,0,,0,0,,,,0,,0,,,,,0,,,0,,,,,3,0,,0,0,,0,0,,,,0,,,,,0,,,,,,,0,0,0,0,,,,0,0,0,,,,0,0,0,0
PER,17,,C,121,40,0,0,30,0,0,0,154,20,111,9,,0,2,0,0,436,,,19,152,558,,1,143,,,,,383,0,,245,605,22,0,12,,1,0,"1,806",,,,,471,15,C,44,,364,0,0,26,0,0,,1,,37,38,76,,,,858,"4,604",0,0
PHL,0,0,C,230,328,0,0,35,43,1,0,439,4,18,"1,104",0,,0,0,,"1,051",,,0,"1,893","1,375",,6,594,,0,4,2,"1,893",7,17,444,"1,952",62,0,119,0,2,0,"5,991",81,,106,,"1,200",4,C,178,,,,C,27,0,0,"2,429",2,,15,58,561,3,,,"3,299","14,461",0,0
PCN,0,,0,0,,0,,0,0,,0,0,,0,0,,,,0,,0,,,,,0,,,0,,,,,0,0,,0,0,,0,0,,,,0,,,,,0,,,,,,,0,0,0,0,,,,0,0,,,,,0,0,0,0
POL,0,1,295,"7,334",,47,0,"1,720",52,1,3,396,,0,156,5,,,186,"1,101","1,173",23,292,"1,082","3,469","15,610",4,"1,425",455,454,27,4,,"5,769",0,2,569,"5,471",30,5,348,,10,,"14,492",2,,3,,"4,368",1,,506,,,,,196,0,5,429,108,,441,948,"1,148",4,,,"6,271","13,860",0,0
PRT,0,,C,"2,183",4,42,,"11,788",30,106,29,887,204,0,143,22,0,,42,199,250,0,17,"1,184","47,822","30,231",,315,236,1,92,,,"53,771",0,1,"8,424","3,020","2,578",71,25,97,,0,"15,046",1,,,,"11,631",1,C,"4,191",,,,7,,0,0,609,,3,"11,978",519,"1,447",,1,,"14,300","8,711",0,0
PRI,0,,0,4,,0,,0,10,6,0,23,,0,4,,,0,0,,1,,,C,6,10,,,1,0,0,,,0,0,,4,11,,0,0,,,0,0,1,,,,6,0,,"2,058",,,,0,0,0,0,,,,0,1,,,,,4,0,0,0
QAT,0,,0,66,,"1,202",,29,5,,0,10,,20,93,,,,221,,173,29,,0,32,277,,,59,,,,,455,0,,5,146,10,0,16,"2,342",,5,317,,,0,,112,,,64,1,,0,C,0,0,0,80,,,0,0,27,60,,,"1,380",0,0,0
REU,0,,0,0,,0,,0,0,,0,0,,0,0,,,,0,,0,,,,,0,,,0,,,,,0,0,,0,0,,0,0,,,,0,,,24,,0,,,,,,,0,0,0,0,,,,0,0,,,,,0,0,0,0
ROU,0,,0,"1,023",,0,,40,119,,34,3,,0,0,,,,171,23,39,,129,C,286,910,,"1,581",69,13,,,,330,0,,220,20,,0,5,,5,0,"1,009",,,1,,250,1,,8,,,4,31,5,,4,,1,,70,858,45,,2,,565,622,0,0
RUS,10,1,919,"4,053",155,114,2,"1,021",381,2,75,"2,874",346,20,100,4,,0,"4,365",158,"3,281",9,391,"3,734","3,923","7,007",2,321,"5,532",130,5,,0,"3,963",22,2,"1,536","4,903","5,319",308,"1,187",2,89,3,"32,568",,5,5,,"6,732",15,C,"1,390",,8,102,378,65,0,,"2,227",30,0,277,"6,373","5,065",32,9,1,"32,061","80,919",0,0
RWA,0,,0,0,,0,,0,0,,0,0,,0,0,,,,0,,0,,,,,0,,,0,,,,,0,0,,0,0,,0,0,,,,0,,,11,,0,,,,,,,0,0,0,0,,,,0,0,0,,,,0,0,0,0
SHN,0,,0,0,,0,,0,0,,0,0,,0,0,,,,0,,0,,,,,0,,,0,,,,,0,0,,0,0,,0,0,,,,0,0,,,,0,,,,,,,0,0,0,0,,,,0,0,0,,,,0,0,0,0
SPM,0,,0,0,,0,,0,2,,0,0,,0,0,,,,0,,0,,,,,0,,,0,,,,,0,0,,0,0,,0,0,,,,0,,,,,0,,,,,,,0,0,0,0,,,,0,0,,,,,0,0,0,0
WSM,0,,0,0,,0,,0,0,,0,0,,0,0,,,,0,,0,,,,,0,,,0,,,,,0,0,,0,0,,0,0,,,,0,,,,,0,,,,,,,0,0,0,0,,,,0,0,0,,,,0,0,0,0
SMR,0,,0,0,,0,,0,0,,0,0,,0,0,,,,0,,0,,,,,0,,,0,,,,,0,0,,163,0,,0,0,,,,0,,,,,0,,,,,,,0,0,0,0,,,,0,0,0,,,,10,0,0,0
STP,0,,0,0,,0,,0,0,,0,0,,0,0,,,,0,,0,,,,,0,,,0,,,,,0,0,,0,0,,0,0,,,0,0,,,,,0,,,,,,,0,0,0,0,,,,0,0,0,,,,6,0,0,0
SAU,0,,C,127,,"3,439",,90,1,,0,3,,0,290,18,,,188,,13,705,,,39,165,,0,467,,0,,,66,11,,11,30,40,0,10,"3,221",,77,162,45,,23,,29,,,1,230,,16,0,0,0,0,108,,,10,0,16,,,,"1,112",0,0,0
SEN,0,,0,0,,0,,0,0,,0,0,,0,0,,,,0,,7,,,,10,0,,,0,,,,,0,0,,0,0,,0,0,,,,44,2,,42,,0,,,,,,,0,0,0,0,,,,0,0,1,,,,12,2,0,0
SRB,0,,C,150,,0,,268,0,,6,8,,0,0,,,,0,,0,,75,0,24,"1,509",,502,78,,,,,1,0,,92,74,6,0,0,57,1,,34,,,,,52,,,,,,,0,0,0,6,,2,,0,217,38,,,,17,0,0,0
SYC,0,,0,6,,0,,0,0,3,0,0,8,0,0,,,,0,,5,,,C,6,18,,1,0,,0,,3,0,0,,16,0,,0,0,,,1,0,,,27,,0,,,,,,,0,0,0,18,,,,62,0,28,,0,,30,58,0,0
SLE,0,,0,0,,0,,0,0,,0,0,,0,0,,,,0,,0,,,,,0,,,1,,,,,0,0,,0,0,2,0,0,,,,0,1,,,,82,,,,,,,0,0,0,0,,,,0,0,0,,,,0,0,0,0
SGP,0,1,"2,866",342,60,201,13,300,"1,701",0,0,"3,496",122,43,"8,774",140,,,29,3,771,21,,477,"3,319","3,016",4,12,571,0,6,11,204,"6,168",13,19,642,"11,314",877,5,"1,610",9,1,5,"13,996","2,251",,"9,639",,"5,612",5,68,"1,787",,2,501,254,50,0,1,,0,14,101,"1,031","1,849",572,1,,"20,977","64,710",1,0
SVK,0,,0,"1,353",,0,,204,0,,0,0,,0,C,,,,18,735,52,,4,56,462,"2,497",,0,9,,0,,,264,0,,62,11,,0,0,,,,583,,,,,452,,,55,,,,55,8,0,0,,,,98,9,41,,,,"1,104",70,0,0
SVN,0,,0,661,,0,,718,0,1,3,0,,0,C,,,,32,47,18,,8,44,586,"1,147",,0,8,,0,,,112,0,,154,0,,0,0,,,,660,,,,,158,,,90,,,,C,13,0,0,,6,,22,112,52,45,,,463,352,0,0
SLB,0,,0,0,,0,,0,0,,0,0,,0,0,,,,0,,0,,,,,0,,,0,,,,,0,0,,0,0,,0,0,,,,0,,,,,0,,C,,,,,0,0,0,0,,,,0,0,0,,,,0,0,0,0
SOM,0,,0,0,,0,,0,0,,0,0,,0,0,,,,0,,0,,,,,0,,,0,,,,,0,0,,0,0,,0,0,,,,0,,,,,0,,,,,,,0,0,0,0,,,,0,0,0,,,,0,0,0,0
ZAF,0,1,578,671,,55,2,340,"1,047",1,0,"2,469",30,27,104,0,,,71,2,"1,037",18,2,0,"1,732","4,300",4,9,727,3,0,19,,"2,504",133,8,709,"2,264",134,0,341,,3,3,"11,393",1,,"3,736",,"4,026",4,C,"1,366",,2,48,C,174,0,30,"1,283",1,,49,336,"1,149",104,,,"10,211","53,141",0,0
SSD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
ESP,917,1,"4,974","14,162",13,113,212,"45,593","1,007","2,158",2,"9,706",249,10,"1,244",32,54,7,53,621,"10,128",12,62,"11,263","252,198","268,468",10,"1,799","1,003",18,815,,0,"79,521",18,55,"36,046","33,455","2,697",255,320,,5,2,"118,054",26,264,1,12,"82,625",116,C,"32,074",,20,1,44,"19,657",3,8,"3,549",25,35,,"14,564","9,499",1,1,,"100,205","146,413",7,7
LKA,0,,C,10,,0,,7,94,,0,4,,0,71,,,,0,,23,,,,4,1,,,0,,,10,,38,0,,9,5,,0,0,,0,0,157,1,,44,,7,,,45,20,,,0,0,0,0,471,,,0,4,5,,,,255,285,0,0
KNA,0,,0,0,,0,2,0,0,,0,0,,0,0,,,,0,,0,,,,,13,,,0,,,,,0,0,,19,0,,0,0,,,,0,,,,,0,,,,,,,0,0,0,265,,,,0,0,,,,,0,0,0,0
LCA,0,,0,15,16,0,4,0,0,,0,0,7,0,0,,,,5,,0,,,,21,0,,,0,,,,,4,0,,0,0,,0,0,,,,0,,,,,0,,,,,,,0,0,0,15,,,,0,0,0,,,,0,62,0,0
VCT,0,,0,0,,0,1,0,0,,0,0,,0,0,,,,0,,0,,,,0,0,,,0,,,,,0,0,,0,0,,0,0,,,,0,,,,,0,,,,,,,0,0,0,0,,,,0,0,194,,,,0,0,0,0
SDN,0,,0,0,,1,,0,0,,0,0,,0,0,,,,1,,0,16,,,,0,,,0,,,,,0,1,,0,0,18,0,0,296,,97,0,,,,,0,,,,,,,0,0,0,0,,,,0,0,0,,,,8,0,0,0
SUR,0,,0,0,,0,,0,0,,0,0,,0,0,,,,0,,0,,,,,0,,,0,,,,,0,0,,0,0,,0,0,,,,0,,,,,0,,,,,,,0,0,0,0,,,,0,0,0,,,,0,0,0,0
SWZ,0,,0,0,,0,,0,57,,0,0,,0,0,,,2,0,,0,,,,,0,,,0,,,,,0,0,,0,0,,0,0,,,,0,9,,,,0,0,,,,,,0,0,0,0,,,,0,10,0,,,,0,0,0,0
SWE,4,1,"2,784","2,800",2,135,769,"5,655","2,740",3,2,"5,156",135,4,"2,331",56,103,25,"1,139",101,"25,305",15,104,"33,837","24,018","31,998",18,336,"3,468",4,"1,679",5,0,"27,837","3,446",140,"4,678","26,634","4,430",14,377,14,5,4,"54,518",38,25,34,,"13,852",17,69,"21,004",,3,,"1,149","1,228",0,98,"2,621",1,10,"3,861",,"10,377",99,0,,"37,117","112,057",37,3
CHE,21,7,"5,730","4,198",130,209,516,"7,308","1,671",458,0,"17,045",231,138,"2,407",53,23,,15,43,"7,642",58,19,"3,399","35,822","39,625",16,425,"1,713",60,238,,39,"20,256",113,351,"7,096","17,504","2,264",49,"1,281",97,0,142,"53,650",17,118,257,,"20,576",27,427,"10,934",,97,11,780,905,0,92,"3,350",32,304,"4,887","17,681",,4,5,,"82,930","287,675",9,546
SYR,0,,0,0,,0,,0,0,,0,0,,0,0,,,,0,,0,5,,,,0,,,0,,,,,0,0,,0,0,20,0,0,24,,9,0,,,,,0,,,,,,,0,0,0,0,,,,0,0,0,,,,0,0,0,0
