,ARG,ABW,AUS,AUT,BHS,BHR,BRB,BEL,BMU,BRA,BGR,CAN,CYM,CHL,HKG,MAC,COL,CRI,CYP,CZE,DNK,EGY,EST,FIN,FRA,DEU,GIB,GRC,GGY,HUN,ISL,IND,IDN,IRL,IMN,ISR,ITA,JPN,JEY,KAZ,KOR,KWT,LVA,LBN,LUX,MYS,MLT,MUS,MEX,NLD,ANT,NZL,NOR,PAK,PAN,PHL,POL,PRT,ROU,RUS,SGP,SVK,ZAF,ESP,SWE,CHE,THA,TUR,UKR,GBR,USA,URY,VUT,VEN
SDN,0,,0,0,,,,,0,,0,0,,0,0,,,0,0,,0,13,,,,0,,0,0,,,,,0,0,,,0,,0,0,94,0,9,1,,,,,0,,,0,,,,0,0,0,0,,,,0,,0,0,,,8,,0,,
SUR,0,,0,0,,,,,9,,0,0,,0,0,,,0,0,,0,,,,,0,,0,0,,,,,0,0,,,0,,0,0,,0,,0,,,,,0,,,0,,,,0,0,0,0,,,,0,,0,0,,,0,,0,,
SWZ,0,,0,0,,,,,0,,0,0,,0,0,,,0,0,,2,,,,,0,,0,0,,,,,0,0,,,0,,0,0,,0,,0,,,,,0,,,0,,,,0,0,0,0,,,8,0,,0,0,,,0,,0,,
SWE,7,1,"1,796","2,359",,"4,352",480,"4,581","4,013",3,2,"4,891",278,1,"3,249",44,48,0,759,131,"20,551",13,82,"24,764","22,128","24,495",22,40,"2,135",53,806,,0,"19,316","1,540",165,"4,533","25,214","5,579",29,266,101,3,6,"48,143",4,35,41,1,"13,020",14,C,"15,266",,1,40,857,914,0,50,"1,694",3,6,"4,025",,"8,545",56,0,,"40,367","102,067",31,,
CHE,12,6,"3,820","3,256",51,126,432,"6,374","1,493",261,0,"14,260",129,100,"1,329",65,13,0,41,60,"7,105",40,23,"2,824","37,303","37,999",43,551,"2,272",88,138,,23,"19,979",81,175,"7,725","17,212","3,111",61,"1,077",29,0,278,"47,164",56,130,17,13,"16,935",33,397,"7,819",,28,5,801,590,0,59,"3,112",27,296,"4,274","11,215",,0,24,,"71,254","264,243",30,,13
SYR,0,,0,0,,,,0,0,,0,0,,0,0,,,0,0,,0,8,,,,-4,,0,0,,,,,0,0,,,0,,0,0,24,0,,0,,,,,0,,,0,,,,0,0,0,0,,,,0,,0,0,,,0,,0,,
TWN,16,1,C,261,,,5,148,"1,063",0,0,"3,316",,5,"4,455",17,,0,1,1,935,0,,428,"1,796","1,561",2,0,482,0,0,20,,"3,555",1,10,854,"2,656",302,0,104,,0,0,"14,886",89,,819,,"4,754",1,C,552,,,,C,13,0,0,"5,571",,74,1,"1,042",980,4,,,"25,828","74,448",0,,
TJK,0,,0,0,,,,,0,,0,0,,0,0,,,0,0,,0,,,,,0,,0,0,,,,,0,0,,,0,,0,0,,0,,0,,,,,0,,,0,,,,0,0,0,0,,,,0,,0,0,,,0,,0,,
TZA,0,,0,0,,,,,0,,0,0,,0,0,,,0,0,,0,,,,,0,,0,0,,,,,3,0,,,0,,0,0,,0,,0,,,56,,0,,,0,,,,0,0,0,0,,,,0,0,0,0,,,14,,0,,
THA,0,,392,75,,,0,41,132,0,0,738,7,5,"1,420",14,,0,7,0,236,0,,191,452,684,,1,281,35,1,4,12,"1,050",11,4,333,"1,192",63,0,141,9,0,0,"5,541",53,,276,,905,3,C,181,,,26,0,0,0,0,"5,202",,9,3,77,229,,,,"5,734","13,046",0,,
TLS,0,,0,0,,,,0,0,,0,0,,0,0,,,0,0,,0,,,,,0,,0,0,,,,,0,0,,,0,,0,0,,0,,0,,,,,0,,,0,,,,0,0,0,0,,,,0,,0,0,,,0,,0,,
TGO,0,,0,0,,,,0,0,,0,0,,0,0,,,0,0,,0,,,,,0,,0,0,,,,,0,0,,,0,,0,0,,0,,0,,,42,,0,,,0,,,,0,0,0,0,,,,0,,0,0,,,0,,0,,
TKL,0,,0,0,,,,0,0,,0,0,,0,0,,,0,0,,0,,,,,0,,0,0,,,,,0,0,,,0,,0,0,,0,,0,,,,,0,,,0,,,,0,0,0,0,,,,0,,,0,,,0,,0,,
TON,0,,0,0,,,,,0,,0,0,,0,0,,,0,0,,0,,,,,0,,0,0,,,,,0,0,,,0,,0,0,,0,,0,,,,,0,,,0,,,,0,0,0,0,,,,0,,0,0,,,0,,0,,
TTO,0,,0,3,,,199,0,10,,0,3,25,11,C,,,0,7,,2,,,,,34,,0,0,,,,,14,0,,,123,,0,0,,0,,12,,,,,8,11,,0,,,,0,0,0,0,,,,0,,472,0,,,321,711,0,,
TUN,0,,C,184,,,,10,0,,0,0,,0,1,,,0,147,,25,14,,C,183,618,,0,7,,,,,130,0,,107,792,59,0,1,40,0,0,221,0,,2,,166,,,9,,,,0,8,0,0,,,,7,,10,5,,,232,608,0,,
TUR,0,,C,"1,417",5,"3,884",0,608,5,0,58,420,,10,36,,0,0,-12,90,"1,261",80,9,35,"1,513","3,274",,861,656,1,0,14,,"1,238",0,14,"1,331",988,86,0,8,152,0,1,"9,460",,"5,269",1,,"3,956",3,,381,,19,,307,153,0,44,204,5,,201,707,"2,178",0,,,"20,485","15,284",0,,0
TKM,0,,0,0,,,,0,0,,0,0,,0,0,,,0,0,,0,,,,,0,,0,0,,,,,0,0,,,0,,0,0,,0,,0,,,,,0,,,0,,,,0,0,0,0,,,,0,,0,0,,,0,,0,,
TCA,0,,0,0,,,1,,0,1,0,0,,0,0,,,0,0,0,0,,,,,0,,0,4,0,,,,0,0,,,0,,0,0,,0,,0,,,3,,0,,,0,,6,,0,0,0,0,,,,0,,0,0,,,0,,0,,
TUV,0,,0,0,,,,,0,,0,0,,0,0,,,0,0,,0,,,,,0,,0,0,,,,,0,0,,,0,,0,0,,0,,0,,,,,0,,,0,,,,0,0,0,0,,,,0,,0,0,,,0,,0,,
UGA,0,,0,0,,,,,0,,0,0,,0,1,,,0,0,,0,,,,,0,,0,0,,,,,0,0,,,0,31,0,0,,0,,3,,,6,,0,,,3,,,,0,0,0,0,,,6,0,,0,0,,,0,,0,,
UKR,0,,C,236,,,,23,0,0,3,84,10,0,6,,,0,92,6,244,12,50,0,36,603,,245,94,18,0,,,299,0,,185,188,27,2,0,,4,0,702,,,,,"1,047",0,,4,,0,18,C,17,0,3,,0,,328,57,44,0,0,,"4,003","1,507",1,,
ARE,0,,C,428,,"1,639",,114,28,,0,35,77,0,922,75,,0,"2,461",,17,66,,0,181,763,,8,129,,0,,,"1,069",919,,79,142,51,0,34,"1,529",0,22,975,89,,133,,178,,,424,3,,12,0,0,0,4,763,,1,44,,415,0,,,"4,443",0,0,,
GBR,89,19,"26,681","19,849",,"1,905","2,427","31,010","52,440",170,42,"64,744","3,135",803,"71,975",910,409,61,"3,388","1,469","23,246",229,212,"17,683","250,527","164,896",283,"26,081","25,111",57,"1,890",0,30,"308,536","21,805","1,795","46,040","145,272","85,069","1,582","4,927","1,964",6,341,"195,898","1,023","1,336",444,45,"124,774",793,"2,526","42,874",5,67,588,371,"11,506",244,"1,047","51,486",197,"35,451","65,902","47,764","52,917",430,64,58,,"1,075,579",20,,270
USA,"14,159",282,"129,639","27,100","10,892","10,162","10,494","54,878","282,094","1,284",230,"324,354","59,094","28,124","64,871","1,219","6,496",792,"2,366","1,718","49,459",461,327,"16,456","244,902","270,331",45,"7,190","38,566",918,"3,019",31,109,"395,711","1,956","21,353","103,636","797,608","132,546","9,237","38,176","4,606",12,510,"417,048",823,"1,003",671,"34,355","316,408","5,094","11,259","96,223",0,"2,797","3,091","2,253","9,366",8,"4,684","77,360",581,"14,803","52,164","93,465","119,843",424,903,,"834,510",,999,44,"6,650"
URY,4,,0,126,11,,,14,3,51,0,48,,11,2,,,6,0,0,415,,0,C,56,292,,1,205,,,,,232,0,,114,256,10,0,3,,0,0,792,,,,,287,0,,0,,,,0,18,0,0,,,1,26,,31,0,1,,274,"1,694",,,
PUQ,0,,0,0,,,,0,0,,0,0,,0,0,,,0,0,,0,,,,,0,,0,0,,,,,0,0,,0,0,,0,0,,0,,0,,,,,0,,,0,,,,0,0,0,0,,,,0,,,0,,,0,,0,,
VIR,0,,0,4,,,,,9,2,0,0,,0,0,2,2,0,0,,0,,,1,2,3,,0,32,,,,,13,430,,1,667,,0,0,,0,,47,,,,,8,4,,0,,,,0,0,0,0,,,,0,39,,0,,,120,,0,,
UZB,0,,0,0,,,,,0,,0,0,,0,0,,,0,0,,0,,,,,0,,0,0,,,,,0,0,,,0,,0,0,,0,,0,,,,,0,,,0,,,,0,0,0,0,,,,0,,0,0,,,6,,0,,
VUT,0,,0,0,,,,,0,,0,0,,0,0,,,0,0,,0,,,,,0,,0,0,,,,,0,0,,0,0,,0,0,,0,2,0,,,,,0,,,0,,,,0,0,0,0,,,,0,,0,0,,,0,,0,,
VAT,0,,0,0,,,,0,0,,0,0,,0,0,,,0,0,,0,,,,,3,,0,0,,,,,0,0,,,0,,0,0,,0,,0,,,,,0,,,0,,,,0,0,0,0,,,,0,,0,0,,,0,,0,,
VEN,0,,C,228,,,,35,3,6,0,130,2,1,6,,6,3,45,,887,,,C,"1,271",968,,12,662,0,,,,794,0,,611,537,12,0,8,,0,3,"1,951",0,,,,"1,135",46,,20,,88,6,0,75,0,0,,3,3,125,0,104,0,6,,"2,849","6,096",5,,
VNM,0,,C,17,,,,1,0,,0,16,2,0,278,,,0,55,,60,,,0,16,119,2,0,13,,,,,30,0,,3,37,,0,126,,0,0,90,,,81,,24,,,2,,,,0,0,0,0,275,,,2,3,2,14,,,454,238,0,,
VGB,0,,C,573,,,2,"1,025","2,788",388,0,"1,347",22,0,"8,101",132,,0,82,38,64,,7,139,"6,170",286,20,5,"3,495",1,65,,1,"2,853",100,7,"2,410","1,004",624,1,185,59,0,27,"6,648",16,,293,,470,"4,118",,74,,6,,C,"1,000",0,63,685,,102,466,135,,5,,,"4,167","10,996",0,,
WLF,0,,0,0,,,,,0,,0,0,,0,0,,,0,0,,0,,,,,0,,0,0,,,,,0,0,,,0,,0,0,,0,,0,,,,,0,,,0,,,,0,0,0,0,,,,0,,0,0,,,0,,0,,
PSE,0,,0,0,,,,0,0,,0,0,,0,0,,,0,0,,0,,,,,0,,0,0,,,,,5,0,,,0,,0,0,,0,1,0,,,,,0,,,0,,,,0,0,0,0,,,,0,,0,0,,,0,,0,,
ESH,0,,0,0,,,,,0,,0,0,,0,0,,,0,0,,0,,,,,0,,0,0,,,,,0,0,,,0,,0,0,,0,,0,,,,,0,,,0,,,,0,0,0,0,,,,0,,,0,,,0,,0,,
YEM,0,,0,0,,,,,0,,0,0,,0,C,,,0,0,,0,,,C,,0,,0,0,,,,,0,0,,,0,,0,0,75,0,,0,,,,,0,,,0,,,,0,0,0,0,,,,0,,0,0,,,0,,0,,
ZMB,0,,0,0,,,,,0,,0,0,,0,0,,,0,0,,2,,,,21,0,,0,0,,,,,8,0,,,0,,0,0,,0,,0,,,1,,0,,,0,,,,0,0,0,0,,,5,0,0,0,0,,,20,19,0,,
ZWE,0,,0,0,,,,,0,,0,0,,0,0,,,0,0,,0,,,,0,0,,26,4,,,0,,3,0,,0,0,,0,0,,0,,8,,,1,,0,,,0,,,,0,0,0,0,,,37,0,0,0,0,,,0,203,0,,
