,ARG,ABW,AUS,AUT,BHS,BHR,BRB,BEL,BMU,BRA,BGR,CAN,CYM,CHL,HKG,MAC,COL,CRI,CYP,CZE,DNK,EGY,EST,FIN,FRA,DEU,GIB,GRC,GGY,HUN,ISL,IND,IDN,IRL,IMN,ISR,ITA,JPN,JEY,KAZ,KOR,KWT,LVA,LBN,LUX,MYS,MLT,MUS,MEX,NLD,ANT,NZL,NOR,PAK,PAN,PHL,POL,PRT,ROU,RUS,SGP,SVK,ZAF,ESP,SWE,CHE,THA,TUR,UKR,GBR,USA,URY,VUT,VEN
CAF,0,,0,0,,,,,0,,0,0,,0,0,,,0,0,,0,,,,,0,,0,0,,,,,0,0,,,0,,0,0,,0,,0,,,,,0,,,0,,,,0,0,0,0,,,,0,,0,0,,,0,,0,,
TCD,0,,0,0,,,,,0,,0,0,,0,0,,,0,0,,0,,,,,0,,0,0,,,,,0,0,,,0,,0,0,,0,,0,,,,,0,,,0,,,,0,0,0,0,,,,0,,0,0,,,0,,0,,
CHL,72,,C,51,121,,0,34,"1,747",7,0,130,146,,139,0,1,1,13,0,149,0,,5,176,141,,0,65,,0,2,,309,0,1,173,413,8,0,37,,0,,"1,132",,,73,,536,1,,57,,36,0,0,0,0,0,,1,,218,155,38,6,,,"1,667","12,539",37,,1
HKG,0,2,"4,779",502,10,147,2,428,"6,372",1,0,"5,394",16,14,,"1,948",1,0,2,20,"1,392",1,0,572,"4,136","2,951",6,16,548,22,5,9,26,"10,104",46,133,"1,238","11,723",355,4,"6,095",9,0,1,"19,915",471,,983,,"5,202",10,C,"1,369",0,,237,C,26,0,0,"23,445",1,31,53,"2,055","1,447",114,,,"36,702","87,518",0,,
MAC,0,,0,0,,,,28,0,,0,0,,0,78,,,0,0,,0,,,,,0,,0,1,,,,,0,0,,,3,,0,0,,0,,2,,,,,0,,,0,,,,0,119,0,0,,,,0,,0,0,,,2,,0,,
CHN,32,,621,628,,,3,404,"1,205",1,0,"2,041",36,17,"98,653","1,015",,1,30,40,"1,371",1,0,289,"4,692","3,237",,62,432,43,5,,3,"6,385",41,6,"1,163","10,267",200,1,"3,086",132,0,0,"30,676",13,,"6,148",,"2,922",0,C,940,,0,36,C,15,0,0,"10,347",1,1,39,709,736,12,0,,"17,534","75,314",0,,0
CXQ,0,,0,0,,,,,0,,0,0,,0,0,,,0,0,,0,,,,,0,,0,0,,,,,0,0,,,0,,0,0,,0,,0,,,,,0,,,0,,,,0,0,0,0,,,,0,,,0,,,0,,0,,
CCQ,0,,0,0,,,,0,0,,0,0,,0,0,,,0,0,,0,,,,,0,,0,0,,,,,0,0,,,0,,0,0,,0,,0,,,,,0,,,0,,,,0,0,0,0,,,,0,,,0,,,0,,0,,
COL,2,,C,117,10,,0,48,3,4,0,78,227,120,4,,,12,0,,620,,,0,86,423,,3,49,,,,,760,0,,344,627,16,0,8,,0,0,"1,311",,,,,549,3,,5,,535,,0,37,0,0,,1,,209,136,46,0,1,,"1,133","5,828",1,,2
COM,0,,0,0,,,,,0,,0,0,,0,0,,,0,0,,0,,,,,0,,0,0,,,,,0,0,,,0,,0,0,,0,,0,,,5,,0,,,0,,,,0,0,0,0,,,,0,,0,0,,,0,,0,,
