,ARG,ABW,AUS,AUT,BHS,BHR,BRB,BEL,BMU,BOL,BRA,BGR,CAN,CYM,CHL,HKG,MAC,COL,CRI,CMQ,CYP,CZE,DNK,EGY,EST,FIN,FRA,DEU,GIB,GRC,GGY,HUN,ISL,IND,IDN,IRL,IMN,ISR,ITA,JPN,JEY,KAZ,KOR,KWT,LVA,LBN,LBR,LTU,LUX,MYS,MLT,MUS,MEX,MNG,NLD,NZL,NOR,PAK,PAN,PHL,POL,PRT,ROU,RUS,SAU,SGP,SVK,SVN,ZAF,ESP,SWE,CHE,THA,TUR,UKR,GBR,USA,URY,VEN
SMR,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,0,0,,0,,0,,,0,,0,0,0,,0,0,0,0,,43,0,,0,0,,,0,,0,2,,,0,,,0,,0,,,,0,0,,0,0,,0,0,,,0,0,,0,,0,0,,
STP,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,0,0,,0,,0,,,0,,0,0,0,,0,0,0,0,,,0,,0,0,,,0,,0,0,,,0,,,0,,0,,,,0,0,,0,0,,0,0,,,0,0,,0,,0,0,,
SAU,0,,15,0,,"1,275",0,,0,,0,0,37,,0,47,,0,,1,0,,0,327,0,,"1,905",0,,0,180,0,0,0,9,40,168,,,2,25,0,2,"2,612",,216,,0,11,187,,3,,,0,,0,187,,,0,0,,0,,C,0,0,,,0,51,30,0,,"7,054",,,
SEN,0,,0,1,,73,0,0,0,,0,0,,,0,69,,0,,0,0,,57,,0,C,128,74,,0,15,0,,0,0,110,0,,2,16,28,0,13,,0,0,,0,225,0,,21,,,54,,0,,,,0,0,,0,0,,0,0,15,,0,3,,0,,27,57,,
SRB,0,,C,112,,,0,1,0,,0,2,71,,0,0,,0,,0,28,0,233,,5,29,651,323,,3,22,0,,0,0,28,0,,57,83,5,0,4,22,1,3,,1,"2,816",,,0,,,259,,0,,,,C,0,C,0,52,,3,32,,,28,29,,0,,167,"2,464",,
SYC,0,,0,4,,,0,0,0,,0,0,,3,0,0,,0,,0,0,,10,,0,,0,11,,0,0,0,0,0,0,14,0,,23,0,,0,0,,0,1,,0,14,,,67,,,0,,0,,,,C,0,,1,0,,0,0,,C,0,39,,0,,4,22,,
SLE,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,0,0,,0,,0,,,0,,0,0,0,,0,0,0,0,,,0,,0,0,,,0,,0,0,0,,10,,,3,,0,,,,0,0,,0,0,,0,0,,,7,0,,0,,228,0,,
SGP,0,1,"2,679",232,,44,64,272,"3,049",,8,0,"4,972",3,50,"16,496",627,32,,12,5,1,661,7,0,367,"1,801","2,830",7,1,776,1,2,7,606,"13,348",57,37,211,"14,806",427,763,"1,744",6,11,4,,2,"22,244","20,089",,894,,28,"8,233",C,"4,524",,0,69,C,8,,1,"1,980",,0,5,426,C,"1,404","4,897",498,0,,"21,325","89,055",,
SXM,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,0,0,,0,,0,,,0,,0,0,0,,0,0,0,0,,"1,267",0,,0,0,,,0,,0,0,,,0,,,0,,0,,,,0,0,,0,0,,0,0,,,0,0,,0,,118,0,,
SVK,0,0,C,"5,798",,,0,"3,373",1,,0,56,39,,0,0,33,0,,0,2,"3,594",79,,34,121,"1,535","9,145",,8,4,91,0,0,0,605,0,1,806,306,201,0,75,,15,2,,24,"2,075",,47,0,,,994,,282,,,,42,69,,0,5,,,277,,C,0,"1,547",,0,,202,484,,
SVN,0,1,C,"1,644",,5,0,677,0,,0,159,43,1,0,16,,0,,0,0,215,132,,36,116,"1,921","3,171",,1,0,113,0,0,0,229,0,26,753,173,198,0,25,,54,2,,88,"2,355",,,0,,,331,,386,,,,295,113,33,0,0,C,446,,0,C,8,179,1,0,,705,"4,012",0,
SLB,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,0,0,,0,,0,,,0,,0,0,0,,0,0,0,0,,,0,,0,0,,,0,,0,0,,,0,,,0,,0,,,,0,0,,0,0,,0,0,,,0,0,0,0,,0,0,,
SOM,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,0,0,,0,,0,,,0,,0,0,0,,0,0,0,0,,,0,,0,0,,,0,,0,0,,,0,,,0,,0,,,,0,0,,0,0,,0,0,,,0,0,,0,,0,0,,
ZAF,0,4,"2,685",241,,109,6,275,288,,1,2,"3,959",13,22,61,2,2,0,5,1,2,"1,828",,1,194,"1,120","4,729",5,6,655,4,1,8,0,"8,272",5,64,548,"4,244",133,32,643,,6,68,,0,"16,688",0,2,"1,826",,0,"7,586",C,"5,481",,5,6,2,206,C,3,"1,097",C,1,23,,C,"1,705","2,483",365,0,,"17,703","76,665",2,
SSD,0,,0,0,,,0,,0,,0,0,0,,0,0,,0,,0,0,,0,,0,,,0,,0,,0,,0,0,0,0,,,0,,0,0,,,0,,0,0,,,0,,,0,,0,,,,0,0,,0,0,,0,0,,,0,0,,0,,0,0,,
ESP,152,4,"4,036","11,200",,163,2,"28,926",494,1,519,91,"7,381",15,524,758,50,32,2,404,135,401,"8,568",,66,"6,284","221,805","169,793",28,"3,959",815,7,14,0,3,"65,989",8,192,"55,634","29,124","1,146",127,"1,446",,7,76,,24,"96,916",5,333,3,406,0,"64,480",C,"27,623",,16,1,89,"22,206",67,1,"1,399",C,"3,359",283,88,,"5,926","12,894",33,3,,"69,600","132,955",26,
LKA,0,,C,25,,,0,1,116,,0,0,34,,0,293,,0,,0,0,,196,1,0,22,61,237,,0,18,0,,9,1,86,0,,79,76,2,0,1,,0,0,,0,"2,871",1,,17,,,252,,0,,,,0,0,,0,98,645,0,0,0,C,7,27,0,0,,424,"3,359",,
KNA,0,,0,0,,,0,,0,,2,0,,,0,0,,0,,0,0,,0,,0,,,0,,0,0,0,,0,0,0,0,,0,0,,0,0,,,0,,0,0,,,0,,,0,,0,,,,0,0,,131,0,,0,0,,,0,,,0,,0,0,,
LCA,0,,0,0,,,16,,1,,1,0,,1,0,0,,0,,20,0,,0,,0,,,0,,0,0,0,,0,0,0,0,,,0,,0,0,,,0,,0,0,,,0,,,0,,0,,,,0,0,,0,0,,0,0,,,0,0,,0,,0,14,,
VCT,0,,0,3,,,3,0,3,,0,0,,,0,0,,0,,0,0,,0,,0,,0,0,,0,0,14,,0,0,0,0,,,0,,0,0,,,0,,0,2,,,0,,,0,,0,,,,0,0,,0,0,,0,0,,,0,182,,0,,0,1,,
SDN,0,,0,0,,6,0,,0,,0,0,,,0,0,,0,,0,0,,0,13,0,,,0,,0,5,0,,0,0,0,0,,,0,,0,0,36,,4,,0,0,0,,0,,,0,,4,,,,0,0,,0,0,C,0,0,,,0,0,,0,,0,0,,
SUR,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,1,0,,0,,0,,,0,,0,0,0,,0,0,0,0,,,0,,0,0,,,0,,0,0,,,0,,,0,,0,,,,0,0,,0,0,,0,2,,,0,0,,0,,0,0,,
SWZ,0,,0,0,,1,10,,0,,0,0,,,0,0,,0,,0,0,,0,,0,,,0,,0,0,0,,0,0,0,0,,,0,,0,0,,,1,,0,5,0,,9,,,0,,3,,,,0,0,,0,0,C,0,0,15,,20,0,,0,,3,,,
SWE,0,2,"4,792","5,973",,5,412,"5,338","2,325",0,9,29,"8,720",138,123,"2,046",91,50,19,43,297,201,"18,783",,242,"40,720","51,148","59,264",41,80,"11,893",5,197,0,0,"34,392","2,805",63,"5,428","44,889","7,368",946,"1,055",2,261,4,,90,"90,608",6,198,0,2,,"24,682",C,"44,822",,3,C,676,737,9,0,"1,815",C,"1,159",333,47,"2,383",,"26,676",58,0,,"57,763","164,526",177,
CHE,1,8,"11,028","5,083",519,15,112,"5,064","2,573",0,667,19,"22,797",12,"1,525","1,413",29,3,1,"2,471",27,84,"6,871",38,9,"3,169","28,820","43,711",124,245,"4,783",52,58,15,2,"24,501",401,594,"8,393","25,293","2,090",530,"3,219",155,18,148,,2,"72,542",18,95,36,39,1,"28,353",538,"40,838",,8,10,77,319,3,15,"5,713",C,21,136,665,C,"23,945",,12,4,2,"89,873","442,517",12,754
SYR,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,0,0,,0,1,0,,,0,10,0,0,0,,0,0,14,0,,,0,,0,0,81,,2,,0,0,,,0,,,0,,0,,,,0,0,,0,52,,0,0,,,0,0,,0,,0,0,,
TWN,0,2,C,183,,,3,385,685,,0,0,"5,852",,2,"4,355",2,0,,4,0,2,"1,220",,0,407,"1,931","2,040",,0,296,0,2,8,2,"9,245",1,,451,"2,634",249,0,924,,0,0,,0,"20,493",358,,57,0,0,"7,094",,"7,949",,,C,C,14,,0,"2,197","17,858",0,16,12,C,"1,907","2,409",2,0,,"47,124","98,142",,
TJK,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,0,0,,0,,0,,,0,,0,0,0,,0,0,0,0,,,0,,0,0,,,0,,0,135,,,0,,,3,,0,,,,0,0,,0,0,,0,0,,,0,0,,0,,0,0,,
TZA,0,,0,0,,,0,,236,,0,0,,,0,4,,0,,0,0,0,12,,0,C,1,23,,0,3,0,,0,0,0,0,,4,10,13,0,0,,,0,,0,217,,,4,,,17,,23,,,,0,0,,0,0,,0,0,48,,0,5,,0,,227,196,,
THA,0,1,"1,408",182,,38,0,179,58,,0,0,"2,006",105,1,"1,935",32,0,,1,5,0,890,,0,202,481,"1,711",10,0,183,0,1,22,12,"3,569",36,,173,"4,451",155,0,498,,0,0,,0,"15,474",730,,221,,,"3,855",C,"2,902",,,124,C,10,,0,"1,146","11,546",0,5,5,C,491,999,,0,,"10,190","32,696",0,
TLS,0,,C,0,,,0,,0,,0,0,,,0,0,,0,,0,0,,0,,0,,,0,,0,0,0,,0,0,0,0,,,0,,0,0,,,0,,0,1,,,0,,,0,,0,,,,0,0,,0,0,C,0,0,,,0,0,,0,,0,,,
TGO,0,,0,0,,,0,,0,,0,0,,,0,3,,0,,0,0,,0,,0,C,1,0,,0,0,0,,0,0,7,0,,,0,,0,0,,,0,0,0,82,0,,0,,,0,,0,,,,0,0,,0,0,,0,0,,,0,0,,0,,0,17,,
TKL,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,0,0,,0,,0,,,0,,0,0,0,,0,0,516,0,,,0,,0,0,,,0,,0,0,,,0,,,0,,0,,,,0,0,,0,0,,0,0,,,0,,,0,,0,0,,
TON,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,0,0,,0,,0,,,0,,0,0,0,,0,0,0,0,,,0,,0,0,,,0,,0,0,,,3,,,0,,2,,,,0,0,,0,0,,0,0,,,0,0,,0,,0,0,,
TTO,0,11,0,26,,6,47,,0,,0,0,27,30,4,0,,0,,37,0,,62,,0,C,,154,,0,0,0,,0,0,0,0,,2,134,,0,6,,,0,,0,135,,,0,,,51,,6,,15,,0,0,,0,14,,0,0,,C,0,7,,0,,70,"1,058",0,
TUN,0,,C,58,,54,0,8,0,,0,0,1,,0,5,,0,2,0,11,,11,,0,,461,205,,0,6,0,,0,0,185,0,,95,798,3,0,0,168,0,0,,0,18,0,,0,,,54,,8,,,,0,0,,0,35,,0,0,2,,0,4,,0,,53,563,,
TUR,0,2,762,"1,365",1,"6,565",0,268,219,,0,107,"1,228",81,5,380,2,0,3,16,1,136,"1,672",14,55,628,"2,977","6,152",7,"1,098",578,59,0,0,4,"4,598",0,29,"1,116","5,626","1,566",0,326,"1,767",18,63,,12,"14,818",22,"14,486",137,,0,"4,894",C,"3,378",21,6,C,660,33,119,27,"2,261",C,26,41,4,C,812,"1,753","1,231",,,"19,200","38,597",1,
TKM,0,,0,0,,,1,,0,,0,0,,,0,0,,0,,0,0,,0,,0,,,0,,0,0,0,,0,0,0,0,,,0,,0,0,,,0,,0,0,,,0,,,0,,0,,,,0,0,,0,0,,1,0,,,0,0,,0,,4,0,,
TCA,0,,0,0,,,0,,0,,175,0,,,0,0,,0,,0,0,,0,,0,,4,0,,0,0,0,,0,0,0,0,,2,3,,0,0,,,0,,0,7,,,0,,,0,,0,,0,,0,0,,0,0,,0,0,,,0,51,,0,,0,108,,
TUV,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,0,0,,0,,0,,,0,,0,0,0,,0,0,0,0,,,0,,0,0,,,0,,0,0,,,0,,,0,,0,,,,0,0,,0,0,,0,0,,,0,0,,0,,0,0,,
UGA,0,,0,0,,,0,,0,,0,0,,,0,C,,0,,0,0,,0,,0,C,,0,,0,6,0,,0,0,8,0,,,0,,0,0,,,0,,0,63,,,16,,,1,,21,,,,0,0,,0,0,,0,0,7,,0,0,,0,,57,43,,
UKR,0,0,18,119,,,0,3,141,,2,17,202,,0,11,,0,,5,"1,021",3,449,,4,17,360,325,3,112,255,0,1,0,0,30,0,,182,154,21,2,22,,23,3,,10,"4,037",,,1,,,401,,0,,,,68,0,5,"3,059",245,C,19,0,,C,36,88,0,11,,779,"6,483",,
ARE,0,0,363,236,,"4,088",0,248,"1,301",,0,3,515,3,3,879,142,0,,14,0,1,220,72,17,70,"1,405","1,979",13,10,"1,122",1,0,2,2,"2,555",0,,283,852,944,1,98,"2,550",1,370,,1,"5,660",727,,117,,,"1,004",C,287,83,1,C,C,7,,0,"4,839",C,0,7,1,C,103,"6,281",579,3,,"3,438",,,
GBR,25,28,"61,926","18,342",321,"1,450",538,"34,910","26,317",1,209,"1,435","84,503",333,"4,627","65,569",903,269,85,833,573,587,"29,406",146,124,"22,003","243,002","227,527","1,403","31,966","43,789",113,"1,287",8,257,"380,470","27,182","4,605","65,759","200,072","47,675","3,988","12,045","1,463",217,648,,86,"272,527","2,669","2,634",683,111,7,"135,189","3,450","113,012",13,59,254,382,"10,442",430,241,"12,669","41,304","2,041",605,"71,759",C,"55,266","86,095",414,87,48,,"1,344,095",219,894
USA,"21,874",341,"260,908","27,054","6,803","7,251","10,315","39,354","274,228",452,"10,757",408,"629,974","20,582","57,877","90,160","1,109","15,895",343,"26,339",189,"2,114","97,122","1,353",229,"35,849","241,165","262,827",295,"1,947","39,243","1,267","2,495",597,"1,591","660,607","3,335","60,874","69,221","1,182,322","45,009","38,430","62,640","1,435",625,"1,862",,142,"741,705","17,911",868,"3,744","18,892",25,"381,575","17,268","265,848",3,"5,556","1,869","1,928","9,060",317,707,"56,216","239,602",756,"1,349","29,693","26,685","135,304","203,464","4,416",246,55,"977,038",,"1,412","4,726"
URY,3,0,C,39,11,,0,2,0,,43,0,74,,70,10,,0,7,34,0,,273,,0,46,7,570,,0,83,0,,0,0,25,0,,65,871,10,0,0,,,0,,0,"4,338",,,0,,,447,,31,,,,0,0,,0,114,C,0,0,,C,2,62,1,0,,461,"3,168",,
PUQ,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,0,0,,0,,0,,,0,,0,0,0,,0,0,0,0,,,0,,0,0,,,0,,0,18,,,0,,,0,,2,,,,0,0,,0,0,,0,0,,,0,0,,0,,0,,,
VIR,0,,0,0,,2,0,0,2,,10,0,,1,1,83,,0,,0,0,,1,,0,C,1,0,,0,0,0,,0,0,141,0,21,0,546,,0,0,,,0,,0,5,32,,17,,,0,,0,,,,0,0,,0,0,C,0,0,6,,17,,,0,,79,,0,
UZB,0,,C,0,,,0,,0,,0,0,,,0,0,,0,,0,0,,0,,0,,,0,,0,0,0,,0,0,4,0,,,0,,0,3,,,0,,0,3,,,0,,,0,,0,,,,0,0,,0,0,,0,0,,,0,0,,0,,0,0,,
VUT,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,0,0,,0,,0,,,0,,0,0,0,,0,0,0,0,,,0,,0,0,,,0,,0,0,,,0,,,0,,0,,,,0,0,,0,0,,0,0,,,0,0,,0,,0,0,,
VAT,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,0,0,,0,,0,,,0,,0,0,0,,0,0,0,0,,,0,,0,0,,,0,,0,0,,,0,,,0,,0,,,,0,0,,0,0,,0,0,,,0,0,,0,,0,0,,
VEN,0,2,C,163,,0,23,24,0,1,3,0,215,50,2,24,,0,2,"25,337",0,0,835,,1,27,535,"1,317",,12,116,0,,0,0,65,1,1,"1,531",409,"1,340",0,83,,7,61,,2,"2,938",,,0,,,"1,185",,0,3,209,,C,69,C,0,342,134,2,1,,C,2,847,4,12,,"1,364","9,902",47,
VNM,0,,C,12,,,0,17,0,,0,0,31,,0,636,,0,,0,0,0,110,,0,135,92,165,,0,53,0,,0,1,143,0,,29,193,2,0,305,,3,0,,0,"1,079",27,,0,,,112,,104,,,,C,0,,0,28,571,0,0,,C,5,32,8,0,,925,"2,093",,
VGB,0,1,840,364,,43,265,464,"3,127",,461,0,"2,226",266,"1,123","10,074",788,1,0,"3,717",52,8,338,,15,641,"1,775","2,544",56,7,"1,926",3,0,1,97,"2,109","2,135",8,671,"3,664","2,134",12,291,10,4,3,,3,"12,658",775,,326,,,"1,676",,751,11,10,183,17,105,C,86,37,"3,315",5,2,"1,491",C,155,,92,0,,"5,609","61,698",5,
WLF,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,0,0,,0,,0,,,0,,0,0,0,,0,0,0,0,,,0,,0,0,,,0,,0,0,,,0,,,0,,0,,,,0,0,,0,0,,0,0,,,0,0,,0,,0,,,
PSE,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,0,0,,0,,0,,,0,,0,0,0,,0,0,11,0,,,0,18,0,0,,,0,,0,69,,,0,,,0,,0,,,,0,0,,0,0,,0,0,,,0,0,,0,,0,0,,
ESH,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,0,0,,0,,0,,,0,,0,0,0,,0,0,0,0,,,0,,0,0,,,0,,0,0,,,0,,,0,,0,,,,0,0,,0,0,,0,0,,,0,,,0,,0,0,,
YEM,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,0,0,,0,0,0,,,0,,0,0,0,,0,0,0,0,,,0,,0,0,8,,0,,0,0,,,0,,,0,,0,,,,0,0,,0,0,,0,0,,,0,0,,0,,3,0,,
ZMB,0,,C,4,,,0,0,0,,0,0,,,0,0,,0,,0,0,,26,,0,3,21,61,,0,13,0,,0,0,18,0,,14,6,,0,0,,0,0,,0,145,,,9,,,46,,4,,,,0,0,,0,0,,0,0,46,,0,3,,0,,460,143,,
ZWE,0,,C,0,,,0,0,77,,0,0,1,,0,0,,0,,0,1,,9,,0,,0,3,,0,74,0,,0,0,92,2,,,0,,0,0,,,0,,0,115,,,42,,,0,,10,,,,0,0,,0,0,,0,0,106,,0,11,,0,,2,170,,
