,ARG,ABW,AUS,AUT,BHS,BHR,BRB,BEL,BMU,BOL,BRA,BGR,CAN,CYM,CHL,HKG,MAC,COL,CRI,CMQ,CYP,CZE,DNK,EGY,EST,FIN,FRA,DEU,GIB,GRC,GGY,HUN,ISL,IND,IDN,IRL,IMN,ISR,ITA,JPN,JEY,KAZ,KOR,KWT,LVA,LBN,LBR,LTU,LUX,MYS,MLT,MUS,MEX,MNG,NLD,NZL,NOR,PAK,PAN,PHL,POL,PRT,ROU,RUS,SAU,SGP,SVK,SVN,ZAF,ESP,SWE,CHE,THA,TUR,UKR,GBR,USA,URY,VEN
IOQ,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,0,0,,0,,0,,,0,,0,0,0,,0,0,0,0,,,0,,0,0,,,0,,0,0,,,0,,,0,,88,,,,0,0,,0,0,,0,0,,,0,0,,0,,0,16,,
BRN,0,,0,0,,,0,,0,,1,0,,,0,0,,0,,0,0,,0,,0,,23,0,,0,0,0,,0,0,0,0,,,0,,0,0,,,0,,0,0,0,,0,,,0,,0,,,,0,0,,0,0,C,0,0,,C,0,0,,0,,2,0,,
BGR,0,,0,399,,27,0,43,0,,0,,2,,0,0,,0,,0,34,6,64,,15,26,455,454,,281,75,17,0,0,0,3,0,,52,8,2,0,0,,17,0,,8,392,0,,0,,0,210,,0,,,,16,0,39,0,0,C,35,3,,C,3,24,,0,,915,173,0,
BFA,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,0,0,,0,,0,,22,0,,0,0,0,,0,0,0,0,,,0,,0,0,,,0,,0,0,,,0,,,0,,0,,,,0,0,,0,0,,0,0,,,0,0,,0,,0,1,,
BDI,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,0,0,0,11,,0,,10,4,,0,0,0,,0,0,0,0,,18,0,,0,0,,,0,,0,69,,,0,,,0,,0,,,,0,0,,0,0,,0,0,,C,0,0,,0,,3,0,,
KHM,0,,0,1,,,0,,0,,0,0,,,0,3,,0,,0,0,,0,,0,,,0,7,0,2,0,,0,0,0,0,,,0,,0,1,,,0,,0,324,0,,0,,,7,,4,,,,0,0,,0,0,,0,0,,,0,0,1,0,,7,0,,
CMR,0,,0,0,,,0,0,0,,0,0,,,0,0,,0,,0,0,,0,,0,,403,15,,0,0,0,,0,0,0,0,,,0,,0,0,,,0,,0,15,0,,4,,,0,,0,,,,C,0,,0,0,,0,0,,,0,0,,0,,85,2,,
CAN,2,6,"17,396","1,978",2,51,"2,168","3,072","10,866",0,39,2,,266,"1,007","10,252",201,379,63,123,25,40,"3,180",,8,"1,517","15,054","25,500",48,97,"2,815",38,298,1,1,"24,413",191,119,"2,800","55,465","1,135","2,019","2,689",38,258,34,,3,"46,731",23,,97,28,2,"14,623",947,"27,007",,73,15,93,243,15,537,"3,739","12,618",128,50,525,C,"8,654","30,828",119,3,,"48,593","825,947",147,
CPV,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,0,0,,0,,0,,,0,2,0,0,0,,0,0,0,0,,,0,,0,0,,,0,,0,0,,,1,,,0,,0,,,,0,80,,0,0,,0,0,,,0,0,,0,,0,0,,
CYM,0,5,C,"3,704",302,"1,119","1,217","2,510","20,070",,"1,846",2,"18,753",,876,"256,704","2,221",257,17,"27,558",111,31,"9,254",322,39,"12,131","20,535","26,039",130,392,"15,758",16,28,0,503,"32,886","1,964",185,"4,052","530,230","7,526",32,"4,913","1,574",17,149,,5,"76,392","1,151",,298,94,,"22,002",C,"7,272",13,171,292,11,"3,303",0,27,"1,307","10,867",75,26,395,C,"10,623","41,560",729,302,,"98,022","901,140",106,
CAF,0,,C,0,,,0,,0,,0,0,,,0,0,,0,,0,0,,0,,0,,0,0,,0,0,0,,0,0,0,0,,,0,,0,0,,,0,,0,0,,,0,,,0,,0,,,,0,0,,0,0,,0,0,,,0,0,,0,,0,0,,
TCD,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,0,0,0,0,,0,,,0,,0,0,0,,0,0,0,0,,,0,,0,0,,,0,,0,0,,,0,,,0,,0,,,,0,0,,0,0,,0,0,,,0,0,,0,,0,0,,
CHL,4,1,436,98,12,161,11,92,775,11,345,0,"1,069",99,,429,16,"1,630",1,52,0,1,486,,0,80,586,"1,769",38,0,155,0,0,1,0,"1,000",0,1,139,"1,057",181,0,216,,1,2,,4,"5,152",0,,0,4,,"1,601",C,"1,582",0,207,C,C,0,,0,408,C,1,4,0,C,302,"2,313",61,0,,"5,494","26,635",90,1
HKG,0,3,"7,788",519,,158,138,469,855,,8,15,"8,318",130,52,,"14,493",0,0,21,3,20,"2,116",,1,702,"15,553","4,006",7,6,683,6,14,51,355,"14,192",404,206,611,"16,366",547,"1,121","8,055",27,3,5,,0,"36,881","3,250",,342,7,275,"11,056",358,"6,995",,7,214,1,28,,1,"3,819","36,730",0,50,53,C,"4,047","4,963","3,720",1,,"53,972","140,162",0,
MAC,0,,C,0,5,,0,,0,,0,0,,,0,792,,0,,0,0,0,0,,0,,,0,3,0,0,0,,0,0,0,1,,,0,,6,155,,,0,,0,51,,,0,,,0,,0,,,,0,337,,0,0,C,0,0,,,23,1,328,0,,150,0,,
CHN,25,2,"4,785",439,,144,0,549,"1,650",,1,0,"12,695",24,42,"356,423","22,324",0,5,12,0,19,"1,364",4,6,661,"12,246","4,546",2,4,"2,574",1,7,1,"1,073","14,828",232,47,777,"10,366",585,58,"7,881",100,3,3,,1,"37,159",675,,"2,895",3,2,"9,468",,"10,155",1,3,207,1,29,,3,"3,577","71,448",0,110,196,C,"2,158","2,865",619,0,,"50,311","103,327",1,
CXQ,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,0,0,,0,,0,,,0,,0,0,0,,0,0,0,0,,,0,,0,0,,,0,,0,0,,,0,,,0,,0,,,,0,0,,0,0,,0,0,,C,0,,,0,,0,,,
CCQ,0,,0,0,,,0,,0,,0,0,,,0,0,,0,0,0,0,,0,,0,,,0,,0,0,0,,0,0,0,0,,,0,,0,2,,,0,,0,0,,,0,,,0,,0,,,,0,0,,0,0,,0,0,,,0,,,0,,0,,,
COL,0,1,187,70,22,13,64,73,"1,022",11,6,0,551,287,516,7,,,18,46,0,0,715,,0,54,363,"2,022",,0,180,0,,0,0,983,0,,228,"1,314",153,1,92,,1,0,,0,"4,863",0,,15,,,"1,876",,850,,806,C,0,0,,0,386,C,1,1,,C,130,544,2,0,,"5,260","19,656",134,3
COM,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,0,0,,0,,0,,,0,,0,0,0,,0,0,0,0,,,0,,0,0,,,0,,0,0,,,0,,,0,,0,,,,0,0,,0,0,,0,0,,,0,0,,0,,0,0,,
COD,0,,0,0,,,0,8,0,,0,0,,,0,0,,0,,0,0,,0,,0,,281,0,,0,1,0,,0,0,0,0,,,0,,0,0,,,0,,0,13,,,3,,,0,,0,,,,0,0,,0,0,,0,0,,,0,0,,0,,41,0,,
COG,0,,0,0,,,0,3,0,,0,0,,,0,0,,0,,0,0,,6,,0,,29,7,,0,0,0,,0,0,0,0,,0,3,,0,0,,,0,,0,31,,,0,,,7,,0,,,,0,0,,0,0,,0,0,,,0,0,,0,,74,252,,
COK,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,0,0,,0,,0,,0,0,,0,0,0,,0,0,0,2,,,0,,0,0,,,0,,0,0,,,0,,,0,,0,,,,0,0,,0,0,17,0,0,,,0,,,0,,0,1,,
CRI,0,,C,12,23,,11,0,28,,1,0,25,21,9,0,,10,,42,0,1,121,,0,15,8,309,,0,20,0,,0,0,18,0,,35,46,104,0,4,,,0,,0,761,,,0,,,237,,12,0,205,,0,0,,0,56,C,0,0,,C,0,22,0,0,,47,"1,432",0,
CIV,0,,C,8,,23,0,0,0,,0,0,20,,0,264,,0,2,0,0,,121,,0,C,167,97,,0,53,0,,0,0,1,0,,5,55,12,0,0,,,1,,0,687,0,,21,,,79,,0,,,,0,0,,0,21,C,0,0,29,,1,37,,0,,257,789,,
HRV,0,0,C,823,,,0,41,23,,0,243,69,4,0,0,,0,,0,-2,14,495,,13,76,"1,637","1,481",2,19,66,46,0,0,0,232,0,,490,115,152,0,3,,33,10,,46,"2,487",,4,1,,0,622,,69,,,,33,0,52,0,104,C,173,48,,C,3,138,,0,,430,"2,763",0,
CUB,0,,C,0,,,0,,0,,0,0,,,0,0,,0,,0,0,,0,,0,,0,0,,0,8,0,0,0,0,0,0,,,0,,0,0,,,0,,0,0,,,0,,,0,,0,,,,0,0,,0,0,,0,0,,,0,0,,0,,2,0,,10
CUW,0,5,0,561,,,10,"1,738",74,,0,11,"1,838",8,1,16,2,0,0,0,9,305,379,,1,67,"31,213","1,862",2,7,6,74,,0,0,"1,411",0,,625,"7,038",26,77,0,,1,2,,3,"4,459",0,,0,,,"1,409",,950,,,,C,82,C,1,0,12,39,49,,934,126,"4,608",,0,,125,"86,090",,
CYP,0,0,27,221,,,0,325,0,,1,0,69,4,0,21,,0,,0,,72,154,,32,98,403,266,3,146,"2,800",4,0,5,0,102,1,,67,81,56,24,18,,14,1,,7,"2,814",33,,36,,,258,,472,,,,135,8,32,"2,917",0,9,125,2,0,C,201,138,,0,66,931,"3,297",0,
CZE,0,1,177,"4,002",,,2,"2,102",0,,0,472,155,,1,42,,0,,0,7,,167,,41,148,"3,423","8,396",3,7,101,51,1,0,0,998,0,1,"1,105",941,609,15,39,,17,0,,71,"3,328",0,30,0,,0,"1,811",,"1,219",,,,879,17,10,0,17,C,"1,337",194,1,C,65,"1,199",1,0,,"6,672","3,517",0,
DNK,0,2,"1,528","2,884",,38,75,"2,613",269,1,"1,698",35,"3,827",5,82,551,48,1,,33,16,17,,,97,"30,310","18,616","34,966",226,19,"9,013",7,79,0,0,"6,799",477,65,"2,773","9,641","1,749",849,423,10,37,6,,127,"22,263",9,25,275,,3,"10,283",153,"24,516",,1,C,13,453,,0,959,C,329,56,34,C,"23,626","10,343",5,1,,"24,796","61,460",1,
DJI,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,0,0,,0,,0,,,0,,0,0,0,,0,0,0,0,,,0,,0,0,,,0,,0,0,,,0,,,0,,0,,,,0,0,,0,0,,0,0,,,0,0,,0,,0,0,,
DMA,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,0,0,,0,,0,,,0,,0,0,0,,0,0,0,0,,,0,,0,0,,,0,,0,4,,,0,,,0,,0,,,,0,0,,0,0,,0,0,,,0,0,,0,,0,,,
DOM,0,0,C,17,,,0,2,0,,0,0,78,6,0,2,,0,0,43,0,,159,,0,12,21,234,,0,21,0,,0,0,4,0,,49,65,115,0,0,,0,0,,0,906,,,0,,,301,,0,,60,,0,0,,1,108,,0,0,,C,0,30,,0,,84,"1,636",0,
ECU,0,,0,4,,,0,0,0,,1,0,,,30,10,,0,0,0,0,0,12,,0,C,10,6,,0,5,0,,0,0,0,0,,6,4,,0,0,,0,0,,0,266,0,,0,,,39,,0,,18,,0,0,,0,6,C,0,0,,,0,3,,1,,-1,335,2,
EGY,0,,90,10,,517,0,1,540,,0,0,95,,1,14,,0,,0,26,0,123,,0,16,439,29,,0,196,1,,0,1,310,0,,39,29,79,0,13,463,0,8,,0,617,2,,1,,,110,,444,,8,,C,7,,5,75,C,0,0,152,,26,60,5,1,,"1,722","3,395",,
SLV,0,0,C,11,16,,0,0,0,,0,0,25,16,0,0,,15,16,41,0,,114,,0,8,21,297,,0,26,0,,0,0,4,0,,53,69,119,0,0,,,0,,0,443,,,0,,,204,,0,,80,,0,0,,0,61,C,0,0,,C,1,12,,0,,90,941,0,
GNQ,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,0,0,,0,,0,,,0,,0,0,0,8,0,0,0,0,,,0,,0,0,,,0,,0,0,,,0,,,0,,0,,,,0,0,,0,0,,0,0,,,0,0,,0,,0,0,,
ERI,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,0,0,,0,,0,,,0,,0,0,0,,0,0,4,0,,,0,,0,0,,,0,,0,0,0,,0,,,0,,0,,,,0,0,,0,0,,0,0,,,0,0,,0,,0,0,,
EST,0,,C,54,,,0,8,0,,0,0,,,2,0,,0,,0,0,11,57,,,385,137,161,3,0,2,0,0,0,0,219,0,,3,1,,0,0,,113,0,,165,404,,,0,,,55,,46,,,,33,0,,0,0,,67,30,,,84,88,,0,,20,150,,
ETH,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,0,0,,1,41,0,,,0,,0,0,0,,0,0,0,0,,,0,,0,0,,,0,,0,0,,,19,,,0,,0,,,,0,0,,0,0,,0,0,,,0,0,,0,,0,0,,
FLK,0,,0,0,,,0,0,0,,0,0,,,0,0,,0,,0,0,0,0,,0,,0,12,,0,0,0,,0,0,0,0,,0,0,,0,0,,0,0,,0,1,0,,0,,,1,,0,,,,C,0,,0,0,C,0,0,,C,0,1,,0,,8,18,,
FRO,0,,0,0,,,0,1,0,,0,0,,,0,0,,0,,0,0,,869,,0,C,15,10,,0,2,0,39,0,0,32,0,,0,0,,0,0,,0,0,,0,81,,,0,,,1,,22,,,,0,0,,0,0,C,0,0,,C,21,3,,0,,7,58,,
FJI,0,,C,0,,,0,,0,,0,0,,,0,0,,0,,0,0,,0,,0,,,0,,0,0,0,,0,0,0,0,,0,0,,0,0,,0,0,,0,166,,,0,,,0,C,0,,,,0,0,,0,0,C,0,0,,,0,0,,0,,6,11,,
FIN,0,1,"2,430","5,476",,1,1,"4,515","1,243",,3,14,"2,029",1,91,934,5,59,0,11,2,50,"8,864",,484,,"20,812","40,141",21,119,"2,866",3,23,0,0,"14,574",223,51,"2,717","10,877","1,046",224,340,0,170,3,,95,"21,068",0,52,1,,0,"24,086",153,"15,868",,0,C,C,846,6,1,671,C,724,136,7,"1,284","24,781","9,181",6,0,,"22,352","38,112",53,
FRA,1,13,"20,185","32,863",74,528,348,"137,196","11,026",8,153,204,"34,866",520,909,"9,316",300,319,13,"1,162","1,072","1,347","17,151",54,844,"22,196",,"405,224",219,"3,930","5,257",154,657,1,5,"145,050",328,"2,240","151,473","239,568","6,604","3,461","8,407",123,244,558,,576,"329,579",121,"1,513",139,48,1,"207,414",C,"64,134",9,19,148,448,"11,679",42,193,"9,711",C,"2,673","2,178",264,"50,514","17,824","101,468",296,6,,"308,756","460,843",151,6
TFQ,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,0,0,,0,,0,,,0,,0,0,0,,0,0,0,0,,,0,,0,0,,,0,,0,0,,,0,,,0,,0,,,,0,0,,0,0,,0,0,,,0,,,0,,0,,,
PYF,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,0,0,,0,,0,,81,0,,0,0,0,,0,0,0,0,,,0,,0,0,,,0,,0,0,,,0,,,0,,0,,,,0,0,,0,0,,0,0,,,0,0,,0,,0,0,,
NCL,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,0,0,,0,,0,,119,0,,0,0,0,,0,0,0,0,,,0,,0,0,,,0,,0,0,,,0,,,0,,0,,,,0,0,,0,0,C,0,0,,,0,0,,0,,0,0,,
GAB,0,,0,6,,,0,4,0,,0,0,8,,0,0,,0,,0,0,,55,,0,2,"1,460",160,,0,0,0,,0,0,8,0,,7,6,2,0,0,,0,0,,0,267,,,0,,,116,,0,,,,0,0,,0,36,C,0,0,,C,0,48,,0,,47,,,
GMB,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,0,0,,0,,0,,,0,,0,0,0,,0,0,0,0,,,0,,0,0,,,0,,0,22,1,,0,,,0,,0,,,,0,0,,0,0,,0,0,,,0,0,0,0,,2,0,,
GEO,0,,0,12,,,0,,0,,0,0,19,,0,0,,0,,0,0,2,127,,2,7,8,94,,0,21,0,,0,0,0,0,314,20,8,,1,3,,3,0,,8,626,0,,1,,,127,,0,,,,0,0,,0,181,C,0,1,0,,51,13,,0,,328,403,,
DEU,39,3,"33,266","68,459",57,386,253,"53,260","9,254",2,187,539,"31,183",570,"4,652","11,519",345,510,40,147,268,878,"57,916",70,761,"36,200","243,211",,369,"2,310","7,131",535,898,2,7,"125,163",295,"2,728","79,769","188,026","17,408","4,242","3,968",104,483,55,,366,"348,187",326,903,27,66,1,"263,488","1,517","80,798",,15,237,942,"9,684",161,541,"9,850","27,033","1,232","2,705",788,"29,050","39,207","96,824",177,43,,"286,754","386,325",65,650
GHA,0,0,C,39,,,0,1,0,,0,0,,,0,35,,0,,0,0,,85,0,0,15,22,59,,0,15,0,,0,0,29,0,,9,6,5,0,0,,0,2,,0,"1,732",,,157,,,131,,43,,,,0,0,,0,63,C,0,0,45,,1,8,,0,,"1,095",840,,
GIB,0,,C,207,,,16,1,3,,85,0,1,,0,0,,0,,0,0,0,136,,0,C,74,43,,0,141,0,,0,0,37,1,,95,5,,0,1,,0,0,,0,48,,,0,,,3,,66,,,,0,0,C,0,0,C,0,9,,C,47,99,,0,,240,471,,
GRC,0,0,141,"1,574",,1,1,"2,047",616,,0,282,379,,1,11,,0,0,0,"2,310",5,139,,3,166,"9,498","9,365",2,,50,5,0,0,0,"1,160",2,22,"4,679",111,"1,205",0,7,,1,19,,7,"2,542",0,47,0,0,0,"2,922",,659,,0,,C,"2,840",17,8,26,C,172,208,7,C,91,384,2,27,,"7,964","7,101",0,
GRL,0,,0,0,,,0,0,0,,0,0,,,0,0,,0,,0,0,,87,,0,,,0,,0,0,0,,0,0,0,0,,,0,,0,0,,,0,,0,3,,,0,,,0,,3,,,,0,0,,0,0,,0,0,,,0,0,,0,,0,0,,
GRD,0,,0,0,,,2,0,0,,0,0,,,0,0,,0,,0,0,,4,,0,,0,1,,0,0,0,,0,0,0,1,,0,0,,0,0,,,0,,0,0,,,0,,,0,,0,,,,0,0,,0,0,,0,0,,,0,0,,0,,0,20,,
GLP,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,0,0,,0,,0,,,0,,0,0,0,,0,0,0,0,,,0,,0,0,,,0,,0,10,,,0,,,0,,0,,,,0,0,,0,0,,0,0,,,0,,,0,,8,20,,
