,ARG,ABW,AUS,AUT,BHS,BHR,BRB,BEL,BMU,BRA,BGR,CAN,CYM,CHL,HKG,MAC,COL,CRI,CYP,CZE,DNK,EGY,EST,FIN,FRA,DEU,GIB,GRC,GGY,HUN,ISL,IND,IDN,IRL,IMN,ISR,ITA,JPN,JEY,KAZ,KOR,KWT,LVA,LBN,LTU,LUX,MYS,MLT,MUS,MEX,NLD,ANT,NZL,NOR,PAK,PAN,PHL,POL,PRT,ROU,RUS,SGP,SVK,SVN,ZAF,ESP,SWE,CHE,THA,TUR,UKR,GBR,USA,URY,VEN
PYF,0,,0,3,,,0,0,0,,0,,,0,0,,,,0,,0,0,,0,26,0,2,,0,0,,,0,0,0,,,0,,0,0,,,,0,0,,,0,,0,,0,,,0,,0,0,,0,C,,0,,0,0,0,0,0,,0,0,0,0
NCL,0,,0,0,,,0,0,0,,0,,,0,0,,,,0,,0,0,,0,1,0,,,0,0,,,0,0,0,,,0,,0,0,,,,0,0,,,0,,0,,0,,,0,,0,0,,0,C,,0,,0,0,0,0,0,,0,0,0,0
GAB,0,,0,4,,,0,2,0,0,0,,,0,0,,,,0,,45,0,,0,152,66,,,0,0,,,0,48,0,,8,33,,0,0,,,0,0,110,,,2,,76,,0,,,0,,0,0,,0,C,,0,,0,0,21,0,0,,-6,0,0,0
GMB,0,,0,0,,,0,0,0,,0,,,0,0,,,,0,,0,0,,0,,0,,,0,0,,,0,0,0,,,0,,0,0,,,,0,0,,,0,,0,,0,,,0,,0,0,,0,,,0,,0,0,0,0,0,,0,0,0,0
GEO,0,,0,9,,,0,0,0,,0,,4,0,0,,,,0,,32,0,1,23,1,14,,4,42,0,,,0,14,0,,2,11,19,0,7,,0,0,3,87,2,,3,,39,1,0,0,,0,,7,0,,0,C,,0,,0,27,4,0,0,,31,117,0,0
DEU,213,3,"17,430","78,632",,"1,176",451,"55,004","12,321",51,504,"20,776",412,"5,620","12,010",294,385,76,"1,512","1,424","48,665",63,359,"27,755","337,545",,141,"2,406","7,072","1,021",150,3,24,"133,081",265,"1,369","111,693","202,672","14,974","1,789","1,171",226,226,33,569,"359,597",286,"1,401",120,35,"173,506","1,597",607,"57,600",,12,13,"2,390","15,504",89,976,C,"1,248","3,061",161,"60,960","25,753","105,532",222,223,,"250,641","289,476",57,0
GHA,0,,C,6,,,0,0,0,,0,,,0,17,,,,0,,29,0,,C,3,19,,,45,0,,0,0,22,0,,3,54,5,0,0,,,0,0,110,,,114,,43,5,0,9,,0,,0,0,,0,,,0,14,0,0,4,0,0,,135,229,0,0
GIB,0,,0,105,,,0,1,9,561,0,,25,0,C,,,,0,58,1,0,,0,92,56,,,0,26,,,0,73,0,,0,0,2,0,7,,,,0,39,,,0,,12,,0,25,,0,,0,88,,82,C,,0,,C,4,72,0,0,,"1,159",104,0,0
GRC,0,0,402,"6,997",,19,0,"18,797",631,0,38,740,29,8,120,7,,1,"13,010","1,289","3,097",0,75,"3,913","82,475","39,493",39,,165,26,1,,0,"11,783",25,6,"17,820","9,114",692,263,40,0,7,3,68,"19,841",3,879,0,,"22,109",2,1,"3,221",,0,25,96,"6,506",7,2,"1,023",112,622,6,"8,772","1,171","3,278",7,45,,"3,661","11,474",0,0
GRL,0,,0,0,,,0,0,0,,0,,,0,0,,,,0,,40,0,,0,,0,,,0,0,,,0,0,0,,,0,,0,0,,,,0,0,,,0,,0,,0,,,0,,0,0,,0,,,0,,0,0,0,0,0,,0,0,0,0
GRD,0,,0,0,,,3,2,0,,0,,2,0,0,,,0,0,,0,0,,0,11,0,,,0,0,,,0,4,0,,0,0,,0,0,,,,0,0,,,0,,1,,0,0,,0,,0,0,,0,,,2,,0,0,1,0,0,,2,10,0,0
GLP,0,,0,0,,,0,0,0,,0,,,0,0,,,,0,,0,0,,0,,0,,,0,0,,,0,4,0,,,0,,0,0,,,,0,0,,,0,,0,,0,,,0,,0,0,,0,,,0,,0,0,,0,0,,0,0,0,0
GUM,0,,0,0,,23,0,0,0,,0,,,0,0,,,0,0,,0,0,,0,,0,,,33,0,,,0,0,3,,,0,,0,0,,,,0,0,,,0,,0,,0,,,0,,0,0,,0,,,0,,0,0,,0,0,,0,0,0,0
GTM,0,,0,1,282,,71,0,0,0,0,,,0,2,,,34,0,,8,0,,0,8,12,,,0,0,,,0,12,0,,2,0,,0,0,,,,0,21,,,1,,1,,0,,,107,,0,0,,0,,,0,,0,0,1,0,0,,-6,48,0,0
GGY,0,,C,916,21,58,14,663,1,9,11,660,,0,178,4,,,40,31,689,0,,"1,531","5,951","5,127",,128,,31,40,,0,951,"1,153",,"1,664","4,986",220,1,18,,3,1,15,"3,196",,8,13,,"3,246",186,0,555,,0,,1,255,,0,144,,0,"1,787",764,312,"9,231",16,0,,"9,785","12,271",0,0
GUF,0,,0,0,,,0,0,0,,0,,,0,0,,,,0,,0,0,,0,,0,,,0,0,,,0,0,0,,,0,,0,0,,,,0,0,,,0,,0,,0,,,0,,0,0,,0,,,0,,0,0,,0,0,,0,0,0,0
GIN,0,,0,0,,,0,0,0,,0,,,0,0,,,,0,,0,0,,0,,0,,,0,0,,,0,0,0,,,0,6,0,0,,,,0,0,,,0,,0,,0,,,0,,0,0,,0,,,0,,0,0,0,0,0,,0,2,0,0
GNB,0,,0,0,,,0,0,0,,0,,,0,0,,,,0,,0,0,,0,,0,,,0,0,,,0,0,0,,,0,,0,0,,,,0,0,0,,0,,0,,0,,,0,,0,0,,0,,,0,,0,0,0,0,0,,0,0,0,0
GUY,0,,0,0,,,0,0,0,,0,,,0,0,,,,0,,0,0,,0,,0,2,,0,0,,,0,0,0,,,0,,0,0,,,,0,0,,,0,,0,,0,,,0,,0,0,,0,,,0,,0,0,0,0,0,,114,0,0,0
HTI,0,,0,0,,,0,0,0,,0,,,0,0,,,,0,,0,0,,0,,0,,,0,0,,,0,0,0,,,0,,0,0,,,,0,0,,,0,,0,,0,,,0,,0,0,,0,,,0,,0,0,0,0,0,,0,0,0,0
