,ARG,ABW,AUS,AUT,BHS,BHR,BRB,BEL,BMU,BRA,BGR,CAN,CYM,CHL,HKG,MAC,COL,CRI,CYP,CZE,DNK,EGY,EST,FIN,FRA,DEU,GIB,GRC,GGY,HUN,ISL,IND,IDN,IRL,IMN,ISR,ITA,JPN,JEY,KAZ,KOR,KWT,LVA,LBN,LTU,LUX,MYS,MLT,MUS,MEX,NLD,ANT,NZL,NOR,PAK,PAN,PHL,POL,PRT,ROU,RUS,SGP,SVK,SVN,ZAF,ESP,SWE,CHE,THA,TUR,UKR,GBR,USA,URY,VEN
ZAF,0,1,"1,153",392,,17,0,353,105,14,0,"2,650",32,0,97,3,,,120,1,820,0,1,497,"2,174","3,806",,24,971,1,0,11,0,"3,384",134,2,576,"3,585",214,0,285,,0,27,10,"12,221",4,23,"2,260",,"3,754",3,46,"2,007",,0,0,10,186,,0,C,1,14,,151,370,"1,023",148,0,,"11,080","53,519",2,0
SSD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,0,,,,,,,,,,,,,0,,,,,,,,,,,
ESP,677,1,"3,490","14,003",,128,207,"52,069","2,415","1,205",18,"7,429",189,405,"1,418",43,7,13,801,567,"6,569",0,177,"7,501","284,813","230,346",5,619,684,14,7,1,0,"72,925",20,116,"41,290","38,247","2,382",565,329,,10,4,76,"98,570",13,512,0,207,"72,775",273,122,"32,206",,4,0,0,"20,459",6,2,C,"4,481",950,26,,"9,617","14,626",6,0,,"89,014","113,469",44,0
LKA,0,,C,4,,,0,0,0,,0,11,,0,130,,,,0,,28,10,,0,34,13,,,7,0,,0,0,36,0,,7,33,,0,0,0,,6,0,859,1,,40,,40,0,0,1,21,0,,0,0,,0,318,,0,,0,2,16,0,0,,336,"1,025",0,0
KNA,0,,0,0,,,0,0,0,0,0,,,0,0,,,,0,,0,0,,0,,0,,,0,0,,,0,0,0,,0,0,,0,0,,,,0,0,,,0,,0,,0,,,0,,0,0,,6,,,0,,0,0,,0,0,,0,0,0,0
LCA,0,,0,12,,,4,0,1,,0,,8,0,0,,,,7,,0,0,,0,,0,,,0,0,,,0,0,0,,,0,,0,0,,,,0,0,,,0,,0,,0,,,0,,0,0,,0,,,0,,0,0,0,0,0,,0,15,0,0
VCT,0,,0,0,,,0,0,0,,0,,,0,0,,,,0,,0,0,,0,1,0,,,0,0,,,0,0,0,,,0,,0,0,,,,0,5,,,3,,0,,0,,,0,,0,0,,0,,,0,,0,0,250,0,0,,36,10,0,0
SDN,0,,0,0,,25,0,0,0,,0,,,0,0,,,,0,,0,90,,0,,0,,,3,0,,,0,0,0,,,0,16,0,0,62,,4,0,0,,,0,,0,,0,,,0,,0,0,,0,C,,0,,0,0,0,0,0,,3,0,0,0
SUR,0,,0,0,,,0,0,0,0,0,,,0,0,,,,0,,0,0,,0,,0,,,0,0,,,0,0,0,,,0,,0,0,,,,0,0,,,0,,0,2,0,,,0,,0,0,,0,,,0,,0,0,0,0,0,,0,0,0,0
SWZ,0,,0,0,,,0,0,3,,0,,,0,0,,,0,0,,0,,,0,,0,,,0,0,,,0,0,0,,,0,,0,0,,,,0,0,1,,19,,0,,0,2,,0,,0,0,,0,,,0,2,0,0,0,0,0,,5,,9,0
SWE,0,0,"2,583","4,486",,131,488,"4,090","1,832",2,30,"3,858",87,442,"1,542",50,62,33,425,28,"17,727",0,70,"32,543","36,320","37,229",8,131,"5,736",16,152,,0,"18,456","1,889",129,"6,148","34,271","2,923",28,108,3,72,3,114,"63,399",3,81,5,0,"13,769",32,79,"27,552",,0,,7,"1,962",10,34,"2,445",720,83,33,"4,301",,"16,098",130,5,,"29,707","75,744",3,0
CHE,5,6,"6,111","3,192",142,68,198,"3,576","1,594",572,2,"16,048",197,954,"2,542",30,9,1,219,47,"7,422",128,14,"2,017","23,940","30,647",87,458,"3,042",57,113,52,318,"18,028",84,245,"5,619","22,789","3,516",37,810,168,4,183,12,"42,502",19,138,"1,358",23,"20,240",20,441,"19,169",,30,0,0,566,1,55,C,14,98,348,"2,827","15,133",,6,4,,"60,487","305,011",0,252
SYR,0,,0,0,,,0,0,0,,0,,,0,0,,,,0,,0,9,,0,,0,,,0,0,,,0,0,0,,,0,76,0,0,82,,29,0,0,,,0,,0,,0,,,0,,0,0,,0,,,0,,0,0,0,0,0,,0,0,0,0
TWN,8,1,"2,751",111,,,0,165,622,0,0,"4,318",2,15,"5,039",6,,,0,3,922,0,0,298,"4,470","1,539",,,168,0,0,19,0,"6,906",0,,489,"2,911",368,0,401,,,0,0,"16,736",779,,66,,"5,185",3,0,"2,820",,0,0,0,11,,0,"9,118",1,8,9,C,"1,025",942,0,0,,"19,550","76,858",0,0
TJK,0,,0,0,,,0,0,0,,0,,,0,0,,,,0,,0,0,,0,,0,,,0,0,,,0,0,0,,,0,,0,0,,,,0,29,,,0,,0,,0,,,0,,0,0,,3,,,0,,0,0,0,0,0,,0,0,0,0
TZA,0,,0,0,,,0,0,0,,0,,,0,0,,,,0,,0,0,,0,,0,,,0,0,,,0,0,0,,,0,,0,0,,,,0,0,,,498,,0,,0,,,0,,0,0,,0,,,0,5,0,0,0,0,0,,35,0,0,0
THA,0,,C,118,,,0,34,117,0,0,"1,275",,2,"1,053",26,,,5,0,395,9,,0,559,740,3,0,604,1,0,5,39,"1,282",10,2,191,"1,771",92,0,259,2,,,0,"6,182",334,,766,,"1,958","7,170",0,642,,1,20,0,0,,0,"4,054",,0,2,C,170,254,,0,,"4,346","14,222",0,0
TLS,0,,C,0,,,0,0,0,,0,,,0,0,,,,0,,0,0,,0,,0,,,0,0,,,0,,0,,,0,,0,0,,,,0,0,,,0,,0,,0,,,0,,0,0,,0,C,,0,,0,0,0,0,0,,0,0,0,0
TGO,0,,0,0,,,0,0,0,,0,,,0,0,,,,0,,0,0,,0,,0,,,0,0,,,0,0,0,,,0,18,0,0,,,,0,5,,,33,,0,,0,,,0,,0,0,,0,,,0,,0,0,0,0,0,,0,1,0,0
TKL,0,,0,0,,,0,0,0,,0,,,0,C,,,,0,,0,0,,0,,0,,,0,0,,,0,393,0,,,0,,0,0,,,,0,0,,,0,,0,,0,,,0,,0,0,,0,,,0,,0,0,,0,0,,0,0,0,0
TON,0,,0,0,,,0,0,0,,0,,,0,0,,,,0,,0,0,,0,,0,,,0,0,,,0,0,0,,,0,,0,0,,,,0,0,,,0,,0,,0,,,0,,0,0,,0,,,0,,0,0,0,0,0,,0,0,0,0
TTO,0,1,C,1,,,3,0,0,,0,35,89,0,1,,1,,27,,71,0,,0,9,40,,,28,0,,,0,30,0,,0,141,,0,0,,,,0,173,,,0,,37,10,0,5,,7,,0,0,,0,,,0,,0,0,2,0,0,,200,"1,403",0,0
TUN,0,,0,186,,103,0,9,0,,0,,,0,C,,,,64,,50,37,,0,160,655,,0,12,1,,,0,307,0,,73,"1,217",53,0,0,103,0,1,1,14,,,65,,150,0,57,3,,0,,0,0,,0,C,,0,,0,0,3,7,0,,206,463,0,0
TUR,0,0,409,939,,"7,092",0,225,13,,36,874,77,5,75,,0,3,13,47,960,11,46,56,"1,631","2,847",,655,723,7,4,4,0,"2,324",0,5,864,"2,259",589,0,190,605,1,15,4,"8,707",0,"6,094",0,1,"3,384",0,8,"1,524",,0,0,447,0,,3,C,5,19,34,C,885,536,0,,,"14,073","28,526",2,0
TKM,0,,0,0,,,0,0,0,,0,,,0,0,,,,0,,0,0,,0,,0,,,0,0,,,0,0,0,,,0,5,0,1,,,,0,0,,,0,,0,,0,,,0,,0,0,,6,,,0,,0,2,0,0,0,,0,0,0,0
TCA,0,,0,0,,,0,0,0,76,0,,,0,0,,,,0,,0,0,,0,,765,,,0,0,,,0,0,0,,0,0,,0,0,,,,0,0,,,0,,0,,0,,,0,,0,0,,0,,,0,,0,0,0,0,0,,0,0,0,0
TUV,0,,0,0,,,0,0,0,,0,,,0,0,,,,0,,0,0,,0,,0,,,0,0,,,0,0,0,,,0,,0,0,,,,0,0,,,0,,0,,0,,,0,,0,0,,0,,,0,,0,0,0,0,0,,0,0,0,0
UGA,0,,0,0,,,0,0,0,,0,,,0,0,,,,0,,0,0,,0,,0,,,3,0,,,0,0,0,,,0,2,0,0,,,,0,0,0,,152,,0,,0,5,,0,,0,0,,0,,,0,9,0,0,0,0,0,,15,6,0,0
UKR,0,,C,156,,,0,1,1,,3,88,135,0,12,,,,23,0,151,5,5,C,60,99,,540,203,1,11,,0,377,0,,41,130,10,11,0,,7,0,7,491,,,1,,442,,0,0,,0,0,8,0,,23,C,1,0,,0,7,26,0,1,,"1,977",960,1,0
ARE,0,,27,291,,"2,978",0,305,138,0,0,114,21,846,"1,076",64,,,380,4,188,466,3,0,405,"1,102",2,14,357,1,1,1,0,843,0,,68,478,398,0,66,"3,011",,226,1,"1,487",87,135,"1,120",,339,3,0,148,8,5,0,0,0,,1,C,15,1,2,C,4,"1,242",178,0,,"4,777",0,1,0
GBR,35,8,"38,089","21,041",306,"2,001","1,741","31,213","19,801",72,117,"50,658","1,114","6,223","90,133","1,285",194,133,"24,077","1,035","21,185",357,180,"16,264","244,249","201,987","1,691","65,385","38,150",178,607,87,381,"376,651","18,162","2,197","69,650","182,501","57,034","2,314","9,416","2,068",78,584,77,"222,118","1,679",966,738,182,"140,286",281,"2,000","84,637",4,68,429,526,"13,331",156,"1,499","57,537","1,839",670,"54,851","50,803","45,790","62,756",324,756,46,,"958,256",87,0
USA,"16,280",299,"166,646","26,331","2,618","8,568","8,774","46,621","300,363","4,218",189,"323,253","29,132","32,007","91,922","1,128","8,991",601,"3,689","2,408","58,485","1,864",141,"17,601","218,004","198,590",217,"7,070","30,007","2,130","1,013",291,523,"475,544","1,783","32,348","119,431","919,346","55,076","13,818","31,827","3,837",405,"1,951",192,"433,739","6,011",737,"1,511","26,218","346,444","6,280","10,737","150,452",3,"3,546","2,458","1,016","11,872",71,"4,160","95,141","1,211","1,404","10,410","49,252","90,887","145,458","2,006",201,,"807,088",,958,"5,056"
URY,1,,C,91,20,,0,4,1,109,0,42,3,611,2,,,6,0,0,310,0,0,C,58,366,,1,238,0,,,0,68,0,,79,619,10,0,0,,,0,0,733,,,0,,439,35,0,,,0,,0,0,,0,,1,0,,C,0,24,0,0,,160,"1,714",,15
PUQ,0,,0,0,,1,0,0,3,,0,,,0,0,,,,0,,0,0,,0,,0,,,0,0,,,0,,0,,,0,91,0,0,,,,0,0,,,0,,0,,0,4,,0,,0,0,,0,,,0,,0,0,,0,0,,0,0,0,0
VIR,0,12,0,1,,,0,0,0,16,0,,,0,5,2,,,0,,10,0,,0,0,0,,,59,0,,,0,0,0,,,999,2,0,0,,,0,0,0,18,,0,,0,,0,1,,0,,0,0,,0,C,,0,,0,4,,0,0,,423,0,1,0
UZB,0,,0,0,,,0,0,0,,0,,,0,0,,,,0,,0,0,,0,,0,,,0,0,,,0,0,0,,,0,2,0,0,,,,0,0,0,,0,,0,,0,,,0,,0,0,,1,,,0,,0,0,0,0,0,,0,0,0,0
VUT,0,,0,0,,,0,0,0,,0,,,0,0,,,,0,,0,0,,0,,0,,,0,0,,,0,0,0,,,0,,0,0,,,,0,0,,,0,,0,,0,,,0,,0,0,,0,,,0,,0,0,0,0,0,,0,0,0,0
VAT,0,,0,0,,,0,0,0,,0,,,0,0,,,,0,,0,0,,0,,0,,,0,0,,,0,0,0,,,0,,0,0,,,,0,0,,,0,,0,,0,,,0,,0,0,,0,,,0,,0,0,0,0,0,,0,0,0,0
VEN,0,,C,143,,,0,8,6,0,0,102,61,230,7,,1,2,137,0,532,0,0,C,327,647,,36,239,0,,,0,102,0,,663,445,"1,365",0,14,,1,6,0,"2,706",,12,0,,"1,412",550,0,0,,130,0,0,92,,0,C,1,1,0,C,0,272,2,4,,"1,325","9,647",34,
VNM,0,,C,6,,,0,15,3,,0,4,,0,319,,,,0,0,28,0,,0,84,49,,,7,0,,,0,68,0,,3,54,,0,508,,1,0,0,112,687,,130,,32,,0,1,,0,,0,0,,1,592,0,0,,0,0,43,12,0,,986,419,0,0
VGB,0,,C,258,,131,3,759,"1,236",363,0,"1,493",55,0,"5,663",207,,0,6,20,101,0,9,651,"3,150",241,8,20,"2,572",3,29,,86,"2,201","1,196",33,158,"1,206",968,122,16,118,0,7,5,"6,149",997,,223,,861,"2,172",0,120,4,2,0,0,"1,790",,"2,061",723,1,0,591,409,594,,1,0,,"2,499","10,314",1,0
WLF,0,,0,0,,,0,0,0,,0,,,0,0,,,,0,,0,0,,0,,0,,,0,0,,,0,0,0,,,0,,0,0,,,0,0,0,,,0,,0,,0,,,0,,0,0,,0,,,0,,0,0,0,0,0,,0,0,0,0
PSE,0,,0,0,,,0,0,0,,0,,,0,0,,,,0,,0,0,,0,,0,,,0,0,,,0,10,0,,,0,,0,0,,,,0,0,,,0,,0,,0,,,0,,0,0,,0,,,0,,0,0,0,0,0,,0,0,0,0
ESH,0,,0,0,,,0,0,0,,0,,,0,0,,,,0,,0,0,,0,,0,,,0,0,,,0,0,0,,,0,,0,0,,,,0,0,,,0,,0,,0,,,0,,0,0,,0,,,0,,,0,,0,0,,0,0,0,0
YEM,0,,0,0,,,0,0,0,,0,,,0,0,,,,0,,2,1,,0,,0,,,40,0,,,0,0,0,,,0,,0,0,58,,0,0,0,,,0,,0,,0,,,0,,0,0,,0,,,0,,0,0,0,0,0,,3,0,0,0
ZMB,0,,C,0,,,0,3,0,,0,,,0,1,,,,0,,1,0,,0,22,0,,,18,0,,,0,13,0,,,0,11,0,0,,,,0,5,,,7,,0,0,0,,,0,,0,0,,0,,,0,57,0,2,0,0,0,,150,51,0,0
ZWE,0,,C,0,,,0,0,0,,0,,,0,0,,,,0,,0,0,,0,0,0,,0,2,0,,,0,4,0,,,0,,0,0,,,,0,4,,,72,,0,0,0,,,0,,0,0,,0,,,0,22,0,1,5,0,0,,8,68,0,0
