,ARG,ABW,AUS,AUT,BHS,BHR,BGD,BRB,BLR,BEL,BMU,BOL,BRA,BGR,CAN,CYM,CHL,HKG,MAC,COL,CRI,CMQ,CYP,CZE,DNK,EGY,EST,FIN,FRA,DEU,GIB,GRC,GGY,HND,HUN,ISL,IND,IDN,IRL,IMN,ISR,ITA,JPN,JEY,KAZ,KOR,KWT,LVA,LBN,LBR,LTU,LUX,MYS,MLT,MUS,MEX,MNG,NLD,NZL,NOR,PAK,PLW,PAN,PHL,POL,PRT,ROU,RUS,SAU,SGP,SVK,SVN,ZAF,ESP,SWE,CHE,THA,TUR,UKR,GBR,USA,URY,VEN
PRI,0,0,C,5,,,,0,0,5,17,,24,0,105,,0,0,0,8,0,0,0,,9,0,0,C,32,0,0,,0,,0,0,0,,90,0,,2,72,12,0,13,,,0,,0,0,0,0,,,,32,,57,,,13,,0,0,,0,0,C,0,0,,C,9,,0,0,,15,,0,
QAT,0,0,85,250,,"2,797",,0,0,51,670,,0,0,237,7,2,401,169,0,,7,2,,119,95,10,11,159,770,9,,140,,0,,1,,"1,384",0,,17,"1,114",165,4,69,914,1,138,,2,"1,544",41,C,0,,,423,,394,20,,1,C,0,0,,0,"6,103",C,0,0,,C,73,571,196,0,,"1,379","6,322",,
REU,0,0,0,0,,,,0,0,,0,,,0,,,0,0,,0,,,0,,0,0,0,,,0,0,,0,,0,,0,0,0,0,,,0,,0,0,,,0,,0,0,,0,7,,,0,,0,,,,,0,0,,0,0,,0,0,,C,0,,,0,,0,,,
ROU,0,1,C,"1,833",,,,0,0,212,100,,0,346,153,,0,0,0,0,,0,38,302,430,0,64,266,400,"2,405",3,214,69,,90,,0,,"1,225",0,1,559,237,267,0,34,,61,0,,99,"4,351",,C,1,,,"1,140",,130,,,,C,559,6,,0,122,,245,107,3,C,30,322,1,25,,"1,706","4,813",0,
RUS,0,2,"1,097",913,2,162,20,6,45,139,310,1,17,20,"2,150",43,19,102,27,0,0,7,"3,022",224,"1,455",0,41,426,"7,754","3,824",31,18,735,,121,1,0,0,"20,992",7,49,797,"1,187",621,223,569,,57,34,,9,"13,375",540,C,4,16,0,"5,405",16,"4,264",4,,9,71,17,0,2,,717,C,15,57,48,142,"1,553","1,630",54,17,,"21,664","40,745",3,
RWA,0,0,0,1,,,,0,0,,0,,,0,,,0,0,,0,,,0,,22,0,0,,0,22,0,,8,,0,,0,,35,0,,8,1,2,0,0,,,0,,0,152,,0,52,,,11,,5,,,,,0,0,,0,0,,0,0,9,C,0,1,,0,,21,92,,
SHN,0,0,0,0,,,,0,0,,0,,,0,,,0,0,,0,,,0,,0,0,0,,,0,0,,0,,0,,0,,0,0,,,0,,0,0,,,0,,0,0,,0,,,,0,,0,,,,,0,0,,0,0,,0,0,,C,0,0,,0,,0,0,,
SPM,0,0,0,0,,,,0,0,,0,,,0,,,0,0,,0,,,0,,0,0,0,,,0,0,,0,,0,,0,,0,0,,,0,,0,0,,,0,,0,0,,0,,,,0,,0,,,,,0,0,,0,0,,0,0,,C,0,,0,0,,0,0,,
WSM,0,0,0,0,,,,0,0,,0,,0,0,,,0,39,,0,,,0,,0,0,0,,,0,0,,0,,0,,0,,0,0,,,0,,0,0,,,0,,0,0,,0,,,,0,,0,,,,,0,0,,0,0,,0,0,,C,0,0,10,0,,0,0,,
SMR,0,0,0,0,,,,0,0,,0,,,0,,,0,0,,0,,,0,,0,0,0,,,0,0,,0,,0,,0,,0,0,,38,0,,0,0,,,0,,0,0,,0,,,,0,,0,,,,,0,0,,0,0,,0,0,,C,0,0,0,0,,1,0,,
STP,0,0,0,0,,,,0,0,,0,,,0,,,0,0,,0,,,0,,0,0,0,,,0,0,,0,,0,,0,,0,0,,,0,,0,0,,,0,,0,0,,0,,,,0,,0,,,,,0,0,,0,0,,0,0,,C,0,0,,0,,0,0,,
SAU,0,0,C,0,,"1,378",43,0,0,,51,,1,0,20,,0,126,,0,,,0,,0,354,4,,"6,195",0,0,,47,,0,0,0,2,34,0,,,117,56,0,5,"1,667",,254,,0,6,211,0,0,,,0,,2,190,,,,0,0,,0,,C,0,0,,C,3,60,43,0,,"4,217",0,,
SEN,0,0,0,2,,,,0,0,,187,,,0,,,0,136,,0,,,0,,80,0,0,C,107,114,0,,10,,0,,0,,164,0,,4,22,42,0,5,,0,1,,0,353,0,C,154,,,58,,0,,,,,0,0,,0,0,,0,0,15,C,0,9,,0,,14,292,,
SRB,0,0,C,132,,4,,0,0,1,12,,0,1,76,,0,0,,0,,,15,,197,0,2,C,124,427,,,54,,6,,0,,234,0,,79,54,5,0,4,20,1,3,,1,"3,110",,0,,,,334,,0,,,,,C,0,C,0,54,C,0,32,,C,22,31,,0,,261,"2,939",0,
SYC,0,0,0,6,,164,,0,0,0,6,,4,0,,,0,0,,0,,,0,,9,0,0,,0,16,0,,0,,0,0,0,,27,0,,41,0,,0,0,,,0,,0,15,,0,65,,,0,,0,,,,,C,0,,0,0,,0,0,,C,0,40,,0,,0,27,,
SLE,0,0,0,0,,,,1,0,,0,,,0,,,0,0,,0,,,0,,0,0,0,,,0,0,,0,,0,,0,,0,0,,,0,,0,0,,,0,,0,0,0,0,13,,,0,,139,,,,,0,0,,0,0,,0,0,,C,12,2,,0,,149,0,,
SGP,0,2,"3,211",197,,10,10,57,0,310,"5,479",,16,0,"5,642",1,27,"16,248",239,0,,12,6,0,952,8,0,364,"1,579","2,809",28,2,830,,2,2,11,404,"17,726",63,46,426,"19,430",410,809,"2,073",9,25,1,,4,"21,488","22,992",C,"2,741",,27,"8,525",C,"5,236",,,1,41,2,10,C,1,"1,884",,0,7,153,C,"1,698","3,858",615,1,,"23,013","98,045",,
SXM,0,1,0,0,,,,0,0,,0,,,0,,,0,0,,0,,,0,,0,,0,,,0,0,,0,,0,,0,,0,0,,"1,116",0,,0,13,,,0,,0,0,,0,,,,0,,0,,,,,0,0,,0,0,,0,0,,C,0,0,,0,,118,50,,
SVK,0,0,C,"5,534",,0,4,0,0,"3,369",3,,,68,2,,0,0,2,0,,,7,"3,813",138,0,27,99,"1,929","9,543",0,13,7,,42,0,0,,"2,274",0,9,898,302,164,0,51,,27,2,,23,"1,872",,28,,,,664,,550,,,0,,31,59,,2,0,C,,242,,C,3,"1,405",0,0,,220,332,,
SVN,0,2,C,"1,480",,13,3,0,0,517,607,,,85,89,,1,6,11,0,,,4,157,295,0,19,140,"2,244","4,576",0,0,0,,37,0,0,,"1,367",0,17,931,473,62,0,22,,41,3,,60,"2,177",,C,6,,,449,,708,,,47,,67,69,51,0,0,C,361,,0,183,2,130,3,0,,"1,194","6,183",2,
SLB,0,0,0,0,,,,0,0,,0,,,0,,,0,0,,0,,,0,,0,0,0,,,0,0,,0,,0,,0,,0,0,,,0,,0,0,,,0,,0,0,,0,,,,0,,0,,,,,0,0,,0,0,,0,0,,C,0,0,0,0,,0,0,,
SOM,0,0,0,0,,,,0,0,,0,,,0,,,0,0,,0,,,0,,0,0,0,,,0,0,,0,,0,,0,,0,0,,,0,,0,0,,,0,,0,0,,0,,,,0,,0,,,,,0,0,,0,0,,0,0,,C,0,0,,0,,0,0,,
ZAF,0,3,"2,739",254,,139,4,0,0,356,837,,4,1,"4,263",1,72,97,1,2,0,5,0,4,"1,950",0,1,334,"1,254","5,013",3,0,697,,6,1,7,1,"9,597",11,42,653,"6,286",195,1,672,,2,69,,0,"17,558",11,C,"1,045",,0,"8,335",C,"5,192",,,9,8,7,168,C,0,"1,272",C,1,20,,C,"1,900","2,887",594,1,,"16,000","83,045",4,
SSD,0,0,0,0,,,,0,0,,0,,,0,,,0,0,,0,,,0,,0,,0,,,0,,,,,0,,0,,0,0,,,0,,0,0,,,0,,0,0,,0,1,,,0,,0,,,,,0,0,,0,0,,0,0,,C,0,0,,0,,0,0,,
ESP,129,4,"4,163","11,677",1,134,104,2,0,"29,144","1,573",2,"2,025",107,"11,421",22,786,493,119,169,1,265,72,222,"6,906",0,59,"5,139","229,264","166,190",39,"9,350","1,002",,8,14,0,3,"65,157",11,307,"60,940","30,654",676,169,"1,206",0,30,36,,93,"95,299",2,579,1,422,0,"53,904",41,"24,155",,,127,8,243,"22,795",2,1,"3,410",C,"1,051",603,74,,"5,130","11,758",32,25,,"84,273","132,983",91,
LKA,0,0,4,27,,41,8,0,0,1,258,,,0,58,,0,146,,0,,0,0,,328,1,0,C,75,325,0,,12,,0,,1,2,350,0,,149,67,3,0,6,,1,0,,0,"3,680",1,0,11,,,311,,4,,,,C,0,0,,0,114,634,0,0,,C,26,34,1,0,,713,"3,929",,
KNA,0,0,0,0,,10,,0,0,,0,,2,0,,,0,0,,0,,,0,,0,0,0,,,0,0,,0,,0,,0,,0,0,,,0,,0,0,,,0,,0,1,,0,,,,0,,0,,,,,0,0,,71,0,,0,0,,C,0,,,0,,0,0,,
LCA,0,0,0,0,,2,,7,0,,0,,3,0,,1,0,0,,0,,22,0,,0,0,0,,,0,9,,0,,0,,0,,0,0,,,0,,0,0,,,0,,0,0,,0,,,,0,,0,,,,,0,0,,0,0,,0,0,,C,0,0,,0,,0,11,,
VCT,0,0,0,1,,,,1,0,,0,,4,0,,,0,0,,0,,,0,,0,0,0,,0,0,0,,0,,12,,0,,0,0,,,0,,0,0,,,0,,0,1,,0,,,,0,,0,,,,,0,0,,0,0,C,0,0,,C,0,120,,0,,0,2,,
SDN,0,0,0,0,,4,,0,0,,0,,,0,,,0,0,,0,,,0,,0,4,0,,,0,0,,3,,0,,0,,0,0,,,0,,0,0,25,,4,,0,0,0,0,,,,0,,3,,,,,0,0,,0,0,C,0,0,,C,0,0,,0,,0,0,,
SUR,0,0,0,0,,,,0,0,,0,,,0,,,0,0,,0,,1,0,,0,0,0,,,0,0,,0,,0,,0,,0,0,,,0,,0,0,,,0,,0,0,,0,,,,0,,0,,,,,0,0,,0,0,,0,2,,C,0,0,,0,,0,0,,
SWZ,0,0,0,0,,,,0,0,,0,,,0,,,0,0,,0,,,0,,0,0,0,,,0,0,,0,,0,,0,,0,2,,,0,,0,0,,,1,,0,0,1,0,,,,0,,3,,,,,0,0,,0,0,,0,0,31,C,67,0,,0,,0,0,,
SWE,0,2,"5,196","5,241",1,31,33,64,0,"4,559","3,132",28,15,36,"8,338",51,125,"1,750",54,161,10,57,199,324,"20,936",0,278,"33,895","40,669","55,914",111,67,"9,586",,8,155,0,,"41,968",651,131,"4,982","36,962","4,720",952,"1,231",0,398,2,,96,"69,258",38,358,10,17,,"22,199",C,"39,620",,,5,4,"1,538",669,1,0,"1,859",C,"1,176",255,137,"2,346",,"22,790",13,4,,"53,764","164,729",193,
CHE,1,11,C,"4,720",707,87,11,61,0,"4,754","2,722",35,"3,114",2,"25,038",14,"1,475","2,063",369,8,12,653,39,98,"6,828",32,18,"3,308","26,374","43,369",123,199,"4,490",1,33,57,12,4,"28,446",350,604,"8,956","25,833","1,659",516,"4,168",108,18,156,,2,"75,444",20,115,341,107,6,"27,565",182,"39,419",,,32,18,109,365,3,91,"6,310",C,13,128,735,"4,665","23,622",,34,6,2,"87,637","423,864",8,514
SYR,0,0,0,0,,,,0,0,,0,,,0,,,0,0,,0,,,0,,0,1,0,,,0,6,,0,,0,0,0,,0,0,,,0,,0,0,76,,1,,0,0,,0,,,,0,,0,,,,,0,0,,0,21,,0,0,,C,0,0,,0,,0,0,,
TWN,0,2,C,205,,13,5,0,0,480,545,,,0,"6,572",,2,"6,190",2,0,,3,0,3,"1,424",0,0,C,"2,042","2,352",0,,248,,0,9,8,3,"12,123",4,,361,"6,746",258,0,"1,232",,0,0,,0,"24,206",602,0,57,3,0,"8,894",41,"8,820",,,,C,C,10,,0,"2,651","18,599",0,28,13,C,"2,781","2,941",5,0,,"33,053","114,402",,
TJK,0,0,0,0,,,,0,0,,0,,,0,,,0,0,,0,,,0,,0,0,0,,,0,0,,0,,0,,0,,0,0,,,0,,0,0,,,0,,0,165,,0,,,,4,,0,,,,,0,0,,0,0,,0,0,,C,0,0,,0,,0,0,,
TZA,0,0,0,0,,,,0,0,,46,,,0,,,0,4,,0,,,0,,12,0,0,C,1,21,0,,0,,0,,0,,28,0,,5,1,42,0,0,,,0,,0,266,,0,44,,,17,,25,,,,,0,0,,0,0,,0,0,36,C,0,22,,0,,60,249,,
THA,0,1,"1,445",192,,51,2,0,0,200,506,,0,0,"2,432",109,2,"2,008",39,0,,1,4,0,"1,056",0,0,180,391,"2,550",8,,183,,0,3,20,20,"4,762",43,1,159,"7,070",176,0,617,,0,0,,0,"16,126",764,0,131,,,"4,856",C,"3,179",,,0,126,0,0,,0,"1,242","8,268",0,5,12,C,588,"1,041",,0,,"8,264","37,650",0,
TLS,0,0,C,0,,,,0,0,,0,,,0,,,0,0,,0,,,0,,0,,0,,,0,,,0,,0,,0,,0,0,,,0,,0,0,,,0,,0,1,,0,,,,0,,0,,,,,0,0,,0,0,C,0,0,,C,0,0,,0,,0,,,
TGO,0,0,0,0,,,,0,0,,0,,,0,,,0,9,,0,,,0,,3,0,0,C,0,2,0,,0,,0,,0,,7,0,,,0,3,0,0,,,0,0,0,19,0,0,,,,1,,0,,,,,0,0,,0,0,,0,0,,C,0,0,0,0,,7,51,,
TKL,0,0,0,0,,,,0,0,,0,,0,0,,,0,0,,0,,,0,,0,0,0,,,0,0,,0,,0,,0,,0,0,,,0,,0,0,,,0,,0,46,,C,,,,0,,0,,,,,0,0,,0,0,,0,0,,C,0,,0,0,,0,0,,
TON,0,0,0,0,,,,0,0,,0,,,0,,,0,0,,0,,,0,,0,0,0,,,0,0,,0,,0,,0,,0,0,,,0,,0,0,,,0,,0,0,,0,,,,0,,3,,,,,0,0,,0,0,,0,0,,C,0,0,,0,,0,0,,
TTO,0,13,0,2,,6,,31,0,,44,,0,0,32,47,3,0,,0,,40,0,,61,0,0,C,0,100,0,,0,,0,,0,,72,0,,6,110,,0,0,,,0,,0,256,,0,,,,79,,9,,,21,,0,0,,0,14,C,0,0,,C,0,6,,0,,55,900,0,
TUN,0,0,C,52,2,106,,0,0,8,69,,,0,2,26,0,6,,0,,,10,,20,0,0,,375,203,0,,3,,0,,0,,186,0,,101,"1,173",5,0,0,24,1,0,,0,73,0,C,,,,47,,144,,,,,0,0,,0,38,C,0,0,0,C,136,9,,6,,27,953,,
TUR,0,2,750,"1,646",,"5,947",49,0,0,473,710,,6,156,"1,936",19,6,178,2,0,1,26,17,160,"2,044",9,64,759,"2,478","7,507",114,985,479,,90,0,0,2,"7,368",0,74,"1,471","5,838","2,386",76,377,303,36,59,,22,"18,040",263,"18,270",68,,0,"5,845",,"5,652",13,,11,C,"1,062",10,240,78,"2,685",C,73,48,9,186,687,"2,190","3,717",,,"17,895","47,533",1,
TKM,0,0,0,0,,,,0,0,,0,,,0,,,0,0,,0,,,0,,0,0,0,,,0,2,,0,,0,,0,,0,0,,,0,,0,0,,,0,,0,0,,0,,,,0,,0,,,,,0,0,,0,0,,0,0,,C,0,0,,0,,9,0,,
TCA,0,0,0,0,2,,,1,0,,0,,259,0,,,0,0,,0,,,0,,0,0,0,,2,0,0,,0,,0,,0,,8,0,,2,3,,0,0,,,0,,0,7,,0,,,,1,,0,,,,,0,0,,0,0,,0,0,,C,0,38,,0,,0,416,,
TUV,0,0,0,0,,,,0,0,,0,,,0,,,0,0,,0,,,0,,0,0,0,,,0,0,,0,,0,,0,,0,0,,,0,,0,0,,,0,,0,0,,0,,,,0,,0,,,,,0,0,,0,0,,0,0,,C,0,0,,0,,0,0,,
UGA,0,0,0,0,,,,0,0,,0,,,0,,,0,7,,0,,,0,,0,0,0,C,7,0,0,,19,,0,,0,,27,0,,,0,23,0,0,,,0,,0,65,,0,98,,,1,,2,,,,,0,0,,0,0,,0,0,35,C,0,0,0,0,,67,252,,
UKR,0,0,C,41,,17,,0,0,2,251,,1,6,115,,0,5,,0,,,35,1,166,0,4,C,168,83,0,72,158,,0,0,0,,245,0,1,74,34,19,0,9,,7,1,,5,"2,659",,0,1,,0,248,,5,,,,C,C,0,C,"3,005",121,C,11,0,,C,14,61,0,5,,357,"4,762",0,
ARE,0,0,C,328,,"3,752",19,0,0,234,"1,339",,9,4,715,3,3,"1,053",163,0,,26,8,4,206,97,15,C,"1,300","3,145",78,0,817,,0,0,3,1,"3,518",3,,375,"1,353","3,342",0,198,"2,621",5,227,,1,"6,449",670,C,146,,0,"1,395",,681,29,,2,C,C,38,,1,"8,587",C,16,7,1,C,90,"6,136",306,2,,"5,334","9,196",0,
GBR,3,18,"59,480","17,216",,968,181,165,7,"30,289","25,324",120,395,"1,210","82,987",515,"4,458","62,405","1,097",723,124,885,"1,228",453,"25,873",107,183,"20,499","254,987","215,383","3,245","26,024","37,858",,112,"1,238",9,266,"442,570","20,710","6,975","67,411","183,974","40,539","4,492","14,682",644,225,708,,96,"290,586","3,748","3,516","2,212",266,11,"125,620","1,673","102,104",8,,44,190,433,"8,816",387,"3,118","14,005","42,674","2,100",526,"62,920","35,073","48,268","88,743",374,67,46,,"1,300,299",325,12
USA,"22,781",319,"297,956","28,762","3,050","2,672",316,"3,540",6,"44,318","268,424",799,"14,127",581,"710,023","14,532","63,089","102,529","2,826","19,137",475,"30,683",615,"2,369","107,450","1,047",345,"40,150","256,233","292,955",423,"1,306","42,285",16,"1,400","2,725",673,"2,462","661,524","1,020","62,287","75,985","1,233,568","33,286","41,603","83,150","1,656","1,454","2,291",,135,"860,122","19,458","1,275","2,777","19,378",30,"449,782","3,890","294,420",1,330,"6,063","2,932","2,091","7,707",266,"1,972","71,908","267,916",726,"1,471","25,638","28,189","156,453","250,134","5,010",287,62,"970,743",,"1,031","3,444"
URY,3,0,14,27,11,6,,0,0,12,238,,96,0,93,1,71,8,,0,4,39,0,,306,0,0,55,13,742,0,,71,,0,,0,,380,0,,87,783,9,0,3,,0,0,,0,"4,435",,C,,,,501,,31,,,2,,0,0,,0,123,C,0,0,,C,12,86,1,0,,197,"3,484",,
PUQ,0,0,0,0,,0,,0,0,,0,,1,0,,,0,0,,0,,,0,,0,0,0,,,0,9,,0,,0,,0,,0,0,,,0,200,0,0,,,0,,0,17,,0,0,,,0,,3,,,,,0,0,,0,0,,0,0,,C,0,0,,0,,0,,,
VIR,0,0,0,0,,45,,0,0,,5,,13,0,,,0,11,0,0,1,,0,,1,0,0,C,0,0,36,,928,,0,,0,,49,120,1,,337,,0,0,,,0,,0,138,27,0,0,,,0,,1,,,,,0,0,,0,0,C,0,0,9,C,5,0,0,0,,191,,,
UZB,0,0,0,0,,,,0,0,,0,,,0,,,0,0,,0,,,0,,0,0,0,,,0,0,,0,,0,,0,,0,0,2,,0,,0,3,,,0,,0,6,,0,,,,0,,0,,,,,0,0,,0,0,,0,0,,C,0,0,,0,,0,0,,
VUT,0,0,0,0,,,,0,0,,0,,,0,,,0,0,,0,,,0,,0,0,0,,,0,0,,0,,0,,0,,0,0,,,0,,0,0,,,0,,0,0,,0,,,,0,,0,,,,,0,0,,0,0,,0,0,,C,0,0,,0,,0,0,,
VAT,0,0,0,0,,,,0,0,,0,,,0,,,0,0,,0,,,0,,0,0,0,,,0,0,,0,,0,,0,,0,0,,,0,,0,0,,,0,,0,0,,0,,,,0,,0,,,,,0,0,,0,0,,0,0,,C,0,0,,0,,0,0,,
VEN,0,1,C,98,11,0,,22,0,12,263,,11,0,199,130,2,26,,4,10,"25,258",0,0,607,0,1,18,273,529,11,7,89,,1,,0,,"1,346",4,1,"1,053",268,754,0,55,,2,57,,1,"2,135",0,6,,,,799,,266,3,,158,C,C,78,0,4,244,C,5,0,,C,8,509,0,12,,778,"6,803",37,
VNM,0,0,C,17,,,4,0,0,16,47,,0,0,34,,0,724,,0,,,0,0,111,0,0,C,90,203,0,,28,,0,,0,1,222,0,,30,177,2,0,340,,2,0,,0,"1,089",24,0,1,,,95,,169,,,,C,C,0,,0,59,"1,688",0,0,,C,25,53,16,0,,"1,098","2,484",,
VGB,0,1,C,251,,14,,0,0,508,"8,678",,782,1,"2,933",506,"1,165","12,676","1,213",2,0,"3,718",6,2,412,0,13,820,"1,618","3,270",27,10,"1,421",,3,0,4,1,"4,109",99,9,466,"3,570","1,530",12,993,4,27,6,,4,"16,061","1,127",C,260,,,"1,759",C,954,12,,12,222,21,697,C,104,35,"5,073",4,2,159,664,217,99,222,0,,"6,159","76,554",6,
WLF,0,0,0,0,,,,0,0,,0,,,0,,,0,0,,0,,,0,,0,0,0,,,0,0,,0,,0,,0,,0,0,,,0,,0,0,,,0,,0,0,,0,,,,0,,0,,,,,0,0,,0,0,,0,0,,C,0,0,,0,,0,,,
PSE,0,0,0,0,,,,0,0,,0,,,0,,,0,0,,0,,,0,,0,0,0,,,0,,,0,,0,,0,,0,0,,,0,0,0,0,,,0,,0,74,,0,,,,0,,0,,,,,0,0,,0,0,,0,0,,C,0,0,0,0,,0,25,,
ESH,0,0,0,0,,,,0,0,,0,,,0,,,0,0,,0,,,0,,0,0,0,,,0,0,,0,,0,,0,,0,0,,,0,,0,0,,,0,,0,0,,0,,,,0,,0,,,,,0,0,,0,0,,0,0,,C,0,,,0,,0,0,,
YEM,0,0,0,0,,,,0,0,,0,,,0,,,0,0,,0,,,0,,0,0,0,,,0,0,,0,,0,,0,1,0,0,,,0,,0,0,7,,0,,0,3,,0,,,,0,,0,,,,,0,0,,0,0,,0,0,,C,0,0,,0,,0,0,,
ZMB,0,0,C,24,,,,0,0,,82,,,0,,,0,0,,0,,,0,,71,1,0,C,20,119,0,,19,,0,,1,,85,0,,20,8,,0,0,,,0,,0,451,,0,"1,570",,,89,,14,,,,,0,0,,0,0,,0,0,76,C,1,10,0,0,,187,689,,
ZWE,0,0,C,0,,,,0,0,,6,,,0,1,,0,0,,0,,,2,,6,0,0,,1,2,2,,21,,0,,0,,100,0,,,0,20,0,0,,,0,,0,89,,0,96,,,0,,4,,,,,0,0,,0,0,,0,0,78,C,0,0,,0,,0,143,,
