,ARG,ABW,AUS,AUT,BHS,BHR,BGD,BRB,BLR,BEL,BMU,BOL,BRA,BGR,CAN,CYM,CHL,HKG,MAC,COL,CRI,CMQ,CYP,CZE,DNK,EGY,EST,FIN,FRA,DEU,GIB,GRC,GGY,HND,HUN,ISL,IND,IDN,IRL,IMN,ISR,ITA,JPN,JEY,KAZ,KOR,KWT,LVA,LBN,LBR,LTU,LUX,MYS,MLT,MUS,MEX,MNG,NLD,NZL,NOR,PAK,PLW,PAN,PHL,POL,PRT,ROU,RUS,SAU,SGP,SVK,SVN,ZAF,ESP,SWE,CHE,THA,TUR,UKR,GBR,USA,URY,VEN
IOQ,0,0,0,0,,,,0,0,,3,,,0,,,0,0,,0,,,0,,0,0,0,,,0,2,,0,,0,,0,,0,0,,,0,,0,0,,,0,,0,0,,0,,,,0,,85,,,,,0,0,,0,0,,0,0,,C,0,0,,0,,0,0,,
BRN,0,0,0,0,,,,0,0,,0,,,0,,,0,0,,0,,,0,,0,0,0,,27,0,0,,0,,0,,0,0,0,1,,,0,,0,0,,,0,,0,0,15,0,,,,0,,0,,,,,0,0,,0,0,C,0,0,,C,0,0,,0,,0,0,0,
BGR,0,0,C,387,,13,,0,0,44,38,,,,14,,0,0,,0,,,11,12,62,0,44,C,480,654,0,221,0,,36,0,0,,73,0,4,99,16,,0,0,,57,0,,41,773,10,C,,,0,110,0,126,,,,,38,0,19,1,14,C,154,30,,C,4,31,0,0,,195,177,0,
BFA,0,0,0,0,,,,0,0,,0,,,0,,,0,0,,0,,,0,,0,0,0,,23,0,0,,0,,0,,0,,0,0,,,0,6,0,0,,,0,,0,0,,0,3,,,0,,0,,,,,0,0,,0,0,,0,0,,C,0,4,,0,,0,1,,
BDI,0,0,0,1,,,,0,0,,0,,0,0,,,0,0,,0,2,,0,0,10,0,0,,9,5,0,,0,,0,,0,,0,0,,23,0,,0,0,,,0,,0,103,,C,57,,,0,,0,,,,C,0,0,,0,0,,0,0,,C,0,0,,0,,45,0,,
KHM,0,0,0,1,,,,0,0,,0,,,0,,,0,7,,0,,,0,,0,0,0,,,0,6,,2,,0,,0,,0,0,,,177,,0,1,,,0,,0,407,0,0,0,,,11,,6,,,,,0,0,,0,0,,0,0,,C,1,0,1,0,,5,0,,
CMR,0,0,0,0,,,,0,0,0,0,,,0,,,0,0,,0,,,0,,0,0,0,,156,0,0,,0,,0,,0,,0,0,,,0,,0,0,,,0,,0,61,,0,16,,,0,,0,,,,,C,0,,0,0,,0,0,44,C,0,2,,0,,147,0,,
CAN,2,9,"18,589","2,238",20,76,61,790,0,"4,695","27,516",30,78,1,,131,858,"8,007",248,356,30,139,59,37,"3,366",0,6,"2,518","11,942","34,578",78,63,"3,771",3,41,253,11,1,"33,719",261,150,"3,561","58,908",926,"2,066","3,268",0,294,36,,3,"49,346",116,"1,177",159,45,6,"18,406",352,"29,510",,,115,44,66,216,13,317,"3,216","14,154",682,177,"1,394",909,"10,381","37,798",194,4,,"28,822","844,179",230,
CPV,0,0,0,0,,,,0,0,,0,,,0,,,0,0,,0,,,0,,0,0,0,,,0,0,,,,0,,0,,0,0,,,0,2,0,0,,,0,,0,0,,0,,,,0,,0,,,,,0,67,,0,0,,0,0,,C,0,0,,0,,0,0,,
CYM,0,5,"23,504","3,011",715,"1,828",,27,0,"1,665","21,064",,"2,163",2,"22,610",,879,"257,567","3,132",352,18,"27,598",30,45,"9,272",334,29,"14,152","17,499","22,866",331,497,"14,547",,20,33,37,436,"38,798","2,396",235,"3,420","524,657","7,283",23,"5,073",873,17,186,,7,"83,045","1,550",161,"1,403",18,,"19,738",C,"7,235",25,,202,370,23,"2,931",5,0,"1,278","15,780",41,25,403,"2,150","11,546","50,989",769,403,,"90,767","1,111,962",112,
CAF,0,0,C,0,,,,0,0,,0,,,0,,,0,0,,0,,,0,,0,0,0,,,0,0,,0,,0,,0,,0,0,,,0,,0,0,,,0,,0,1,,0,,,,0,,0,,,,,0,0,,0,0,,0,0,,C,0,0,,0,,0,0,,
TCD,0,0,0,0,,,,0,0,,0,,,0,,,0,0,,0,,,0,0,0,0,0,,,0,0,,0,,0,,0,,0,0,,,0,,0,0,,,0,,0,0,,0,,,,0,,0,,,,,0,0,,0,0,,0,0,,C,0,0,,0,,0,0,,
CHL,4,1,509,301,22,33,,0,0,168,"2,308",2,342,0,"1,492",172,,299,19,96,3,81,5,1,606,0,0,116,819,"3,030",39,,66,,0,0,0,,"2,111",1,10,239,"1,769",123,0,178,,13,3,,7,"4,848",0,4,0,1,,"1,807",,"2,188",,,192,C,C,0,,0,711,C,6,4,1,692,232,"3,379",68,0,,"4,413","31,328",128,
HKG,0,5,"9,187",473,7,159,28,0,0,561,"10,563",68,14,1,"8,358",,61,,"9,142",1,0,25,6,15,"2,041",0,1,698,"5,357","4,858",14,5,620,,10,14,30,559,"15,474",101,190,555,"21,405",479,"1,114","8,147",14,18,10,,4,"38,158","3,848",C,"6,266",26,95,"13,742",60,"7,813",5,,22,234,0,37,,1,"4,640","30,615",29,39,106,"1,074","5,003","7,247","4,834",0,,"52,933","150,785",0,
MAC,0,0,C,0,,1,,0,0,,24,,0,0,,,0,618,,0,,,0,0,0,0,0,C,10,2,0,,0,,0,,0,,0,0,,,122,,3,78,,,0,,0,79,0,0,182,,,4,,0,,,,C,0,306,,0,0,C,0,0,,C,15,0,227,0,,300,0,,
CHN,24,3,"5,670",470,1,444,61,0,22,742,"4,089",,17,0,"16,428",22,49,"381,389","24,114",1,19,18,4,27,"1,481",3,2,C,"10,610","5,723",5,5,"1,787",,4,16,3,"1,333","20,532",294,6,651,"18,927",866,63,"10,765",16,1,9,,103,"46,212","1,212",C,"11,489",50,2,"11,668",30,"13,416",,,8,678,0,366,C,4,"4,186","90,991",28,99,286,C,"2,875","5,775","7,670",1,,"47,957","133,274",0,
CXQ,0,0,0,0,,,,0,0,,0,,,0,,,0,0,,0,,,0,,0,0,0,,,0,0,,0,,0,,0,,0,0,,,0,,0,0,,,0,,0,1,,0,,,,0,,0,,,,,0,0,,0,0,,0,0,,C,0,,,0,,0,,,
CCQ,0,0,0,0,,,,0,0,,0,,0,0,,,0,0,,0,0,,0,,0,0,0,,,0,0,,0,,0,,0,,0,0,,,0,,0,1,,,0,,0,0,,0,,,,0,,0,,,,,0,0,,0,0,,0,0,,C,0,,,0,,285,,,
COL,0,1,324,114,106,14,,2,0,127,662,2,63,0,680,217,662,16,0,,15,48,0,1,964,0,0,76,349,"3,140",58,,128,,0,,0,0,"3,233",8,1,349,"1,429",197,1,100,,2,0,,0,"6,476",0,C,1,,,"2,529",,"1,471",,,914,C,0,0,,0,841,C,3,3,,C,142,"1,014",1,0,,"1,491","23,686",91,
COM,0,0,0,0,,,,0,0,,0,,,0,,,0,0,,0,,,0,,0,0,0,,,0,0,,0,,0,,0,,0,0,,,0,,0,0,,,0,,0,0,,0,,,,0,,0,,,,,0,0,,0,0,,0,0,,C,0,2,,0,,0,0,,
COD,0,0,0,0,,,,0,0,3,109,,,0,,,0,0,,0,,,0,,0,0,0,,0,0,0,,0,,0,,0,,0,0,,,0,,0,0,,,0,,0,19,,0,1,,,0,,0,,,,,0,0,,0,4,,0,0,,C,0,1,,0,,3,0,,
COG,0,0,0,0,,,,0,0,,0,,,0,,,0,0,,0,,,0,,3,0,0,,23,13,0,,0,,0,,0,,38,0,,0,3,,0,0,,,0,,0,4,,0,,,,2,,0,,,,,0,0,,0,0,,0,0,,C,0,0,,0,,4,255,,
COK,0,0,0,0,,,,0,0,,0,,,0,,,0,0,,0,,,0,,0,0,0,,0,0,0,,0,,0,,0,,0,0,,,0,,0,0,,,0,,0,0,,0,,,,0,,0,,,,,0,0,,0,0,10,0,0,,C,0,,,0,,0,1,,
CRI,0,0,C,22,21,,,13,0,0,245,1,2,0,40,20,7,0,,15,,46,0,,239,0,0,C,13,353,0,,13,,0,,0,,257,1,1,51,23,95,0,0,,0,0,,0,997,,C,,,,375,,6,,,243,,0,0,,0,19,C,0,0,,C,5,32,0,0,,150,"1,473",0,
CIV,0,0,C,13,,,,0,0,,140,,0,0,39,,0,192,,0,,,0,,125,0,0,C,165,188,0,,54,,0,,0,,305,0,,9,45,12,0,0,,0,1,,0,843,0,0,83,,,81,,0,,,,,0,0,,0,0,C,0,0,19,C,14,45,,3,,453,"1,022",,
HRV,0,0,C,709,,,,0,0,35,283,,4,223,111,,0,0,,0,,,10,13,429,0,7,C,219,"1,501",2,,30,,67,0,0,,531,0,1,470,57,61,0,1,,53,2,,76,"2,342",,5,6,,0,606,,70,,,0,,39,0,53,44,164,C,167,51,,C,17,189,0,2,,499,"2,591",0,
CUB,0,0,C,0,,,,0,0,,0,,,0,,,0,0,,0,,,0,,0,0,0,,28,0,0,,9,,0,0,0,,0,0,,,15,,0,0,,,0,,0,0,,0,,,,0,,0,,,,,0,0,,0,0,,0,0,,C,0,0,,0,,0,2,,690
CUW,0,7,0,202,,,,1,0,"1,300",125,,105,8,"1,738",9,1,6,3,0,,,1,119,343,,0,63,"19,485","1,779",0,5,8,,63,,0,,"1,360",0,,543,"4,329",30,63,0,,1,1,,1,"3,044",0,C,,27,,"1,327",,935,,,0,,C,25,C,1,0,C,38,38,,609,109,"4,227",,0,,139,"81,653",,
CYP,0,0,16,75,,13,,0,0,294,26,,1,3,9,,0,20,,0,,0,,54,78,0,23,C,297,251,0,219,"1,435",,6,0,5,,339,0,1,79,48,17,2,20,,13,1,,4,"5,486",12,C,45,,,144,,279,,,,,202,7,7,"5,679",0,C,65,2,1,C,88,302,0,0,66,673,"1,716",0,
CZE,0,1,170,"3,043",,14,4,11,0,"1,493",55,,,478,163,,1,37,0,0,,,8,,139,0,21,87,"3,215","6,485",2,8,316,,55,0,0,,835,0,13,"1,028",938,484,15,25,,22,2,,56,"2,926",0,C,,,0,"1,132",,"1,052",,,,,821,17,11,72,15,C,"1,353",137,3,192,115,"1,121",1,0,,"3,367","3,103",0,
DNK,0,2,"1,769","2,592",,8,43,118,0,"2,450",840,,"1,871",15,"4,250",1,127,346,36,1,3,21,11,36,,0,521,"31,812","14,573","34,519",34,17,"9,540",,5,48,0,,"8,160",311,82,"2,284","9,057","1,000",817,471,,66,6,,133,"23,741",11,102,261,13,3,"10,262",69,"22,569",,,2,C,22,349,C,0,"1,234",C,418,150,39,759,"20,332","9,278",5,2,,"22,632","69,233",0,
DJI,0,0,0,0,,,,0,0,,0,,,0,,,0,0,,0,,,0,,0,0,0,,,0,0,,0,,0,,0,,0,0,,,0,,0,0,,,0,,0,0,,0,,,,0,,0,,,,,0,0,,0,0,,0,0,,C,0,0,,0,,0,0,,
DMA,0,0,0,0,,,,0,0,,0,,,0,,,0,0,,0,,,0,,0,0,0,,,0,0,,0,,0,,0,,0,0,,,0,,0,0,,,0,,0,4,,0,,,,0,,0,,,,,0,0,,0,0,,0,0,,C,0,0,,0,,1,0,,
DOM,0,1,C,16,,,,0,0,0,6,,0,0,111,7,0,0,,0,1,47,0,,291,0,0,18,15,316,0,,27,,0,,0,,389,0,,49,64,120,0,0,,0,0,,0,"1,191",,0,,,,448,,0,,,87,,0,0,,0,113,C,0,0,,C,5,34,,0,,143,"2,265",0,
ECU,0,0,C,10,,1,,0,0,,3,,0,0,14,,30,5,,0,0,0,0,,49,0,0,C,8,58,0,,22,,0,,0,,100,0,,7,11,2,0,0,,,0,,0,973,0,0,,,,101,,0,,,10,,0,0,,0,25,,0,0,,C,0,13,,1,,52,705,1,
EGY,0,0,69,5,,564,3,0,0,2,69,,0,0,163,,0,21,,0,,0,26,0,113,,0,C,463,59,2,,278,,1,,0,1,516,0,,31,80,62,0,12,503,0,5,,0,"1,064",3,0,20,,,149,,700,,,17,,C,0,,1,80,C,0,0,155,C,36,63,5,0,,"1,181","4,649",,
SLV,0,0,C,13,,,,0,0,,346,,,0,38,9,0,0,,15,11,47,0,,238,0,0,11,6,446,0,,20,,0,,0,0,335,0,,48,49,112,0,0,,,0,,0,606,,0,,,,310,,0,,,75,,0,0,,0,78,C,0,0,,C,6,33,0,0,,88,"1,266",0,
GNQ,0,0,0,0,,,,0,0,,0,,,0,,,0,0,,0,,,0,,0,0,0,,,0,0,,0,,0,0,0,,0,0,,,0,,0,0,,,0,,0,0,,0,,,,0,,0,,,,,0,0,,0,0,,0,0,,C,0,0,,0,,0,0,,
ERI,0,0,0,0,,,,0,0,,0,,,0,,,0,0,,0,,,0,,0,0,0,,,0,0,,0,,0,,0,,0,0,,,0,,0,0,,,0,,0,0,0,0,,,,0,,0,,,,,0,0,,0,0,,0,0,,C,0,0,,0,,0,0,,
EST,0,0,C,62,,,,0,0,8,0,,,0,,,7,0,,0,,,0,13,77,0,,343,114,161,0,,4,,1,0,0,,17,0,,10,1,,0,0,,120,0,,174,303,,C,,,,40,,59,,,,,11,0,,7,0,,50,26,2,C,69,75,,0,,16,126,,
ETH,0,0,0,1,,,,0,0,0,76,,,0,,,0,0,,0,,,0,,54,22,0,C,1,112,0,,7,,0,,0,,63,0,,3,0,3,0,0,,,0,,0,248,,0,43,,,33,,0,,,,,0,0,,0,0,C,0,0,,C,1,2,,0,,9,231,,
FLK,0,0,0,0,,,,0,0,0,0,,,0,,,0,0,,0,,,0,0,0,0,0,C,0,13,0,,0,,0,,0,,0,0,,0,0,,0,0,,,0,,0,0,0,0,,,,1,,0,,,,,C,0,,0,0,C,0,0,,C,2,1,,0,,43,12,,
FRO,0,0,C,1,,,,0,0,1,6,,,0,,,0,0,,0,,,0,,722,0,0,C,5,13,0,,1,,0,27,0,,25,0,,2,0,,0,0,,0,0,,0,110,,0,,,,15,,57,,,,,0,0,C,0,0,C,0,0,,C,37,6,,0,,12,119,,
FJI,0,0,C,0,,11,,0,0,,0,,,0,,,0,0,,0,,,0,,0,0,0,,,0,0,,0,,0,,0,,0,0,,0,0,,0,0,,,0,,0,108,,0,,,,0,C,0,,,,,0,0,,0,0,C,0,0,,C,0,0,,0,,7,67,,
FIN,0,0,C,"5,507",,8,3,1,0,"4,704",670,,3,19,"2,572",5,91,683,15,22,0,10,9,41,"6,750",0,478,,"20,222","43,388",22,83,981,,5,22,0,0,"15,215",157,59,"3,338","9,723",161,381,368,0,308,2,,81,"21,271",0,199,1,,0,"26,809",337,"13,934",,,0,1,C,920,11,0,421,C,649,197,13,"1,124","21,495","7,908",3,0,,"25,183","36,823",52,
FRA,1,15,C,"31,700",38,455,115,221,0,"126,636","12,596",288,246,344,"33,264",225,754,"7,071",327,513,40,903,"1,082","1,579","17,438",42,614,"25,031",,"398,415",328,"2,757","3,587",,162,676,2,7,"166,330",138,"1,793","153,642","243,677","3,946","4,141","9,941",94,692,578,,238,"340,915",156,"1,544",71,41,1,"201,539",C,"56,609",8,,24,149,"1,478","11,281",57,86,"7,671",C,"2,358","2,065",424,"47,774","15,498","92,482",240,6,,"303,481","477,483",152,
TFQ,0,0,0,0,,,,0,0,,0,,,0,,,0,0,,0,,,0,,0,0,0,,,0,0,,0,,0,,0,,0,0,,,0,,0,0,,,0,,0,0,,0,,,,0,,0,,,,,0,0,,0,0,,0,0,,C,0,,,0,,0,,,
PYF,0,0,0,0,,,,0,0,,0,,,0,,,0,0,,0,,,0,,21,0,0,,121,0,0,,0,,0,,0,,0,0,,,0,,0,0,,,0,,0,0,,0,,,,0,,0,,,,,0,0,,0,0,,0,0,,C,0,0,,0,,0,0,,
NCL,0,0,0,0,,,,0,0,,0,,,0,,,0,0,,0,,,0,,0,0,0,,80,0,0,,0,,0,,0,,0,0,,,0,,0,0,,,0,,0,0,,0,,,,0,,0,,,,,0,0,,0,0,,0,0,,C,0,0,,0,,0,0,,
GAB,0,0,0,5,,,,0,0,8,75,,,0,32,,0,0,,0,,,0,,52,0,0,C,433,152,0,,0,,0,,0,,96,1,,14,4,2,0,0,,0,0,,0,242,,0,2,,,120,,0,,,,,0,0,,0,29,C,0,0,,C,3,32,,0,,211,330,,
GMB,0,0,0,0,,,,0,0,,0,,,0,,,0,0,,0,,,0,,0,0,0,,,0,0,,0,,0,,0,,0,0,,,0,,0,0,,,0,,0,0,3,0,,,,0,,0,,,,,0,0,,0,0,,0,0,,C,0,1,0,0,,2,0,,
GEO,0,0,0,12,,,,0,0,,6,,,0,22,,0,0,,0,,,0,2,132,0,3,C,23,155,0,,24,,4,,0,,64,16,141,32,4,,1,0,,10,1,,12,659,0,0,0,,,80,,0,,,,,6,0,,1,34,C,0,0,,C,11,21,0,0,,168,578,,
DEU,8,16,"33,356","60,893",,374,319,151,0,"48,939","7,320",159,302,562,"28,507",372,"3,895","11,549",174,458,28,151,474,812,"58,267",58,692,"32,925","241,284",,359,"1,838","4,739",,550,604,3,8,"126,563",214,"3,861","74,346","153,197","8,847","3,947","3,974",122,"1,145",52,,301,"311,414",356,"1,382",22,136,5,"266,306",929,"73,997",,,29,218,646,"15,038",170,151,"7,699","25,039","1,773","1,913",655,"25,688","37,488","88,325",441,54,,"312,411","370,053",30,
GHA,0,0,C,46,,0,,0,0,,169,,,0,,,0,24,,0,,,0,,77,0,0,C,31,96,0,,7,,0,,0,,125,0,,19,9,20,0,0,,0,3,,0,"1,757",,C,88,,,130,,35,,,,,0,0,,0,61,C,0,0,67,C,1,18,,0,,758,964,0,
GIB,0,0,C,183,,,,0,0,1,116,,,0,,,0,0,,0,,,1,0,1,0,0,C,28,56,,,119,,0,,0,,18,11,,73,3,,0,0,,0,1,,0,88,,0,,,,2,,77,,,,,C,0,C,0,0,C,0,8,,C,12,86,,0,,329,384,,
