,ARG,ABW,AUS,AUT,BHS,BHR,BRB,BEL,BMU,BRA,BGR,CAN,CYM,CHL,HKG,MAC,COL,CRI,CYP,CZE,DNK,EGY,EST,FIN,FRA,DEU,GIB,GRC,GGY,HUN,ISL,IND,IDN,IRL,IMN,ISR,ITA,JPN,JEY,KAZ,KOR,KWT,LBN,LUX,MYS,MLT,MUS,MEX,NLD,ANT,NZL,NOR,PAK,PAN,PHL,POL,PRT,ROU,RUS,SGP,SVK,ZAF,ESP,SWE,CHE,THA,TUR,UKR,GBR,USA,URY,VEN
GEO,0,0,,0,0,0,,4,0,,0,0,,0,0,0,0,,22,,0,,,,0,0,,,1,,,0,,0,0,0,,0,,,0,,0,216,,0,,,0,0,,,,,0,0,0,,3,,0,0,0,,0,0,,,0,0,0,0
DEU,230,0,"6,793","71,275",142,502,621,"50,431","11,910",111,62,"9,633",728,631,"11,171",365,54,1,800,"2,173","34,651",153,322,"19,443","201,799",,86,"6,113","12,071",163,79,2,2,"90,281",346,326,"118,616","157,632","16,898",587,342,238,237,"230,414",167,606,1,15,"187,035",58,362,"37,566",,35,224,660,"17,455",571,835,"9,088",407,161,"63,715","24,426","94,699",10,104,,"153,187","197,487",4,0
GHA,0,0,,0,0,0,,0,0,,0,0,,0,0,,0,,0,,0,,,,0,0,,,6,,,0,,0,17,0,0,0,,,0,,0,14,,0,6,,0,0,,3,,,0,0,0,,0,,0,0,0,,0,0,,,0,4,0,0
GIB,0,0,,89,0,0,,82,0,0,0,0,,0,C,,0,,0,,0,,,,8,264,,,116,,,0,,25,,0,361,0,,,0,,0,374,,0,,,0,0,,1,,,0,C,373,,0,,0,0,167,0,166,0,,,"1,633",64,0,0
GRC,0,0,241,"7,893",0,0,,"17,094",119,0,7,411,,0,163,4,0,,300,602,"1,165",1,5,"1,596","38,616","31,371",,,619,0,3,0,,"8,468",28,0,"13,991","4,832",139,24,1,0,0,"18,666",0,150,1,,"16,827",5,15,"2,771",,,2,C,"1,071",,0,177,6,8,"3,167","1,322","1,777",0,,,"17,555","8,290",24,0
GRL,0,0,,0,0,0,,0,0,,0,0,,0,0,,0,,0,,58,,,,0,0,,,,,,0,,0,,0,,0,,,0,,0,0,,0,,,10,0,,,,,0,0,0,,0,,0,0,0,,0,0,,,0,0,0,0
GRD,0,0,,0,4,0,,0,0,0,0,0,,0,0,,0,,0,,0,,,,0,0,,,,,,0,,0,1,0,,0,,,0,,0,3,,0,,,0,0,,,,,0,0,0,,0,,0,0,0,,1,0,,,C,2,0,0
GLP,0,0,,0,0,0,,0,0,,0,0,,0,0,,0,,0,,0,,,,0,0,,,,,,0,,0,,0,,0,,,0,,0,0,,0,,,0,0,,,,,0,0,0,,0,,0,0,0,,,0,,,0,0,0,0
GUM,0,0,,0,0,0,,1,0,0,0,0,,0,C,,0,,0,,0,,,,0,0,,,,,,0,,0,,0,,0,,,0,,0,0,,0,,,0,0,,,,,0,0,0,,0,,0,0,0,,,0,,,0,,0,0
GTM,0,0,,5,35,0,,0,0,0,0,1,,0,0,,0,4,0,,7,,,,0,16,,,,,,0,,7,,0,3,1,,,0,,0,52,,0,,,3,0,,,,158,0,0,0,,0,,0,0,0,,0,0,,,C,173,0,0
GGY,0,0,,654,0,1,,383,16,11,0,171,86,0,353,27,0,,0,,131,,,201,"2,179","5,699",,83,,0,0,0,,221,579,0,934,0,46,,0,184,0,"3,694",,0,3,,"1,178",156,,,,0,0,0,93,,0,,1,479,63,,"8,825",0,,,"2,453","5,941",4,0
GUF,0,0,,0,0,0,,0,0,,0,0,,0,0,,0,,0,,0,,,,0,0,,,,,,0,,0,,0,0,0,2,,0,,0,0,,0,,,0,0,,,,,0,0,0,,0,,0,0,0,,,0,,,0,0,0,0
GIN,0,0,,0,0,0,,0,0,,0,0,,0,0,,0,,0,,0,,,,0,0,,,,,,0,,0,,0,,0,,,0,,0,0,,0,0,,0,0,,,,,0,0,0,,0,,0,0,0,,2,0,,,0,0,0,0
GNB,0,0,,0,0,0,,0,0,,0,0,,0,0,,0,,0,,0,,,,0,0,,,,,,0,,0,,0,,0,,,0,,0,0,,0,,,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,,,0,0,0,0
GUY,0,0,,0,0,0,3,0,0,,0,0,,0,0,,0,,0,,0,,,,1,0,,,,,,0,,0,,0,,0,,,0,,0,0,,0,,,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,,,1,0,0,0
HTI,0,0,,0,0,0,,0,0,,0,0,,0,0,,0,,0,,0,,,,0,0,,,,,,0,,0,,0,,0,,,0,,0,0,,0,,,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,,,C,0,0,0
HND,0,0,,0,1,0,,0,0,,0,0,,0,1,,0,,0,,0,,,,0,0,,,,,,0,,0,,0,,0,,,0,,0,8,,0,,,0,0,,,,88,0,0,0,,0,,0,0,0,,0,0,,,0,43,0,0
HUN,0,0,C,"3,826",0,0,,"1,037",26,0,13,120,,28,53,,0,,101,255,531,,56,,"1,891","9,269",,90,111,,1,0,,"1,490",1,0,463,"1,174",33,,54,,0,"10,454",0,0,,,"1,417",5,,277,,,0,251,145,,24,10,516,3,214,324,317,0,,,"5,111","5,104",0,0
ISL,0,0,C,825,0,0,,350,62,,0,35,,0,189,15,0,,65,157,139,,7,433,"2,284","3,815",,71,94,,,0,,"1,265",0,0,756,550,6,,21,,0,"3,258",,0,,,109,10,,372,,,0,0,197,,0,,0,0,547,508,226,0,,,"2,327",243,0,0
IND,0,0,C,33,0,74,,72,10,0,0,737,,0,"1,738",1,0,,26,1,547,1,,234,"1,166",304,,,30,,0,,23,473,19,0,222,382,185,,36,,0,"6,570",5,0,"22,974",,802,2,,5,,,3,C,0,,0,"3,179",1,0,"2,222",19,151,2,,,"6,064","23,525",0,0
IDN,0,0,C,34,0,0,,16,599,,0,256,,0,578,0,0,,15,,148,0,,,320,189,,,273,,0,0,,281,1,0,139,191,91,,34,,0,"2,241",9,0,"5,610",,700,6,,16,,,3,0,0,,0,"3,153",0,1,17,48,195,147,,,"2,156","6,987",0,0
IRN,0,0,,12,0,130,,0,0,,0,0,,2,39,,0,,0,3,5,,,,11,48,,,,,,0,,0,0,0,7,0,10,,0,,0,0,,0,,,0,0,,,,,0,0,0,,2,,0,0,0,78,17,0,,,888,C,0,0
IRQ,0,0,C,0,0,0,,0,0,,0,0,,0,0,,0,,0,,0,,,,0,0,,,,,,0,,0,,0,,0,,,0,0,0,0,,0,,,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,,,C,C,0,0
IRL,0,0,571,"8,666",55,16,14,"12,754","5,708",16,0,"3,032",757,"1,694","4,238",191,130,3,252,923,"2,900",17,53,"5,194","58,213","71,396",5,290,"5,820",79,347,0,,,"1,853",68,"42,024","36,507","8,616",13,569,12,35,"33,161",93,98,63,5,"17,808",70,,"3,219",,4,21,137,"14,970",,763,"2,342",97,"3,457","15,630","3,616","12,211",11,1,,"80,032","55,264",0,0
IMN,0,0,,3,0,0,,0,0,0,0,0,,0,0,0,0,,0,,9,,,,0,7,,,45,,0,0,,14,,0,14,0,8,,0,,0,71,37,0,1,,0,0,,,,,0,0,0,,0,,0,255,0,,14,0,,,"1,646",15,0,0
ISR,0,0,C,196,0,0,,66,17,10,0,557,,0,14,0,0,,0,0,179,0,,28,393,365,,1,72,5,1,0,,411,0,,267,"1,051",17,,0,,0,"1,267",,0,1,,663,2,,58,,2,0,0,0,,0,68,0,3,28,33,293,55,0,,"2,874","34,315",2,0
ITA,17,0,"2,222","16,405",0,0,4,"76,528",914,19,199,"5,079",200,15,"1,675",23,13,0,508,729,"7,736",40,41,"6,700","233,574","153,198",8,624,"6,397",17,16,0,2,"87,097",52,25,,"66,069","1,779",158,103,176,36,"130,302",35,401,12,1,"76,942",52,51,"10,631",,2,366,65,"5,143",4,16,"2,264",77,70,"68,613","5,538","10,873",121,1,,"117,532","77,710",40,7
JAM,0,0,,34,0,0,,46,0,,0,0,,0,1,,0,1,0,,40,,,,20,221,,,,,,0,,0,,0,12,2,8,,0,,0,48,,0,,,1,3,,,,,0,0,0,,0,,0,0,0,,29,0,,,39,204,0,0
JPN,14,7,"11,570","2,226",4,140,87,"2,488","7,799",3,0,"24,176",22,15,"9,960",60,0,,118,6,"5,293",138,1,"1,609","47,279","34,462",7,72,"2,085",4,128,4,0,"33,452",146,65,"13,519",,"2,909",303,"1,142",10,7,"74,712",53,55,509,,"34,310",23,"1,876","15,299",,0,12,2,165,,4,"13,122",3,270,"2,015","11,433","14,878",50,,,"128,637","369,806",0,0
JEY,0,0,C,"4,243",0,0,0,"3,451","2,243",,0,184,,0,174,10,11,,41,103,673,,,357,"6,185","15,198",0,847,787,6,0,0,,"5,849",377,0,"5,921",0,,,0,44,4,"6,941",26,42,27,,"5,466",0,,,,,0,295,"5,609",,0,22,0,"2,523",255,,"35,435",0,,,"37,922","12,352",0,0
JOR,0,0,,0,0,11,,0,0,,0,0,,0,2,,0,,24,,0,37,,,0,0,,,,,,0,,11,,0,,0,,,0,8,3,10,1,0,,,8,0,,,,,0,0,0,,0,,0,0,0,,1,0,,,C,41,0,0
