,ARG,ABW,AUS,AUT,BHS,BHR,BRB,BEL,BMU,BOL,BRA,BGR,CAN,CYM,CHL,HKG,MAC,COL,CRI,CMQ,CYP,CZE,DNK,EGY,EST,FIN,FRA,DEU,GIB,GRC,GGY,HUN,ISL,IND,IDN,IRL,IMN,ISR,ITA,JPN,JEY,KAZ,KOR,KWT,LVA,LBN,LTU,LUX,MYS,MLT,MUS,MEX,MNG,NLD,NZL,NOR,PAK,PAN,PHL,POL,PRT,ROU,RUS,SGP,SVK,SVN,ZAF,ESP,SWE,CHE,THA,TUR,UKR,GBR,USA,URY,VEN
MLT,0,,0,32,,,0,38,0,,0,0,,,0,0,,42,,,0,11,41,27,1,0,906,84,6,0,377,,,,0,202,12,,230,17,65,0,0,8,41,,1,482,,,10,,,49,,32,,0,,0,0,,10,C,,0,622,C,231,253,,0,,159,138,,0
MHL,0,,0,5,,,0,2,18,,6,0,147,,0,0,,0,5,0,0,0,33,0,,53,20,10,,,4,0,0,,0,25,0,,9,32,2,0,0,,0,,0,166,1,,0,,,27,,34,,0,,C,0,,0,C,,0,,C,0,222,0,0,,123,"8,160",0,0
MTQ,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,,0,0,,0,,0,,,0,,,,0,0,0,,,0,,0,0,,,,0,0,,,0,,,0,,,,0,,0,0,,0,,,0,,0,0,0,,0,,0,0,,0
MRT,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,,0,0,,0,,0,,,0,,,,0,0,0,,,2,,0,0,4,,,0,0,,,30,,,6,,,,0,,0,0,,0,,,0,,0,0,0,,0,,0,19,,0
MUS,0,,20,1,,18,0,8,1,,0,0,3,,0,429,3,0,,1,0,106,56,0,,C,81,36,5,,257,3,,15,49,870,152,,8,"1,790",425,0,11,46,,,0,"3,179",36,,,,,185,,4,0,0,3,0,0,,0,"1,136",,0,800,C,90,186,0,0,,471,"4,769",,0
MYT,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,,0,0,,0,,0,,,0,,,,0,0,0,,,0,,0,0,,,,0,0,,,0,,,0,,,,0,,0,0,,0,,,0,,0,0,0,,0,,0,7,,0
MEX,7,1,"1,523",565,,136,1,463,"2,968",,332,0,"4,483","3,007",895,362,36,39,11,85,2,3,"2,021",0,4,158,"2,486","6,405",1,30,922,1,0,0,0,"5,687",1,4,997,"11,926",189,0,659,,1,2,0,"22,202",4,6,1,,,"6,140",C,"1,632",,484,0,0,43,,0,C,4,49,4,585,715,"3,185",123,1,,"20,917","108,493",62,8
FSM,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,,0,0,,0,,0,,,0,,,,0,0,0,,,0,,0,0,,,,0,0,,,0,,,0,,,,0,,0,0,,0,,,0,,0,0,0,,0,,0,0,,0
MDA,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,,0,0,,0,,0,,,1,,,,0,0,0,,,0,,0,0,,,,0,59,,,0,,,0,,,,0,,0,0,0,0,,,5,,0,0,0,,0,,0,0,,0
MCO,0,,0,0,,,0,0,0,,0,0,,,0,0,,0,,,0,,0,0,,0,,0,,,0,,,,0,0,0,,12,0,2,0,0,,,,0,1,,,0,,,0,,,,0,,0,0,,0,,,0,7,0,0,0,,0,,0,9,,0
MNG,0,,C,0,,,0,,0,,0,0,,,2,0,,0,,,0,,2,0,,0,,0,,,13,,,,0,0,0,,2,1,,0,13,,0,,0,117,,,0,,,50,,,,0,,0,0,,0,C,,0,,0,4,7,,0,,294,17,,0
