,ARG,ABW,AUS,AUT,BHS,BHR,BRB,BEL,BMU,BOL,BRA,BGR,CAN,CYM,CHL,HKG,MAC,COL,CRI,CMQ,CYP,CZE,DNK,EGY,EST,FIN,FRA,DEU,GIB,GRC,GGY,HUN,ISL,IND,IDN,IRL,IMN,ISR,ITA,JPN,JEY,KAZ,KOR,KWT,LVA,LBN,LTU,LUX,MYS,MLT,MUS,MEX,MNG,NLD,NZL,NOR,PAK,PAN,PHL,POL,PRT,ROU,RUS,SGP,SVK,SVN,ZAF,ESP,SWE,CHE,THA,TUR,UKR,GBR,USA,URY,VEN
AFG,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,,0,0,,0,,0,,,0,,,,0,0,0,,,0,,0,0,,,0,0,0,,,0,,,0,,6,,,,0,0,,0,,,0,,C,0,0,,0,,0,0,0,0
ALB,0,,C,21,,,0,,0,,0,3,,,19,0,,0,,,0,,0,0,,0,3,32,3,120,0,,,,0,13,0,,44,0,,0,0,,0,,0,94,,,0,,,5,,6,,,,C,0,,0,,,0,,C,0,24,,0,,73,82,0,0
DZA,0,,0,0,,,0,,0,,0,0,,,0,25,,0,,,2,,3,0,,0,399,0,,,0,,,0,0,0,0,,,0,,0,0,165,,,0,0,,,6,,,0,,,,,,0,16,,0,,,0,,0,0,1,,0,,"1,136",0,0,0
ASM,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,,0,0,,0,,0,,,0,,,,0,0,0,,,0,,0,0,,,,0,0,,,0,,,0,,12,,,,0,0,,0,,,0,,0,0,0,,0,,0,0,0,0
AND,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,,0,0,,0,1,0,,,0,,,,0,0,0,,,19,8,0,0,,,,0,1,,,0,,,0,,,,,,0,0,,0,,,0,,0,0,0,,0,,6,5,0,0
AGO,0,,0,0,,,0,,0,,1,0,,2,0,0,,0,,,0,,0,0,,0,,0,,,16,,,,0,1,0,1,,0,42,0,0,,,,0,0,,,0,,,0,,1,,,,0,447,,0,,,0,79,0,0,0,,0,,134,7,,0
AIA,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,,0,0,,0,9,0,,,0,,,,0,0,0,,,0,,0,0,,,,0,0,,,0,,,0,,,,,,0,0,,0,,,0,,0,0,0,,0,,0,403,,0
ATG,0,,0,0,,,1,0,0,,0,0,,,0,0,,0,,,0,0,0,0,,0,0,0,,0,0,,,,0,4,0,,1,0,,0,0,,30,,0,1,0,,0,,,0,,,,,,0,0,,0,C,,0,,C,0,0,,0,,0,44,,0
ARG,,,18,238,127,2,0,34,140,,132,0,105,56,147,42,,2,7,12,4,2,544,0,,C,291,780,,3,187,0,1,,0,175,1,1,"2,972",575,15,0,27,,3,22,0,"3,095",0,,18,2,,621,,44,,17,0,5,0,,1,C,,0,2,C,19,178,0,1,,"2,234","9,584",89,112
ARM,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,,0,0,,0,17,0,,,0,,,,0,0,0,,,0,,0,0,,,,0,138,,,0,,,3,,,,0,,0,0,,1,,,0,,0,0,1,,0,,0,0,,0
ABW,0,,0,10,,,1,,0,,1,0,,22,0,0,,0,,247,0,,0,0,,0,,3,,,1,,,,0,4,0,,0,534,,0,0,,,,0,6,,,0,,,0,,,,0,,0,0,,0,,,0,,0,0,1,,0,,48,548,,0
AUS,2,2,,"2,163",18,162,"1,055","4,949","7,166",5,9,0,"19,148",285,51,"30,373",548,24,7,80,108,73,"1,303",0,,"1,227","23,449","18,733",5,84,"1,319",3,20,138,129,"22,720",233,440,"4,627","156,562","1,977","1,201","2,371",,36,51,5,"40,871","1,301",345,260,8,65,"20,418","15,671","10,908",0,27,188,1,503,0,67,"24,679",169,143,505,"1,824","5,914","25,029","2,419",2,,"89,755","333,584",57,2
AUT,0,,"1,396",,15,25,212,"15,084","1,059",,208,89,950,15,56,423,14,1,56,1,186,"2,411","3,253",0,168,"3,844","72,705","92,011",17,769,572,877,17,,2,"6,631",29,79,"17,717","16,236","1,891",439,64,,19,0,68,"26,860",50,428,0,,0,"32,357",C,"5,841",0,1,,442,"2,028",500,90,C,"1,589",922,39,"6,753",574,"2,064",,5,,"7,107","11,522",36,0
AZE,0,,0,0,,,0,,0,,0,0,,,0,0,,1,,,0,,0,0,,0,,0,,,7,,,,0,0,0,,,0,34,0,0,,0,0,0,115,,,0,,0,3,,1,,0,,0,0,,1,,,0,,0,0,4,,0,,67,7,,0
BHS,0,,C,57,,,368,9,0,,"2,509",0,289,665,8,11,12,0,,785,0,0,281,0,,108,379,10,1,,456,0,,,0,308,2,,59,"1,692",696,0,0,118,0,0,0,"1,238",7,,0,,,98,,90,,7,0,0,32,,2,C,,0,0,C,127,"1,770",,0,,35,"5,253",0,0
BHR,0,,0,38,,,0,3,116,,0,0,1,,0,48,0,0,,,17,0,17,64,,0,120,94,1,3,59,,,0,0,61,0,,8,36,496,0,0,"6,781",,332,0,143,52,,0,,,9,,80,11,1,0,0,0,C,0,C,,0,,C,0,51,0,6,,489,0,,0
BGD,0,,0,0,,,0,1,0,,0,0,,,0,349,,0,,,1,,94,0,,0,,0,,,0,,,0,4,8,0,,,0,31,0,0,38,,,0,29,,,0,,,0,,2,,0,,0,0,,0,C,,0,,0,0,0,,0,,174,80,,0
BRB,0,2,0,34,,,,1,199,,0,0,45,9,0,0,,0,5,,0,,15,0,,0,,32,,,52,,,,0,100,0,,3,24,,0,0,,,,0,172,,,0,,,19,,,,3,,0,0,,0,,,0,,0,0,9,23,0,,68,"1,580",0,0
BLR,0,,0,12,,1,0,,0,,0,5,,,0,0,,0,,,49,,26,0,,0,9,39,,,37,1,0,,0,4,0,1,35,13,,0,0,,0,0,2,197,,,0,,,22,,,,0,,0,0,C,551,C,0,0,,0,0,0,,1,,285,239,0,0
BEL,0,0,"1,067","4,182",,49,10,,"1,204",,115,129,"2,635",,19,360,7,0,1,22,691,"2,111","1,776",17,181,"1,803","102,714","33,683",26,273,572,135,1,1,0,"10,089",13,26,"8,347","14,326","1,208",104,241,62,6,68,29,"54,151",0,224,0,,,"24,232",C,"6,526",0,0,0,45,"2,605",0,4,C,352,577,22,"8,248","1,246","5,771",5,0,,"29,938","34,015",65,0
BLZ,0,,0,4,,0,1,0,0,,5,0,,1,0,3,,0,2,,0,,25,0,,0,4,12,,,0,,,,0,4,0,,1,2,,0,0,,22,,0,17,,,7,,,8,,,,0,,0,0,,19,C,,0,,C,0,0,,0,,0,308,0,0
BEN,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,,2,0,,0,18,0,,,0,,,,0,0,0,,,0,23,0,0,,,,0,5,,,0,,,0,,,,0,,0,0,,0,,,0,,0,0,0,,0,,0,1,,0
BMU,0,1,"3,308",322,30,92,57,843,,,"2,658",2,"9,465",9,43,"73,525",533,0,1,185,69,69,"1,473",0,6,962,"4,872","2,091",2,10,"3,718",7,15,96,13,"5,742",653,74,715,"19,942",336,12,642,53,0,9,2,"18,306",162,,47,,,"5,024",C,"3,724",1,16,0,5,30,0,194,"5,912",,7,"13,142",245,"2,468","3,729",20,1,,"13,456","160,894",41,0
BTN,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,,0,0,,0,,0,,,0,,,,0,0,0,,,0,,0,0,,,,0,0,,,0,,,0,,14,,0,,0,0,,0,,,0,,0,0,0,,0,,0,0,,0
BOL,0,,0,0,,,0,,0,,64,0,,1,0,0,,0,,,0,,0,0,,0,,0,,,0,,,,0,0,0,,,0,,0,0,,,,0,49,,,0,,,5,,,,0,,0,0,,0,,,0,,0,0,1,,0,,205,0,2,0
BES,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,,0,,,,,0,,,0,,,,0,0,,,,0,,0,0,,,,0,75,,,0,,,0,,,,0,,0,0,,0,,,0,,0,0,0,,0,,0,0,,0
BIH,0,,0,8,,,0,,0,,0,0,,,0,0,,0,,0,0,,66,0,,C,1,14,,,4,,0,,0,30,0,,-2,0,,0,5,27,,,1,253,20,,0,,,10,,,,0,,0,0,,0,,,38,,0,0,0,,0,,86,102,,0
BWA,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,,2,0,,0,0,0,,,0,,,,0,9,0,,,0,12,0,0,,,,0,1,,,78,,,1,,,,0,,0,0,,0,,,0,55,0,0,0,,0,,11,63,,0
BRA,424,1,"3,693",468,"4,174",737,7,539,"4,311",8,,1,"11,765","17,366","3,970",241,18,259,51,120,1,15,"3,218",0,4,C,"7,759","5,037",3,31,"2,530",6,4,0,0,"11,599",11,64,"1,987","28,890",388,0,"4,470",,3,18,0,"52,924",14,,2,721,,"11,839",182,"7,915",,463,0,1,"1,102",C,14,C,9,89,509,C,"2,159","3,496",5,42,,"106,009","196,178",139,30
IOQ,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,,0,0,,0,,0,,,0,,,,0,0,0,,,0,,0,0,,,,0,0,,,0,,,0,,,,0,,0,0,,0,,,0,,0,0,,,0,,0,0,,0
BRN,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,,0,0,,0,19,0,,,0,,,,1,0,0,,,0,5,0,0,,,,0,0,0,,0,,,0,,,,0,,0,0,,0,C,,0,,0,0,0,,0,,0,0,0,0
BGR,0,,C,371,,,0,3,0,,0,,,,0,0,,0,,,37,0,10,0,9,C,171,274,,630,0,16,0,,0,57,0,,31,6,11,0,0,,6,,4,102,0,,0,,0,21,,,,0,,3,0,52,3,C,15,2,,C,4,30,,0,,21,216,0,0
BFA,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,,0,0,,0,31,0,,,0,,,,0,0,0,,,0,,0,0,,,,0,0,,,0,,,0,,,,0,,0,0,,0,,,0,,0,0,0,,0,,0,0,,0
BDI,0,,0,9,,,0,,0,,0,0,,,0,0,,0,,,0,0,7,0,,0,,0,,,0,,,,0,0,0,,8,0,,0,0,,,,0,52,,,0,,,0,,,,0,,0,0,,0,,,0,,0,0,0,,0,,0,0,,0
KHM,0,,0,0,,,0,,0,,0,0,,,0,C,,0,,,0,,0,0,,0,,0,,,0,,,,0,1,0,,,0,,0,0,,,,0,145,0,,0,,,0,,3,,0,,0,0,,0,,,0,,0,0,3,,0,,0,0,,0
CMR,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,,0,0,,0,547,0,,,0,,,,0,1,0,,,0,,0,0,,,,0,7,0,,0,,,0,,,,0,,0,0,,0,,,0,,0,0,0,,0,,38,3,,0
CAN,7,5,"15,526","2,055",34,80,"1,507","3,379","13,533",5,37,3,,340,"1,531","6,896",245,442,9,108,352,70,"2,726",0,6,794,"22,718","22,137",33,389,"1,720",9,127,7,0,"22,651",122,185,"2,701","60,659",864,"1,260","1,288",40,119,34,3,"39,920",31,50,23,43,1,"12,048",C,"16,857",,54,0,53,236,6,947,C,8,44,287,535,"7,523","27,805",76,6,,"29,236","736,180",84,5
CPV,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,,0,0,,0,,0,,,0,,,,0,0,0,,,0,,0,0,,,,0,0,,,0,,,0,,,,0,,0,64,,0,,,0,,0,0,0,,0,,0,0,,0
CYM,0,4,C,"5,066",104,"1,212",356,"3,702","5,451",,"4,289",0,"12,035",,578,"178,431","1,051",490,10,"3,688",94,38,"5,315",138,30,"9,035","35,492","24,560",49,503,"28,328",3,61,8,82,"28,314","2,085",171,"4,162","560,358","6,727",5,"5,706","7,814",10,75,7,"56,609",749,107,418,751,,"20,669",C,"4,680",,112,293,C,"8,837",8,94,"7,361",32,27,131,C,"7,307","30,819",344,114,,"109,174","708,764",59,12
CAF,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,,0,0,,0,0,0,,,0,,,,0,0,0,,,0,,0,0,,,,0,0,,,0,,,0,,,,0,,0,0,,0,,,0,,0,0,0,,0,,0,0,,0
TCD,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,,0,0,,0,,0,,,0,,,,0,0,0,,,0,,0,0,,,,0,0,,,0,,,0,,,,0,,0,0,,0,,,0,,0,0,0,,0,,0,0,,0
CHL,7,,310,83,7,67,1,16,581,11,71,0,609,85,,72,4,27,4,99,0,0,293,0,,C,476,906,,,130,1,0,2,0,701,0,1,60,622,148,0,91,,0,,0,"3,562",0,,4,2,,956,C,649,,120,,0,0,,0,C,1,3,1,C,200,384,57,0,,"4,184","23,871",226,8
HKG,0,1,"6,495",373,,9,0,307,475,,8,0,"7,910",104,20,,"7,978",0,0,21,3,19,"1,638",0,1,550,"4,064","2,207",1,13,556,6,15,69,165,"10,077",211,144,612,"14,513",326,35,"5,588",59,0,3,0,"25,548","2,375",,"1,334",,104,"8,251",C,"3,108",2,5,169,C,46,,8,"14,168",1,48,144,"5,067","2,516","2,860","1,129",2,,"33,696","115,644",0,0
MAC,0,,C,0,,,0,,0,,0,0,,,0,291,,0,,,0,,0,0,,0,,0,,,0,,,,0,1,0,,,47,2,1,8,,,,0,13,,,0,,,0,,,,0,,0,122,,0,C,,0,,0,8,0,28,0,,94,0,,0
CHN,22,0,"3,398",365,,11,27,372,618,,3,0,"6,182",25,78,"213,678","4,429",0,8,7,1,328,"1,128",4,,510,"10,490","2,355",4,10,"1,653",3,5,0,312,"13,589",42,44,655,"10,650",393,33,"6,986",332,0,67,3,"34,763",416,,"6,417",40,1,"7,358",C,"3,614",,9,255,C,27,,12,"43,777",1,72,277,C,"1,532","1,689",655,5,,"29,331","76,799",1,0
CXQ,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,,0,0,,0,,0,,,0,,,,0,0,0,,,0,,0,0,,,,0,1,,,0,,,0,,,,0,,0,0,,0,,,0,,0,0,0,,0,,0,0,,0
CCQ,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,,0,0,,0,0,0,,,0,,,,0,0,0,,,0,,0,0,,,,0,0,,,0,,,0,,,,0,,0,0,,0,,,0,,0,0,0,,0,,0,0,,0
COL,0,,83,79,29,1,70,11,"1,721",9,11,0,295,66,685,11,,,17,87,0,0,600,0,,C,315,"1,269",,0,290,,,,0,537,0,,123,"1,612",133,0,34,,0,,0,"3,279",0,,11,,,"1,287",C,75,,819,,0,0,,0,C,1,0,,C,67,147,1,0,,"1,950","15,415",192,9
COM,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,,0,0,,0,,0,,,0,,,,0,0,0,,,0,,0,0,,,,0,0,,,0,,,0,,,,0,,0,0,,0,,,0,,0,0,0,,0,,0,0,,0
COD,0,,0,0,,,0,21,0,,0,0,,,0,0,,0,,,0,,0,0,,0,21,0,,,0,,,,0,1,0,,,0,2,0,0,,,,0,4,,,17,,,0,,,,0,,0,0,,0,,,0,12,0,0,0,,0,,421,0,,0
COG,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,,29,0,,0,0,0,,,0,,,,0,6,0,,0,0,,0,0,,,,0,14,,,0,,,3,,,,0,,0,0,,0,,,0,,0,0,0,,0,,13,177,,0
COK,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,,0,0,,0,,0,,,0,,,,0,0,1,,,0,,0,0,,,,0,0,,,0,,,0,,,,0,,0,0,,0,C,,0,,0,0,0,,0,,0,6,,0
CRI,0,,0,4,,,3,,77,,0,0,,13,2,C,,0,,,0,,1,0,,0,3,23,,0,1,,,,0,10,0,,2,0,,0,0,,,,0,60,,,0,,,13,,,,108,,0,0,,0,,,0,,C,0,4,,0,,59,153,0,0
CIV,0,,C,6,,1,0,,0,,0,0,1,,0,C,,0,,,0,,81,0,,0,142,14,,0,46,,,,0,5,0,,3,22,12,0,0,,0,0,0,262,0,,16,,,44,,,,0,,0,0,,0,C,,0,11,0,0,0,,0,,285,289,,0
HRV,0,,C,"1,026",,1,0,25,0,,0,30,3,,0,1,,0,,,2,3,223,0,16,22,"1,467",916,,31,51,60,0,,0,238,0,,315,60,29,0,1,,14,0,13,952,,3,1,,0,254,,47,,0,,C,0,11,0,,117,53,,C,8,83,2,0,,452,"1,337",,0
CUB,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,,0,0,,0,0,0,,,8,,1,,0,0,0,,,0,,0,0,,,2,0,0,,,0,,,0,,,,0,,0,0,,0,,,0,,0,6,0,,0,,36,0,190,33
CUW,0,38,0,616,,,6,"2,683",55,,0,10,"1,290",6,0,52,0,0,0,,26,357,164,,1,,"39,160","1,603",1,98,9,27,,,0,584,,20,"1,099","12,586",80,0,0,,0,,3,"3,248",1,,0,1,,"1,901",,804,,16,,16,207,C,1,C,,29,,912,55,"2,347",,0,,242,"69,707",2,0
CYP,0,,C,445,,4,0,212,17,,0,1,100,1,0,610,,0,0,,,67,73,0,17,96,291,"1,003",2,"2,806",522,1,0,2,0,164,0,,68,9,9,0,9,,38,2,13,"1,154",10,24,73,,,216,C,580,,0,,86,0,3,"5,236",C,158,6,3,C,193,70,,0,11,"1,608","1,545",,0
CZE,0,,208,"3,117",,,0,"1,887",7,,0,505,126,,0,103,,0,,1,19,,186,0,39,C,"2,636","5,881",,12,101,226,1,0,0,607,0,1,996,978,598,26,59,,9,,29,"3,734",1,10,0,,0,"2,125",C,318,,0,,346,18,8,20,C,805,174,,C,109,894,,0,,"2,339","4,279",,0
DNK,0,0,"1,068","2,892",5,28,78,"3,227",926,2,"1,847",0,"1,821",32,288,705,31,6,1,15,49,23,,0,39,"32,121","11,667","25,206",133,28,"9,075",3,144,0,0,"4,998",206,83,"2,412","12,611","1,229",22,153,10,27,7,144,"16,640",17,38,170,,3,"8,378",C,"25,534",,13,0,6,465,C,20,C,39,130,16,831,"21,932","8,882",6,0,,"17,829","43,235",0,0
DJI,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,,0,0,,0,,0,,,0,,,,0,0,0,,,0,3,0,0,,,,0,0,,,0,,,0,,,,0,,0,0,,0,,,0,,0,0,0,,0,,0,0,,0
DMA,0,,0,0,,,5,,0,,0,0,,,0,0,,0,,,0,,0,0,,0,,0,,,0,,,,0,0,0,,,0,,0,0,,,,0,2,,,0,,,0,,,,0,,0,0,,0,,,0,,0,0,0,,0,,1,0,,0
DOM,0,,0,28,7,1,1,4,14,,0,0,38,3,6,C,,0,2,40,0,,56,0,,C,17,101,,,22,,,,0,36,0,,33,75,39,0,0,,,0,0,419,,,0,,,111,,,,124,,0,0,,0,,,0,,C,0,12,,0,,87,866,,1
ECU,0,,0,4,,0,0,,0,,1,0,,1,0,9,,0,1,,0,,14,0,,C,9,3,,0,8,,,,0,23,0,,9,5,,0,0,,1,0,0,110,0,,0,,,10,,,,27,,0,0,,0,C,,0,,C,0,0,,0,,21,287,0,0
EGY,0,,118,43,,101,0,7,38,,0,0,103,,2,22,,0,,0,27,0,108,,,C,473,97,,225,278,0,,1,2,281,0,,21,36,159,0,27,743,0,9,0,"1,401",2,,21,,,168,,219,,16,,0,20,,13,C,,0,30,C,14,56,0,0,,"1,650","4,614",0,0
SLV,0,,C,13,10,0,3,,3,,0,0,2,17,0,0,,0,21,,0,0,85,0,,C,15,102,,,67,,,,0,6,0,,26,61,,0,0,,,,0,413,,,0,471,,162,,,,41,,0,0,,0,C,,0,,C,0,12,,0,,47,786,0,0
GNQ,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,,0,0,,0,,0,,,0,,5,,0,0,0,,,0,,0,0,,,,0,0,,,0,,,0,,,,0,,0,0,,0,,,0,,0,0,0,,0,,0,0,,0
ERI,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,,0,89,,0,,0,,,0,,,,0,6,0,,,0,,0,0,,,,0,0,0,,0,,,0,,,,0,,0,0,,0,,,0,,0,0,0,,0,,0,0,,0
EST,0,,C,72,,,0,16,0,,0,0,,,0,0,,0,,,0,9,31,0,,253,20,52,,0,2,1,0,,0,141,0,,0,1,,0,0,,97,,118,232,,,0,,,27,,17,,0,,41,0,,39,C,,2,,C,157,26,,0,,11,120,,0
ETH,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,,1,78,,0,,0,,,0,,,0,0,0,0,,,0,,0,0,,,,0,0,,,0,,,0,,1,,0,,0,0,,0,,,0,,0,0,0,,0,,0,0,,0
FLK,0,,0,0,,,0,0,0,,0,0,,,0,0,,0,,,0,,0,0,,0,0,9,,,0,,,,0,1,0,,0,0,,0,0,,0,,0,4,0,,0,,,1,,,,0,,0,0,,0,C,,0,,C,0,1,,0,,4,17,,0
FRO,0,,0,1,,,0,1,0,,0,0,,,0,0,,0,,,0,,789,0,,7,0,6,,,1,,25,,0,13,0,,0,0,,0,0,,,,0,17,,,0,,,3,,9,,1,,0,0,,0,C,,0,,C,0,1,,0,,0,19,,0
FJI,0,,C,0,,,0,,0,,0,0,,,0,C,,0,,,0,,0,0,,0,,0,,,0,,,,0,0,0,,0,0,,0,0,,,,0,153,,,0,,,0,,,,0,,0,0,,0,C,,0,,0,0,0,,0,,2,7,,0
FIN,0,,707,"4,335",20,23,0,"5,585",533,,3,8,"1,221",,0,608,20,0,4,17,155,45,"9,611",0,396,,"16,051","25,076",8,43,"1,314",2,64,,0,"11,015",134,34,"3,376","14,977",476,192,283,0,107,2,61,"18,327",0,66,0,0,0,"16,975",C,"11,273",,13,0,C,615,9,31,C,731,118,6,"1,443","27,001","8,128",2,0,,"13,270","23,323",53,0
FRA,1,2,"15,682","27,031",60,359,234,"124,316","13,646",89,108,397,"22,646",515,395,"13,747",321,93,37,247,"1,613","1,310","18,335",63,793,"21,600",,"301,545",56,"2,716","14,781",192,359,0,110,"99,712",178,"2,002","134,947","142,254","11,277","3,169","3,043",181,204,457,356,"266,717",98,875,64,24,0,"163,422",C,"56,069",1,31,52,173,"14,187",45,100,C,"2,823","1,961",239,"53,130","17,102","92,417",523,16,,"210,217","300,683",104,2
TFQ,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,,0,0,,0,,0,,,0,,,,0,0,0,,,0,,0,0,,,,0,0,,,0,,,0,,,,0,,0,0,,0,,,0,,0,0,0,,0,,0,0,,0
PYF,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,,0,0,,0,77,0,,,0,,,,0,0,0,,,0,,0,0,,,,0,0,,,0,,,0,,,,0,,0,0,,0,,,0,,0,0,0,,0,,0,0,,0
NCL,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,,0,0,,0,46,0,,,0,,,,0,0,0,,,0,,0,0,,,,0,0,,,0,,,0,,,,0,,0,0,,0,C,,0,,0,0,0,,0,,0,0,,0
GAB,0,,0,0,,,0,2,392,,0,0,,,0,0,,0,,,0,,30,0,,C,139,136,,,2,,,,0,74,0,,4,13,65,0,0,,0,,0,71,,,0,,,36,,,,0,,0,0,,0,,,0,,C,0,46,,0,,28,0,,0
GMB,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,,0,0,,0,,0,,,0,,,,0,0,0,,,0,,0,0,,,,0,21,,,0,,,0,,,,0,,0,0,,0,,,0,,0,0,0,,0,,3,0,,0
GEO,0,,0,3,,,0,2,38,,0,0,1,,0,0,,0,,,1,0,45,0,3,C,7,38,,1,32,,,,0,35,0,,8,8,22,1,5,,1,0,4,292,1,,1,,,50,,10,,0,,C,0,,0,,,0,,C,10,16,,4,,427,221,0,0
DEU,36,2,"25,595","68,053",75,433,488,"44,748","15,583",29,215,580,"18,241",866,"6,041","9,871",188,264,58,309,892,969,"51,553",31,396,"27,368","267,479",,89,"2,255","5,443",768,592,3,8,"133,255",279,"1,410","106,995","179,030","16,135","2,571","2,022",102,329,54,323,"328,344",419,"1,280",214,36,0,"229,552",C,"58,533",1,15,0,384,"7,831",124,505,C,"1,269","2,803",349,"34,934","30,166","95,417",189,210,,"166,696","262,597",147,0
GHA,0,,C,5,,0,0,,27,,0,0,,,0,43,,0,,,0,,33,0,,C,12,19,,,16,,,,0,18,0,,5,5,12,0,0,,0,0,0,939,,,56,,,40,,19,,0,,0,0,,0,C,,0,,0,0,9,,0,,472,449,,0
GIB,0,,0,378,,,0,0,0,,"1,022",0,2,154,0,C,,0,,,1,1,2,0,,0,53,63,,,6,1,,,0,38,1,,98,3,,0,9,,0,,0,34,,,0,,,6,,37,,0,0,C,0,0,0,C,,0,0,C,5,80,,0,,222,494,,0
GRC,0,0,89,"2,020",,13,0,"3,028",0,,0,16,230,,0,63,,0,0,0,"10,463",217,236,1,5,786,"13,880","12,288",1,,78,8,0,,0,"2,667",24,11,"4,430",305,892,1,3,,5,21,16,"2,669",0,211,0,2,0,"3,272",C,622,,0,0,4,"1,962",52,24,C,347,400,11,"3,486",179,254,,62,,"7,427","3,775",0,0
GRL,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,,41,0,,0,,0,,,0,,,,0,0,0,,,0,,0,0,,,,0,4,,,0,,,0,,,,0,,0,0,,0,,,0,,C,0,0,,0,,0,0,,0
GRD,0,,0,0,,,2,2,0,,0,0,,,0,0,,0,,,0,,5,0,,0,7,0,,,0,,,,0,13,0,,0,4,,0,0,,,,0,2,,,0,,,0,,,,0,,0,0,,0,,,0,,0,0,0,,0,,2,28,,0
GLP,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,,0,0,,0,,0,,,0,,,,0,12,0,,,0,,0,0,,,,0,0,,,0,,,0,,,,0,,0,0,,0,,,0,,0,0,0,,0,,-3,6,,0
GUM,0,,0,0,,27,0,11,0,,0,0,,,0,0,,0,,,0,,0,0,,0,0,0,,,0,,,,0,0,3,,,0,,0,0,,,,0,0,,,0,,,0,,,,0,,0,0,,0,C,,0,,0,0,0,,0,,0,0,,0
GTM,0,,0,1,388,,108,,83,,0,0,,4,0,5,,0,3,,0,,4,0,,C,2,3,,,0,,,,0,12,0,,1,0,,0,0,,,0,0,22,,,0,,,0,,,,114,,0,0,,0,,,0,,C,0,0,,0,,10,27,,0
GGY,0,,C,815,,74,81,811,41,,16,0,"1,428",14,0,366,,0,,52,11,28,791,0,,"2,349","3,955","3,213",1,58,,17,89,,0,"1,652","1,173",1,"1,060","7,643",162,1,68,,1,4,1,"3,804",7,0,6,,,"5,178",,"3,404",,0,,C,113,,7,253,1,0,"3,662",462,602,"8,429",10,1,,"16,540","17,129",3,0
GUF,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,,0,0,,0,,0,,,0,,,,0,0,0,,,0,,0,0,,,,0,0,,,0,,,0,,,,0,,0,0,,0,C,,0,,0,0,0,,0,,0,0,,0
GIN,0,,C,0,,,0,,0,,0,0,,,0,0,,0,,,0,,0,0,,0,,0,,,0,,,,0,0,0,,,0,23,0,0,,,,0,0,,,36,,,0,,,,0,,0,0,,0,,,0,,0,0,0,,0,,0,0,,0
GNB,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,,0,0,,0,,0,,,0,,,,0,0,0,,,0,,0,0,,,,0,0,0,,0,,,0,,,,0,,0,7,,0,,,0,,0,0,0,,0,,0,0,,0
GUY,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,,0,0,,0,,0,,,0,,,,0,0,0,,,0,,0,0,,,,0,0,,,0,,,0,,,,0,,0,0,,0,,,0,,0,0,0,,0,,0,0,,0
HTI,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,,0,0,,0,,0,,,0,,,,0,0,0,,,0,,0,0,,,,0,0,,,0,,,0,,,,0,,0,0,,0,,,0,,0,0,0,,0,,0,0,,0
HND,0,,0,0,,,3,,0,,0,0,,4,0,C,,39,20,3,0,,0,0,,0,0,5,,,0,,,,0,4,0,,1,0,,0,0,,,,0,18,,,0,0,,0,,,,54,,0,0,,0,,,0,,0,0,123,16,0,,2,14,,0
