,ALB,ARG,ABW,AUS,AUT,BHS,BHR,BGD,BLR,BEL,BMU,BOL,BRA,BGR,CAN,CYM,CHL,HKG,MAC,CHN,COL,CRI,CMQ,CYP,CZE,DNK,EGY,SLV,EST,FIN,FRA,DEU,GIB,GRC,GGY,HND,HUN,ISL,IND,IDN,IRL,ISR,ITA,JPN,JEY,KAZ,KOR,KWT,LVA,LBN,LTU,LUX,MKD,MYS,MLT,MUS,MEX,MNG,NAM,NLD,NZL,NOR,PAK,PLW,PAN,PHL,POL,PRT,ROU,RUS,SAU,SGP,SVK,SVN,ZAF,ESP,SWE,CHE,THA,TUR,UKR,GBR,USA,URY,PSE
MYS,,0,3,"2,969",182,0,545,,0,137,"2,072",,1,0,"3,249","1,272",27,"5,629",538,280,1,0,1,C,0,"1,574",23,0,0,C,"1,073","3,406",1,,16,0,1,0,1,121,"7,570",1,187,"10,565",317,23,858,740,4,4,2,"9,677",0,,C,43,,1,C,"6,334",,"3,608",,,,C,C,0,,2,"1,060","17,875",0,0,20,20,954,"2,024",668,2,,"6,133","29,767",,12
MDV,,0,,0,0,0,,,0,,0,,,0,,0,0,7,,0,0,0,0,C,0,0,,0,0,,,1,,,0,0,0,,0,,1,,0,0,0,0,0,,,0,0,40,0,0,0,0,,0,,0,,0,,,,C,0,0,,2,0,C,0,0,,0,0,3,0,0,,1,,,0
MLI,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,0,0,0,0,0,0,C,,0,0,,20,0,,,0,0,0,,0,,0,,0,0,0,0,0,,,0,0,1,0,0,0,0,,0,,0,,0,,,,,0,0,,,0,,0,0,,0,0,0,0,0,,0,,,0
MLT,,0,,C,480,0,,,0,292,889,,7,2,20,138,0,15,,0,12,0,0,2,640,64,,0,2,136,424,584,,0,184,0,245,,0,,233,3,239,3,0,0,2,362,25,1,1,"1,006",0,0,,18,,0,,118,,192,,,,,40,250,,C,0,C,200,9,290,37,"1,665","1,008",0,0,,60,"1,557",,1
MHL,,0,0,1,2,0,,,0,26,22,,,0,164,47,2,5,0,2,0,0,0,4,5,73,,0,2,106,60,110,,17,0,0,33,0,0,,348,1,64,139,5,0,212,,0,0,1,880,0,0,C,336,,0,,98,,336,,,0,,C,0,0,4,0,C,0,0,,291,147,48,0,0,,82,"11,103",0,0
MTQ,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,0,0,0,0,0,,0,,0,0,,,0,,,0,0,0,,0,,0,,0,,0,0,0,,,0,0,0,0,0,0,0,,0,,,,0,,,,,0,0,,,0,,0,0,,0,0,,,0,,0,,,0
MRT,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,0,0,0,0,0,0,0,,0,0,,30,0,,,0,0,0,,0,,0,,0,0,0,0,0,,,0,0,43,0,0,0,3,,0,,0,,1,,,,,0,0,,,0,,0,0,,0,0,1,,0,,86,,,0
MUS,,0,,C,38,0,4,,0,9,"4,319",,0,1,271,"4,367",1,83,18,19,0,0,130,C,6,158,,0,9,C,333,627,3,,890,0,1,,140,1,"1,453",,43,"1,485",25,2,17,102,1,0,0,"8,879",0,34,C,,,0,523,573,,205,0,,0,50,C,0,,47,20,C,0,0,"1,675",2,163,281,36,0,,507,"20,338",0,0
MYT,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,0,0,0,0,0,,0,,0,0,,,0,,,0,0,0,,0,,0,,0,,0,0,0,,,0,0,0,0,0,0,0,,0,,,,0,,,,,0,0,,,0,,0,0,,0,0,,,0,,0,,,0
MEX,10,10,10,"3,139","1,338",317,114,,0,"1,363","2,738",,"2,024",238,"8,171","16,829","4,164",523,309,809,370,22,33,C,147,"3,243",,0,58,844,"10,040","17,844",4,115,491,5,90,0,0,0,"19,688",327,"7,096","20,502",130,362,"1,785",,109,6,24,"44,672",0,460,57,1,,1,C,"12,853",,"6,074",,,86,424,253,343,0,"1,448","1,341",C,172,99,77,"4,697","1,317","6,319",492,2,3,"19,853","159,283",136,4
FSM,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,0,0,0,0,0,0,0,,0,0,,,0,,,0,0,0,,0,,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,,0,,0,,0,,,,,0,0,,,0,,0,0,,0,0,0,,0,,0,,,0
MDA,,0,,0,0,0,,,0,,0,,,0,,2,0,0,,0,0,0,0,0,0,0,,0,0,,49,0,,,0,0,0,,0,,0,,0,0,0,0,0,,,0,0,44,0,0,0,0,,0,,0,,0,,,,,0,0,C,,0,,0,0,,0,0,0,,0,,0,,,0
MCO,,0,,7,6,0,,,0,18,4,,17,0,,2,1,0,,0,0,0,0,0,,0,,0,0,,,0,,,0,0,0,,0,,0,,2,14,0,0,0,,,0,0,0,0,0,0,4,,0,,,,0,,,,,0,0,,,0,9,0,0,9,C,0,,,0,,58,12,,0
MNG,,0,,5,26,0,,,0,0,25,,,0,80,15,1,14,,12,0,0,0,0,0,237,,0,1,17,30,367,,,2,0,0,,0,,313,,66,257,1,0,3,,0,0,0,817,0,3,0,0,,,,259,,0,,,,C,C,0,,,0,39,0,0,,0,0,65,1,0,,135,723,,0
MNE,1,0,,0,139,0,,,0,1,0,,,150,,0,0,0,,0,0,0,0,2,0,40,,0,0,80,46,198,,,0,0,10,,0,,34,,133,1,0,0,0,,4,0,11,544,1,0,0,0,,0,,1,,0,,,,,44,3,4,3,0,,31,30,,5,0,9,,0,,7,,,0
MSR,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,0,0,0,0,0,0,0,,0,0,,,0,,,0,0,0,,0,,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,,0,,0,,0,,,213,,0,0,,,0,,0,0,,0,0,,,0,,0,,,0
MAR,0,0,0,10,121,0,106,,0,33,55,,0,3,98,212,40,304,,43,0,0,0,C,1,101,1,0,0,113,"2,245",968,1,,276,0,29,,0,0,469,,236,65,4,25,16,9,9,0,7,"2,701",0,1,C,8,9,0,,352,,113,,,,C,24,39,,23,4,C,18,15,,C,6,205,3,0,,366,"3,294",,1
MOZ,,0,,C,0,0,,,0,0,0,,0,0,,1,0,0,,0,0,0,0,0,0,40,,0,0,2,5,4,,,1,0,0,,0,,52,,10,1,0,0,0,,,0,0,344,0,0,0,8,,0,,52,,15,,,,,0,127,,,0,C,0,0,88,0,0,13,1,0,,67,,,0
MMR,,0,,0,0,0,,,0,0,0,,,0,,0,0,0,,1,0,0,0,0,0,C,,0,0,,3,0,,,0,0,0,,22,,0,,0,0,0,0,0,,,0,0,80,0,0,0,0,,0,,10,,9,,,,,0,0,,,0,C,0,0,,0,0,0,14,0,,0,,,0
NAM,,0,,C,34,0,,,0,0,59,,,0,,1,0,0,0,7,0,0,0,0,0,32,,0,0,47,10,221,,,0,0,0,,0,,50,,64,2,0,0,0,,1,0,0,443,0,0,0,102,,0,,67,,0,,,,,5,0,,1,0,C,0,0,347,C,8,37,,0,,66,248,,0
NRU,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,0,0,0,0,0,0,0,,0,0,,,0,,,0,0,0,,0,,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,,0,,0,,0,,,,,0,0,,,0,,0,0,,0,0,0,,0,,14,,,0
NPL,,0,,0,0,0,,,0,,0,,,0,,0,0,41,,4,0,0,0,0,0,0,,0,0,,,0,,,0,0,0,,0,,0,,0,1,0,0,0,,,0,0,0,0,0,0,0,,0,,2,,0,,,,,0,0,,,0,,0,0,,0,0,0,,0,,0,,,0
NLD,16,4,47,"27,034","19,470",253,453,,0,"97,887","12,972",29,238,473,"36,537","21,055",478,"7,293","1,218","3,859",71,16,57,"1,413","2,601","20,001",,0,377,"13,918","316,444","349,256",107,"1,317","8,317",0,254,356,97,2,"146,829","3,572","87,762","123,986","3,291","1,103","10,603",156,510,54,136,"249,872",7,"1,191","17,800",59,128,1,21,,"1,268","37,749",,,39,390,"1,151","8,152",491,"7,624","4,117","15,223","1,346","1,575","7,904","54,190","15,324","69,071",186,22,,"107,866","625,067",489,6
NZL,,0,0,"17,725",274,0,14,,0,358,891,,4,0,"4,327",693,259,"2,419",53,848,55,1,0,2,0,206,,0,C,236,"2,013","4,831",1,1,"1,222",0,0,0,0,,"3,505",16,222,"10,086",76,57,492,,0,0,0,"4,707",0,92,C,3,,0,,"1,572",,"3,495",,,3,,C,28,,2,123,"1,928",22,6,10,"1,264",558,"3,190",1,0,,"5,631","32,654",,0
NIC,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,0,0,0,0,0,0,0,,0,1,,,0,,,0,3,0,,0,,0,,0,0,0,0,0,,,0,0,58,0,0,0,0,,0,,63,,3,,,3,,0,0,,,0,,0,0,,0,0,4,,0,,0,,,0
NER,,0,,C,0,0,,,0,,0,,,0,,0,0,0,,0,0,0,0,0,0,0,,0,0,,0,0,,,0,0,0,,0,,0,,0,0,3,0,23,,,0,0,0,0,0,0,0,,0,,0,,28,,,,,0,0,,,0,,0,0,,0,0,1,,0,,231,,,0
NGA,4,0,0,C,67,0,8,,0,12,783,,,1,201,231,2,13,,77,0,0,0,C,0,383,5,0,2,63,213,879,,,252,0,2,0,0,,972,,163,70,94,0,2,,1,1,0,"3,902",0,0,0,475,,0,15,763,,92,,,,C,C,0,,4,331,195,0,0,"4,503",12,41,223,1,0,,"2,564","3,818",0,0
NIU,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,0,0,0,0,0,0,0,,0,0,,,0,,,0,0,0,,0,,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,,0,,0,,0,,,,,0,0,,,0,,0,0,,0,0,,,0,,0,,,0
NFK,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,0,0,0,0,0,0,0,,0,0,,,0,,,0,0,0,,0,,0,,0,,0,0,0,,,0,0,0,0,0,0,0,,0,,0,,0,,,,,0,0,,,0,,0,0,,0,0,,1,0,,0,,,0
NOR,10,0,1,"7,516","4,912",6,9,,0,"4,961","2,222",,7,8,"6,262","4,986",29,"2,337",154,445,140,0,3,C,44,"10,090",,0,63,"10,645","21,959","56,287",5,58,"14,341",0,35,631,0,0,"17,292",339,"4,580","15,991","3,454",151,991,4,86,0,16,"32,878",0,103,"2,113",5,1,0,,"13,790",C,,,,4,C,89,267,1,26,508,"1,704",491,273,25,"2,281","29,081","8,975",1,4,,"28,244","72,714",100,2
OMN,,0,,21,63,0,302,,0,4,60,,0,1,60,109,5,18,,65,0,0,0,7,1,369,60,0,0,101,59,"1,166",,,13,0,13,,0,,"1,361",,456,51,5,10,24,589,2,3,0,"3,229",0,1,0,1,,1,,938,,4,29,,,115,4,3,18,130,744,C,0,0,0,18,32,436,6,1,,306,"3,237",,18
PAK,,0,0,C,21,0,290,4,0,1,14,,,0,110,49,1,43,,125,0,0,0,C,0,122,,0,0,C,8,102,,,14,0,0,,0,4,304,,82,24,1,0,6,,0,0,0,"1,219",0,29,0,278,,0,,259,,0,,,,,C,5,C,,"1,225",114,0,0,0,C,74,71,,0,,264,"1,777",,0
PLW,,0,,0,0,0,,,0,,9,,,0,,0,0,0,,0,0,0,0,0,0,0,,0,0,,,0,,,0,0,0,,0,,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,,0,,0,,0,,,,,0,0,,,0,,0,0,,0,0,0,,0,,0,,0,0
PAN,,0,0,85,171,131,,,0,66,346,,75,10,930,193,618,139,2,107,190,82,56,C,3,655,,247,2,93,588,"2,970",,,19,12,10,0,0,,"3,462",,393,"1,194",3,73,308,,2,0,2,"6,561",0,24,C,0,39,0,C,"2,012",,88,,,,C,C,5,C,126,19,23,0,1,3,128,94,986,7,0,,763,"34,603",22,1
PNG,,0,,751,9,0,,,0,1,0,,,0,113,1,0,C,0,13,0,1,0,0,0,12,,0,0,7,4,50,,,0,0,0,0,0,,107,,4,77,0,0,0,,,0,0,273,0,9,0,0,,0,,120,,3,,,,,0,0,,,0,9,0,0,,C,13,30,,0,,17,969,,0
PRY,,0,,C,55,1,,,0,0,24,,17,1,8,11,12,0,,38,0,0,0,0,0,170,,0,0,39,49,688,,,2,0,0,,0,,448,,64,61,7,37,6,,1,0,0,"2,006",0,0,0,0,,0,,618,,10,,,9,C,C,0,,C,0,,0,0,,C,5,160,,0,,176,,1,0
PER,,0,2,321,287,26,,,0,171,767,,19,1,"1,271",761,"1,078",268,10,185,194,6,31,C,4,736,,10,C,183,659,"4,060",,0,55,0,3,,0,,"4,663",36,456,862,19,158,219,,5,0,10,"7,739",0,26,C,37,25,0,,"3,062",,26,,,60,C,24,13,,47,259,C,17,8,2,168,131,"1,216",133,0,,"2,026","19,316",19,0
PHL,,0,0,"5,049",137,28,40,,0,72,485,,0,13,"2,434",725,2,"4,832",9,425,6,0,0,C,0,576,,0,C,153,609,"2,843",32,0,42,0,0,0,3,4,"3,233",14,702,"3,988",165,143,256,27,4,0,0,"7,350",0,"2,173",C,74,,0,,"3,096",C,"2,535",,,3,,C,0,,C,107,"7,397",7,8,240,59,429,"1,189",233,12,15,"4,711","22,904",0,0
PCN,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,0,0,0,0,0,0,0,,0,0,,,0,,,0,0,0,,0,,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,,0,,0,,0,,,,,0,0,,,0,,0,0,,0,0,,,0,,14,,,0
POL,37,0,0,789,"5,802",6,77,,0,"3,276",168,,2,918,"2,391",80,30,51,21,149,13,0,0,104,"1,700",865,,0,96,501,"10,495","22,527",,216,"5,291",0,499,0,0,0,"5,365",57,"2,952","11,236",479,107,623,,220,0,225,"13,462",0,33,217,3,,0,,"8,299",,"1,852",,,180,,,224,51,9,79,C,"1,432",397,21,534,659,"3,016",,0,26,"3,971","15,642",1,2
PRT,13,0,2,270,"2,195",0,68,,0,"6,183",19,,410,131,"1,560",299,17,44,53,324,36,0,2,97,9,"1,188",,0,5,C,"25,271","16,787",7,"1,351",156,0,9,2,0,2,"8,255",118,"17,825","3,108",209,13,135,,31,0,1,"17,709",0,1,"1,719",4,2,0,,"8,584",,"1,744",,,31,,146,,6,6,303,"1,105",221,251,3,"18,145",353,850,79,0,,"4,958","13,022",2,0
PRI,,0,,12,1,0,,,0,0,45,,35,0,511,"1,283",10,8,0,2,0,0,0,C,,14,,0,0,,27,0,,,0,0,0,0,0,,0,,6,46,0,0,10,,,0,0,0,0,0,0,12,1,0,,54,,123,,,,,0,0,,0,0,,0,0,,0,7,,,0,,55,,,0
QAT,1,0,1,234,179,43,"3,130",,0,9,"1,647",,1,37,271,819,3,837,405,492,66,0,0,57,0,613,10,0,2,129,234,"3,011",,,75,0,7,,0,15,"3,658",,331,"2,474",11,147,551,"1,099",,17,3,"6,175",0,482,"1,057",14,,0,,"2,031",,641,25,,1,C,C,0,C,74,"1,120",C,0,0,6,22,227,"1,500","1,151",0,,"4,413","19,505",50,1
REU,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,0,0,0,0,0,,0,,0,0,,,0,,,0,0,0,,0,,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,,0,,,,0,,,,,0,0,,,0,,11,0,,0,0,,,0,,0,,,0
ROU,13,0,1,92,"3,294",0,5,,0,346,131,,,"1,660",566,727,83,15,17,130,10,0,0,70,226,676,,0,68,351,"2,100","9,686",5,130,63,0,388,,0,,"3,309",1,"4,309",465,611,51,68,,178,0,145,"8,911",0,0,24,1,,0,,"3,090",,120,,,,,457,72,,10,0,C,356,197,55,318,156,832,,0,,"1,262","8,523",0,0
RUS,39,10,0,"1,593","2,959",6,252,,4,218,980,,0,72,"3,856","7,933",3,72,9,583,10,0,2,C,69,"2,023",,0,59,923,"1,401","7,576",1,37,"2,395",0,453,0,0,0,"30,982",68,"1,238","3,669",79,558,"1,051",,21,3,11,"23,220",2,3,C,10,11,0,11,"6,333",,"3,414",,,5,22,125,0,1,,478,C,26,108,106,141,"1,630","3,566",3,27,,"14,635","72,448",1,3
RWA,,0,,0,0,0,,,0,,11,,,0,,16,0,0,,0,0,0,0,C,0,33,,0,0,5,1,9,,,4,0,0,,0,,0,,6,0,0,0,0,,,0,0,70,0,0,0,20,,0,,1,,1,,,,,0,0,,,0,,0,0,,0,0,11,,0,,34,,,0
SHN,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,0,0,0,0,0,0,0,,0,0,,,0,,,0,0,0,,0,,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,,0,,0,,0,,,,,0,0,,,0,,0,0,,0,0,0,,0,,0,,,0
SPM,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,0,0,0,0,0,,0,,0,0,,,0,,,0,0,0,,0,,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,,0,,,,0,,,,,0,0,,,0,,0,0,,0,0,,5,0,,0,,,0
WSM,,0,,0,0,0,,,0,,0,,,0,,1,0,C,,0,0,0,0,0,0,0,,0,0,,,1,,,0,0,0,,0,,0,,0,0,0,0,0,,,0,0,23,0,0,C,0,,0,,0,,0,,,,,0,0,,,0,,0,0,,0,0,0,0,0,,0,,,0
SMR,,0,,0,0,0,,,0,,0,,,0,,8,0,0,,0,0,0,0,0,0,0,,0,0,,,0,,,0,0,0,,0,,0,,0,0,0,0,0,,,0,0,3,0,0,0,0,,0,,0,,0,,,,,0,0,,,0,,0,0,,0,0,0,,0,,0,,,0
STP,,0,,0,0,0,,,0,,14,,,0,,0,0,0,,0,0,0,0,0,0,0,,0,0,,,0,,,0,0,0,,0,,0,,0,0,0,0,0,,,0,0,1,0,0,0,15,,0,,0,,0,,,,,0,0,,,0,,0,0,,0,0,0,,0,,0,,,0
SAU,0,0,0,561,214,22,"2,062",,0,36,"1,321",,,25,289,598,38,"1,438",566,227,35,0,0,54,1,296,114,0,0,169,"1,050","3,922",3,114,25,0,11,0,4,5,"5,558",,"1,358","3,069",30,248,"2,109","3,574",4,57,1,"6,112",0,901,0,7,1,0,,"2,750",,196,127,,,C,C,49,,74,,C,56,9,20,120,448,"1,867",27,2,0,"4,541",,,15
SEN,,0,,5,33,0,,,0,0,68,,,0,3,70,0,0,,20,0,0,0,C,0,149,,0,0,56,207,416,,,13,0,0,,26,,302,,81,73,12,0,1,,0,0,0,"1,359",0,0,0,119,,0,,204,,9,,,,C,C,0,,C,0,C,0,0,,C,6,74,,1,,140,"1,038",,0
SRB,,0,,C,329,0,14,,0,6,21,,,65,179,12,0,0,,21,0,0,0,2,21,208,,0,0,90,236,"1,032",,0,0,0,77,,0,,593,,197,119,0,0,0,20,2,0,13,"1,641",0,0,0,0,,0,,145,,6,,,,,49,0,C,1,13,,5,13,0,0,0,88,,0,,156,"2,329",,0
SYC,,0,,0,9,0,,,0,0,0,,4,0,,0,0,0,,0,0,0,0,C,0,20,,0,0,,1,13,,0,7,0,0,0,0,,0,,8,0,0,0,0,,0,0,0,50,0,0,C,38,,0,,2,,0,,,,,C,0,,C,0,C,0,0,0,C,0,31,,0,,0,14,0,0
SLE,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,0,0,0,0,0,0,0,,0,1,,,0,,,0,0,0,,0,,C,,0,0,0,0,0,,,0,0,0,0,0,0,187,,0,,0,,0,,,,,0,0,,,0,,0,0,,0,0,0,,0,,0,,,0
SGP,2,0,11,"11,246",456,107,30,,0,985,"4,628",,20,7,"7,391","7,701",94,"34,827","1,055","6,547",50,0,11,35,33,"1,837",17,0,11,407,"2,843","7,314",3,1,631,0,1,0,131,"16,596","14,773",607,"1,005","22,900","2,871",92,"6,026",1,18,1,4,"24,544",0,"12,479",827,"2,736",7,47,11,"9,688",C,"5,409",,,10,821,8,76,27,602,"1,294",,205,35,538,282,"1,277","5,307","4,730",0,,"19,952","100,079",0,3
SXM,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,0,0,0,26,0,0,0,,0,0,,,0,,,0,0,0,,0,,0,,0,0,0,0,53,,,0,0,29,0,0,0,0,,0,,0,,0,,,,,0,0,,,0,,0,0,,0,0,0,,0,,0,,,0
SVK,1,0,,10,"7,280",0,,,0,"4,389",26,,,77,26,0,5,0,1,3,0,0,0,C,"2,855",55,,0,17,109,"3,090","11,207",,69,28,0,25,1,0,,822,1,"1,318",138,8,1,19,,37,2,14,"1,552",0,0,158,4,,0,,"1,688",,524,,,0,,22,83,,57,0,C,,271,,146,4,720,,0,,89,,,0
SVN,,0,,43,"1,998",0,5,,0,"1,588",47,,,169,108,38,4,10,7,7,27,0,0,6,143,47,,0,C,C,"2,269","10,061",,54,10,0,52,0,0,,"1,196",35,"2,468",203,0,0,85,,11,1,31,"1,140",2,0,57,1,,0,,250,,426,,,,,C,207,14,23,0,C,396,,,212,39,267,,0,,543,"1,572",,0
SLB,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,0,0,0,0,0,0,0,,0,0,,,0,,,0,0,0,,0,,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,,0,,0,,0,,,,,0,0,,,0,C,0,0,0,0,0,0,,0,,0,,,0
SOM,,0,,0,0,0,,,0,,3,,,0,,0,0,0,,0,0,0,0,0,0,C,,0,0,,,0,,,0,0,0,,0,,0,,0,0,0,0,0,,,0,0,13,0,0,0,0,,0,,0,,0,,,,,0,0,,,0,,0,0,,0,0,0,,0,,0,,,0
ZAF,23,2,2,"2,755",414,1,231,,0,425,"1,612",,2,3,"6,605","8,789",19,71,13,517,1,0,5,11,9,"2,702",2,0,11,544,"2,318","5,031",1,94,380,0,25,0,0,,"14,551",106,"1,360","5,377",95,5,"1,088",,4,27,1,"23,252",0,61,C,"1,354",,2,"5,288","11,456",63,"6,722",,,1,12,122,0,1,99,380,C,0,16,,106,"1,850","2,564",3,2,,"16,266","76,685",7,0
SSD,,0,,0,0,0,,,0,,2,,,0,,0,0,0,,0,0,0,0,0,0,0,,0,0,,,0,,,0,0,0,,0,,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,,0,,0,,2,,,,,0,0,,,0,,0,0,,0,0,0,,0,,0,,,0
ESP,8,11,10,"6,195","16,668",29,153,,0,"28,863","2,574",,575,429,"10,075","7,072",501,785,419,"1,277",347,4,14,328,208,"6,833",1,10,102,"3,615","213,587","182,602",21,"9,651","3,146",0,75,4,1,5,"73,581",479,"135,501","73,482",395,224,"4,548",0,585,4,52,"126,641",4,"1,012","3,519",0,346,0,,"54,596",52,"22,864",,,47,11,612,"32,995",229,164,"4,531","7,164","1,868","1,464",101,,"4,578","14,976",50,5,,"42,326","163,581",104,0
LKA,,0,,25,26,0,13,3,0,1,90,,,0,135,11,1,278,,15,0,0,0,0,0,266,,0,0,40,29,191,,,4,0,5,,14,4,698,,110,41,1,0,0,,0,0,0,"1,807",0,23,C,103,,0,,481,,110,,,,C,C,0,,2,6,304,0,0,0,1,29,107,,0,,471,"1,828",,0
KNA,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,0,0,0,0,0,0,0,,0,0,,,0,,,0,0,0,,0,,0,,0,0,0,0,0,,,0,0,0,0,0,C,0,,0,,0,,0,,,,,0,0,,,0,,0,0,,0,0,,,0,,0,,,0
LCA,,0,,0,0,0,,,0,,31,,,0,22,23,0,0,,0,0,0,1,0,0,C,,0,0,,,0,,,0,0,0,,0,,0,,0,0,0,0,0,,,0,0,5,0,0,C,0,,0,,0,,0,,,,,0,0,,,0,,0,0,,0,0,0,,0,,2,0,,0
VCT,,0,,0,0,0,,,0,0,0,,,0,,0,1,0,,0,0,0,0,0,0,0,,0,0,,1,0,,,0,0,12,,0,,0,,0,0,0,0,0,,,0,0,0,0,0,C,0,,0,,0,,0,,,,,0,0,,,0,,0,0,,0,0,165,,0,,0,,,0
SDN,,0,,0,0,0,2,,0,,0,,,0,,36,0,0,,0,0,0,0,0,0,0,4,0,0,,,0,,,74,0,0,,0,,0,,0,0,0,0,0,6,,4,0,0,0,0,0,0,,0,,0,,0,,,,,0,0,,,0,C,0,0,,0,0,0,,0,,26,,,0
SUR,,0,,0,6,0,,,0,,0,,,0,,0,0,0,,0,0,0,0,0,0,10,,0,0,,4,4,,,0,0,0,,0,,21,,4,0,0,0,0,,,0,0,139,0,0,0,0,,0,,6,,0,,,,,0,0,,,0,,0,0,,0,0,4,,0,,1,,,0
SWZ,,0,,C,0,118,,,0,,0,,,0,,9,0,0,,0,0,0,,0,0,0,,0,0,,,0,,,0,0,0,,0,,0,,0,0,0,0,32,,,0,0,1,0,2,0,3,,0,,0,,0,,,,,0,0,,,0,,0,0,22,0,0,15,0,0,,0,,,0
SWE,23,0,4,"8,225","5,193",45,122,,0,"6,447","2,749",37,15,62,"15,977","5,519",60,"1,952",490,"1,530",162,4,22,C,365,"35,161",,0,"3,212","39,052","56,743","79,921",20,86,"4,686",0,36,110,142,1,"54,897",671,"7,952","25,138","8,868",300,"2,690",1,"1,502",1,"1,888","101,007",0,482,"2,710",20,54,0,C,"24,461",,"61,517",,,26,0,984,509,8,42,723,C,319,410,211,"4,194",,"19,258",15,1,,"53,473","205,020",389,6
CHE,,3,26,C,"7,788","1,887",188,,0,"7,517","2,868",63,"1,491",39,"41,161","8,994","2,145","3,456",365,"4,348",13,19,296,C,238,"11,013",79,5,201,"5,069","39,169","81,317",81,270,"11,996",0,76,33,5,0,"60,227","3,147","11,939","37,090","3,932",516,"8,352",100,9,52,19,"127,335",11,"1,668","1,941",674,72,6,11,"34,880",236,"49,094",,,22,41,147,753,10,706,"6,521","15,833",70,204,"10,153","8,873","23,474",,647,6,,"70,969","632,833",32,1
SYR,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,0,0,0,0,0,0,0,,0,0,,,0,,,0,0,0,,0,,0,,0,0,0,0,27,,,1,0,0,0,0,0,0,,0,,0,,0,,,4,,0,0,,,89,,0,0,,0,0,0,,0,,0,,,0
TWN,,1,4,"10,193",333,0,5,,0,"1,043","2,097",,4,0,"16,720",0,8,"9,685",34,"1,292",0,1,9,2,4,"3,802",,0,1,828,"6,687","11,800",,,222,0,9,0,11,3,"28,737",,424,"14,277",560,0,"5,349",,0,0,1,"47,889",0,"4,605",0,445,18,0,21,"17,670",69,"19,734",,,0,C,13,0,0,25,"6,397",C,0,62,238,314,"9,067","5,869",21,0,,"50,287","303,350",0,0
TJK,,0,,C,15,0,,,0,,0,,,0,,0,0,0,,0,0,0,0,C,0,5,,0,0,,1,15,,,0,0,0,,0,,23,,28,1,0,0,0,,0,0,0,235,0,0,0,0,,0,,9,,0,,,,,0,0,,21,0,,0,0,,C,0,6,,0,,33,,,0
TZA,,0,,C,0,0,,,0,,6,,,0,,108,0,0,,1,0,0,0,C,0,2,,0,0,,1,0,,,4,0,0,,0,,20,,0,0,0,0,0,,,0,0,118,0,0,0,48,,0,,2,,0,,,,,0,0,,,0,C,0,0,76,0,0,1,,0,,20,31,,0
THA,,0,2,"1,756",157,0,89,,0,160,448,,0,0,"3,822",772,1,"2,847",103,371,1,0,0,0,0,"1,185",,0,0,308,604,"2,408",8,0,104,0,2,0,22,70,"6,629",1,174,"5,788",396,1,716,,,0,0,"9,928",0,"4,843",0,570,,0,7,"7,079",,"3,010",,,18,C,C,0,,0,559,"9,447",0,2,30,26,864,"1,377",,0,,"8,923","34,908",,0
TLS,,0,,C,0,0,,,0,,0,,,0,,0,0,0,,0,0,0,0,0,0,0,,0,0,,,0,,,0,0,0,,0,,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,,0,,0,,0,,,,,0,4,,,0,,0,0,,0,0,0,,0,,0,,,0
TGO,,0,,C,29,0,,,0,1,0,,,0,,2,0,3,,1,0,0,0,C,0,86,,0,0,4,93,172,,,10,0,0,,1,,119,,48,0,0,0,0,,,0,0,815,0,0,C,143,,0,,22,,0,,,,C,0,0,,,0,C,0,0,,7,0,11,,0,,22,150,,0
TKL,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,0,0,0,0,0,0,0,,0,0,,,0,,,0,0,0,,0,,0,,0,0,0,0,0,,,0,0,69,0,0,0,0,,0,,0,,0,,,,,0,0,,,0,,0,0,,0,0,,,0,,0,,,0
