,ALB,ARG,ABW,AUS,AUT,BHS,BHR,BGD,BLR,BEL,BMU,BOL,BRA,BGR,CAN,CYM,CHL,HKG,MAC,CHN,COL,CRI,CMQ,CYP,CZE,DNK,EGY,SLV,EST,FIN,FRA,DEU,GIB,GRC,GGY,HND,HUN,ISL,IND,IDN,IRL,ISR,ITA,JPN,JEY,KAZ,KOR,KWT,LVA,LBN,LTU,LUX,MKD,MYS,MLT,MUS,MEX,MNG,NAM,NLD,NZL,NOR,PAK,PLW,PAN,PHL,POL,PRT,ROU,RUS,SAU,SGP,SVK,SVN,ZAF,ESP,SWE,CHE,THA,TUR,UKR,GBR,USA,URY,PSE
BGD,,0,,291,1,0,,,0,0,31,,,0,,51,0,578,,115,0,0,0,0,0,26,,0,0,5,2,2,,,0,0,0,,0,5,69,,0,20,0,0,0,,,0,0,371,0,0,0,77,,0,,13,C,275,,,,,0,0,,,0,164,0,0,,C,29,8,,0,,101,499,,0
BRB,,0,8,C,0,"1,098",,,0,0,38,,,0,95,19,1,0,,0,0,0,7,0,0,8,,0,0,,40,4,,,0,0,0,,0,,20,,2,12,0,0,0,,0,0,0,43,0,0,C,13,,0,,16,,0,,,6,,0,0,,C,0,,6,0,,0,0,50,,0,,488,"2,605",1,0
BLR,4,0,,C,33,0,,,,,4,,,6,27,22,0,0,,12,0,0,0,9,1,62,,0,4,10,20,297,,,4,0,7,0,0,,241,,56,12,89,1,0,,2,0,0,893,0,0,0,0,,0,,66,,0,,,,,C,0,,385,0,C,0,0,,C,5,98,,0,,31,794,,0
BEL,13,4,4,"2,065","8,176",34,31,,0,,"1,483",1,145,176,"6,774","3,145",63,857,98,967,88,0,6,C,"2,270","3,021",,0,98,"2,735","112,759","111,903",,"1,927",81,0,749,101,221,24,"41,402",51,"24,745","37,030",560,38,"2,962",1,43,38,27,"95,267",2,42,419,25,1,2,C,"65,462",,"7,918",0,,2,,85,"3,535",187,29,688,C,568,639,"2,728","6,386","1,294","10,946",111,3,,"19,930","66,093",1,0
BLZ,,0,,0,10,0,,,0,0,0,,4,0,13,3,7,0,,0,0,1,1,0,0,17,,0,22,C,0,2,,,0,0,0,,0,,17,,1,0,0,0,0,,,0,0,67,0,0,C,2,,0,,7,,0,,,11,,0,0,,C,0,,0,0,,C,0,3,,0,,8,53,,0
BEN,,0,,0,12,0,,,0,,0,,,0,,76,0,0,,0,0,0,0,0,0,41,,0,0,6,0,36,,,0,0,0,,0,,16,,38,0,0,0,0,,,0,0,468,0,0,0,0,,0,,6,,0,,,,,C,0,,C,0,C,0,0,,0,0,3,,0,,27,,,0
BMU,,0,2,"4,328",260,12,128,,0,761,,,108,1,"9,384","13,673",36,"121,811","1,042","5,700",2,0,23,80,44,"2,406",,0,12,C,"1,873","3,436",1,5,"2,180",0,21,0,0,,"17,144",31,575,"25,152",538,70,"1,082",,4,1,3,"26,937",0,307,956,194,1,0,101,"17,130",,"6,146",0,,9,C,18,41,2,494,157,C,6,2,"3,440",329,"2,630","7,876",453,0,,"10,152","278,782",85,1
BTN,,0,,0,0,0,,,0,,0,,,0,12,0,0,0,,0,0,0,0,0,0,0,,0,0,,,0,,,0,0,0,,0,,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,,0,,0,,0,,,,,0,0,,,0,,0,0,,0,0,0,,0,,0,,,0
BOL,,1,,0,23,0,,,0,,0,,0,0,,0,13,0,,2,0,0,1,0,0,31,,0,0,1,6,85,,,26,0,0,,0,,67,,5,0,0,0,0,,,0,0,297,0,0,0,0,,0,,64,,0,,,,,C,0,,C,0,C,0,0,,0,9,50,418,0,,28,,,0
BES,,0,,0,0,0,,,0,,0,,,0,,0,60,0,,0,0,0,0,0,0,0,,0,0,,,0,,,0,0,0,,0,,0,,0,,0,0,0,,,0,0,1,0,0,0,0,,0,,0,,0,,,,,0,0,,,0,,0,0,,0,0,1,,0,,0,0,,0
BIH,,0,,0,7,0,,,0,,68,,,18,2,0,0,0,,0,0,0,0,0,0,2,,0,0,,0,4,,,0,0,0,0,0,,2,,0,0,0,0,0,14,,0,0,195,0,0,0,4,,0,,0,,0,,,,,0,0,,C,0,,0,12,,0,0,0,0,0,,2,20,,0
BWA,,0,,0,0,0,,,0,,0,,,0,,17,0,0,,0,0,0,0,0,0,0,,0,0,0,,0,,,9,0,0,,0,,22,,0,0,30,0,0,,,0,0,127,0,0,0,31,,0,,0,,8,,,,,0,0,,,0,,0,0,12,0,1,0,,0,,38,,,0
BRA,17,411,2,"4,115",926,"9,389","1,717",,0,393,729,,,50,"14,165","34,713","2,133",355,9,"1,543",139,4,6,15,14,"2,901",,0,3,502,"7,004","5,789",1,4,"1,164",19,12,0,1,0,"15,609",58,"1,333","9,971",566,49,"9,931",,16,7,2,"38,105",0,895,14,0,"2,426",0,C,"13,197",,"6,953",,,254,C,C,460,1,130,519,C,4,35,715,"3,000","2,324","4,868",14,36,,"39,516","170,654",659,2
