,ALB,ARG,ABW,AUS,AUT,BHR,BGD,BLR,BEL,BMU,BOL,BRA,BGR,CAN,CYM,CHL,HKG,MAC,CHN,COL,CRI,CMQ,CYP,CZE,DNK,EGY,EST,FIN,FRA,DEU,GIB,GRC,GGY,HND,HUN,ISL,IND,IDN,IRL,IMN,ISR,ITA,JPN,JEY,KAZ,KOR,KWT,LVA,LBN,LTU,LUX,MKD,MYS,MLT,MUS,MEX,MNG,NLD,NZL,NOR,PAK,PLW,PAN,PER,PHL,POL,PRT,ROU,RUS,SAU,SGP,SVK,SVN,ZAF,ESP,SWE,CHE,THA,TUR,UKR,GBR,USA,URY,VEN,PSE
FRO,,0,,1,4,,,0,12,0,,,0,0,0,0,0,0,0,0,,0,0,0,372,,0,32,17,58,0,,0,0,0,26,0,,40,0,,6,,,0,1,,0,0,0,213,0,0,0,0,,,65,,243,,,,0,,C,0,C,,0,C,0,0,,C,191,30,,0,,-24,694,,,0
FJI,,0,,0,0,,,0,,0,,,0,0,0,0,0,,0,0,,0,0,0,0,,0,,0,6,0,,0,0,0,,0,,2,0,,0,0,,0,0,,,0,0,8,0,0,0,0,,,0,,0,,,,0,,0,0,,,0,C,0,0,,C,0,0,,0,,16,50,,,0
FIN,,0,1,"2,815","3,749",19,,0,"4,941",907,8,13,20,"3,164",661,35,920,30,493,21,0,8,76,58,"5,088",,533,,"31,025","46,112",0,55,614,0,5,11,0,0,"16,087",135,23,"3,513","13,319","1,581",793,654,0,223,4,131,"27,791",0,30,"1,035",0,5,0,"26,349",C,"14,159",,,0,1,C,53,800,0,6,407,C,44,226,69,"1,888","29,072","6,794",3,0,,"20,782","47,153",27,,0
FRA,8,0,24,"27,521","32,694",688,170,0,"141,086","10,667",518,226,519,"44,273","40,263",938,"10,100","1,560","6,617",643,12,"1,843",824,"1,671","18,877",306,923,"19,479",,"427,308",29,"3,946","2,580",23,271,342,2,5,"209,897",314,"4,831","195,738","248,695","5,672","3,772","18,355",29,859,392,452,"435,342",12,416,"3,425",604,188,1,"204,238","2,081","62,744",,,41,550,143,"1,819","15,555",149,882,"8,189",C,"1,177","2,231",552,"68,623","19,130","86,022",631,3,,"208,148","598,526",251,,5
TFQ,,0,,0,0,,,0,,0,,,0,0,0,0,0,,0,0,,0,0,0,0,,0,,,0,0,,0,0,0,,0,,0,0,,0,,,0,0,,,0,0,0,0,0,0,0,,,0,,0,,,,0,,0,0,,,0,,0,0,,C,0,,,0,,0,,,,0
PYF,,0,,0,2,,,0,,0,,,0,0,0,1,0,,0,0,,0,0,0,19,,0,,134,0,0,,0,0,0,,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,,,0,,0,,,,0,,0,0,,,0,,0,0,,C,0,0,,0,,0,0,,,0
NCL,,0,,0,0,,,0,,0,,,0,0,0,0,0,,0,0,,0,0,0,0,,0,,47,0,0,,0,0,0,,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,,,0,,0,,,,0,,0,0,,,0,,0,0,,C,0,0,,0,,0,0,,,0
GAB,,0,,C,10,,,0,3,27,,,0,29,20,0,0,,14,0,,0,0,0,74,,0,8,114,103,0,,33,0,0,,0,,144,0,,31,13,,0,1,,0,0,0,660,0,0,0,7,,,186,,0,,,0,0,,0,0,,1,34,C,0,1,,C,2,51,,0,,23,564,,,0
GMB,,0,,0,0,,,0,,0,,,0,0,0,0,0,,0,0,,0,0,0,0,,0,,,0,0,,0,0,0,,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,,,23,,0,,,,0,,0,0,,,0,,0,0,,C,0,0,,0,,1,0,,,0
GEO,,0,,C,32,,,0,0,3,,0,0,53,60,0,0,,6,0,,0,2,1,103,,0,1,21,119,0,,5,0,0,,0,,52,0,6,56,2,26,4,5,,7,0,12,"1,045",0,0,0,0,,,131,,0,,,,0,,C,0,,1,17,C,0,0,,C,19,37,10,0,,97,953,,,0
DEU,57,57,19,C,"57,061",510,506,0,"56,359","6,969",84,259,400,"38,616","22,054","6,264","18,039",841,"8,382",488,1,58,356,"1,121","61,409",62,545,"26,097","220,982",,72,"1,809","7,539",0,705,226,1,22,"136,336",225,"6,222","87,519","138,908","10,842","3,191","8,130",16,687,82,204,"367,682",52,398,"19,496",35,233,5,"240,544",C,"85,475",1,,32,13,153,"1,512","13,268",226,"3,091","7,410","31,800","1,283","1,901","1,220","30,804","33,909","87,975",452,43,,"178,979","489,736",82,,0
GHA,,0,,18,26,2,,0,1,90,,,0,6,62,0,20,,21,0,,0,0,0,175,,0,59,42,426,0,,26,0,0,,0,,420,3,,62,339,31,0,3,,0,6,0,"3,213",0,0,C,168,,,432,,24,,,0,0,C,0,0,,0,59,C,0,0,189,C,3,68,,0,,591,"3,160",,,0
GIB,,0,,1,2,,,0,0,1,,0,2,0,6,0,0,,0,0,,0,0,0,1,,0,C,84,34,,,96,0,0,,0,,26,10,,73,0,,0,2,,,0,0,46,0,0,644,0,,,12,,56,,,,0,,0,0,,1,0,C,0,0,,C,11,66,,0,,523,198,,,0
GRC,10,0,2,188,391,14,6,0,841,68,,0,13,516,"2,128",1,6,,64,0,0,1,126,56,163,,9,86,"4,877","2,984",0,,14,0,35,0,0,0,"1,635",0,5,"4,176",278,301,0,150,,1,3,5,"7,175",0,1,C,0,,0,"1,009",,601,,,0,0,,25,651,1,8,11,C,1,28,17,"2,201",229,322,8,14,,"3,611","9,988",0,,0
GRL,,0,,0,0,,,0,,0,,,0,0,0,0,0,,0,0,,0,0,0,46,,0,0,0,0,0,,0,0,0,,0,,0,0,,0,0,,0,0,,,0,0,2,0,0,C,0,,,0,,2,,,,0,,0,0,,,0,,0,0,,C,0,0,,0,,12,61,,,0
GRD,,0,,0,0,,,0,,0,,,0,0,0,0,0,,0,0,,0,0,0,0,,0,,2,2,0,,0,0,0,,0,,17,0,,0,0,,0,0,,,0,0,20,0,0,0,0,,,0,,0,,,,0,,0,0,,,0,,0,1,,C,0,0,,0,,0,38,,,0
GLP,,0,,0,0,,,0,,0,,,0,0,0,0,0,,0,0,,0,0,,0,,0,,,0,0,,0,0,0,,0,,0,0,,0,,,0,0,,,0,0,0,0,0,0,0,,,,,0,,,,0,,0,0,,,0,,0,0,,C,0,,,0,,29,0,,,0
GUM,,0,,0,0,4,,0,,0,,,0,0,0,0,0,,0,0,,0,0,0,0,,0,,,1,0,,0,0,0,,0,,0,0,,0,0,,0,0,,,0,0,20,0,0,0,0,,,0,,0,,,,0,,0,0,,,17,,0,0,,C,2,,,0,,0,,,,0
GTM,,0,,C,25,,,0,0,43,,0,0,39,3,48,0,,13,10,4,42,0,0,59,,0,5,1,290,0,,5,0,0,,0,,92,0,,43,13,1,0,2,,,0,0,509,0,0,0,0,,,124,,4,,,191,1,,C,0,,C,28,C,0,0,,C,2,58,,0,,21,556,,,0
GGY,,0,1,539,372,6,,0,407,322,,54,2,"2,114","2,063",24,"1,192",37,0,5,,0,14,29,"3,950",3,1,"1,591","3,385","5,059",0,8,,0,8,47,0,,"4,308","1,004",5,730,"2,655",288,1,361,14,10,1,1,"13,824",0,7,236,46,,,"6,617",,"2,250",,,6,7,C,20,94,65,364,0,280,126,2,"3,138",360,"1,047","15,761",,0,,"19,224","50,020",17,,0
GUF,,0,,0,0,,,0,,0,,,0,0,0,0,0,,0,0,,0,0,,0,,0,,,0,0,,0,0,0,,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,,,,,0,,,,0,,0,0,,,0,,0,0,,C,0,,,0,,0,0,,,0
GIN,,0,,0,0,,,0,,0,,,0,0,0,0,0,,0,0,,0,0,0,0,,0,,,0,0,,0,0,0,,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,,,0,,0,,,,0,,0,0,,,0,,0,0,,C,0,0,,0,,9,0,,,0
GNB,,0,,0,0,,,0,,0,,,0,0,0,0,0,,0,0,,0,0,0,0,,0,,,0,0,,0,0,0,,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,,,0,,0,,,,0,,0,0,,,0,,0,0,,C,0,0,,0,,0,0,,,0
GUY,,0,,0,0,,,0,,0,,,0,0,0,0,0,,0,0,,0,0,0,0,,0,,,0,0,,2,0,0,,0,,0,0,,0,0,,0,0,,,0,0,12,0,0,0,0,,,1,,0,,,,0,,0,0,,,0,,0,0,,C,0,0,,0,,0,0,,,0
HTI,,0,,0,0,,,0,,0,,,0,0,0,0,0,,0,0,,0,0,0,0,,0,,,0,0,,0,0,0,,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,,,0,,0,,,,0,,0,0,,,0,,0,0,,C,0,0,0,0,,0,0,,,0
HND,,0,,C,4,,,0,0,3,,,0,51,7,6,2,,14,0,5,0,0,0,71,,0,C,11,121,0,,10,,0,,0,,72,0,,34,19,1,0,0,,,0,0,552,0,0,0,0,8,,86,,197,,,9,31,,0,0,,,0,,0,0,,C,6,343,,0,,57,696,0,,0
HUN,C,0,0,C,"1,313",20,,0,506,140,,1,481,"1,472","1,663",4,79,3,283,0,0,2,1,677,781,,28,C,"1,733","4,399",0,1,141,0,,0,0,,"2,375",0,1,560,"1,060",91,24,182,,59,0,90,"7,911",0,13,29,0,,0,"2,540",,150,,,0,0,,"1,032",4,80,297,425,"1,090",131,215,36,C,288,757,1,0,,"3,098","12,632",0,,0
ISL,,0,1,C,146,,,0,114,0,,3,1,22,171,0,0,1,1,0,,5,3,0,415,,11,592,271,"1,367",0,,0,0,21,,0,,360,0,,136,33,674,2,30,,8,0,37,"2,074",0,0,C,9,,,175,,534,,,0,0,,C,14,10,,0,C,22,32,0,396,860,75,11,0,,"1,052","2,600",,,0
IND,,0,2,"6,434",427,"1,421",64,0,598,656,,6,0,"18,866","9,308",110,"8,249",23,979,0,,11,60,47,"3,235",,0,565,"11,739","4,230",0,,865,0,0,0,,"1,579","17,527",9,14,472,"20,574","4,621",0,"3,288",25,13,2,1,"57,521",0,334,C,"106,122",2,0,"11,420",,"12,177",,,8,0,414,11,28,C,35,"1,297","57,094",6,55,740,C,"3,063","3,926",184,0,,"34,525","194,444",0,,3
IDN,,0,1,"1,484",390,307,5,0,277,577,,0,171,"5,500","2,805",90,"3,508",11,"1,724",0,,39,4,32,"2,287",10,25,592,"1,355","7,325",0,,133,0,0,0,66,,"10,214",4,,"1,409","9,919",166,0,"1,267",118,53,0,2,"32,580",0,"1,955",C,461,25,,"8,001",,"4,850",41,,,3,"2,365",115,152,,56,"1,701","25,992",40,15,27,142,"1,044","2,362",705,0,,"10,881","73,229",,,2
IRN,,0,,0,0,,4,0,,0,,,0,0,22,0,0,3,0,0,,161,35,0,0,,0,,40,0,0,,0,0,0,,0,,0,0,,0,0,,0,87,,,0,0,0,0,0,0,0,,,6,,0,,,,0,,0,0,,,0,C,0,16,,C,21,0,88,0,,0,0,,,0
IRQ,,0,,C,11,16,,0,2,12,,,0,39,119,0,0,,35,0,,0,0,0,114,,0,19,31,83,0,,0,0,0,,0,,279,0,,52,15,1,0,321,12,1,1,0,735,0,0,0,5,,,89,,0,,,,0,,0,0,,2,0,C,0,0,,C,3,34,,0,,12,"2,050",,,0
IRL,,0,11,"9,216","19,438",141,15,0,"48,411","6,671",,310,290,"19,182","22,915","9,412","15,630",974,"3,788",429,356,676,"2,471","1,583","22,191",,757,"55,185","144,682","175,871","1,130","3,043","8,141",0,472,"3,031",5,7,,"8,508","3,103","149,670","57,678","6,019","1,675","6,959",51,"1,379",50,"1,800","184,363",1,479,"8,765",277,"2,544",0,"94,761","1,155","18,891",,,80,"1,182",91,775,"11,842",133,"23,066",561,"10,745","2,716",930,"22,116","58,567","21,956","82,332","6,317",2,,"256,353","495,403",53,,1
IMN,,0,,C,216,,,0,98,25,,52,8,466,20,4,50,2,20,0,,0,15,0,29,,2,58,512,385,0,1,277,0,0,0,1,,812,,1,131,185,12,0,42,,2,0,0,"1,407",0,252,115,11,,,229,,333,,,1,0,C,C,0,2,38,0,210,0,0,238,C,48,188,,0,,"2,933","6,050",2,,0
ISR,,0,1,723,419,,,0,451,312,,34,22,"2,179",435,9,141,14,205,0,0,1,2,6,516,,14,32,"1,203","3,998",0,,"1,462",0,8,0,5,,"1,542",3,,442,"1,838",149,12,324,,38,0,4,"3,882",0,1,30,2,4,,"1,452",C,"2,594",,,15,2,C,22,32,0,12,0,"1,149",44,24,6,319,445,"3,314",67,0,,"5,115","66,211",2,,0
