,ALB,ARG,ABW,AUS,AUT,BHR,BGD,BLR,BEL,BMU,BOL,BRA,BGR,CAN,CYM,CHL,HKG,MAC,CHN,COL,CRI,CMQ,CYP,CZE,DNK,EGY,EST,FIN,FRA,DEU,GIB,GRC,GGY,HND,HUN,ISL,IND,IDN,IRL,IMN,ISR,ITA,JPN,JEY,KAZ,KOR,KWT,LVA,LBN,LTU,LUX,MKD,MYS,MLT,MUS,MEX,MNG,NLD,NZL,NOR,PAK,PLW,PAN,PER,PHL,POL,PRT,ROU,RUS,SAU,SGP,SVK,SVN,ZAF,ESP,SWE,CHE,THA,TUR,UKR,GBR,USA,URY,VEN,PSE
SVK,,0,0,8,"5,217",,7,0,"3,934",8,,,61,22,0,10,0,0,-319,0,,0,10,"3,241",78,,22,25,"2,341","8,474",0,52,3,0,430,1,0,,548,0,2,"1,104",133,199,0,45,,32,2,65,"1,642",0,0,98,0,,,"2,045",,773,,,,0,,29,42,C,144,0,C,,225,,C,1,"1,215",,0,,43,386,,,0
SVN,1,0,1,47,"1,511",4,6,0,"1,020",175,,,81,88,2,27,5,4,27,0,,0,4,120,49,,28,14,"2,316","7,932",0,20,17,0,85,0,0,,"1,107",0,1,"2,208",283,1,0,52,,13,0,46,809,1,0,C,0,,,333,,419,,,,0,,130,75,4,7,0,C,323,,,143,1,159,3,0,,213,"1,705",1,,0
SLB,,0,,0,0,,,0,,0,,,0,0,0,0,0,,0,0,,0,0,0,0,,0,,,0,0,,0,0,0,,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,,,0,,0,,,,0,,0,0,,,0,,0,0,,C,0,0,,0,,0,0,,,0
SOM,,0,,0,0,,,0,,0,,,0,0,0,0,0,,0,0,,0,0,0,0,,0,,,0,0,,0,0,0,,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,,,0,,0,,,,0,,0,0,,,0,,0,0,,C,0,0,,0,,0,0,,,0
ZAF,,0,2,"2,988",505,206,7,0,427,604,,2,2,"7,684","2,171",42,138,8,595,0,0,2,4,6,"2,546",,1,C,"1,981","4,851",0,6,435,0,42,0,5,2,"14,417",3,32,"1,172","8,495",235,4,"1,078",,13,59,1,"26,360",0,378,52,"1,083",,0,"10,886",,"7,120",4,,6,1,5,92,185,1,59,"1,616",C,1,23,,C,"2,316","3,123",7,0,,"17,804","115,363",4,,3
SSD,,0,,0,0,,,0,,0,,,0,0,0,0,0,,0,0,,0,0,0,0,,0,,,0,0,,0,0,0,,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,,,0,,1,,,,0,,0,0,,,0,,0,0,,C,1,0,,0,,0,0,,,0
ESP,,78,10,"5,129","16,247",136,218,0,"32,157","1,170",,"3,718",372,"10,512","6,771","2,125",646,179,"1,460",174,4,59,207,95,"7,984",2,165,"4,495","197,962","153,172",0,"8,731","2,745",0,86,12,0,3,"59,190",10,282,"106,817","43,225","1,096",97,"2,456",2,585,18,54,"124,473",0,32,"2,757",16,501,0,"44,458",,"21,886",,,176,211,4,167,"23,159",50,16,"3,185","7,351","2,022","1,327",103,,"6,397","13,313",74,21,,"53,202","158,215",18,,0
LKA,,0,,C,38,11,,0,2,134,,,0,109,67,0,254,,68,0,,0,0,0,365,,0,64,49,703,0,,10,0,0,,10,5,786,0,,197,111,15,0,5,,2,2,0,"3,673",0,12,C,61,,,567,,97,,,,0,C,19,0,,0,84,911,0,0,1,C,23,124,1,0,,627,"4,461",,,0
KNA,,0,,0,0,,,0,,0,,0,0,0,0,0,0,,0,0,,0,0,0,0,,0,,,0,0,,0,0,0,,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,C,0,,,0,,0,,,,0,,0,0,,,0,,0,0,,C,0,,,0,,0,0,,,0
LCA,,0,20,0,0,,,0,,0,,,0,18,49,0,0,,0,0,,0,0,0,0,,0,,,0,0,,0,0,0,,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,C,0,,,0,,0,,,,0,,0,0,,,0,,0,0,,C,0,0,,0,,0,0,,,0
VCT,,0,,0,1,,,0,,0,,,0,0,0,1,0,,0,0,,0,0,0,0,,0,,1,0,0,,0,0,12,,0,,0,0,,0,0,,0,0,,,0,0,1,0,0,C,0,,,0,,0,,,,0,,0,0,,,0,,0,0,,C,0,88,,0,,0,0,,,0
SDN,,0,,0,0,2,,0,,0,,,0,0,0,0,0,,0,0,,0,0,0,0,2,0,,,0,0,,6,0,0,,0,,0,0,,0,0,,0,0,14,,4,0,0,0,0,0,0,,,0,,0,,,,0,,0,0,,,0,,0,0,,C,0,0,,0,,0,0,,,0
SUR,,0,,0,4,,,0,0,3,,,0,0,0,0,0,,3,0,,0,0,0,11,,0,1,5,30,0,,3,0,0,,0,,25,0,,9,6,,0,0,,,0,0,183,0,0,0,0,,,43,,0,,,,0,,0,0,,2,0,,0,2,,C,0,5,,0,,6,188,,,0
SWZ,,0,,0,0,,,0,,3,,,0,0,82,0,0,,0,0,,0,0,0,0,,0,,,0,0,,10,0,0,,0,,0,0,,0,0,,0,0,,,0,0,2,0,0,0,0,,,0,,0,,,,0,,0,0,,,0,,0,0,28,C,0,60,1,0,,0,0,,,0
SWE,1,0,5,"6,442","4,987",109,49,0,"5,449","3,612",45,14,85,"12,412","2,181",79,"1,436",133,"1,581",228,74,32,188,489,"27,463",3,588,"35,185","42,234","67,984",163,96,"5,714",0,32,46,1,0,"52,990",890,383,"7,412","30,680","8,632",621,"1,687",0,307,8,140,"93,394",0,47,"2,380",16,16,,"22,381",,"54,416",,,41,37,2,"1,212",628,33,34,"1,698",C,287,473,150,"3,201",,"19,055",15,1,,"43,016","172,330",228,,0
CHE,,0,14,"13,464","5,791",168,8,0,"5,421","2,756",69,"2,418",11,"31,692","4,835","2,638","1,673","1,081","5,172",51,10,53,87,135,"7,881",6,84,"3,798","35,935","59,701",6,222,"11,491",0,99,26,11,6,"36,943",320,"1,019","9,457","32,740","11,740",507,"5,662",103,52,179,8,"111,568",4,169,"1,574",230,91,6,"28,049",143,"37,926",,,39,585,66,99,309,7,90,"4,366","10,186",54,153,545,"7,078","17,425",,72,7,,"88,258","505,951",54,264,1
SYR,,0,,0,0,,,0,,0,,,0,0,0,0,0,,0,0,,0,0,0,0,1,0,,,0,0,,0,0,0,,0,,0,0,,0,0,,0,20,80,,1,0,0,0,0,0,0,,,0,,0,,,,0,,0,0,,,46,,0,0,,C,0,0,,0,,0,0,,,0
TWN,,0,1,C,210,4,6,0,445,996,,2,0,"11,037","2,518",4,"7,219",18,544,0,,0,0,3,"2,544",,0,673,"2,786","4,177",0,,251,0,0,0,6,40,"17,137",29,,289,"10,262",331,0,"1,991",,0,0,0,"29,566",0,"1,023",0,199,11,0,"10,579",47,"11,011",,,,0,C,1,25,C,2,"3,505","16,513",0,42,49,C,"5,127","3,617",32,0,,"40,034","177,729",0,,0
TJK,,0,,0,14,,,0,0,0,,,0,0,0,0,0,,1,0,,0,1,0,14,,0,2,1,30,0,,0,0,2,,0,,11,0,,22,2,,0,1,,4,0,0,236,0,0,0,0,,,12,,0,,,,0,,0,0,,1,0,C,0,0,,C,0,6,,0,,-12,47,,,0
TZA,,0,,0,0,,,0,,25,,,0,0,16,0,0,,1,0,,0,0,0,17,,0,5,0,31,0,,5,0,0,,0,,59,0,,4,1,16,0,0,,,0,0,244,0,0,0,51,,,7,,3,,,,0,,C,0,,,0,,0,0,97,C,0,6,,0,,73,315,,,0
THA,,0,1,"1,987",176,79,3,0,188,374,,0,0,"3,354","2,167",1,"2,966",42,499,0,,6,3,0,"1,076",,0,C,882,"2,195",0,,145,0,0,0,26,48,"5,826",64,,186,"7,949",178,0,621,,0,0,0,"13,471",0,"1,162",0,574,,,"4,538",,"3,767",,,2,2,186,0,5,,,"1,018","11,740",0,4,28,C,"1,118","1,151",,0,,"15,399","51,055",,,0
TLS,,0,,C,0,,,0,,0,,,0,0,0,0,0,,0,0,,0,0,0,0,,0,,,0,0,,0,0,0,,0,,0,0,,0,0,,0,0,,,0,0,1,0,0,0,0,,,0,,0,,,,0,,0,4,,,0,,0,0,,C,0,0,,0,,0,,,,0
TGO,7,0,,0,29,,,0,0,0,,,0,0,0,0,5,,0,0,,0,0,0,54,,0,8,19,96,0,,0,0,0,,0,,66,0,,53,0,,0,0,,0,0,0,405,0,0,0,28,,,7,,0,,,,0,,0,0,,,0,17,0,0,,C,0,8,,0,,-3,27,,,0
TKL,,0,,0,0,,,0,,0,,,0,0,0,0,0,,0,0,,0,0,0,0,,0,,,0,0,,0,0,0,,0,,0,0,,0,0,,0,0,,,0,0,63,0,0,0,0,,,0,,0,,,,0,,0,0,,,0,,0,0,,C,0,,,0,,0,0,,,0
TON,,0,,0,0,,,0,,0,,,0,0,0,0,0,,0,0,,0,0,0,0,,0,,,0,0,,0,0,0,,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,,,0,,4,,,,0,,0,0,,,0,,0,0,,C,0,0,,0,,0,0,,,0
TTO,,0,3,C,13,6,,0,0,29,,0,0,25,144,1,0,,7,0,,34,0,0,45,,0,8,1,125,0,,0,0,0,,0,,77,0,,18,116,,0,4,,,0,0,441,0,1,C,0,,,104,,0,,,27,0,,C,0,,C,18,C,0,0,,C,2,43,,0,,39,677,,,0
TUN,3,0,0,C,61,117,,0,9,72,,,0,12,45,0,4,,10,0,,0,5,0,62,3,0,16,328,416,0,,2,0,0,,0,0,324,0,,140,"1,038",24,0,0,32,2,0,0,423,0,0,C,63,,,162,,23,,,,0,,0,0,,1,34,C,0,1,,C,106,56,,0,,25,"1,842",,,0
TUR,260,0,1,839,"1,253","4,090",48,0,230,317,,5,134,"3,083","1,304",21,242,1,408,0,1,38,39,388,"2,159",3,62,590,"2,909","5,510",0,46,465,0,279,0,0,2,"7,733",2,152,"1,950","5,858","3,402",65,493,444,65,49,51,"23,100",0,513,C,24,5,11,"6,407",,"3,222",14,,4,1,60,822,167,134,510,"2,261",C,85,58,42,408,915,"1,862",489,,,"8,714","39,814",3,,14
TKM,,0,,0,0,,,0,,0,,,0,0,0,0,0,,0,0,,0,0,0,0,,0,,,0,0,,0,0,0,,2,,0,0,,0,16,,0,0,,,0,0,0,0,0,0,0,,,0,,0,,,,0,,0,0,,,0,,0,0,,C,0,0,,0,,0,0,,,0
TCA,,0,,0,0,,,0,,0,,,0,0,0,0,0,,0,0,,0,0,0,0,,0,,,0,0,,0,0,0,,0,,0,0,,3,0,,0,0,,,0,0,0,0,0,C,0,,,1,,0,,,38,0,,0,0,,,0,,0,0,,C,0,12,,0,,0,43,,,0
TUV,,0,,0,0,,,0,,0,,,0,0,0,0,0,,0,0,,0,0,0,0,,0,,,0,0,,0,0,0,,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,,,0,,0,,,,0,,0,0,,,0,,0,0,,C,0,0,,0,,0,0,,,0
UGA,,0,,0,0,,,0,,17,,,0,0,37,0,0,,1,0,,0,0,0,0,,0,C,,0,0,,3,0,0,,0,,14,0,,0,0,8,0,0,,,0,0,155,0,0,0,36,,,0,,5,,,,0,,0,0,,,0,,0,0,35,C,0,8,,0,,30,43,,,0
UKR,,0,,C,119,10,,0,5,163,,0,0,206,"1,939",0,18,,120,0,,40,117,7,586,,11,C,50,479,0,,64,0,10,0,0,,"1,221",0,2,180,145,19,0,0,,6,1,3,"3,883",0,0,0,1,,0,890,,0,,,0,0,C,12,4,10,C,169,C,0,0,,C,46,150,,1,,261,"8,978",0,,0
ARE,C,0,0,"1,799",355,"5,502",28,0,350,"1,159",,9,3,"1,043","3,976",23,"4,004",391,"2,240",26,,27,31,1,345,56,3,110,"1,279","3,737",0,7,363,0,20,0,3,2,"7,815",103,,417,"1,780",419,2,724,"2,293",11,112,2,"9,259",0,441,180,158,,0,"1,042",,495,94,,0,0,C,1,85,,6,"5,970",C,50,10,4,272,636,"6,947","1,498",4,,"3,783","18,801",0,,55
GBR,4,6,45,"72,590","17,816","1,636",353,0,"31,527","31,889",7,592,248,"97,473","71,270","5,573","82,056","2,279","17,609",685,89,209,681,810,"30,216",55,290,"21,385","282,511","217,663","3,249","11,283","35,387",0,219,478,463,8,"672,871","19,276","10,122","83,602","168,228","42,942","3,821","26,815",801,152,388,55,"369,771",1,"4,497","9,246","1,839",476,18,"128,379","4,351","91,205",11,,124,"2,392",391,497,"6,285",176,"3,006","12,929","42,201","1,099",847,"74,752","41,546","41,326","84,131","1,596",24,30,,"1,473,490",265,,3
USA,26,"26,805",465,"341,385","34,302","5,145",517,0,"54,123","381,507","2,356","13,852",936,"1,024,953","1,336,364","46,171","138,504","8,234","145,249","26,558",924,"9,606","1,045","3,368","146,944",183,946,"62,033","309,758","418,184",11,"1,227","41,457",92,"1,740","1,894","1,890","3,279","914,914","2,641","71,878","127,563","1,595,104","27,908","29,990","187,013","1,628","1,492","1,327",200,"1,115,974",257,"26,181","2,443","3,902","26,207",33,"530,429",C,"394,725",69,374,"8,519","17,616","4,695",C,"12,002",214,"4,886","81,501","343,903","1,961","2,377","25,377","52,985","180,999","324,378","6,417",388,1,"1,232,608",,"2,673","2,880",23
URY,,1,,29,104,10,,0,12,138,,65,0,306,14,153,7,,47,0,3,41,1,0,389,,0,125,43,"1,720",0,,37,0,0,,0,,817,0,,148,537,18,0,52,,0,0,0,"1,777",0,0,C,0,,,610,,8,,,12,2,,C,0,,,94,C,0,0,,C,8,328,0,0,,175,"5,310",,,0
PUQ,,0,,0,0,,,0,,0,,,0,0,0,0,0,,0,0,,0,0,0,0,,0,,,0,0,,0,0,0,,0,,0,0,,0,,,0,0,,,0,0,0,0,0,0,0,,,0,,0,,,,0,,0,0,,,0,,0,0,,C,0,0,,0,,2,,,,0
VIR,,0,,0,0,,,0,,0,,8,0,0,282,0,84,,431,0,,174,0,0,1,,0,C,0,0,0,,0,0,0,,0,,54,62,2,0,119,,0,0,,,0,0,412,0,44,C,0,,,0,,6,,,14,0,,0,8,,,0,C,0,0,,C,1,0,21,1,,14,,0,,0
UZB,,0,,0,0,,,0,,0,,,0,0,0,0,0,,0,0,,0,0,0,0,,0,,,0,0,,0,0,0,,0,,0,0,,0,0,,0,1,,,0,0,13,0,0,0,0,,,0,,0,,,,0,,0,0,,C,0,,0,0,,C,0,0,,0,,0,0,,,0
VUT,,0,,0,0,,,0,,0,,,0,0,0,0,0,,0,0,,0,0,0,0,,0,,,0,0,,0,0,0,,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,,,0,,0,,,,0,,0,0,,,0,,0,0,,C,0,0,,0,,0,0,,,0
VAT,,0,,0,0,,,0,,0,,,0,0,0,0,0,,0,0,,0,0,0,0,,0,,,0,0,,0,0,0,,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,,,0,,0,,,,0,,0,0,,,0,,0,0,,C,0,0,,0,,0,0,,,0
VEN,,1,,C,55,,,0,3,85,,2,1,129,137,3,126,,26,0,4,32,1,1,274,,0,12,183,198,0,1,129,0,0,,0,,483,1,2,956,46,16,0,11,,2,42,0,"2,101",0,0,C,19,,,374,,424,,,170,36,C,C,82,0,17,73,C,1,0,,C,0,441,,17,,130,"3,013",149,,0
VNM,,0,,C,19,,6,0,16,46,,,0,178,"1,227",0,630,,55,0,,0,0,0,129,,0,574,124,180,0,,75,0,0,,0,28,673,0,1,47,479,165,0,"1,857",,2,0,0,"1,828",0,4,0,0,,,315,,551,,,,0,C,0,0,,,6,C,0,0,,C,134,54,294,0,,"1,369","3,402",,,0
VGB,0,0,1,"3,052",432,31,,0,587,792,,461,0,851,"42,229","1,444","33,452","7,675","31,515",1,1,809,77,22,640,,3,685,"2,378","6,813",2,7,"1,421",0,11,0,4,4,"4,387",162,44,896,"4,541","1,434",4,"3,252",1,55,2,8,"21,351",0,929,"2,948",38,,,"2,992",,658,10,,41,6,328,56,439,0,264,110,"13,244",28,3,55,341,197,152,942,0,,"2,382","67,067",9,,0
WLF,,0,,0,0,,,0,,0,,,0,0,0,0,0,,0,0,,0,0,0,0,,0,,,0,0,,0,0,0,,0,,0,0,,0,0,,0,0,,,0,0,2,0,0,0,0,,,0,,0,,,,0,,0,0,,,0,,0,0,,C,0,0,,0,,0,,,,0
PSE,,0,,0,0,,,0,,0,,,0,0,0,0,0,,0,0,,0,0,0,0,,0,,,0,0,,0,0,0,,0,,0,0,,0,0,,0,0,,,0,0,85,0,0,0,0,,,0,,0,,,,0,,0,0,,,0,,0,0,,C,0,0,,0,,0,0,,,
ESH,,0,,0,0,,,0,,0,,,0,0,0,0,0,,0,0,,0,0,,0,,0,,,0,0,,0,0,0,,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,,,0,,0,,,,0,,0,0,,,0,,0,0,,C,0,,,0,,0,0,,,0
YEM,,0,,0,0,3,,0,,0,,,0,0,0,0,0,,0,0,,0,0,0,0,,0,,,0,0,,0,0,0,,0,,0,0,,0,0,,0,0,0,,0,0,0,0,0,0,0,,,0,,0,,,,0,,0,0,,,0,,0,0,,C,0,0,,0,,0,0,,,0
ZMB,,0,,C,22,,,0,1,83,,,0,22,90,0,8,,23,0,,0,3,0,101,,0,48,48,227,0,,23,0,0,,0,,224,1,,36,93,11,0,2,,0,0,0,"1,056",0,0,0,43,,,171,,0,,,,0,,C,0,,0,0,,0,0,52,C,3,48,,0,,320,880,,,0
ZWE,,0,,C,0,,,0,,139,,,0,0,4,0,0,,0,0,,0,0,0,8,,0,,0,4,0,,0,0,0,,0,,122,0,,0,0,,0,0,,,0,0,40,0,0,0,84,,,8,,0,,,,0,,0,0,,,0,,0,0,12,C,0,0,,0,,19,72,,,0
