,ARG,ABW,AUS,AUT,BHS,BHR,BRB,BEL,BMU,BRA,BGR,CAN,CYM,CHL,HKG,MAC,COL,CRI,CMQ,CYP,CZE,DNK,EGY,EST,FIN,FRA,DEU,GIB,GRC,GGY,HUN,ISL,IND,IDN,IRL,IMN,ISR,ITA,JPN,JEY,KAZ,KOR,KWT,LVA,LBN,LTU,LUX,MYS,MLT,MUS,MEX,MNG,NLD,NZL,NOR,PAK,PAN,PHL,POL,PRT,ROU,RUS,SGP,SVK,SVN,ZAF,ESP,SWE,CHE,THA,TUR,UKR,GBR,USA,URY,VEN
IMN,0,,C,11,,,0,6,56,2,0,109,,0,8,1,0,0,0,13,0,43,0,2,58,114,100,,0,206,0,2,,0,329,,,21,992,14,0,21,,,0,1,"1,145","1,242",,27,,,210,0,4,,0,,C,0,,9,C,,0,110,C,11,106,0,0,,"1,867","2,842",0,0
ISR,0,1,435,263,,,8,123,51,4,0,"2,035",104,0,14,,0,0,2,25,4,242,0,0,98,"1,396","1,137",,1,"2,147",82,1,0,0,581,1,,135,"2,389",45,4,104,,,,0,"4,499",0,,11,,,946,0,"1,011",,5,,C,0,,0,C,1,14,128,C,209,439,137,0,,"6,795","63,502",3,0
ITA,2,1,"3,391","23,108",,16,0,"46,580","1,046",48,45,"7,605",74,4,"1,904",65,0,0,8,"1,100",793,"7,078",71,168,"8,101","318,950","203,689",2,"1,653","2,702",13,5,,13,"117,022",24,191,,"75,355","2,406","1,424",752,7,12,15,83,"153,239",9,677,48,0,,"71,007",0,"23,452",,2,0,3,"13,662",11,18,"3,677","2,094",898,32,"61,638","3,810","8,352",68,0,,"130,513","65,638",81,0
JAM,0,0,0,9,,0,0,16,0,1,0,3,30,0,0,,0,0,,0,0,2,0,,1,9,80,,0,0,0,,,0,3,0,,20,25,,0,0,,,,0,35,,,,,,3,0,,,1,,C,0,,0,,,0,,C,0,13,0,0,,171,315,0,0
JPN,110,9,"22,702","1,414",,136,313,"2,586","4,341",23,0,"40,246",14,"1,341","24,486",90,169,0,102,4,13,"6,088",0,2,544,"92,170","31,365",2,5,"1,041",5,47,35,14,"43,718",108,118,"4,061",,"7,062","2,012","5,523",82,0,3,3,"68,857",211,22,75,,,"25,038","1,520","30,164",,0,64,C,482,,0,C,4,38,246,"1,826","11,897","19,913",127,0,,"153,437","502,796",30,0
JEY,0,1,C,"3,715",27,106,369,"4,308",310,5,6,966,20,0,"2,481",17,0,0,36,70,90,"1,541",0,2,"1,210","16,398","17,833",2,"1,142",986,47,24,,0,"7,527",448,3,"4,606","19,476",,0,412,136,0,17,5,"19,965",2,334,669,,,"7,701",0,928,,0,,12,"1,723",1,818,473,,3,"2,311","5,640","1,084","17,153",1,0,,"47,785","41,906",2,0
JOR,0,,C,3,,314,0,0,10,,0,6,,0,4,,0,0,,15,,38,11,,0,7,33,,,114,0,,0,0,45,0,,4,10,244,0,1,662,,98,0,224,0,,,,,44,0,,,0,,C,0,,0,C,,0,,0,0,3,0,0,,249,118,0,0
KAZ,0,,11,246,,47,0,14,138,0,2,86,170,0,19,1,0,0,0,116,36,258,0,4,0,115,"2,934",,32,556,53,1,,0,124,0,,106,151,97,,86,,23,1,11,"1,489",,,,,,386,0,15,,0,0,C,23,,237,C,,1,,C,29,66,0,7,,"4,869","2,993",0,0
KEN,0,,0,0,,,0,0,0,,0,2,,0,8,,0,0,0,0,,21,0,,0,2,3,,,7,0,,1,0,45,0,,11,2,88,0,1,,,,0,265,,,184,,,0,0,19,,0,,0,0,,0,C,,0,49,0,3,5,0,0,,44,192,0,0
KIR,0,,0,0,,,0,0,0,,0,,,0,0,,0,0,,0,,0,0,,0,,0,,,0,0,,,0,0,0,1,,0,,0,0,,,,0,0,,,,,,0,0,,,0,,0,0,,0,,,0,,0,0,0,0,0,,0,2,0,0
PRK,0,,0,,,,0,,,,0,,,,0,,0,,,0,,0,0,,0,,0,,,,0,,,,0,0,,,0,,0,0,,,0,0,0,,,,,,0,0,,,5,,0,0,,0,,,6,,0,0,,0,0,,,0,0,0
KOR,0,1,"4,764",929,1,110,1,606,"1,527",944,0,"9,247",180,94,"20,225",193,0,0,7,1,3,"1,975",1,0,536,"13,107","5,385",2,16,567,9,5,32,130,"14,915",10,30,"1,051","18,016",294,105,,4,,58,4,"42,256","2,944",6,65,55,,"8,786",0,"7,193",,22,250,C,8,,7,"30,799",4,27,39,C,"1,944","5,095","11,238",0,,"58,962","148,188",0,0
KWT,0,,C,68,,502,0,0,15,,0,12,,3,125,15,0,0,0,5,,17,15,,0,27,59,,0,112,0,,0,0,17,0,,,32,59,0,20,,,38,0,319,305,,31,,,27,0,,,0,0,0,0,,0,C,,0,1,C,0,1,0,0,,515,0,0,0
KGZ,0,,0,0,,,0,0,0,,0,,,0,0,,0,0,,0,,0,0,,0,,0,,,0,0,,,0,0,0,,,0,,27,0,,,,0,53,,,,,,0,0,,,0,,0,0,,0,C,,0,,0,0,2,0,0,,0,0,1,0
LAO,0,,0,0,,,0,0,0,,0,,,0,0,,0,0,,0,,0,0,,0,,0,,,3,0,,,0,0,0,,,0,,0,0,,,,0,0,,,,,,0,0,,,0,,0,0,,0,,,0,,0,0,0,8,0,,1,0,0,0
LVA,0,,0,277,,,0,1,0,,0,5,,0,0,,0,0,,3,,0,0,73,36,4,668,,4,35,3,,,0,0,0,,25,0,33,0,0,,,,43,47,,,,,,0,0,149,,0,,0,0,,2,,35,4,,C,187,10,0,0,,22,13,0,0
LBN,0,,0,20,,11,0,27,0,4,0,12,,0,68,,0,0,0,323,,122,10,,0,119,95,,,107,0,,,0,19,0,,47,86,360,0,0,86,,,0,390,,,12,,,158,0,1,,0,,0,0,,0,C,,0,,C,0,10,0,0,,119,463,0,0
LSO,0,,0,0,,,0,0,0,,0,,,0,0,,0,0,,0,,0,0,,0,,0,,,0,0,,,0,0,0,,,0,,0,0,,,,0,0,,,3,,,0,0,,,0,,0,0,,0,,,0,,0,0,0,0,0,,12,0,0,0
LBR,0,,0,15,,,0,15,48,0,0,201,,0,1,,0,0,,1,0,52,0,,14,109,168,,5,0,0,,,0,76,0,,39,114,30,0,2,,,,0,520,0,,,,,156,0,447,,2,,0,0,,0,C,,0,,C,20,119,0,0,,42,"5,413",0,0
LBY,0,,0,0,,83,0,0,0,,0,,,0,0,,0,0,,0,,0,4,,0,,0,,,0,0,,,0,0,0,,,0,17,0,0,0,,,0,0,,,,,,0,0,,,0,,0,55,,0,,,0,,0,0,0,0,0,,7,0,0,0
LIE,0,,0,"1,141","1,264",,0,3,0,2,0,4,,0,0,,0,0,,0,0,0,0,3,0,52,"1,661",,,15,1,,,0,8,1,,40,0,,0,0,,,,0,304,1,,,,,76,0,628,,0,,C,0,,0,C,,0,,C,0,,0,0,,29,299,0,0
LTU,0,,C,639,,1,0,109,7,,31,38,,0,C,,0,0,0,28,,172,0,109,91,268,"2,054",,40,147,3,3,,0,27,0,,131,93,3,2,2,,64,10,,"1,499",,6,,,,238,0,60,,0,0,8,0,,1,,,44,,C,486,131,2,0,,521,"1,517",0,0
LUX,595,49,"11,561","30,182",55,49,535,"136,053","5,684",237,226,"2,743",250,"46,460","28,852",801,585,2,144,741,"5,384","22,079",46,844,"27,583","169,296","438,573",147,"7,145","14,866","4,276","1,393",473,632,"43,571","4,961","4,733","287,774","98,991","11,801",196,"3,911",5,182,257,"1,001",,683,709,754,540,,"87,262",0,"10,961",,44,173,"4,129","12,441",448,"8,827","9,645","1,121",549,"6,708","48,996","82,155","160,108",424,512,,"94,974","100,431",116,5
MKD,0,,0,67,,,0,0,0,,3,,,0,0,,0,0,,0,,17,0,0,0,0,39,,0,0,0,,,0,37,0,,5,0,,0,0,,,,6,87,,,,,,0,0,,,0,,0,0,,1,,,40,,0,0,4,0,0,1,15,13,0,0
MDG,0,,0,0,,,0,0,0,,0,,,0,C,,0,0,,0,,0,0,,0,0,0,,,0,0,,,0,0,0,,,0,2,0,0,,,,0,0,,,46,,,0,0,1,,0,,0,0,,0,,,0,,0,0,0,0,0,,0,2,0,0
MWI,0,,0,0,,,0,0,0,,0,,,0,0,,0,0,,0,,0,0,,0,,0,,,1,0,,,0,0,0,,,0,3,0,0,,,,0,3,,,0,,,0,0,,,0,,0,0,,0,,,0,11,0,0,0,0,0,,0,1,0,0
MYS,0,,"1,017",334,,98,0,90,141,,0,"1,408",3,11,"6,375",128,0,0,2,0,0,"1,025",4,0,146,"2,994","1,712",,0,163,1,1,1,51,"3,641",1,,224,"4,625",225,0,531,"1,007",,,1,"16,111",,,"1,073",,,"2,650",40,"1,431",7,0,21,0,0,,0,"14,642",0,6,6,C,274,475,144,1,,"9,341","32,210",0,0
MDV,0,,0,0,,,0,0,0,,0,,,0,0,,0,0,,0,,0,0,,0,,0,,,0,0,,,1,0,0,,,0,,0,0,,,,0,0,,,1,,,0,0,,,0,,0,0,,0,,,0,,0,0,0,2,0,,0,0,0,0
MLI,0,,0,0,,,0,0,10,,0,,,0,0,,0,0,,0,,0,0,,0,,0,,0,0,0,,,0,51,0,,,0,,0,0,,,0,0,0,,,0,,,0,0,,,0,,0,0,,0,,,0,,0,0,0,0,0,,9,0,0,0
MLT,0,,0,59,,,0,6,0,,0,126,,0,0,,0,0,3,0,15,46,18,0,0,"1,132",182,,0,276,0,,,0,159,6,,115,15,155,0,0,59,,,4,397,,,2,,,41,0,0,,0,,0,0,,0,C,,0,6,C,158,238,0,0,,71,88,0,0
MHL,0,,0,12,,,0,4,102,5,0,185,,0,0,,0,0,,0,2,5,0,,64,26,12,,,0,0,0,,0,-13,0,1,8,44,,0,0,,,,0,136,2,,,,,27,0,61,,0,,C,0,,0,C,,0,,C,3,211,0,0,,11,"11,174",0,0
MTQ,0,,0,0,,,0,0,0,,0,,,0,0,,0,0,,0,,0,0,,0,,0,,,0,0,,,0,0,0,,,0,,0,0,,,,0,0,,,,,,0,0,,,0,,0,0,,0,,,0,,0,0,,0,0,,0,0,0,0
MRT,0,,0,0,,,0,0,0,,0,,,0,0,,0,0,,0,,0,0,,0,,0,,,0,0,,,0,0,0,,,2,,0,0,4,,,0,0,,,,,,3,0,,,0,,0,0,,0,,,0,,0,0,0,0,0,,0,0,0,0
MUS,0,,C,3,,8,0,7,455,,0,1,,0,42,5,0,0,7,0,85,84,0,,0,151,27,,,299,3,,0,158,545,135,,7,208,271,0,8,40,,,0,"5,110",11,,,,,158,0,4,0,0,,0,0,,0,"1,112",,0,302,C,57,177,0,0,,386,"2,290",0,0
MYT,0,,0,0,,,0,0,0,,0,,,0,0,,0,0,,0,,0,0,,0,,0,,,0,0,,,0,0,0,,,0,,0,0,,,,0,0,,,8,,,0,0,,,0,,0,0,,0,,,0,,0,0,,0,0,,0,0,0,0
MEX,22,2,"1,592",619,117,34,1,343,"1,916",6,0,"3,560","2,412","1,783",152,29,34,17,4,2,2,"2,205",0,,0,"4,558","4,482",,55,721,1,5,,1,"5,277",1,6,"1,175","12,429",78,0,678,,0,0,2,"23,392",5,7,0,,,"5,452",0,"1,640",,386,0,C,13,,0,C,7,38,,869,495,"2,202",100,0,,"14,468","108,855",178,16
FSM,0,,0,0,,,0,0,0,,0,,,0,0,,0,0,,0,,0,0,,0,,0,,,0,0,,,0,0,0,,,0,,0,0,,,,0,0,,,,,,0,0,,,0,,0,0,,0,,,0,,0,0,0,0,0,,0,0,0,0
MDA,0,,0,0,,,0,0,0,,0,,10,0,0,,0,0,,0,,0,0,,0,,0,,,0,0,,,0,0,0,,,0,,0,0,,,,0,71,,,,,,0,0,,,0,,0,0,,0,,,5,,0,0,0,0,0,,8,0,0,0
MCO,0,,0,0,,,0,0,0,,0,,,0,0,,0,0,,0,,0,0,,0,,0,,,0,0,,,0,0,0,,13,0,2,0,0,,,,0,1,,,19,,,0,0,,,0,,0,0,,0,,,0,14,0,4,,0,0,,0,27,0,0
MNG,0,,C,0,,,0,0,1,,0,,,2,0,,0,0,0,0,,0,0,,0,,0,,,13,0,,,0,0,0,,3,6,,0,36,,0,,0,91,,,1,,,8,0,,,0,,0,0,,0,C,,0,,0,2,3,0,0,,78,6,0,0
MNE,0,,0,8,,0,0,1,0,,4,,,0,0,,0,0,,0,0,13,0,0,0,3,12,,,4,0,,,0,12,0,,3,0,,0,0,,0,,0,98,,,,,,0,0,,,0,,0,0,,16,,,5,,C,0,15,0,0,,0,0,0,0
MSR,0,,0,0,,,0,0,0,,0,,,0,0,,0,0,,0,,0,0,,0,,0,,,0,0,,,0,0,0,,,0,,0,0,,,,0,0,,,,,,0,0,,,0,,0,0,,0,,,0,,0,0,,0,0,,0,0,0,0
MAR,0,,C,59,,13,0,14,27,,0,28,,0,16,,0,0,0,0,0,35,1,,0,347,386,,,16,0,,,0,144,0,,38,25,"1,010",0,0,19,,,0,174,,,72,,,55,0,17,,0,,0,139,,0,C,,1,,690,41,92,0,0,,193,475,0,0
MOZ,0,,0,0,,,0,0,1,0,0,,,0,0,,0,0,,0,,0,13,,0,,0,,,0,0,,,0,0,0,,,0,,0,0,,,,0,0,,,4,,,0,0,6,,0,,0,77,,0,,,0,11,0,0,0,0,0,,13,0,0,0
MMR,0,,0,0,,,0,0,0,,0,,,0,0,,0,0,,0,,0,0,,0,,0,,,0,0,,0,0,0,0,,,0,,0,0,,,,0,0,,,,,,0,0,,,0,,0,0,,0,C,,0,,0,0,0,1,0,,0,0,0,0
NAM,0,,C,0,,,0,0,0,,0,,6,0,0,,0,0,,0,,0,0,,0,,0,,,0,0,,,0,1,0,,,0,2,0,0,,,,0,0,1,,15,,,0,0,3,,0,,0,0,,0,,,0,304,0,1,0,0,0,,0,1,0,0
NRU,0,,0,0,,,0,0,0,,0,,,0,0,,0,0,,0,,0,0,,0,,0,,,0,0,,,0,0,0,,,0,,0,0,,,,0,0,,,,,,0,0,,,0,,0,0,,0,,,0,,0,0,0,0,0,,0,0,0,0
NPL,0,,0,0,,,0,0,0,,0,,,0,0,,0,0,,0,,0,0,,0,3,0,,,0,0,,,0,0,0,,,0,,0,0,,,,0,0,,,,,,0,0,14,,0,,0,0,,0,,,0,,0,0,0,0,0,,10,0,0,0
NLD,2,13,"16,005","25,731",12,507,632,"101,397","15,381",113,251,"15,596",634,201,"13,135",529,41,60,257,"1,342","1,663","10,013",13,443,"15,248","298,919","234,017",19,"1,987","4,676",269,278,1,768,"78,849",145,806,"82,960","90,198","9,462",927,"2,102",107,91,94,336,"144,907",133,715,147,35,0,,0,"21,655",0,24,90,"1,404","11,079",156,"3,938",C,"1,833","1,204",181,"46,312","10,427","72,223",106,27,15,"181,844","232,885",131,90
NZL,0,0,"6,410",122,,28,9,6,725,0,0,876,26,5,"1,263",42,21,2,0,0,0,17,0,0,0,612,584,,0,229,0,0,,4,573,1,68,22,"5,190",103,0,18,,,0,0,"1,051",10,,17,,,259,,684,,1,0,0,9,,0,954,,0,7,C,590,"1,138",6,0,,"5,579","17,296",0,0
NIC,0,,0,0,,,0,0,0,,0,,,0,0,,0,0,,0,,14,0,,0,,0,,,0,0,,,0,5,0,,11,0,,0,0,,,,0,23,,,,,,0,0,,,9,,0,0,,0,,,0,,0,0,0,0,0,,10,24,0,0
NER,0,,0,0,,,0,0,0,,0,,,0,0,,0,0,,0,,0,0,,0,,0,,,0,0,,,0,0,0,,,0,2,0,0,,,,0,0,1,,,,,0,0,,,0,,0,0,,0,,,0,,0,0,0,0,0,,7,3,0,0
NGA,0,,C,0,,,0,0,0,,0,23,,0,C,,0,0,0,11,,38,4,2,0,2,9,,,102,0,0,,1,144,0,,0,11,571,0,7,,,1,0,633,,,466,,,19,0,6,,0,,0,11,,0,C,,0,171,C,6,0,0,0,,"1,750",0,0,0
NIU,0,,0,0,,,0,0,0,,0,,,0,0,,0,0,,0,,0,0,,0,,0,,,0,0,,,0,0,0,,,0,,0,0,,,0,0,0,,,,,,0,0,,,0,,0,0,,0,,,0,,0,0,,0,0,,0,0,0,0
NFK,0,,0,0,,,0,0,0,,0,,,0,0,,0,0,,0,,0,0,,0,,0,,,0,0,,,0,0,0,,,0,,0,0,,,,0,0,,,,,,0,0,,,0,,0,0,,0,,,0,,0,0,,0,0,,0,0,0,0
NOR,1,1,"2,265","4,172",4,117,249,"2,059","1,124",11,34,"2,553",16,76,"1,559",46,6,10,8,135,46,"5,808",0,11,"5,881","13,446","25,435",,32,"2,505",3,334,1,0,"6,869",102,77,"2,632","50,829","2,913",53,438,0,3,0,20,"16,298",12,55,,4,,"6,383",0,,,1,0,C,476,31,0,C,668,49,42,"1,342","24,565","9,605",42,0,,"22,834","56,074",33,0
OMN,0,,0,19,,30,0,0,0,,0,6,,0,C,,0,0,0,0,,20,1,1,0,31,53,,,0,0,,0,0,35,0,,,3,72,0,3,138,,2,0,121,,,3,,,0,0,,,0,,0,0,,0,C,,0,,0,0,1,0,0,,114,0,0,0
PAK,0,,C,9,,20,0,0,0,,0,54,16,0,17,,0,0,0,0,,57,6,,0,23,13,,,62,0,,,0,20,0,,14,21,16,0,13,28,1,0,0,"1,034",0,,"1,578",,,82,0,,,0,0,0,0,,0,C,,0,,0,1,5,0,0,,426,"1,174",0,0
PLW,0,,0,0,,,0,0,0,,0,,,0,0,,0,0,,0,,0,0,,0,,0,,,0,0,,,0,0,0,,,0,,0,0,,,,0,0,,,,,,0,0,,,0,,0,0,,0,,,0,,0,0,0,0,0,,0,0,0,0
PAN,0,0,68,69,40,1,3,26,242,80,0,662,18,461,125,,36,57,1,1,0,379,0,,0,77,547,,,86,0,0,,0,303,0,,104,528,,4,68,,,0,0,"1,539",0,,70,,,663,0,265,,,,C,0,,0,C,1,0,,C,33,562,0,0,,853,"25,609",2,3
PNG,0,,687,5,,,0,1,45,,0,25,,0,22,2,0,0,,0,,12,0,,24,24,79,,,0,0,0,,0,126,0,,1,15,,1,15,,,,0,241,0,,,,,24,0,109,,0,,0,0,,0,3,,0,,C,19,9,0,0,,769,"1,310",0,0
PRY,0,,0,0,,,0,0,0,2,0,,,0,0,,0,0,,0,,0,0,,0,,0,,,0,0,,,0,0,0,,,0,,0,0,,,,0,38,,,,,,0,0,,,0,,0,0,,0,C,,0,22,0,0,0,0,0,,0,5,0,0
PER,1,,C,69,19,1,0,3,274,14,0,177,31,396,7,,124,13,7,0,1,510,0,,0,151,950,,0,141,0,,,0,345,6,,155,617,77,0,35,,,,0,"3,322",0,,,,,735,0,105,,248,0,C,0,,0,C,1,3,,C,51,126,5,0,,"3,883","7,576",3,0
