,ARG,ABW,AUS,AUT,BHS,BHR,BRB,BEL,BMU,BOL,BRA,BGR,CAN,CYM,CHL,HKG,MAC,COL,CRI,CMQ,CYP,CZE,DNK,EGY,EST,FIN,FRA,DEU,GIB,GRC,GGY,HUN,ISL,IND,IDN,IRL,IMN,ISR,ITA,JPN,JEY,KAZ,KOR,KWT,LVA,LBN,LBR,LTU,LUX,MYS,MLT,MUS,MEX,MNG,NLD,NZL,NOR,PAK,PAN,PHL,POL,PRT,ROU,RUS,SGP,SVK,SVN,ZAF,ESP,SWE,CHE,THA,TUR,UKR,GBR,USA,URY,VEN
IRL,0,8,"3,282","11,893",16,9,110,"37,867","12,177",,113,171,"5,882",509,"6,653","9,990",365,156,1,"2,686","1,460",699,"11,883",8,579,"19,701","117,992","131,783",103,"1,475","5,094",239,"1,200",10,0,,"4,122","2,025","100,725","52,967","3,263","1,230","1,878",55,447,54,,350,"95,979",390,"1,689",21,19,0,"72,760",783,"11,291",,88,0,85,"19,125",39,"11,070","2,322","2,525",339,"6,948","28,506","12,675","36,510",354,5,,"199,693","180,851",4,
IMN,0,0,36,25,,,8,11,34,,18,0,,,0,2,,0,,,6,2,39,,4,46,116,133,,0,215,0,4,0,0,880,,,22,479,9,0,33,,0,4,,0,"1,047",997,,87,,0,94,,30,,0,,5,0,1,292,178,,0,147,C,5,137,,2,,"2,096","3,285",1,
ISR,0,0,470,234,,,0,127,"5,329",,3,0,"1,669",,12,13,,0,0,3,9,6,256,,,52,747,"1,490",8,3,"1,343",58,1,0,0,723,1,,116,"1,807",115,23,90,,0,,,0,"3,332",0,,16,,0,"1,577",0,"1,813",,7,,2,0,,4,"1,049",,11,0,C,165,551,116,1,,"3,382","56,544",6,
ITA,1,4,"3,697","23,909",,38,5,"32,399","1,188",,40,79,"5,896",44,242,"1,542",28,0,0,222,731,571,"8,517",58,401,"6,871","285,314","211,323",33,776,"1,666",32,10,0,5,"109,265",5,214,,"53,810",745,47,"1,291",,13,20,,11,"144,510",4,395,46,1,0,"56,370",0,"15,340",,1,0,15,"15,802",23,22,"2,427","2,123","1,021",36,"48,982","3,954","8,924",64,4,,"79,926","109,565",69,
JAM,0,,0,7,,0,765,0,4,,0,0,,44,0,0,,0,0,31,0,,4,,,0,8,49,,0,56,0,,0,0,0,0,,24,4,27,0,0,,,0,,0,24,,,,,0,8,,0,,0,,0,0,,0,C,,0,,C,0,6,,0,,23,221,,
JPN,12,12,"20,917","1,011",,116,244,"1,657","1,873",3,13,0,"37,110",5,"2,159","37,295",122,11,0,295,1,18,"5,642",22,1,363,"108,138","23,173",9,8,"1,356",3,31,13,142,"47,972",126,229,"3,036",,"7,103","3,139","5,438",2,5,9,,0,"62,548",222,5,277,25,0,"35,010","1,024","43,143",4,0,36,3,413,0,0,C,7,29,306,501,"10,949","20,203",141,0,,"183,940","506,339",29,
JEY,0,0,"1,260","2,986",,54,408,"2,429","1,500",,82,4,"1,468",21,0,"1,659",17,0,0,23,"4,085",403,"1,248",,1,"1,417","11,165","13,695",33,839,842,110,29,0,0,"6,011",510,12,"7,521","18,570",,6,759,129,1,20,,1,"23,565",5,,37,,0,"7,957",,"3,369",,0,0,25,625,8,"1,480",622,9,8,"2,323","3,684","1,006","18,887",0,1,,"55,231","49,120",5,
JOR,0,,C,0,,319,0,,10,,0,0,4,,0,8,,0,,,23,,9,5,,0,8,41,,,48,0,,0,0,26,0,,8,0,139,0,0,676,,122,,0,159,0,,,,0,9,,1,,0,,0,0,,0,,,0,,-,0,4,,0,,195,231,,
KAZ,0,0,11,358,,49,0,16,229,,0,4,57,20,0,9,1,0,0,,9,33,276,,4,0,57,817,,8,692,21,0,0,0,479,0,,76,109,57,,87,,25,3,,7,"1,831",18,,7,,0,223,,35,3,1,0,20,0,1,129,C,2,1,,C,35,106,0,4,,"1,619","3,798",0,
KEN,0,0,C,0,,2,0,0,0,,0,0,4,,0,18,,0,,,0,,29,0,,0,7,0,,,25,0,,0,0,108,0,,0,3,74,0,3,,,,,0,466,,,252,,0,7,,19,,0,,0,0,,0,C,,0,132,-,5,11,,0,,139,444,,
KIR,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,,0,,,0,,0,,,0,0,,0,0,0,0,,,0,,0,0,,,,,0,0,,,,,0,0,,0,,0,,0,0,,0,,,0,,-,0,0,,0,,0,0,,
PRK,0,,C,,,,0,,0,,0,0,,,,0,,0,,,0,,0,,,0,,0,,,,0,,,,0,0,,,0,,0,0,,,,,0,0,,,,,0,0,,0,,7,,0,0,,0,,,1,,-,0,0,,0,,,0,,
KOR,0,3,"7,873",662,3,144,1,656,"1,170",,947,0,"11,131",7,97,"22,195",170,1,,14,0,7,"2,091",,,590,"11,671","8,328",6,8,651,8,5,38,11,"15,512",11,40,"1,032","24,228",495,"1,566",,52,0,5,,11,"38,966","2,604",15,35,81,3,"10,549",0,"13,842",14,34,481,9,15,0,8,"46,939",5,61,111,658,"2,733","9,678","3,415",0,,"42,237","174,689",2,
KWT,0,,0,0,,91,0,,0,,0,0,,,0,40,,0,,,5,,13,10,,0,23,1,,0,43,0,,0,7,4,0,,,14,16,0,3,,,32,,0,155,646,,54,,0,0,C,0,,0,,0,0,,0,,,0,,-,0,1,,0,,365,0,,
KGZ,0,,C,0,,,0,,0,,0,0,,,0,0,,0,,,0,,0,,,0,,0,,,0,0,,0,0,0,0,3,,0,,12,0,,,,,0,105,,,,,0,3,,0,,0,,0,0,,8,,,0,,-,0,2,,0,,0,0,,
LAO,0,,0,0,,,0,0,0,,0,0,,,0,0,,0,,,0,,0,,,0,,0,,,8,0,,0,0,0,0,,,0,,0,480,,,,,0,9,,,,,0,0,,0,,0,,0,0,,0,C,,0,,-,0,1,57,0,,0,0,,
LVA,0,0,0,292,,1,0,0,0,,0,7,30,,0,0,,0,,,3,,78,,108,19,15,971,,0,19,3,,0,0,7,0,,105,69,47,0,0,,,,,47,658,,,,,0,216,,61,,0,,C,0,C,7,,4,4,,C,121,66,0,0,,306,780,,
LBN,0,,C,8,,,0,7,0,,0,0,16,,0,16,,0,,,488,,129,25,,0,71,49,,,93,0,,0,0,25,0,,60,19,193,0,0,130,,,,0,423,,,,,0,142,,0,,0,,0,0,,1,,,0,,C,1,4,,0,,334,710,,
LSO,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,,0,,,0,,0,,,0,0,,0,0,0,0,,,0,,0,0,,,,,0,0,,,,,0,0,,0,,0,,0,0,,0,,,0,,-,0,0,,0,,6,1,,
LBR,0,0,2,0,,,0,14,2,,0,0,106,,0,0,,0,,0,1,,44,,,14,105,168,,4,0,0,,0,0,49,0,,27,85,,3,1,,0,0,,0,548,0,,,,0,170,,784,,0,,0,0,,0,C,,0,0,C,12,66,,0,,48,"4,929",0,
LBY,0,,0,0,,56,0,,0,,0,0,,,0,0,,0,,,0,,0,,,0,2,0,,,0,0,,0,0,0,0,,,0,,0,0,,,,,0,0,,,,,0,0,,0,,0,,0,54,,0,,,0,,-,0,0,,0,,0,0,,
LIE,0,,C,"1,453",,,0,2,0,,0,0,11,,0,0,,0,,,0,5,0,,,0,39,"1,893",2,,1,1,,0,0,3,3,,43,0,,0,0,,,,,0,268,0,,3,,0,0,,17,,0,,0,0,,1,C,,2,,C,13,,4,0,,24,70,0,
LTU,0,1,C,513,,1,0,98,320,,0,36,79,,0,4,,0,,,19,,255,,117,18,144,"2,663",,24,93,2,0,0,0,28,0,15,148,127,2,3,6,,244,14,,,"2,138",,7,,,0,427,,79,,0,,43,0,C,2,C,50,41,,C,210,324,4,0,,420,"2,645",,
LUX,654,3,"16,115","32,569",26,4,124,"148,508","6,963",,184,568,"5,998",375,"44,095","39,326","1,066",843,5,98,872,"3,411","33,357",4,771,"36,828","203,882","455,628",559,"74,949","15,438","2,747","1,295",355,"1,130","56,506","5,146","6,477","323,447","91,552","12,610",281,"6,811",64,885,185,,"1,004",,413,507,"1,081",706,0,"89,808",59,"15,110",,55,53,"3,950","11,869",504,"11,000","17,249",661,875,"16,551","51,262","74,109","163,375",952,252,,"103,492","104,733",146,
MKD,0,,0,71,,,0,0,0,,0,2,,,0,0,,0,,,0,,16,,,0,0,30,,74,0,0,,0,0,18,0,,13,0,,0,0,,0,,,5,83,,,,,0,0,,0,,0,,0,0,,1,,,25,,-,0,3,,0,,3,14,,
MDG,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,,0,,,0,15,0,,,0,0,,0,0,0,0,,,0,,0,0,,,,,0,1,,,109,,0,0,,0,,0,,0,0,,0,,,0,,-,0,0,,0,,0,2,,
MWI,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,,0,,,0,,0,,,0,0,,0,0,0,0,,,0,,0,0,,,,,0,3,,,3,,0,0,,0,,0,,0,0,,0,,,0,7,-,0,0,,0,,0,0,,
MYS,0,1,"2,863",313,,222,0,197,227,,1,0,"2,239",5,18,"11,955",191,0,,16,0,0,"1,198",34,,168,"3,093","2,351",,0,207,0,1,1,12,"5,209",8,,177,"5,676",311,0,695,625,3,1,,1,"16,885",,,94,6,0,"3,762",44,"3,016",6,0,68,C,0,,1,"28,222",,11,7,C,489,"1,071",131,0,,"12,867","42,419",,
MDV,0,,0,0,,,0,,0,,0,0,,,0,20,,0,,,0,,0,,,C,,0,,,0,0,,0,0,0,0,,,0,,0,0,,,,,0,0,,,36,,0,0,,0,,0,,0,0,,0,,,0,,-,0,0,,0,,0,0,,
MLI,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,,0,,,0,,0,,0,0,0,,0,0,0,0,,,0,49,0,0,,,0,,0,0,,,0,,0,0,,0,,0,,0,0,,0,,,0,,-,0,0,,0,,3,0,,
MLT,0,,C,25,,,0,13,0,,0,0,,,0,0,,59,,,0,47,24,14,1,0,268,34,,0,534,0,,1,0,116,12,,238,13,,0,0,8,44,,,1,830,,,7,,0,21,,30,,0,,0,0,,0,C,15,0,"1,056",C,317,294,,0,,"6,643",181,,
MHL,0,,C,7,,,0,28,39,,0,0,145,,0,1,,0,,0,0,1,54,,,65,27,20,,,2,0,0,0,0,-5,0,,15,57,6,0,83,,0,0,,0,333,1,,,,0,36,,107,,0,,C,0,,0,C,,0,,C,75,40,0,0,,97,"9,781",0,
MTQ,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,,0,,,0,,0,,,0,0,,0,0,0,0,,,0,,0,0,,,,,0,0,,,,,0,0,,0,,0,,0,0,,0,,,0,,-,0,,,0,,0,0,,
MRT,0,,C,0,,,0,,0,,0,0,,,0,0,,0,,,0,,0,,,0,0,0,,,0,0,,0,0,0,0,,,2,14,0,0,138,,,,0,0,,,0,,0,0,,0,,0,,0,0,,0,C,,0,,-,0,11,,0,,0,45,,
MUS,0,,130,1,,22,0,8,232,,0,0,7,,0,278,4,0,,2,0,118,62,,,0,121,20,14,,159,4,,3,208,905,155,,8,"1,988",609,0,4,49,,,,0,"3,725",37,,,,0,232,,37,0,0,0,0,0,,0,"1,409",,0,784,C,175,182,0,0,,"1,109","6,088",,
MYT,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,,0,,,0,,0,,,0,0,,0,0,0,0,,,0,,0,0,,,,,0,0,,,,,0,0,,0,,0,,0,0,,0,,,0,,-,0,,,0,,0,3,,
MEX,6,6,"3,112",789,-13,210,1,990,"4,331",,220,0,"5,155","1,273",894,251,42,179,12,99,2,2,"2,826",,5,288,"4,701","10,681",2,36,"1,033",3,0,0,0,"11,173",1,8,"1,116","15,047",336,2,"1,231",,1,3,,1,"35,370",1,6,1,,0,"8,530",0,"6,571",,287,0,C,52,,0,C,4,58,38,538,849,"3,983",485,1,,"25,844","157,089",77,3
FSM,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,,0,,,0,,0,,,0,0,,0,0,0,0,,,0,,0,0,,,,,0,0,,,,,0,0,,0,,0,,0,0,,0,,,0,,-,0,0,,0,,0,0,,
MDA,0,,C,0,,,0,,0,,0,0,,,0,0,,0,,,0,,0,,,0,,0,,,0,0,,0,0,0,0,,,0,,0,0,,,,,0,57,,,,,0,0,,0,,0,,0,0,0,0,,,9,,-,0,0,,0,,0,4,,
MCO,0,,0,0,,,0,0,0,,1,0,,,0,0,,0,,,0,,0,,,0,,0,,,1,0,,0,0,0,0,,14,0,32,0,0,,,,,0,50,,,,,0,0,,6,,0,,0,0,,0,C,,0,,-,0,,,0,,2,5,,
MNG,0,,C,28,,0,0,,377,,0,0,,,0,34,,0,,,0,,46,,,0,6,123,,,43,1,,0,0,59,0,,39,22,5,0,2,,0,,,0,597,,,0,,,87,,0,,0,0,0,0,,0,C,,0,,-,0,29,,0,,555,339,,
MNE,0,,0,20,,,0,2,0,,0,11,,,0,0,,0,,,0,,12,,,0,3,29,,,0,4,,0,0,9,0,,11,0,,0,0,,0,,,1,102,,,,,0,8,,0,,0,,C,0,,0,,5,3,,C,0,15,,0,,0,"1,314",,
MSR,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,,0,,,0,,0,,,0,0,,0,0,0,0,,,0,,0,0,,,,,0,0,,,,,0,0,,0,,0,,0,0,,0,,,0,,-,0,,,0,,0,0,,
MAR,0,,C,38,,15,0,14,289,,0,0,63,,0,61,,0,,,1,,34,,,C,"1,535",504,3,,25,0,,0,0,169,0,,80,45,514,0,40,15,1,,,0,277,0,,90,,0,108,,12,,0,,0,87,,1,C,,1,30,419,6,57,1,0,,335,"1,011",,
MOZ,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,,1,10,,0,,0,,,0,0,,0,0,1,0,,,0,,0,0,,,,,0,2,,,440,,0,0,,23,,0,,0,80,,0,,,0,38,-,0,0,,0,,12,0,,
MMR,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,,0,,,0,,0,,,0,0,,0,0,0,0,,,0,,0,0,,,,,0,0,,,,,0,0,,0,,0,,0,0,,0,C,,0,,-,0,0,,0,,0,21,,
NAM,0,,0,5,,,0,,0,,0,0,,,0,0,,0,,,0,,17,,,0,2,117,,,1,0,,0,0,0,0,,2,5,,0,0,,,,,0,106,,,2,,0,22,,1,,0,,0,0,,0,,,0,556,-,0,4,,0,,41,130,,
NRU,0,,0,0,,,0,,0,,0,0,,,0,C,,0,,,0,,0,,,0,,0,,,0,0,,0,0,0,0,,,0,,0,0,,,,,0,0,,,,,0,0,,0,,0,,0,0,,0,,,0,,-,0,0,,0,,0,0,,
NPL,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,,0,,,0,,0,,,0,0,,0,0,0,0,,,0,,0,0,,,,,0,0,,,,,0,0,,0,,0,,0,0,,0,,,0,,-,0,0,,0,,4,0,,
NLD,2,10,"15,393","22,954",71,381,446,"92,643","14,762",82,182,315,"11,708",349,506,"9,054",719,2,21,222,581,"2,328","13,470",12,749,"16,523","319,363","266,528",230,"1,950","3,690",97,401,5,"1,129","68,640",201,779,"57,992","127,933","4,251","1,570","2,968",58,272,211,,201,"154,521",87,"1,235",33,15,0,,46,"27,393",0,84,114,731,"12,162",189,"4,186",C,"1,871","1,200",273,"34,921","9,847","83,224",315,33,9,"220,192","286,054",162,
ANT,,,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
NZL,0,3,"7,863",100,,28,14,107,811,,0,0,935,22,25,819,65,15,0,,0,2,22,,,0,757,"1,211",6,1,349,0,0,0,0,"1,743",1,24,83,"7,110",92,1,109,,0,1,,0,"1,753",1,,,,0,354,,"1,116",,0,,0,0,,0,C,74,0,6,C,167,"1,968",1,0,,"4,951","17,967",0,
NIC,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,,0,,,0,,0,2,,0,0,,0,0,3,0,,,0,,0,0,,,,,0,29,,,,,0,0,,0,,8,,0,0,,0,,,0,,-,0,0,,0,,21,0,,
NER,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,,0,,,0,,0,,,4,0,,0,0,0,0,,,0,2,0,47,,,,,0,0,,,,,0,0,,0,,0,,0,0,,0,,,0,,-,0,0,,0,,0,0,,
NGA,0,0,C,3,,,0,,13,,31,0,63,,0,39,,0,,1,3,,107,1,1,C,51,90,,,171,2,0,0,2,573,0,,13,94,467,0,14,,0,0,,0,"2,614",,,911,,0,301,,1,,0,,0,0,,1,C,,0,393,C,14,1,,0,,"2,993",0,,
NIU,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,,0,,,0,,0,,,0,0,,0,0,0,0,,,0,,0,0,,,0,,0,0,,,,,0,0,,0,,0,,0,0,,0,,,0,,-,0,,,0,,0,0,,
NFK,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,,0,,,0,,0,,,0,0,,0,0,0,0,,,0,,0,0,,,,,0,0,,,,,0,0,,0,,0,,0,0,,0,,,0,,-,0,,,0,,0,0,,
NOR,0,2,"4,118","4,016",,3,259,"2,563","3,285",,9,33,"3,060",107,31,"1,991",48,6,0,26,28,14,"5,825",,104,"8,624","18,038","38,222",22,51,"3,391",3,528,1,0,"11,696",89,143,"2,493","41,460","3,033",35,398,,61,0,,15,"21,101",7,87,2,3,0,"10,750",18,,,1,0,25,255,30,2,C,524,147,39,"1,172","25,213","11,222",40,0,,"34,052","73,282",61,
OMN,0,0,C,0,,56,0,0,0,,0,0,1,,0,C,,0,,,0,,20,2,,0,22,62,,,1,0,,1,0,65,0,,,3,112,0,1,211,,18,,0,86,1,,1,,0,1,,0,,0,,0,0,,0,C,,0,,-,2,0,,0,,101,0,,
PAK,0,,C,4,,24,0,,0,,0,0,60,17,0,21,,0,,0,0,,59,6,,0,2,7,,,33,0,,0,1,32,0,,17,15,35,0,18,13,1,0,,0,"1,123",0,,169,,0,99,,4,,0,,0,0,,0,C,,0,,C,54,4,,0,,301,"1,323",,
PLW,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,,0,,,0,,0,,,0,0,,0,0,0,0,,,0,,0,0,,,,,0,0,,,,,0,0,,0,,0,,0,0,,0,,,0,,-,0,0,,0,,0,0,,
PAN,0,1,C,104,38,1,26,21,602,1,98,0,642,65,16,308,,79,41,7,0,0,356,,,0,"-1,056",826,,,56,0,0,0,0,451,0,,99,971,9,21,369,,0,0,,0,"2,641",0,,23,6,0,703,,193,,,,0,0,,0,55,1,0,,C,32,521,1,0,,263,"23,336",2,8
PNG,0,,"1,024",4,,,0,1,0,,0,0,78,,0,41,,0,,,0,,3,,,0,6,41,,,5,0,0,0,0,106,0,,1,25,2,0,8,,,,,0,269,3,,,,0,21,,86,,0,,0,0,,0,0,,0,0,C,11,27,,0,,432,"1,479",,
PRY,0,,0,3,,,0,,112,,29,0,,3,1,0,,0,,,0,,2,,,0,0,8,,,8,0,,0,0,17,0,,3,5,,0,0,,,,,0,261,,,,,0,3,,0,,4,,C,0,,0,C,,0,0,C,0,1,,0,,0,218,0,
PER,0,0,62,91,59,3,3,32,689,17,4,0,364,104,505,19,,198,3,68,0,1,646,,,0,174,"1,465",,0,118,1,,0,0,695,5,,109,569,101,0,33,,0,0,,0,"5,316",,,,0,0,962,0,172,,252,,C,0,,0,C,1,2,1,C,69,191,3,0,,"1,561","10,830",12,
PHL,0,1,"6,724",183,1,"6,923",0,38,714,,2,0,"1,187",32,2,830,,0,,1,0,,"1,033",,,0,841,"1,709",,1,483,0,0,10,2,"1,655",1,,229,"3,045",68,0,164,,1,1,,0,"9,305",248,,31,,0,"2,128",0,"4,313",,0,,0,0,,7,"6,075",2,3,4,C,228,652,53,0,,"5,446","22,416",0,
PCN,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,,0,,,0,,0,,,0,0,,0,0,0,0,,,0,,0,1,,,,,0,0,,,,,0,0,,0,,0,,0,0,,0,,,0,,-,0,,,0,,0,0,,
POL,0,3,"1,029","8,026",,57,0,"2,402",93,,0,85,"1,147",1,11,39,1,0,,15,38,"1,098","1,440",6,107,783,"7,226","25,430",74,356,"1,132",604,0,0,0,"6,633",0,35,"2,037","9,796","2,184",41,522,,53,5,,40,"21,170",0,39,1,,0,"5,262",0,"3,529",,0,0,,100,49,111,C,"1,038",252,0,509,508,"4,323",14,0,,"7,987","33,665",1,
PRT,0,,331,"1,483",,11,0,"4,474",0,,694,6,487,"2,058",1,171,27,0,,6,118,1,429,,33,969,"31,405","22,326",5,173,16,0,0,0,1,"49,844",0,2,"6,396","1,289",822,5,37,1,5,0,,5,"8,785",0,214,,0,0,"12,484",,"1,451",,0,,43,,C,29,C,960,147,4,"14,732",173,293,,0,,"10,412","6,425",1,
PRI,0,,C,0,,6,0,4,100,,11,0,54,,0,2,,0,0,0,0,,17,,,0,1,0,,,0,0,0,0,0,54,0,,2,1,,0,0,,,0,,0,0,0,,,,0,25,,20,,2,,0,0,,0,,,0,,-,1,,0,0,,14,0,0,
QAT,0,1,27,331,,"2,136",0,0,823,,0,0,77,1,0,258,85,0,,9,1,,242,111,3,C,214,833,,,211,0,,0,0,896,0,,41,"1,272",208,6,31,"2,078",1,160,,3,"1,377",155,,,,0,872,C,122,35,6,0,0,0,,9,81,,0,0,-,20,352,139,0,,"1,436",0,4,
