,ARG,ABW,AUS,AUT,BHS,BHR,BRB,BEL,BMU,BOL,BRA,BGR,CAN,CYM,CHL,HKG,MAC,COL,CRI,CMQ,CYP,CZE,DNK,EGY,EST,FIN,FRA,DEU,GIB,GRC,GGY,HUN,ISL,IND,IDN,IRL,IMN,ISR,ITA,JPN,JEY,KAZ,KOR,KWT,LVA,LBN,LBR,LTU,LUX,MYS,MLT,MUS,MEX,MNG,NLD,NZL,NOR,PAK,PAN,PHL,POL,PRT,ROU,RUS,SGP,SVK,SVN,ZAF,ESP,SWE,CHE,THA,TUR,UKR,GBR,USA,URY,VEN
TJK,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,,0,,,0,,0,,,0,0,,0,0,0,0,,,0,,0,0,,,,,0,78,,,,,0,1,,0,,0,,0,0,,0,,,0,,-,0,2,,0,,0,0,,
TZA,0,,0,0,,,0,,6,,0,0,,,0,0,,0,,,1,,0,,,0,,0,,,0,0,,0,0,0,0,,,0,,0,0,,,,,0,33,,,196,,0,1,,22,,0,,0,0,,0,C,,0,0,-,0,0,,0,,116,0,,
THA,0,1,C,249,,17,0,110,124,,0,0,"2,334",,5,"3,176",29,0,,6,14,0,"1,073",,,403,878,"1,437",8,1,280,0,1,72,4,"4,355",10,1,214,"3,082",185,0,702,2,0,0,,0,"19,786",786,,328,,0,"4,119",62,"2,390",,1,88,0,0,,0,"12,059",,11,5,C,420,"1,012",,0,,"7,529","36,732",0,
TLS,0,,C,0,,,0,,0,,0,0,,,0,0,,0,,,0,,0,,,0,,0,,,0,0,,0,0,0,0,,,0,,0,0,,,,,0,1,,,,,0,0,,0,,0,,0,0,,0,C,,0,,-,0,0,,0,,0,0,,
TGO,0,,0,0,,,0,,0,,0,0,,,0,5,,0,,,1,,0,,,0,,0,,,0,0,,0,0,1,0,,,0,,0,0,,,,0,0,30,,,,,0,0,,0,,0,,0,0,,0,,,0,,-,0,0,,0,,0,0,,
TKL,0,,0,0,,,0,0,0,,0,0,,,0,0,,0,,,0,,0,,,0,,0,,,0,0,,0,0,356,0,,,0,,0,0,,,,,0,0,,,,,0,0,,0,,0,,0,0,,0,,,0,,-,0,,,0,,0,0,,
TON,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,,0,,,0,,0,,,0,0,,0,0,0,0,,,0,,0,0,,,,,0,0,,,,,0,0,,0,,0,,0,0,,0,,,0,,-,0,0,,0,,0,0,,
TTO,0,12,C,24,,,24,,36,,0,0,26,29,2,C,,0,,11,0,,76,,,0,0,124,,,0,0,,0,0,47,0,,6,154,,0,0,,,,,0,154,,,,,0,25,,7,,6,,0,0,,0,,,0,1,-,0,5,,0,,15,"1,160",0,
TUN,0,,C,91,,26,0,9,"1,630",,0,0,2,,0,2,,0,,,10,,12,3,,0,328,409,,0,6,0,,0,0,214,0,,148,917,106,0,0,183,,0,,0,9,0,,6,,0,70,C,0,,0,,0,0,,4,,,0,,C,0,23,,0,,267,462,,
TUR,0,2,880,"1,314",,"8,519",0,173,95,,0,46,"1,697",23,3,170,1,0,4,11,6,56,"2,171",105,40,339,"2,944","5,209",5,660,"1,899",49,0,4,10,"5,634",2,22,"1,022","6,132","2,582",0,423,"1,109",16,21,,5,"21,305",8,"13,063",79,,0,"6,642",0,"3,974",2,2,0,609,0,0,115,C,21,28,1,C,"1,415",995,1,,,"31,384","50,124",1,
