,ARG,ABW,AUS,AUT,BHS,BRB,BEL,BMU,BRA,BGR,CAN,CYM,CHL,HKG,MAC,COL,CRI,CYP,CZE,DNK,EGY,EST,FIN,FRA,DEU,GRC,GGY,HUN,ISL,IDN,IRL,IMN,ISR,ITA,JPN,JEY,KAZ,KOR,KWT,LBN,LUX,MYS,MLT,MUS,MEX,NLD,ANT,NZL,NOR,PAK,PAN,PHL,POL,PRT,ROU,RUS,SGP,SVK,ZAF,ESP,SWE,CHE,THA,TUR,UKR,GBR,USA,URY,VUT,VEN
AFG,0,0,,0,,,0,0,,,0,,0,,,,,0,,0,,,,0,0,0,,,,,,0,,0,0,,,0,,,0,,,,,0,,,,,,,0,,,0,,,0,0,0,0,0,,,0,,0,,0
ALB,0,0,,0,,,8,0,,,0,,0,,,,,0,,0,,,,17,0,33,,,,,18,0,,29,0,,,0,,,1,,,,,14,,,,,,,0,,,0,,,0,0,0,1,0,,,0,4,0,,0
DZA,0,0,,3,,,0,0,,,2,,0,,,,,0,,0,,,,15,0,0,0,,,,13,0,,0,0,7,,0,,0,6,,,,,4,,,,,,,0,,,0,,,0,0,0,1,0,,,C,,0,,0
ASM,0,0,,0,,,0,0,,,0,,0,,,,,0,,0,,,,0,0,0,0,,,,,0,,0,0,,,0,,,0,,,,,0,,,,,,,0,,,0,,,0,0,0,,0,,,0,,0,,0
AND,0,0,,0,,,32,0,,,0,,0,,,,,0,,0,,,,0,0,0,5,,,,,0,,0,2,,,0,,,0,,,,,0,,,,,,,0,,,0,,1,0,0,0,0,0,,,0,,0,,0
AGO,0,0,,0,,,0,0,0,,0,,0,,,,,0,,0,,,,0,0,0,,,,,,0,,0,0,,,0,,,0,,,,,0,,,,,,,0,20,,0,,,0,0,0,0,0,,,0,,0,,0
AIA,0,0,,0,,,19,0,,,0,,0,,,,,0,,0,,,,23,0,0,1,,,,,0,,0,0,,,0,,,0,,,,,0,,,,,,,0,,,0,,,0,0,0,,0,,,0,0,0,,0
ATG,0,0,,0,,,0,0,19,,0,,0,,,,,0,,0,,,,0,0,0,,,,,,0,,0,0,,,0,,,0,,,,,11,,,,,,,0,,,0,,,0,0,0,,0,,,C,1,0,,0
ARG,,0,C,189,94,0,128,61,69,0,188,206,52,C,4,5,4,0,1,"1,617",,,,321,"1,298",0,102,0,0,,67,0,2,"4,331","1,843",12,,0,,1,"1,099",,,0,85,208,38,0,2,,12,8,0,0,,8,11,,0,133,9,341,0,1,,"1,321","4,315",71,,3
ARM,0,0,,0,,,0,0,,,0,,0,,,,,0,,0,,,,0,0,0,,,,,,0,,0,0,,,0,,,0,,,,,0,,,,,,,0,,,0,,,0,0,0,0,0,,,0,,0,,0
ABW,0,,,0,,,0,14,,,6,0,0,,,,,0,,0,,,,51,5,0,2,,,,,0,,4,0,37,,16,,0,13,,,,,416,42,,,,,,0,0,,0,,,0,0,1,6,0,,,C,906,0,,67
AUS,1,0,,"1,116",255,19,"1,635","1,972",1,,"4,457",551,42,"25,717",548,,0,298,31,615,5,2,377,"8,012","4,850",123,540,19,5,2,"10,784",84,157,"3,149","33,599","5,920",45,54,2,2,"19,914",57,82,-17,,"8,222",14,"3,770","2,272",,4,20,16,216,,0,"10,958",0,143,"1,814","1,596","5,852",162,,,"34,896","90,502",1,16,0
AUT,19,0,232,,25,3,"6,751",396,2,14,228,198,12,927,27,1,,113,"1,016","1,416",,56,"2,694","21,446","49,587","1,768","1,852",18,1,0,"6,608",44,37,"6,352","11,205","2,043",49,4,1,15,"18,845",0,281,0,,"11,382",5,0,"2,752",,2,,75,712,,48,550,180,1,"2,398",612,"20,900",0,9,,"11,711","10,372",8,,20
AZE,0,0,,0,,,0,0,,,0,,0,,,,,0,,0,,,,0,0,0,,,,,,0,,0,0,,,0,,,0,,,,,0,0,,0,,,,0,,,0,,,0,0,0,0,0,,,C,,0,,0
BHS,0,0,,3,,,60,"2,177",388,,104,106,0,81,0,,3,33,,43,,,80,856,130,0,446,,,,67,17,,417,"1,550",161,,0,8,1,465,,,0,221,177,50,,0,,113,,0,0,,0,,,2,29,0,"6,008",0,,,86,"2,912",0,,0
BHR,0,0,,0,,,0,0,,,0,0,0,,1,,,1,,0,9,,,0,11,0,4,,,,,1,,3,0,,,0,"1,431",1,5,0,,,,0,,,11,,,,0,0,,0,,,0,0,0,1,0,7,,C,,0,,0
BGD,0,0,,0,,,0,0,,,0,,0,,,,,0,,5,,,,0,0,0,1,,,,,0,,0,0,4,,0,,,0,,,,,0,,,,,,,0,,,0,,,0,0,0,0,0,,,C,0,0,,0
BRB,0,0,,0,22,,1,6,,,2,107,0,,,,0,2,,52,,,,0,0,0,5,,,,43,0,,0,7,,,0,,,13,,,,,0,6,,,,,,0,0,,0,,,0,6,0,1,0,,,C,253,0,,0
BLR,0,0,,0,,,7,0,,,0,,0,,,,,0,,0,,,0,0,0,0,,,0,,,0,,0,0,,,0,,,0,,,,,0,,,,,,,0,,,1,,,0,0,0,0,0,,,0,0,0,,0
BEL,4,0,358,"3,567",,,,"1,265",5,8,808,50,17,"1,554",22,4,,38,16,"1,581",18,100,"2,671","52,716","19,052",232,"1,645",6,2,4,"7,427",21,7,"9,305","15,296",493,48,17,,1,"38,693",0,89,0,,"24,349",15,0,"1,497",0,,70,C,"2,450",0,1,421,4,14,"7,734","1,112","4,566",1,,,"17,761","16,987",0,,0
BLZ,0,0,,0,,4,0,2,58,,1,5,0,,,,2,4,,0,,,,3,0,0,,,,,,0,,0,0,,,0,,,58,,,,,0,6,,,,0,,0,0,,0,,,0,0,0,8,0,,,C,77,0,36,0
BEN,0,0,,0,,,0,0,,,0,,0,,,,,0,,0,,,,0,0,0,,,,,,0,,0,0,,,0,,,0,,,,,0,,,,,,,0,,,0,,,0,0,0,6,0,,,0,,0,,0
BMU,0,0,C,608,25,7,792,,15,,"2,505",89,0,"36,563",138,,0,25,24,95,1,,52,"4,395","1,402",18,"2,352",1,1,0,"1,028",420,6,"2,093","5,024",212,5,50,20,7,"5,227",25,3,2,5,"2,512",23,,591,,3,0,C,54,,12,"3,102",1,438,198,380,"3,790",0,,,"4,292","116,295",8,,0
BTN,0,0,,0,,,0,0,,,0,,0,,,,,0,,0,,,,0,0,0,,,,,,0,,0,0,,,0,,,0,,,,,0,,,,,,,0,,,0,,,0,0,0,0,0,,,0,,0,,0
BOL,0,0,,0,,,0,0,0,,0,0,0,,,,,0,,0,,,,1,0,0,,,,,,0,,0,0,,,0,,,2,,,,,0,,,,,,,0,0,,0,,,0,0,0,0,0,0,,0,3,0,,0
BIH,0,0,,27,1,,0,0,0,,0,0,0,,,,,0,,6,,,,0,0,0,6,,0,,,0,,32,0,,,0,,,32,,,,,8,,,,,,,0,,,0,,,0,0,1,5,0,,,C,50,0,,0
BWA,0,0,C,0,,,0,0,,,0,,0,,,,,0,,0,,,,0,0,0,4,,,,,0,,0,0,,,0,,,12,,,51,,0,,,,,,,0,,,0,,,26,0,1,0,0,,,27,5,0,,0
