,ARG,ABW,AUS,AUT,BHS,BRB,BEL,BMU,BRA,BGR,CAN,CYM,CHL,HKG,MAC,COL,CRI,CYP,CZE,DNK,EGY,EST,FIN,FRA,DEU,GRC,GGY,HUN,ISL,IDN,IRL,IMN,ISR,ITA,JPN,JEY,KAZ,KOR,KWT,LBN,LUX,MYS,MLT,MUS,MEX,NLD,ANT,NZL,NOR,PAK,PAN,PHL,POL,PRT,ROU,RUS,SGP,SVK,ZAF,ESP,SWE,CHE,THA,TUR,UKR,GBR,USA,URY,VUT,VEN
ECU,0,0,2,29,40,,0,10,0,0,3,19,0,0,,0,7,0,,74,,,,23,83,0,15,4,,,,0,,125,27,,,0,,1,232,,,,,198,,,,,9,2,0,0,,4,,,0,24,1,43,0,2,,C,902,3,,0
EGY,0,0,C,4,,,0,0,0,,8,,0,,,,,0,,13,,,,44,6,62,87,,,,26,4,,21,1,12,,2,97,1,133,,,32,,11,0,,,,,,0,0,,0,,,0,0,1,12,0,,,150,571,0,,0
SLV,0,0,,13,42,25,0,0,,,5,4,0,,,,47,0,,8,,,,15,14,0,,,,,22,0,,14,12,5,,0,,,35,,,,,20,,,,,28,,0,,,0,,,0,1,0,1,0,,,C,601,0,,0
GNQ,0,0,,0,,,0,0,,,0,,0,,,,,0,,0,,,,0,0,0,,,0,,,0,,0,0,,,0,,,0,,,,,0,,,,,,,0,,,0,,,0,0,0,0,0,,,0,,0,,0
ERI,0,0,,0,,,0,0,,,0,,0,,,,,0,,0,,,,0,0,0,,,,,,0,,0,0,,,0,,,2,,,,,0,,,,,,,0,,,0,,,0,0,0,0,0,,,0,,0,,0
EST,0,0,,202,,,-2,16,0,,3,2,7,,,,,12,0,31,,,104,12,192,0,21,,0,,42,1,,40,27,,,0,,,421,,,,,83,,,8,,,,0,,,7,,,0,2,190,52,0,,,203,174,0,,0
ETH,0,0,,0,,,0,0,,,0,,0,,,,,0,,0,,,,0,0,0,,,,,24,0,,0,0,,,0,,,0,,,,,0,,,,,,,0,,,0,,,0,0,0,0,0,,,0,0,0,,0
FLK,0,0,,0,,,0,0,,,0,,0,,,,,0,,0,,,,0,0,0,,,,,,0,,0,0,,,0,,,0,,,,,0,,,,,,,0,,,0,,,0,0,0,0,0,,,0,,0,,0
FRO,0,0,,0,,,0,0,,,0,,0,,,,,0,,50,,,,0,0,0,,,3,,,0,,0,0,,,0,,,0,,,,,0,,,1,,,,0,,,0,,,0,0,0,0,0,,,0,,0,,0
FJI,0,0,,0,,,0,0,,,2,,0,,,,,0,,0,,,,0,0,0,,,,,17,0,,0,0,,,0,,,0,,,,,0,,,,,,,0,,,0,,,0,0,0,0,0,,,C,,0,,0
FIN,26,0,363,"2,531",,2,"3,793",182,1,7,"1,885",0,34,813,35,,0,9,8,"2,710",,164,,"18,515","21,348",111,729,3,111,2,"5,091",223,1,"4,058","6,743",441,22,5,2,5,"10,690",0,3,,,"6,699",11,0,"2,179",,3,,5,510,,0,668,11,22,"2,354","8,596","5,079",0,0,,"18,698","41,126",0,,0
