,ARG,ABW,AUS,AUT,BHS,BHR,BRB,BEL,BMU,BRA,BGR,CAN,CYM,CHL,HKG,MAC,COL,CRI,CYP,CZE,DNK,EGY,EST,FIN,FRA,DEU,GIB,GRC,GGY,HUN,ISL,IND,IDN,IRL,IMN,ISR,ITA,JPN,JEY,KAZ,KOR,KWT,LBN,LUX,MYS,MLT,MUS,MEX,NLD,ANT,NZL,NOR,PAK,PAN,PHL,POL,PRT,ROU,RUS,SGP,SVK,ZAF,ESP,SWE,CHE,THA,TUR,UKR,GBR,USA,URY,VUT,VEN
TKL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0
TON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,C,0,0,0,0
TTO,0,1,0,0,0,0,212,0,13,0,0,2,51,5,C,0,0,0,3,0,0,0,,0,0,0,0,0,0,0,,0,0,31,0,0,0,99,0,0,0,0,0,5,0,,0,0,0,82,0,0,0,0,0,0,0,0,0,,0,0,0,0,262,0,0,0,525,516,0,0,0
TUN,0,0,0,177,0,52,0,0,3,0,0,1,3,0,1,0,0,0,44,0,55,14,,0,180,583,0,0,5,0,,0,0,77,0,0,129,811,38,0,0,24,0,236,0,,9,0,182,0,0,13,0,0,0,0,8,0,0,,0,3,12,0,7,0,0,0,308,639,0,0,0
TUR,0,0,C,"1,042",0,808,0,173,42,0,47,322,0,5,42,0,0,0,3,43,962,59,3,21,845,"3,510",0,322,614,0,0,0,0,"1,031",0,32,"2,323",479,33,0,0,99,1,"9,111",0,"3,891",0,0,"7,472",0,C,342,0,26,0,105,71,4,11,48,6,0,236,632,422,0,,0,"10,521","14,200",2,0,0
TKM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
TCA,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,0,0,0,0,0,0,6,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
TUV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
UGA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,2,0,,0,0,0,0,0,3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,C,0,0,0,0
UKR,0,0,C,182,0,0,0,3,1,0,5,28,6,0,C,0,0,0,104,4,257,22,13,0,20,452,0,100,57,10,4,0,0,173,0,0,259,28,22,0,0,0,0,640,0,,0,0,521,0,C,1,0,0,22,C,12,0,8,,0,0,17,13,41,0,0,,"2,846","1,276",0,0,0
ARE,0,0,0,330,130,523,0,5,0,0,0,10,0,0,488,50,0,0,75,0,5,57,,0,61,242,0,2,94,0,5,0,0,222,0,0,33,4,15,0,24,886,168,272,110,,119,0,55,19,0,38,2,0,5,0,0,0,0,300,0,1,40,0,128,0,0,0,841,0,0,0,0
GBR,132,14,"17,976","15,652",909,"2,012",576,"23,234","30,017",101,25,"49,412","1,086",801,"69,519","1,025",228,45,"1,532",924,"17,025",117,137,"12,700","183,239","109,482",492,"17,522","19,920",39,"1,129",1,219,"236,122","17,373","1,476","46,302","113,991","74,675",529,"2,959","1,377",268,"135,241",557,"1,043",197,151,"102,304",428,"2,648","21,421",4,90,431,332,"9,708",0,"1,001","40,418",137,"38,475","53,844","35,523","46,426",231,59,42,,"814,784",19,0,7
USA,"13,168",291,"99,349","23,371","9,444","8,947","10,873","36,775","253,564","2,174",155,"251,281","46,775","6,292","58,160","1,112","4,312",361,"1,533","1,167","42,008",289,207,"11,136","193,259","135,238",84,"5,178","29,302",516,"1,845",27,112,"291,749","1,644","14,446","111,555","747,747","100,423","5,546","24,827","4,102",531,"303,833",567,982,"1,323","6,805","289,121","7,461","10,458","66,773",0,"2,262","2,713","2,529","5,890",1,"11,663","67,674",464,"9,109","44,207","77,540","100,693",616,98,0,"589,974",,599,4,"2,349"
URY,1,0,C,88,18,0,0,1,1,71,0,25,0,2,3,0,0,5,0,0,164,0,0,0,44,239,0,2,180,0,,0,0,48,322,0,106,158,14,0,0,0,0,414,0,,0,0,152,0,0,0,0,0,0,0,11,0,0,,0,0,23,0,33,0,1,0,327,"1,073",,0,0
PUQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,0,,0,0,4,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0
VIR,0,0,0,2,0,0,0,0,0,2,0,0,0,0,C,22,3,0,0,0,0,0,,0,15,0,0,0,30,0,,0,0,2,1,0,1,586,0,0,0,0,0,121,0,,0,0,5,6,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,4,0,0,0,0
UZB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
VUT,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0
VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
VEN,1,0,10,196,29,0,0,77,132,9,1,100,46,21,16,0,3,3,31,0,710,0,,13,339,751,0,9,531,2,,0,0,400,0,0,884,289,24,0,0,0,9,"1,877",0,,0,0,764,335,0,2,0,147,5,0,6,0,0,,1,0,115,0,131,0,5,0,"5,904","6,114",22,0,
VNM,0,0,C,24,0,0,0,0,0,0,0,6,0,0,C,0,0,0,53,0,48,0,,0,13,79,0,0,12,0,,0,0,14,0,0,3,12,0,0,1,0,0,67,0,,0,0,18,0,0,1,0,0,0,0,0,0,0,62,0,0,1,0,5,14,0,0,481,306,0,0,0
VGB,0,0,0,206,34,0,1,105,"2,254",225,0,729,12,0,"6,774",52,0,0,78,22,63,0,6,180,"3,874",274,3,76,"2,972",0,12,0,0,"1,820",105,0,"1,969","1,003",734,0,150,38,14,"4,957",0,,78,0,269,"2,668",C,44,0,5,0,0,413,0,1,613,0,44,294,145,,5,0,0,"3,121","8,382",0,0,85
WLF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
PSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,6,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
ESH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0
YEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,11,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,C,0,0,0,0
ZMB,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,6,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,100,12,0,0,0
ZWE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,3,0,,0,0,0,0,0,0,0,0,0,0,0,0,16,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,3,0,0,0,0,0,0,1,79,0,0,0
