,ARG,ABW,AUS,AUT,BHS,BHR,BRB,BEL,BMU,BRA,BGR,CAN,CYM,CHL,HKG,MAC,COL,CRI,CYP,CZE,DNK,EGY,EST,FIN,FRA,DEU,GIB,GRC,GGY,HUN,ISL,IND,IDN,IRL,IMN,ISR,ITA,JPN,JEY,KAZ,KOR,KWT,LBN,LUX,MYS,MLT,MUS,MEX,NLD,ANT,NZL,NOR,PAK,PAN,PHL,POL,PRT,ROU,RUS,SGP,SVK,ZAF,ESP,SWE,CHE,THA,TUR,UKR,GBR,USA,URY,VUT,VEN
GTM,0,0,0,11,195,0,83,0,0,0,0,1,3,0,1,0,0,1,0,0,18,0,,0,1,11,0,0,0,0,,0,0,18,0,0,1,7,0,0,0,0,0,33,0,,0,0,4,0,0,0,0,120,0,0,0,0,0,,0,0,0,0,2,0,0,0,C,206,0,0,0
GGY,0,0,0,773,0,4,42,397,95,11,0,229,15,0,393,26,10,0,2,27,491,0,,276,"4,697","4,908",0,191,,0,0,0,0,204,552,0,842,"3,602",34,0,0,58,1,"2,820",0,,27,0,"1,877",450,0,40,0,0,0,0,156,0,0,,0,"1,262",51,0,"9,164",17,0,0,"3,727","6,396",0,0,0
GUF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0
GIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,6,0,0,0,C,0,0,0,0
GNB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,7,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
GUY,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,33,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,C,0,0,0,0
HTI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
HND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,,0,7,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,105,0,0,0,0,0,,0,0,0,0,0,0,0,0,C,45,0,0,0
HUN,0,0,C,"5,060",0,0,0,"1,058",89,0,6,207,0,5,35,0,0,0,113,339,594,0,99,247,"2,557","9,186",7,290,73,,0,0,0,"2,876",0,7,461,905,19,0,12,0,0,"11,546",0,12,0,0,"1,206",5,C,425,0,0,0,380,139,2,1,1,122,0,203,415,287,2,0,0,777,"5,635",25,0,0
ISL,0,0,425,"1,440",65,0,0,354,94,0,0,29,108,0,507,15,4,0,194,226,30,0,2,194,"3,699","5,894",0,59,177,0,,0,0,"1,879",0,17,"1,760",626,3,0,17,0,0,"3,469",5,34,0,0,376,0,0,384,0,0,0,41,309,0,0,,32,0,"1,741",418,868,0,0,0,"3,439","3,229",0,0,0
IND,0,1,608,274,18,20,0,84,311,0,0,"1,026",42,1,"2,058",0,0,0,79,1,768,1,,299,"1,522",477,0,0,69,0,0,,27,"2,818",28,0,303,"2,977",183,0,295,23,0,"12,531",16,,"39,136",0,940,6,C,124,0,4,17,C,96,0,0,"3,122",0,0,"3,444",235,174,0,0,0,"10,125","33,226",0,0,0
IDN,0,0,C,66,0,0,0,20,27,0,0,283,25,1,467,0,0,0,0,0,229,0,,22,295,429,0,0,220,0,0,0,,641,0,0,160,573,43,0,8,17,0,"2,831",26,,"3,823",0,736,9,C,29,0,0,8,0,22,0,0,"5,096",0,0,1,66,169,1,0,0,"3,066","9,025",0,0,0
IRN,0,0,0,8,0,84,0,0,0,0,0,0,0,3,29,0,0,0,6,0,0,0,,0,44,46,0,0,0,0,,0,0,0,0,0,7,0,0,0,0,0,0,90,0,,0,0,0,0,0,0,0,0,0,0,0,0,2,,0,0,0,0,17,0,0,0,C,0,0,0,0
IRQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,15,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,C,0,0,0,0
IRL,0,1,508,"11,195",261,689,130,"13,269","3,401",18,1,"5,851",616,"2,295","6,128",216,150,1,363,699,"5,074",2,30,"7,820","76,287","77,594",24,"1,038","5,761",134,800,0,0,,"2,116",119,"48,917","36,756","6,431",60,996,49,36,"38,284",231,285,69,17,"22,374",156,C,"4,236",0,3,18,133,"18,414",0,"1,101","2,407",124,"4,843","18,547","8,146","16,747",375,1,0,"116,791","75,368",2,0,0
IMN,0,0,0,57,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,13,0,,0,0,47,0,14,77,0,0,0,0,8,,0,19,233,48,0,0,0,0,132,37,,1,0,28,0,0,4,0,0,0,0,0,0,1,,0,255,0,0,52,55,0,0,"1,130",62,0,0,0
ISR,0,0,C,248,0,0,0,82,153,10,0,691,152,0,9,3,0,0,39,5,208,0,1,14,417,556,0,5,101,5,0,0,0,418,0,,289,977,43,0,0,0,0,"2,600",0,,0,0,925,0,C,121,0,1,0,C,11,0,0,69,1,4,24,56,"1,134",5,0,0,"3,233","44,313",2,0,0
ITA,10,1,0,"16,833",0,0,59,"77,856","1,822",18,43,"5,109",93,2,"1,991",40,19,7,678,783,"4,941",57,112,"7,181","243,557","159,906",15,"1,360","4,155",11,106,0,26,"100,979",14,62,,"62,945","1,634",181,150,2,36,"124,908",13,544,0,2,"92,080",183,C,"13,969",0,1,304,169,"7,131",4,38,"3,926",91,40,"73,076","6,807","10,683",13,0,0,"108,309","79,393",38,10,3
JAM,0,1,0,17,0,0,9,46,0,0,0,0,5,1,1,0,0,1,0,0,83,0,,0,21,149,0,0,1,0,,0,0,9,0,0,22,20,7,0,0,0,0,109,0,,0,0,9,8,0,0,0,1,0,0,0,0,0,,0,0,86,0,53,0,0,0,327,446,0,0,0
JPN,68,10,"14,804","2,539",8,153,85,"2,916","12,579",3,1,"34,011",25,21,"16,684",79,0,0,125,6,"9,039",149,4,"2,902","76,574","33,196",24,81,"4,236",37,112,1,17,"43,076",180,232,"16,450",,"2,359",501,"1,630",73,5,"104,740",51,40,"1,104",0,"34,402",390,"2,181","21,151",0,0,19,6,235,0,0,"15,723",10,322,"2,573","13,662","18,619",53,0,0,"195,936","520,084",0,0,0
JEY,0,0,C,"4,433",20,0,0,"3,553",259,0,0,214,612,0,"1,190",0,7,0,31,152,"1,027",0,,372,"9,514","15,644",0,"1,074",875,0,5,0,0,"7,254",204,8,"7,622","16,202",,0,0,25,7,"6,249",0,76,24,0,"5,899",80,0,92,0,0,0,250,"3,990",0,0,29,0,"3,773",254,0,"27,540",0,0,0,"50,163","19,057",0,0,0
JOR,0,0,0,1,0,12,0,0,0,0,0,0,0,0,1,0,0,0,11,0,0,74,,0,0,1,0,0,6,0,,0,0,24,0,0,0,0,3,0,0,98,11,53,0,,0,0,8,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,65,72,0,0,0
KAZ,0,0,0,76,0,0,0,2,1,0,0,5,53,0,6,0,0,0,4,8,46,0,2,0,117,91,0,15,19,0,0,0,0,29,0,0,14,33,2,,4,0,0,280,0,,0,0,97,0,0,0,0,0,16,0,0,0,9,,0,0,6,19,88,0,2,0,"1,381",336,0,0,0
KEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,,0,0,0,0,0,12,0,,1,0,54,0,0,0,0,29,0,0,7,0,45,0,,97,0,0,0,0,0,0,0,0,0,0,0,0,,0,2,0,0,1,0,0,0,C,20,0,0,0
KIR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,6,0,9,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
PRK,0,0,0,,0,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,,0,,,,0,,,,0,0,0,,0,0,0,0,0,0,0,,,0,0,0,,0,,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0
KOR,0,1,"2,069",573,17,77,0,268,"4,225",234,2,"5,385",6,2,"12,277",187,0,0,172,3,"1,682",2,2,531,"3,490","1,582",0,27,747,8,5,0,1,"6,884",11,14,"1,870","7,456",329,2,,0,10,"20,808",97,,167,0,"6,977",6,C,"2,063",0,4,62,C,22,0,0,"13,677",3,9,183,"1,523","1,829",76,0,0,"35,815","118,507",0,0,0
KWT,0,0,0,51,10,471,0,5,0,0,0,0,0,0,93,0,0,0,23,0,0,11,,0,69,71,0,0,104,0,,0,0,211,0,0,0,0,0,0,0,,4,43,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,35,0,97,0,0,0,C,0,0,0,0
KGZ,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,C,0,0,0,0
LAO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,C,0,0,0,0
LVA,0,0,0,101,0,0,0,13,0,0,2,0,0,0,C,0,0,0,13,0,1,0,99,56,59,517,0,15,3,0,,0,0,22,0,0,5,4,0,2,0,0,0,87,0,,0,0,17,0,0,1,0,0,0,C,6,0,1,,1,0,1,54,5,0,0,0,22,13,0,0,0
LBN,0,0,0,4,0,9,0,7,0,6,0,4,2,0,7,0,0,0,40,0,89,4,,0,86,31,0,0,18,0,,0,0,39,0,0,36,20,45,0,0,72,,187,0,,0,0,17,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,12,0,0,0,753,408,0,0,0
LSO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,-31,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
LBR,0,0,0,4,0,0,0,1,23,0,0,100,0,0,2,0,0,0,0,0,20,0,,0,11,15,0,0,0,0,,0,0,22,0,0,16,63,2,5,0,3,0,79,0,,0,0,106,0,0,344,0,0,0,0,0,0,0,,0,0,0,2,22,0,0,0,175,"6,748",0,0,0
