,ALB,ARG,ABW,AUS,AUT,BGD,BLR,BEL,BMU,BOL,BRA,BGR,CAN,CYM,CHL,HKG,MAC,CHN,COL,CRI,CMQ,CYP,CZE,DNK,EGY,EST,FIN,FRA,DEU,GIB,GRC,GGY,HND,HUN,ISL,IND,IDN,IRL,IMN,ISR,ITA,JPN,JEY,KAZ,KOR,KWT,LVA,LBN,LTU,LUX,MKD,MYS,MLT,MUS,MEX,MNG,NLD,NZL,NOR,PAK,PLW,PAN,PER,PHL,POL,PRT,ROU,RUS,SAU,SGP,SVK,SVN,ZAF,ESP,SWE,CHE,THA,TUR,UKR,GBR,USA,URY,VEN,PSE
PRI,,0,,14,0,,0,0,26,,17,0,106,665,10,0,0,0,0,0,0,0,,7,,0,1,76,0,,,1,0,0,0,0,,130,0,,2,37,1,0,4,,,0,0,0,0,0,0,0,,,26,,66,,,1,1,,0,0,,,0,C,0,0,,C,12,,,0,,483,,,,
QAT,C,0,0,111,235,,0,19,516,,1,0,292,661,2,"1,001",232,85,0,,15,0,0,136,71,2,2,91,833,1,,54,0,7,,1,0,"1,441",1,,47,"1,259",37,3,234,"1,221",1,126,0,"1,350",0,7,C,0,,,422,,144,25,,,6,C,0,0,C,1,"4,826",C,0,0,0,C,83,775,"1,946",0,,"1,021","6,415",2,,8
REU,,0,,0,0,,0,,0,,0,0,0,,0,0,,0,0,,0,0,,0,,0,,,0,,,0,0,0,,0,,0,0,,0,0,,0,0,,,0,0,0,0,,0,0,,,,,0,,,,0,,0,0,,,0,,0,0,,C,0,,,0,,0,,,,
ROU,,0,0,C,"1,141",,0,228,73,,0,451,413,739,23,0,0,15,2,,0,0,457,338,,80,287,748,"2,995",,236,83,0,224,,0,,860,0,1,"1,407",210,204,0,24,,64,0,93,"3,326",0,,10,1,,,"1,210",,157,,,,0,,285,27,,C,26,C,304,183,2,131,96,489,5,0,,"1,054","3,684",0,,
RUS,65,1,1,"1,420","1,079",31,24,240,"1,074",1,8,9,"2,691","4,127",12,48,9,387,0,0,31,"3,667",177,"1,817",,64,838,"2,396","4,226",,19,732,0,160,1,0,,"24,349",2,26,"1,165","1,929",353,457,936,,70,14,38,"22,713",2,965,C,1,20,0,"7,884",,"4,848",1,,7,0,43,42,0,1,,946,C,15,73,97,139,"2,337","2,286",14,28,,"11,395","61,740",2,,9
RWA,,0,,0,1,,0,,8,,0,0,0,1,0,0,,0,0,,0,0,0,17,,0,,1,15,,,9,0,0,,0,,5,0,,9,0,,0,0,,,0,0,106,0,,0,19,,,7,,5,,,,0,,C,0,,,0,,0,0,,C,0,12,,0,,16,116,,,
SHN,,0,,0,0,,0,,0,,0,0,0,,0,0,,0,0,,0,0,0,0,,0,,,0,,,0,0,0,,0,,0,0,,0,0,,0,1,,,0,0,0,0,,0,0,,,0,,0,,,,0,,0,0,,,0,,0,0,,C,0,0,,0,,0,0,,,
SPM,,0,,0,0,,0,,0,,0,0,0,,0,0,,0,0,,2,0,,0,,0,,,0,,,0,0,0,,0,,0,0,,0,0,,0,0,,,0,0,0,0,,0,0,,,,,0,,,,0,,0,0,,,0,,0,0,,C,0,,6,0,,0,0,,,
WSM,,0,,0,0,,0,,0,,0,0,0,15,0,0,,0,0,,0,0,0,0,,0,,,0,,,0,0,0,,0,,0,0,,0,0,,0,0,,,0,0,0,0,,0,0,,,0,,0,,,,0,,0,0,,,0,,0,0,,C,0,0,10,0,,0,0,,,
SMR,,0,,0,0,,0,,0,,0,0,0,,0,0,,0,0,,0,0,0,0,,0,,,0,,,0,0,0,,0,,0,0,,35,0,,0,0,,,0,0,0,0,,0,0,,,0,,0,,,,0,,0,0,,,0,,0,0,,C,0,0,,0,,0,0,,,
STP,,0,,0,0,,0,,0,,0,0,0,,0,0,,0,0,,0,0,0,0,,0,,,0,,,0,0,0,,0,,0,0,,0,0,,0,0,,,0,0,5,0,,0,0,,,0,,0,,,,0,,0,0,,,0,,0,0,,C,0,0,,0,,0,0,,,
SAU,C,0,0,48,21,17,0,7,103,,1,0,42,352,49,282,59,90,0,,0,2,0,13,382,0,C,"2,662",334,,,46,0,11,0,2,2,474,0,,13,688,82,0,320,"1,650",,72,0,799,0,166,0,0,6,,74,,457,109,,,1,C,C,3,,0,,C,0,0,0,C,0,171,8,0,,793,"3,907",,,7
SEN,,0,,C,2,,0,0,5,,0,0,0,18,0,2,,4,0,,0,0,0,62,,0,6,77,160,,,6,0,0,,10,,91,0,,14,8,25,0,0,,0,1,0,369,0,35,C,11,,,58,,0,,,,0,,0,0,,,0,C,0,0,,C,21,40,,0,,22,255,,,
SRB,,0,,C,120,,0,1,20,,0,0,115,81,0,0,,6,0,,0,0,2,216,,0,58,215,529,,,14,0,90,,0,,207,0,,168,25,,0,2,20,1,0,0,"2,086",0,,0,0,,,368,,0,,,,0,,28,7,C,,53,C,1,23,,C,17,93,,0,,506,"2,614",,,
