,ALB,ARG,ABW,AUS,AUT,BGD,BLR,BEL,BMU,BOL,BRA,BGR,CAN,CYM,CHL,HKG,MAC,CHN,COL,CRI,CMQ,CYP,CZE,DNK,EGY,EST,FIN,FRA,DEU,GIB,GRC,GGY,HND,HUN,ISL,IND,IDN,IRL,IMN,ISR,ITA,JPN,JEY,KAZ,KOR,KWT,LVA,LBN,LTU,LUX,MKD,MYS,MLT,MUS,MEX,MNG,NLD,NZL,NOR,PAK,PLW,PAN,PER,PHL,POL,PRT,ROU,RUS,SAU,SGP,SVK,SVN,ZAF,ESP,SWE,CHE,THA,TUR,UKR,GBR,USA,URY,VEN,PSE
AFG,,0,,0,0,,0,,0,,0,0,,,0,0,,0,0,,0,0,0,0,,0,,,0,,,0,0,0,,0,,2,0,,0,0,,0,0,,,0,0,44,0,,0,0,,,0,,2,,,,0,,0,0,,,0,,0,0,,C,0,0,,0,,0,0,,,
ALB,,0,,0,1,,0,,0,,0,16,,4,2,0,,0,0,,0,0,0,3,,0,,4,37,,,0,0,0,,0,,12,0,,69,0,,0,0,,,0,0,127,0,,0,0,,,0,,0,,,,0,,5,0,C,,0,,0,0,,C,0,15,,0,,54,218,,,
DZA,,0,,0,0,,0,,0,,0,0,,,0,7,,0,0,,0,1,0,0,,0,,324,0,,,64,0,0,,0,,0,0,,0,0,133,0,0,,,0,0,0,0,,0,31,,,0,,0,,,,0,,0,11,,,0,,0,0,,C,0,13,,0,,33,0,,,
ASM,,0,,0,0,,0,,0,,0,0,,,0,0,,0,0,,0,0,0,0,,0,,,0,,,0,0,0,,0,,0,0,,0,0,,0,0,,,0,0,0,0,,0,0,,,0,,0,,,,0,,0,0,,,0,,0,0,,C,0,,,0,,1,,,,
AND,,0,,0,0,,0,,0,,3,0,,,3,0,,0,0,,0,0,0,0,,0,,2,0,,,0,0,0,,0,,0,0,,0,0,,0,0,,,0,0,1,0,,0,5,,,145,,0,,,0,0,,0,0,,,0,,0,0,,C,0,0,,0,,0,0,,,
AGO,,0,,C,69,,0,0,0,,0,0,,12,0,0,,4,0,,0,0,0,66,,0,4,2,83,,,3,0,0,,0,,118,0,,26,16,30,0,2,,0,1,0,348,0,,0,381,,,98,,0,,,0,0,,0,446,,1,76,C,0,0,,C,2,18,,0,,86,349,,,
AIA,,0,,0,0,,0,,0,,26,0,,7,0,0,,0,0,,0,0,0,0,,0,,,0,,,0,0,0,,0,,0,0,,0,0,,0,0,,,0,0,0,0,,0,0,,,0,,0,,,,0,,0,0,,,0,,0,0,,C,0,,,0,,0,"1,107",,,
ATG,,0,,0,0,,0,3,0,,2,0,1,,0,0,,0,0,,0,0,0,0,,0,0,5,0,,,0,0,0,,0,,3,0,,1,0,,0,0,,,0,0,2,0,0,0,0,,,0,,0,,,,0,,0,0,,,0,C,0,0,,C,0,,,0,,0,143,,,
ARG,,,0,372,209,,0,32,385,,500,0,861,"5,561",750,79,,64,1,2,38,2,1,"1,087",,8,175,515,"1,743",,3,36,0,7,0,0,0,"2,450",6,2,"3,285",337,21,0,15,,7,3,1,"11,225",0,3,C,1,18,,"1,907",,46,,,16,4,C,32,16,C,2,242,C,0,0,4,C,30,467,0,1,,"1,189","24,714",216,,
ARM,,0,,C,3,,0,0,2,,0,0,0,2,0,0,,3,0,,0,-2,0,44,,0,C,25,71,,,0,0,0,,0,,42,0,1,16,2,,0,13,,1,20,0,434,0,,0,0,,0,58,,0,,,,0,,0,0,,,0,,0,0,,C,1,25,,0,,28,426,,,
ABW,,0,,0,6,,0,,0,,0,0,31,30,0,0,,0,0,,452,0,0,0,,0,,,1,,,0,0,0,,0,,0,0,,6,35,6,0,2,,,0,0,12,0,0,0,0,,,0,,0,,,16,0,,0,0,,,0,,0,0,,C,0,0,,0,,79,200,,,
AUS,,0,11,,"2,518",54,0,"5,253","11,212",71,20,5,"22,146","11,943",193,"34,823","2,823","7,362",442,15,110,31,37,"2,173",,38,"2,324","33,525","40,158",176,104,"1,910",2,38,9,3,97,"43,911","1,139",321,"6,232","133,267","1,945","2,128","9,526",3,71,62,16,"47,480",0,"2,707",C,128,,15,"25,664",C,"22,906",2,,28,14,213,11,370,0,8,"1,105","29,130",254,278,"1,007","2,170","4,166","25,233",704,0,,"78,593","296,183",292,,4
AUT,14,0,0,664,,6,0,"12,015",443,,9,197,"1,374",496,21,152,8,150,37,,15,401,"3,947","2,102",,69,"2,676","45,139","80,008",27,385,261,0,775,11,0,,"8,172",2,147,"8,928","9,740","2,107",521,299,,200,11,23,"21,115",12,0,C,12,3,0,"40,306",,"6,018",,,5,1,C,879,"1,126",624,400,107,C,"1,873",948,16,"2,941",516,"18,550",22,2,,"22,795","18,354",2,,
AZE,,0,,C,28,,0,1,7,,0,0,51,63,0,0,,10,0,,0,2,1,166,,0,25,22,333,,,14,0,0,,0,,267,0,,90,36,15,0,23,,16,0,1,748,0,,0,2,,0,337,,64,,,,0,,C,14,,4,118,C,0,0,,C,3,79,,5,,50,"1,178",,,
BHS,C,0,,C,38,,0,84,116,,942,0,341,122,587,162,0,0,0,0,93,0,0,156,26,1,C,153,40,1,,106,0,7,,0,,167,2,,42,"1,782",555,5,43,,0,0,0,"2,308",0,4,C,147,,,47,,3,,,13,26,C,C,38,C,1,33,58,0,0,,C,39,"2,765",,0,,"3,552","5,978",,,
BHR,4,0,,C,14,,0,0,0,,0,0,25,8,0,59,,5,0,,32,0,0,23,24,0,3,134,125,,,44,0,0,,0,0,87,8,,65,20,5,0,1,"3,757",1,292,0,302,0,154,0,9,,,30,C,30,0,,1,0,C,0,0,C,6,"2,061",C,0,0,,C,0,86,10,5,,592,666,0,,4
BGD,,0,,C,2,,0,,0,,0,0,0,46,0,486,,48,0,,0,0,0,72,,0,,0,20,,,1,0,0,,0,6,46,0,,0,1,,0,0,32,,0,0,480,0,4,C,61,,,6,,112,,,,0,,0,0,,,0,C,0,0,,C,10,31,,0,,415,719,,,
BRB,,0,1,7,2,,0,1,39,,0,0,56,39,2,0,,2,0,,1,0,0,14,,0,1,24,33,,,5,0,0,,0,,40,0,,15,63,,0,0,,0,0,0,503,0,,0,0,,,33,,0,,,5,1,,0,0,,,0,C,0,0,,C,0,61,,0,,374,"2,837",1,,
BLR,,0,,C,4,,,,0,,0,0,10,3,0,0,,0,0,,0,3,0,18,,2,1,1,11,,,11,0,0,0,0,,13,0,,19,4,,0,0,,2,1,1,229,0,,0,0,,,15,,0,,,,0,,C,0,,516,0,,3,1,,C,1,14,,0,,14,329,,,
BEL,47,0,0,"1,292","6,766",78,0,,"1,878",5,701,43,"4,613","1,678",102,655,46,691,34,,2,79,"2,581","2,326",,177,"3,953","112,242","71,378",52,"1,114",927,0,461,25,4,1,"35,670","1,221",265,"11,007","29,867",604,118,680,0,160,35,58,"74,269",2,25,177,63,9,,"47,055",C,"8,682",1,,1,7,,22,"1,349",1,15,661,C,674,399,"1,579","5,302","1,031","7,828",14,3,,"32,957","58,304",2,,
BLZ,,0,,0,3,,0,0,0,,13,0,8,0,7,0,,0,2,1,2,0,0,9,,4,0,0,1,,,0,0,0,,0,,11,0,,2,0,,0,0,,,0,0,36,0,1,C,0,,,9,,0,,,2,0,,C,0,,C,0,,0,0,,C,0,3,,0,,0,44,,,
BEN,,0,,0,0,,0,,0,,0,0,0,,0,0,,0,0,,0,0,0,0,,0,,,0,,,0,0,0,,0,,0,0,,0,0,,0,0,,,0,0,3,0,,0,0,,,0,,0,,,,0,,0,0,,,0,,0,0,,C,0,1,,0,,0,0,,,
BMU,,0,3,"5,292",186,,0,999,,,"1,585",0,"7,391","7,723",81,"146,423",942,"1,500",0,1,49,52,43,"1,700",,2,685,"2,252","3,431",191,4,"1,978",0,4,0,4,0,"9,725",491,6,484,"16,775",417,39,519,0,8,19,3,"26,045",0,307,7,33,2,,"10,041",C,"6,257",0,,6,241,1,17,166,0,247,86,"7,404",0,2,"8,241",242,"2,232","6,016",207,0,,"17,619","246,567",75,,
BTN,,0,,0,0,,0,,0,,0,0,0,,0,0,,0,0,,0,0,0,0,,0,,,0,,,0,0,0,,0,,0,0,,0,0,,0,0,,,0,0,0,0,,0,0,,,0,,0,,,,0,,0,0,,,0,,0,0,,C,0,0,,0,,0,0,,,
BOL,,0,,0,3,,0,,0,,28,0,0,2,2,0,,0,0,,38,0,0,10,,0,,0,8,,,0,0,0,,0,,1,0,,4,0,,0,0,,,0,0,74,0,,0,0,,,18,,0,,,,0,,0,0,,,0,,0,0,,C,1,11,,0,,5,49,,,
BES,,0,,0,0,,0,,0,,0,0,0,,68,0,,0,0,,17,0,0,0,,0,,,0,,,0,0,0,,0,,0,0,,0,,,0,0,,,0,0,0,0,,0,0,,,0,,0,,,,0,,0,0,,,0,,0,0,,C,0,220,,0,,10,0,,,
BIH,,0,,0,6,,0,,0,,0,0,2,2,0,0,,0,0,,0,0,0,17,,0,1,0,12,,,0,0,0,0,0,,8,0,,0,0,,0,0,10,,0,0,141,0,,0,0,,,0,,0,,,,0,,0,0,,,0,,0,18,,C,0,7,,0,,0,22,,,
BWA,,0,,C,0,,0,,0,,0,0,0,16,0,C,,0,0,,0,0,0,4,,0,3,5,0,,,1,0,0,,0,,35,0,,0,0,14,0,0,,,0,0,58,0,,0,84,,,2,,13,,,,0,,0,0,,,0,,0,0,29,C,6,0,,0,,18,48,,,
BRA,16,499,5,"3,251",470,8,0,466,889,5,,19,"12,281","33,774","1,892",273,2,"1,146",74,15,230,7,25,"2,861",,15,415,"6,676","5,944",4,8,"1,499",0,6,0,4,1,"13,404",350,70,"1,514","13,133",109,1,"7,237",,21,21,3,"44,045",0,16,13,1,"2,339",,"13,035",,"7,915",1,,330,202,117,27,"1,021",0,45,"1,787",C,3,51,778,"6,187","2,157","3,622",102,10,,"56,484","150,929",374,1,7
IOQ,,0,,0,0,,0,,0,,0,0,0,,0,0,,0,0,,0,0,0,0,,0,,,0,,,0,0,0,,0,,0,0,,0,0,,0,0,,,0,0,0,0,,0,0,,,12,,0,,,,0,,0,0,,,0,C,0,0,,C,0,,,0,,0,0,,,
BRN,,0,,0,0,,0,,0,,0,0,0,,0,0,,0,0,,0,0,0,0,,0,,36,0,,,0,0,0,,0,,0,0,,0,0,,0,0,,,0,0,0,0,18,0,0,,,0,,0,,,,0,,0,0,,,0,1,0,0,,C,0,0,,0,,31,0,,,
BGR,3,0,,C,494,,0,306,2,,0,,4,106,0,0,,6,0,,1,0,119,54,,52,14,560,"1,091",,31,21,0,38,0,0,,152,0,2,721,46,11,0,0,,61,0,76,805,1,0,C,0,,0,132,,46,,,,0,,92,28,66,2,22,C,110,71,,C,0,42,1,0,,104,287,,,
BFA,,0,,0,0,,0,,0,,0,0,0,,0,0,,0,0,,0,0,0,0,,0,,22,0,,,2,0,0,,0,,0,0,,0,0,1,0,0,,,0,0,0,0,,0,0,,,0,,0,,,,0,,0,0,,,0,,0,0,,C,0,1,,0,,8,0,,,
BDI,4,0,,0,1,,0,4,0,,0,0,0,1,0,0,,0,0,,0,0,0,8,,0,1,8,1,,,12,0,0,,0,,1,0,,19,0,,0,0,,,0,0,74,0,,C,22,,,0,,0,,,,0,,0,0,,,0,,0,0,,C,0,0,,0,,15,0,,,
KHM,,0,,0,0,,0,,2,,0,0,0,,0,5,,0,0,,0,0,0,0,,0,,30,0,2,,7,0,0,,0,0,0,0,,0,0,,0,78,,,0,0,534,0,7,0,0,,,2,,1,,,,0,,0,0,,,0,C,0,0,,C,0,11,3,0,,-3,0,,,
CMR,,0,,C,4,,0,0,0,,0,0,0,2,0,0,,2,0,,0,1,0,29,,0,4,63,42,,,5,0,0,,0,,42,0,,10,10,,0,1,,,0,0,277,0,,0,10,,,81,,0,,,,0,,0,0,,0,0,,0,0,,C,0,5,,0,,473,228,0,,
CAN,12,1,13,"18,837","2,904",86,0,"6,332","31,125",262,83,2,,"30,351",630,"14,361",335,"5,553",530,3,71,126,65,"3,806",,60,"5,889","26,058","48,142",62,73,"2,437",0,36,13,1,1,"48,206",766,396,"4,043","66,148",967,"2,720","5,192",12,320,30,20,"64,018",0,141,C,43,15,6,"23,677",C,"28,411",,,107,190,52,84,774,10,250,"2,542","21,128",730,344,"1,470","2,032","7,027","36,732",282,7,,"55,454","831,037",231,,
CPV,,0,,0,0,,0,,0,,0,0,0,,0,0,,0,0,,0,0,0,0,,0,,,0,55,,0,0,0,,0,,0,0,,0,0,,0,0,,,0,0,0,0,,0,0,,,0,,0,,,,0,,0,55,,,0,,0,0,,C,0,0,,0,,0,0,,,
CYM,,0,5,"27,696","1,992",,0,"1,617","18,867",395,"3,128",7,"27,883",,"1,244","373,627","4,407","21,833",227,24,"24,176",89,73,"8,642",9,21,"14,099","13,374","19,044",335,65,"13,798",0,24,36,14,128,"44,449","1,653",219,"2,626","690,386","6,745",12,"9,328","1,045",52,186,4,"90,095",0,"1,361",C,"1,163",12,,"23,628","1,447","8,157",26,,164,"1,170",281,22,"2,717",13,190,"2,617","28,366",48,36,244,"1,371","12,073","60,220","1,559",399,,"57,754","1,369,100",126,,1
CAF,,0,,C,0,,0,,0,,0,0,0,,0,0,,0,0,,0,0,0,0,,0,,,0,,,0,0,0,,0,,0,0,,0,0,,0,0,,,0,0,0,0,,0,0,,,0,,0,,,,0,,0,0,,,0,,0,0,,C,0,0,,0,,83,0,,,
TCD,,0,,0,0,,0,,0,,0,0,0,,0,0,,0,0,,0,0,0,0,,0,,,0,,,0,0,0,,0,,0,0,,0,0,,0,0,,,0,0,0,0,,0,0,,,0,,0,,,,0,,0,0,,,0,,0,0,,C,0,0,,0,,0,0,,,
CHL,,10,1,425,443,5,0,357,"1,104",10,148,1,"1,857","1,736",,345,50,151,163,5,61,4,1,496,,0,128,"1,470","4,542",4,,48,0,1,0,0,0,"2,326",13,76,537,"2,513",7,0,368,,28,3,7,"5,954",0,0,C,0,41,,"1,752",,"2,218",,,125,"1,167",C,C,6,,6,667,C,33,10,4,700,312,"3,725",70,0,,"3,783","25,935",174,,9
HKG,,0,4,"8,296",372,35,0,494,"7,916",2,14,0,"9,613","16,457",46,,"7,961","92,206",1,0,55,2,17,"1,827",6,1,376,"4,028","4,788",36,4,539,0,6,8,6,184,"10,766","1,241",110,371,"18,504",780,57,"9,281",17,14,6,3,"26,847",0,"3,822",C,"6,208",6,141,"12,145",C,"7,402",5,,3,19,792,C,251,C,3,"2,623","24,721",9,29,148,462,"4,116","5,367","2,884",17,,"48,282","124,224",2,,9
MAC,,0,,C,0,,0,,34,,0,0,0,5,0,298,,104,0,,0,0,0,0,,0,2,0,0,,,0,0,0,,0,,0,0,,0,1,,1,60,,,1,0,41,0,13,0,5,,,5,,0,,,,0,C,0,296,,,0,47,0,0,,C,11,0,107,0,,"1,266",0,,,
CHN,,23,1,"8,562",379,84,0,387,"2,848",,11,0,"21,121","30,388",124,"313,083","21,939",,0,5,80,5,43,"1,194",,0,451,"13,194","3,510",1,2,"1,107",0,1,8,229,506,"14,084",228,16,436,"15,445",497,55,"11,526",28,23,6,2,"33,455",0,"1,194",C,"2,197",30,1,"8,704",143,"11,636",,,10,25,417,1,443,0,29,"5,638","85,526",23,76,866,C,"2,757","4,504","2,069",1,,"40,919","101,350",0,,10
CXQ,,0,,0,0,,0,,0,,0,0,0,,7,0,,0,0,,0,0,0,0,,0,,,0,,,0,0,0,,0,,0,0,,0,,,0,0,,,0,0,0,0,,0,0,,,0,,0,,,,0,,0,0,,,0,,0,0,,C,0,,,0,,0,,,,
CCQ,,0,,0,0,,0,,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,,0,,0,0,,0,,,0,0,,,0,0,0,0,,0,0,,,0,,2,,,,0,,0,0,,,0,,0,0,,C,0,,,0,,0,,,,
COL,,0,1,146,159,,0,110,315,7,29,0,707,"1,057","1,178",7,3,110,,17,107,0,1,"1,248",,1,115,333,"3,510",2,2,46,0,0,,0,,"3,697",21,6,380,"1,661",11,0,162,,7,0,2,"8,927",0,0,C,5,141,,"3,441",,"1,369",,,717,"1,599",C,8,68,,3,756,51,0,6,,364,290,"1,429",2,1,,"1,731","24,422",70,2,
COM,,0,,0,0,,0,,0,,0,0,0,,0,0,,0,0,,0,0,0,0,,0,,,0,,,0,0,0,,0,,0,0,,0,0,,0,0,,,0,0,0,0,,0,0,,,0,,0,,,,0,,0,0,,,0,,0,0,,C,0,0,,0,,0,0,,,
COD,,0,,0,0,,0,1,0,,0,0,0,,0,0,,0,0,,0,0,0,0,,0,,0,0,,,10,0,0,,0,,0,0,,0,0,1,0,0,,,0,0,23,0,,0,15,,,0,,0,,,,0,,0,0,,,0,,0,0,15,C,0,0,,0,,525,0,,,
COG,,0,,C,0,,0,,0,,0,0,0,,0,0,,0,0,,0,0,0,0,,0,,10,1,,,0,0,0,,0,,31,0,,0,1,,0,0,,,0,0,47,0,,0,0,,,1,,0,,,,0,,0,0,,,0,,0,0,,C,0,0,,0,,0,135,,,
COK,,0,,0,0,,0,,0,,1,0,0,0,0,0,,0,0,,0,0,0,0,,0,0,0,0,,,16,0,0,,0,,0,0,1,0,0,,0,0,,,0,0,0,0,,0,0,,,0,,0,,,,0,,0,0,,,0,C,0,0,,C,0,,,0,,0,1,,,
CRI,,0,,C,38,,0,2,70,1,2,0,66,99,7,2,,12,15,,40,0,0,225,,0,20,15,447,,,8,13,0,,0,,313,1,4,98,21,,0,6,,1,0,0,"1,304",0,0,C,0,,,451,,6,,,248,0,C,0,10,,2,15,C,0,0,,C,5,73,0,0,,76,"1,820",1,,
CIV,,0,,C,15,,0,1,12,,0,0,89,77,0,242,,29,0,,0,-2,0,199,,0,C,233,284,,,32,0,0,,0,,281,1,,39,115,5,0,2,,0,0,0,"1,150",0,0,0,215,,,161,,140,,,1,0,,0,0,,,0,C,0,0,,C,42,102,,0,,"3,073","1,345",,,
HRV,0,0,0,5,499,,0,40,5,,0,207,106,137,0,0,,12,0,,0,8,30,266,,9,44,274,"1,145",1,1,32,0,284,0,0,,467,0,1,559,81,,0,9,,41,2,99,"2,294",0,,11,0,,0,618,,50,,,0,0,,118,3,153,1,96,C,83,96,,C,8,217,,0,,451,"2,688",0,,
CUB,,0,,C,0,,0,,0,,0,0,0,,0,0,,107,0,,0,0,0,0,,0,,3,0,,,21,0,0,0,0,,0,0,,0,4,,0,0,,,0,0,0,0,,0,0,,,0,,0,,,,0,,0,0,,,0,,0,0,,C,0,0,,0,,0,2,,512,
CUW,,0,14,0,149,,0,718,69,1,10,1,"1,676","18,057",0,0,7,0,0,,0,1,53,269,,0,70,"7,853","1,652",4,4,5,0,26,,0,1,"1,254",4,,571,"3,079",22,15,11,,1,1,2,"2,147",0,0,C,69,28,,"1,158",,"1,205",,,1,5,,C,16,C,1,0,C,20,22,,392,127,"3,304",,0,,355,"90,883",,,
CYP,,0,,38,60,,0,34,126,,0,0,118,630,1,23,0,"1,160",0,,0,,92,65,,16,C,91,608,2,382,"1,091",0,7,0,2,,313,1,5,404,120,20,0,33,,31,3,28,"2,633",0,12,C,31,,0,169,,515,,,0,0,,93,19,1,"5,532",3,C,4,8,1,C,80,"2,548",68,0,66,"1,991","1,549",,,
CZE,106,0,0,C,"2,931",8,0,"9,900",45,,0,437,225,132,1,28,0,27,0,,0,7,,121,,28,87,"2,813","4,567",14,23,212,0,220,0,0,0,"1,190",0,11,933,880,481,11,22,,30,2,80,"2,662",0,0,C,0,,0,758,,961,,,,0,,771,20,11,C,22,C,"1,486",132,1,210,47,631,,0,,"7,346","2,691",0,,
DNK,,0,3,"2,236","2,171",68,0,"2,169",813,,520,40,"4,589","5,520",39,770,100,751,22,,13,48,45,,,24,"21,463","18,035","39,773",,25,"6,060",0,7,18,0,1,"14,049",34,68,"3,051","15,025","1,652",128,749,1,53,0,8,"34,997",0,4,105,153,17,3,"9,646",C,"20,592",,,15,4,C,C,235,1,2,"1,387",C,21,207,42,"1,719","20,835","8,397",8,1,,"36,415","75,340",75,,1
DJI,,0,,0,0,,0,,0,,0,0,0,,0,0,,0,0,,0,0,0,0,,0,,,0,,,0,0,0,,0,,0,0,,0,0,,0,0,,,0,0,0,0,,0,0,,,0,,0,,,,0,,0,0,,,0,,0,0,,C,0,0,,0,,0,0,,,
DMA,,0,,0,0,,0,,0,,0,0,0,,0,0,,0,0,,0,0,0,0,,0,,,0,,,0,0,0,,0,,0,0,,0,0,,0,0,,,0,0,2,0,,0,0,,,0,,0,,,,0,,0,0,,,0,,0,0,,C,0,0,,0,,5,0,,,
DOM,,0,,C,54,,0,2,7,,34,0,179,208,105,0,,23,0,2,54,0,0,417,,0,47,34,694,1,,37,0,1,,0,,548,0,,146,161,1,0,4,,1,0,0,"2,223",0,,C,0,,,726,,0,,,125,0,,0,0,,0,173,C,0,0,,C,12,108,,0,,180,"3,839",0,,
ECU,,0,,C,16,,0,1,2,14,1,0,35,8,7,7,,21,0,0,41,0,0,186,,0,C,16,404,,,60,0,0,,0,,401,0,,39,39,,0,2,,,1,0,"1,633",0,0,0,0,,,361,,0,,,27,0,,0,6,,,109,C,0,0,,C,0,70,,0,,"5,978","1,899",1,,
EGY,,0,,75,8,4,0,2,49,,0,0,148,434,0,22,,84,0,,0,0,0,96,,0,C,91,102,,,82,0,1,,0,0,527,0,,101,64,68,0,13,110,1,2,0,"1,119",0,2,0,37,,,376,,212,,,8,0,C,C,0,,,"2,962",18,0,1,71,C,26,81,,0,,755,"2,617",,,0
SLV,C,0,,C,14,,0,1,5,,0,0,65,32,5,0,,18,25,2,38,0,0,225,,0,12,6,383,,,6,0,0,,0,,261,0,,36,28,,0,2,,,0,0,684,0,,0,0,,,257,,0,,,37,0,,0,0,C,C,88,C,0,0,,C,10,68,,0,,55,"1,475",0,,
GNQ,,0,,0,0,,0,,0,,0,0,0,,0,0,,0,0,,0,0,0,0,,0,,,0,,,0,0,0,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,,0,0,,,0,,0,,,,0,,0,0,,,0,,0,0,,C,0,0,,0,,0,0,,,
ERI,,0,,0,0,,0,,0,,0,0,0,,0,0,,0,0,,0,0,0,0,,0,,,0,,,0,0,0,,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,,,0,,0,,,,0,,0,0,,,0,,0,0,,C,0,0,,0,,0,0,,,
EST,,0,,C,70,,0,13,0,,0,0,3,38,3,0,,0,0,,0,5,9,51,,,404,203,191,1,,12,0,1,0,0,,37,1,,23,1,,0,0,,161,0,207,196,0,,C,0,,,7,,64,,,,0,,14,0,,,0,,23,33,10,C,390,26,,0,,11,113,,,
ETH,,0,,C,1,,0,0,0,,0,0,0,2,0,32,,2,0,,0,0,0,33,1,0,2,1,81,,,7,0,0,,0,,82,0,,4,3,1,0,0,,,0,0,383,0,,0,11,,,55,,0,,,,0,,0,0,,,0,C,0,0,,C,5,32,,0,,17,220,,,
FLK,,0,,0,0,,0,,0,,0,0,0,,0,0,,0,0,,0,0,0,0,,0,,0,0,,,0,0,0,,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,,,0,,0,,,,0,,0,0,,,0,,0,0,,C,0,0,,0,,1,1,,,
FRO,,0,,C,2,,0,9,50,,0,0,0,0,0,0,0,0,0,,0,0,0,360,,0,34,21,48,,,0,0,1,25,0,,50,0,,9,,,0,1,,0,0,0,154,0,,0,0,,,18,,291,,,,0,,0,0,,,0,C,0,0,,C,80,21,,0,,14,313,,,
FJI,,0,,C,0,,0,,0,,0,0,0,1,0,0,,0,0,,0,0,0,0,,0,,0,7,,,0,0,0,,0,,2,0,,0,0,,0,0,,,0,0,8,0,,0,0,,,0,C,0,,,,0,,0,0,,,0,C,0,0,,C,0,0,,0,,17,47,,,
FIN,,0,0,"2,494","3,686",3,0,"4,364","1,070",,11,77,"2,887",121,27,"1,071",19,384,19,,8,46,47,"5,095",,467,,"26,558","40,660",33,43,581,0,2,13,0,0,"13,774","1,235",36,"3,324","11,161","2,690",366,465,0,260,3,98,"21,483",0,30,214,0,6,0,"23,763",596,"12,701",,,1,0,C,9,812,0,2,490,C,84,165,23,"1,474","23,885","7,162",2,0,,"20,770","38,860",46,,
FRA,6,1,15,"24,081","29,006",176,0,"121,712","13,587",930,209,408,"36,039","35,198",722,"10,227",930,"5,431",410,37,62,691,"1,421","16,219",26,556,"19,984",,"359,306",224,"3,387","2,673",24,224,229,2,15,"174,604",466,"2,285","156,819","240,136","3,377","3,881","12,159",23,976,407,321,"352,524",9,221,"1,316",250,101,1,"181,124",C,"53,117",,,46,407,147,"1,521","10,043",93,812,"8,740",C,"1,270","1,745",373,"50,594","13,234","76,595",566,3,,"202,251","487,811",310,,5
TFQ,,0,,0,0,,0,,0,,0,0,0,,0,0,,0,0,,0,0,0,0,,0,,,0,,,0,0,0,,0,,0,0,,0,,,0,0,,,0,0,0,0,,0,0,,,0,,0,,,,0,,0,0,,,0,,0,0,,C,0,,,0,,0,,,,
PYF,,0,,0,0,,0,,0,,0,0,0,,1,0,,0,0,,0,0,0,17,,0,,108,0,,,0,0,0,,0,,0,0,,0,0,,0,0,,,0,0,2,0,,0,0,,,0,,0,,,,0,,0,0,,,0,,0,0,,C,0,0,,0,,0,0,,,
NCL,,0,,0,0,,0,,0,,0,0,0,,0,0,,0,0,,0,0,0,0,,0,,25,0,,,0,0,0,,0,,0,0,,0,0,,0,0,,,0,0,0,0,,0,0,,,0,,0,,,,0,,0,0,,,0,,0,0,,C,0,0,,0,,0,0,,,
GAB,,0,,C,4,,0,3,2,,0,0,22,13,0,0,,4,0,,0,0,0,74,,0,7,100,137,,,26,0,0,,0,,131,0,,21,9,,0,1,,0,0,0,494,0,,0,13,,,155,,0,,,0,0,,0,0,,,49,C,0,0,,C,2,45,,0,,21,492,,,
GMB,,0,,0,0,,0,,0,,0,0,0,,0,0,,0,0,,0,0,0,0,,0,,,0,,,0,0,0,,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,,,20,,0,,,,0,,0,0,,,0,,0,0,,C,0,0,,0,,2,0,,,
GEO,,0,,C,24,,0,0,6,,0,0,37,50,0,0,,4,0,,0,1,1,104,,1,2,15,132,,,6,0,0,,0,,54,28,57,52,19,,1,0,,12,0,4,899,0,,0,0,,,103,,0,,,2,0,,C,0,,,32,C,0,0,,C,11,30,10,0,,325,"1,166",,,
DEU,90,37,20,C,"49,664",455,0,"48,135","5,779",128,229,645,"33,054","53,056","4,488","17,683",267,"6,558",542,1,59,320,859,"53,369",0,461,"22,755","212,456",,214,"1,624","6,013",0,582,116,2,9,"119,906",734,"3,614","80,456","121,270","5,872","2,772","6,098",29,893,255,232,"303,395",44,499,"1,232",45,111,5,"219,611",C,"73,265",3,,60,145,119,"1,298","14,885",175,"1,461","7,849","24,869","1,518","1,843","10,392","23,738","27,830","83,918",277,61,,"200,214","369,660",95,,
GHA,,0,,C,56,,0,1,34,,0,0,0,248,0,16,,13,0,,0,-2,0,176,,0,24,33,195,,,14,0,0,,0,,306,2,,62,218,34,0,1,,0,6,0,"2,030",0,,C,184,,,429,,18,,,,0,C,0,0,,0,83,C,0,0,125,C,3,61,,0,,446,"1,714",,,
GIB,,0,,C,1,,0,0,0,,0,14,0,,0,0,,0,0,,0,0,0,0,,0,C,62,30,,,70,0,0,,0,,6,16,,68,0,,0,1,,,0,0,46,0,,0,0,,,0,,34,,,2,0,,C,0,,,0,C,0,0,,C,2,70,,0,,443,90,,,
GRC,20,0,0,161,622,4,0,863,7,,0,4,373,"2,029",1,5,,27,0,0,55,999,11,131,,6,85,"4,617","3,213",2,,32,0,11,0,0,0,"1,155",0,12,"2,935",161,82,0,41,,1,5,3,"3,650",0,0,C,0,,0,"1,214",,468,,,0,0,C,17,942,2,11,5,C,1,70,2,C,150,201,5,8,,"1,326","7,371",0,,
