,ARG,ABW,AUS,AUT,BHS,BHR,BEL,BMU,BRA,BGR,CAN,CYM,CHL,HKG,MAC,COL,CRI,CYP,CZE,DNK,EGY,EST,FIN,FRA,DEU,GRC,GGY,HUN,ISL,IDN,IRL,IMN,ISR,ITA,JPN,JEY,KAZ,KOR,LBN,LUX,MYS,MLT,MUS,NLD,ANT,NZL,NOR,PAN,PHL,POL,PRT,ROU,RUS,SGP,SVK,ZAF,ESP,SWE,CHE,THA,TUR,UKR,GBR,USA,URY,VUT,VEN
HTI,0,0,0,0,,,0,0,,,0,,0,0,,,,0,0,0,,0,,0,0,,,0,,,0,0,,0,0,,,0,,0,,,,0,,,0,,,0,,,0,,,,,,0,0,,,C,,0,,
HND,0,0,0,0,,,0,0,,,0,,0,0,,,,0,0,0,,0,,0,0,,,0,,,0,0,,0,0,,,0,,0,,,,0,,,0,16,,0,,,0,,,,,,0,0,,,0,45,0,,
HUN,0,0,11,"1,304",,,210,103,0,0,52,,0,0,,,,3,208,164,,0,,308,"4,649",2,92,,0,,419,0,,231,"1,051",16,,13,,"1,846",,11,,430,5,0,4,,,7,9,,0,,3,,17,59,106,0,,,"2,663","2,026",0,,
ISL,0,0,0,178,,,73,64,,,1,17,0,0,,,,0,29,6,,0,37,108,963,1,3,0,,,320,6,4,83,318,,,0,,417,,,,23,,,86,,,0,44,,0,,,,41,79,14,1,,,474,224,0,,
IND,0,0,79,50,24,87,29,4,,,205,15,0,0,8,,,77,0,45,,0,,66,141,1,42,0,0,0,234,1,,259,198,74,,66,0,"1,473",7,,415,"1,377",2,0,1,,,0,,,0,620,,,,5,74,0,,,"2,646","7,198",0,,
IDN,0,0,14,14,2,5,17,355,,,59,288,74,0,0,,,21,0,9,,0,,37,37,,82,0,0,,54,1,,317,158,10,,75,,308,51,,5,81,3,0,1,,3,0,,,0,786,,,,6,33,15,,,705,"1,841",0,,
IRN,0,0,0,0,,,1,0,,,0,29,4,0,,,,0,0,0,,0,,16,0,0,,0,,,0,0,,0,0,1,,5,1,133,,,,0,,,0,,,0,,,0,,,,,0,0,0,,,184,,0,,
IRQ,0,0,0,0,,,0,0,,,0,,0,0,,,,0,0,0,,0,,0,0,,,0,,,0,0,,0,0,,,0,,0,,,,0,,,0,,,0,,,0,,,,,,0,0,,,C,,0,,
IRL,0,0,220,"1,836",5,165,"4,170","3,085",8,0,"1,251",186,252,0,8,41,0,71,35,210,1,0,"1,103","11,883","20,421",56,"1,778",13,64,,,"2,168",,"16,397","26,137","1,152",,223,4,"11,961",1,16,2,"3,048",796,0,638,,0,17,"1,300",,37,"1,526",0,"3,808","1,867",717,"4,607",38,2,,"18,804","32,431",0,,
IMN,0,0,0,0,,,0,0,0,,0,,0,0,,4,,3,0,39,,0,,0,0,,110,0,0,,0,,,0,,,,0,,12,0,0,2,3,,,0,,,0,,,0,,,75,,,89,0,,,194,1,0,,
ISR,0,0,45,177,,,66,221,11,,660,189,1,0,,,,0,0,90,,0,,285,342,19,76,0,1,,99,3,,208,592,32,,0,,857,,6,,99,4,0,1,0,,0,,,0,11,0,1,14,19,304,6,,,960,"21,233",26,,
ITA,13,0,"1,002","5,074",22,11,"41,632",553,3,33,"2,846",167,62,0,4,35,0,66,55,"3,728",4,10,"4,063","73,557","80,991",485,"1,415",9,8,1,"24,711",53,23,,"33,986","1,314",,2,10,"46,999",13,273,,"44,045",379,66,"7,667",1,,24,"2,132",1,0,"1,879",18,57,"24,013","4,522","6,969",8,6,,"91,069","48,208",0,,5
JAM,0,0,0,2,11,,0,5,,,0,,0,0,,,1,0,0,1,,0,,5,74,,,0,,,5,0,,114,0,,,0,,7,,,,71,1,,0,1,,0,,,0,,,,,,15,0,,,30,279,0,,
JPN,16,1,"4,615","1,400",6,96,"2,696","2,104",1,,"14,870",29,8,"9,248",66,2,,3,2,"2,741",2,0,699,"17,273","10,399",14,"1,283",8,18,3,"10,335",285,21,"12,115",,"2,341",,176,10,"27,342",22,50,0,"11,508",95,705,"10,705",1,5,1,98,,6,"9,060",1,353,"3,742","6,514","11,123",1,,,"94,090","197,839",1,2,
JEY,0,0,0,"1,196",,8,"1,582",102,,,0,12,127,0,0,,,0,0,27,,0,,"1,543",0,,280,0,2,,251,266,,"2,469",,,,0,,"1,482",26,,,852,6,,0,,,24,"1,537",,0,,,"1,630",4,11,"17,608",0,,,"6,380","2,448",0,,
JOR,0,0,0,0,,0,0,1,,,0,,0,0,,,,21,0,0,3,0,,61,2,,1,0,,,0,0,,2,0,30,,0,1,11,,,,0,,,0,,,0,,,0,,,,,,3,0,,,65,98,0,,
KAZ,0,0,0,3,,,3,46,,,0,,0,0,,,,12,0,0,,0,,14,19,,1,0,0,,0,1,,0,0,,,0,,13,1,,,0,,,0,,,0,,,0,,,,,,1,0,2,,84,140,0,,
KEN,0,0,0,0,,,0,0,,,0,,0,0,,,,0,0,0,,0,,0,0,,12,0,,,0,0,,0,0,,,0,,7,,,,0,,,0,,,0,,,0,,,,,8,1,0,,,19,16,0,,
KIR,0,0,0,0,,,0,0,,,0,,0,0,,,,0,0,0,,0,,0,0,,,0,,,0,0,,0,0,,,0,,0,,,,0,,,0,,,0,,,0,,,,,,0,0,,,0,,0,,
PRK,0,0,0,,,,,,,,,,,0,,,,0,0,0,,0,,,0,,,0,,,0,4,,,0,,,0,,0,,,,0,,,,,,0,,,0,,,,,,,0,,,,,0,,
KOR,0,0,429,104,,74,213,212,,,"2,118",31,1,"5,100",48,,,29,0,457,5,0,33,"1,555","1,643",3,426,5,1,0,"1,288",22,,"1,505","5,835",746,,,0,"3,536",11,4,,"1,208",117,41,300,,7,0,29,,0,"3,766",0,,8,401,778,0,,,"13,004","34,475",0,,
KWT,0,0,0,0,,412,0,0,,,0,,0,0,,,,3,0,0,,0,,0,0,,,0,,,0,0,,0,0,,,0,1,0,,,,0,,,4,,,0,,,0,,,,,,0,0,,,-15,,0,,
KGZ,0,0,0,0,,,0,0,1,,0,,0,0,,,,0,0,0,,0,,0,0,,,0,,,0,0,,0,0,,0,0,,0,,,,0,,,0,,,0,,,0,,,,,,0,0,0,,C,,0,,
LAO,0,0,0,0,,,0,0,,,0,,0,0,,,,0,0,0,,0,,0,0,,,0,,,0,0,,0,0,,,0,,0,,,,0,,,0,,,0,,,0,,,,,,0,0,,,C,,0,,
LVA,0,0,0,23,,,0,0,,,0,,0,0,,,,0,0,7,,4,,4,183,,,0,,,0,0,,2,0,,,0,,22,,,,9,,,0,,,0,,,0,,,,,0,21,0,,0,99,13,0,,
LBN,0,0,0,9,,118,4,0,,,0,,0,0,,,,11,0,1,8,0,,20,7,,1,0,,,0,0,,8,0,,,0,,29,,,,0,,,0,,,0,,,0,,,,,,18,0,,,232,87,0,,
LSO,0,0,0,0,,,0,0,,,0,,0,0,,,,0,0,0,,0,,0,0,,,0,,,0,0,,0,0,,,0,,1,,,,0,,,0,,,0,,,0,,,0,,,0,0,,,0,2,0,,
LBR,0,0,0,0,,,0,1,0,,9,,0,0,,,,0,0,1,,0,,25,17,4,0,0,,,0,0,,7,8,,,18,,46,,,,4,2,,194,,,0,,,0,,,,,1,7,0,,,86,"1,359",0,,
LBY,0,0,0,0,,,0,0,,,0,,0,0,,,,0,0,0,,0,,0,0,,0,0,,,0,0,,2,0,,,0,,0,,,,0,,,0,,,0,,,0,,,,,,0,0,,,0,,0,,
LIE,0,0,0,16,,,0,5,0,,0,,0,0,,,,0,0,0,,0,,4,123,,,0,,,0,0,,22,0,12,,0,,83,,,,1,,,0,,,0,,,0,,,,,,,0,,,0,59,0,,
LTU,0,0,0,53,,,3,0,,,0,,0,0,,,,0,0,6,,15,,31,432,,8,2,0,,0,0,,140,0,,,0,,71,,,,24,,,0,,,0,,,0,,0,,2,4,11,0,,,102,51,0,,
LUX,4,0,62,"6,222",18,888,"57,435","1,407",65,0,555,183,"1,737","8,481",105,89,,66,333,623,,13,"1,619","30,643","103,235",757,"1,124",3,435,11,"1,697","2,041",571,"106,052","45,864","1,436",,111,125,,23,21,26,"8,349",39,0,"1,820",,,134,"3,146",4,421,"1,128",191,966,"6,872","15,662","73,949",0,23,,"22,039","13,035",26,,
MKD,0,0,0,0,,,0,0,,,0,,0,0,,,,2,0,0,,0,,0,3,,1,0,,,0,0,,2,2,,,0,,4,,,,1,,,0,,,0,,,0,,,,,,0,0,,,1,34,0,,
