,ARG,ABW,AUS,AUT,BHS,BHR,BEL,BMU,BRA,BGR,CAN,CYM,CHL,HKG,MAC,COL,CRI,CYP,CZE,DNK,EGY,EST,FIN,FRA,DEU,GRC,GGY,HUN,ISL,IDN,IRL,IMN,ISR,ITA,JPN,JEY,KAZ,KOR,LBN,LUX,MYS,MLT,MUS,NLD,ANT,NZL,NOR,PAN,PHL,POL,PRT,ROU,RUS,SGP,SVK,ZAF,ESP,SWE,CHE,THA,TUR,UKR,GBR,USA,URY,VUT,VEN
AFG,0,0,0,0,,,0,0,,,0,,0,0,,,,0,0,0,,0,,0,0,,,0,,,0,0,,0,0,,,0,,0,,,,0,,,0,,,0,,,0,,,,,,0,0,,,0,,0,,
ALB,0,0,0,0,,,8,0,,,0,,0,0,,,,0,0,0,,0,,75,0,15,,0,,,0,0,,45,22,,,0,,0,,,,0,,,0,,,0,,,0,,,,,,0,1,,,C,10,0,,
DZA,0,0,0,3,,,0,1,,,0,,0,0,,,,1,0,0,,0,,8,0,,48,0,,,0,0,,0,0,,,0,,17,,,,0,,,0,,,0,,,0,,,,,,0,0,,,39,,0,,
ASM,0,0,0,0,,,0,0,,,0,,0,0,,,,0,0,0,,0,,0,0,,0,0,,,0,0,,0,,,,0,,31,,,,19,,,0,,,0,,,0,,,,,,,0,,,0,,0,,
AND,0,0,0,0,,,0,0,,,0,,0,0,,,,0,0,0,,0,,0,0,,5,0,,,0,0,,0,24,,,0,,2,,,,1,,,1,,,0,,,0,,,,,,4,0,,,0,,0,,
AGO,0,0,0,0,,,0,0,0,,0,,0,0,,,,0,0,0,,0,,0,0,,,0,,,0,0,,0,0,,,0,,0,,,,0,,,0,,,0,9,,0,,,,,,0,0,,,0,,0,,
AIA,0,0,0,0,,,0,0,,,0,,0,0,,,,1,0,0,,0,,0,0,,,0,,,0,0,,0,0,,,9,,0,,,,0,,,0,,,0,,,0,,,,,,,0,,,0,,0,,
ATG,0,0,0,0,,,0,9,2,,0,,0,0,,,,0,0,0,,0,,0,0,,,0,,,0,0,,0,63,,,0,,0,,,,0,2,,0,,,0,,,0,,,,,,,0,,,C,,0,,
ARG,,0,0,291,153,225,232,77,118,0,358,"1,038",15,0,5,9,2,-2,0,826,,0,,530,"1,116",1,10,0,2,,41,42,,"9,457","1,934",32,,0,2,"1,081",,1,0,358,70,0,2,32,9,0,8,,0,0,,,464,10,336,0,0,,"1,385","4,713",169,,3
ARM,0,0,0,0,,,0,0,,,0,,0,0,,,,0,0,0,,0,,0,0,,0,0,,,0,0,,0,0,,,0,,0,,,,0,,,0,,,0,,,0,,,,,,0,0,,,C,,0,,
ABW,0,,0,1,,,0,50,,,0,,0,0,,,,0,0,0,,0,,0,0,,,0,,,0,0,,0,,,,0,,0,,,,0,71,,0,,,0,,,0,,,,,,0,0,,,13,271,0,,
AUS,0,0,,785,547,205,"1,143",780,0,0,"2,450",169,0,"18,575",274,4,,140,103,171,15,0,124,"3,815","2,975",33,425,2,0,55,"2,862",92,74,"2,369","19,180","2,724",,52,9,"8,328",22,42,,"3,656",33,"1,607","1,403",,10,1,82,,0,"6,270",1,144,72,810,"2,466",9,,,"21,905","55,183",1,474,
AUT,29,0,45,,,51,"2,407",717,6,2,120,315,0,0,0,18,,21,238,435,5,23,747,"9,645","30,311",48,548,7,0,,"3,094",45,32,"3,544","6,509",650,,2,8,"11,368",3,136,,"12,117",157,0,928,0,,9,385,0,4,481,23,1,515,516,"12,955",0,,,"6,337","4,336",0,,
AZE,0,0,0,0,,,0,0,,,0,,0,0,,,,0,0,0,,0,,0,0,,,0,,,0,0,,0,0,,,0,,0,,,,0,,,0,,,0,,,0,,,,,,0,0,,,C,,0,,
BHS,0,0,0,1,,,6,867,228,,32,83,154,0,0,,,3,0,43,0,0,,267,4,,170,0,,,0,37,,327,"1,100",,,4,40,636,,,,13,4,,1,2,5,1,11,,52,,,1,4,0,"2,287",0,,,54,"1,647",1,,
BHR,0,0,0,0,,,0,0,,,0,,0,0,,,,2,0,0,4,0,,0,5,,1,0,,,0,0,,4,0,,,0,0,12,16,,,0,,,7,,,0,,,0,,,,,0,0,0,,,167,,0,,
BGD,0,0,0,0,,,0,0,,,0,,0,0,,,,0,0,0,,0,,0,0,,1,0,,,0,0,,0,10,,,1,,0,,,,0,,,0,,,0,,,0,,,,,,0,0,,,C,4,0,,
BRB,0,0,0,1,56,,0,28,,,49,104,0,0,,,3,20,0,0,,0,,0,2,,,0,,,0,0,,0,6,,,0,,3,,,,4,,,0,,,0,,,20,,,,,,0,0,,,42,54,0,,
BLR,0,0,0,0,,,0,0,,,0,,0,0,,,,0,0,0,,0,,0,0,,,0,0,,0,0,,7,0,,,0,,0,,,,0,,,0,,,0,,,0,,,,,,0,0,,0,0,,0,,
BEL,0,0,102,"2,433",42,35,,357,3,0,440,185,12,"1,083",1,,0,6,116,"1,114",25,0,"1,321","26,821","14,066",20,"1,046",4,0,,"3,325",80,9,"5,211","6,748",415,,82,3,"28,401",2,29,,"18,125",12,0,"1,130",,,1,"1,411",,16,97,5,2,"3,963",877,"3,646",52,,,"11,143","12,728",1,,0
BLZ,0,0,0,0,16,,0,0,1,,0,,0,0,,,,0,0,0,,0,,0,0,,,0,,,0,0,,0,0,,,0,,86,,,,0,2,,0,1,,0,,,0,,,,,0,1,0,,,0,8,0,,
BEN,0,0,0,0,,,0,0,,,0,,0,0,,,,0,0,0,,0,,0,0,,,0,,,0,0,,0,0,,,0,,0,,,,0,,,0,,,0,,,0,,,,,,0,0,,,0,,0,,
BMU,0,0,8,411,48,11,334,,105,,"1,696",35,0,"22,709",85,,,3,0,105,2,0,,"1,852","1,421",2,"1,001",1,6,0,452,354,,902,"1,897",248,,2,4,"2,114",270,,0,"1,099",92,0,163,,1,0,23,,9,"1,920",0,86,196,106,"2,721",3,,,"2,843","125,478",11,,
BTN,0,0,0,0,,,0,0,,,0,,0,0,,,,0,0,0,,0,,0,0,,,0,,,0,0,,0,0,,,0,,0,,,,0,,,0,,,0,,,0,,,,,,0,0,,,0,,0,,
BOL,0,0,0,0,14,,0,82,0,,0,,0,0,,,,0,0,1,,0,,0,0,,,0,,,0,0,,0,0,,,0,,3,,,,0,,,1,,,0,,,0,,,,,,0,0,,,4,3,0,,
BIH,0,0,C,3,,,0,0,0,,2,,0,0,,,,0,0,0,,0,,0,5,,1,0,0,,0,0,,3,0,,,0,,7,,,,3,,,0,,,0,,,0,,,,,0,0,0,,,1,11,0,,
BWA,0,0,0,0,,,0,0,,,0,,0,0,,,,0,0,0,,0,,0,0,,3,0,,,0,0,,7,0,,,0,,6,,,,0,,,0,,,0,,,0,,,16,,1,0,0,,,C,23,0,,
BRA,112,0,82,472,"5,246",345,287,250,,,"2,094","5,844",136,0,16,0,30,-49,0,236,,0,,"1,667","2,078",3,309,32,0,,426,27,14,"6,697","4,304",148,,0,8,"4,161",6,,,842,356,0,41,158,3,0,686,,0,312,,5,"1,444",54,955,0,,,"6,891","34,130",474,,67
IOQ,0,0,0,0,,,0,0,,,0,,0,0,,,,0,0,0,,0,,0,0,,,0,,,0,0,,0,0,,,0,,0,,,,0,,,0,,,0,,,0,,,,,352,,0,,,C,,0,,
BRN,0,0,0,0,,,0,0,,,0,,0,0,,,,0,0,0,,0,,0,0,,2,0,,,0,0,,0,0,,,0,,0,,,,0,,,0,,,0,,,0,,,,,,0,0,,,0,,0,,
BGR,0,0,2,27,,,20,0,,,6,,0,0,2,,,27,0,53,,0,,59,215,41,73,0,0,,37,1,,243,82,3,,0,,322,4,,,232,,,0,1,,0,,,3,,,,6,1,11,0,0,,"1,298","1,763",0,,
BFA,0,0,0,0,,,0,0,,,0,,0,0,,,,0,0,0,,0,,0,0,,,0,,,0,0,,0,0,,,0,,3,,,,0,,,0,,,0,,,0,,,,,,0,0,,,0,,0,,
BDI,0,0,0,0,,,0,0,,,0,,0,0,,,,0,0,0,,0,,0,0,,,0,,,0,0,,0,0,,,0,,0,,,,0,,,0,,,0,,,0,,,,,,0,0,,,0,,0,,
KHM,0,0,0,0,,,0,0,,,0,,0,0,,,,0,0,0,,0,,0,0,,,0,,,0,0,,0,0,,,0,,0,31,,,0,,,0,,,0,,,0,,,,,,0,0,,,0,,0,,
CMR,0,0,0,0,,,0,41,,,0,,0,0,,,,0,0,0,0,0,,6,0,,,0,,,0,0,,0,0,,,0,,0,,,,0,,,0,,,0,,,0,,,,,,0,0,,,C,,0,,
CAN,0,0,891,"1,367",635,110,"1,901","1,441",4,0,,787,78,"4,735",45,47,,143,25,699,26,2,376,"10,389","4,513",22,"1,257",1,13,1,"4,410",135,41,"2,737","21,910",896,1,41,9,"11,054",16,27,,"2,919",328,173,"1,534",7,20,6,51,,0,"1,829",4,47,307,714,"6,180",0,2,,"15,184","211,444",2,,1
CPV,0,0,0,0,,,0,0,,,0,,0,0,,,,0,0,0,,0,,0,0,,,0,,,0,0,,0,0,,,0,,0,,,,0,,,0,,,0,,,0,,,,,,0,0,,,0,,0,,
CYM,0,0,129,"3,756",212,166,"3,660","6,551","1,234",,"2,067",,131,"19,813",152,52,0,20,"1,297",268,12,0,,"21,489","12,319",183,"3,547",3,0,36,"4,358",575,38,"17,776","132,785","5,674",10,522,2,"20,230",142,51,1,"2,975","6,474",0,556,75,27,87,"5,657",,3,"2,247",,9,"8,597",532,"12,987",23,0,,"45,965","71,039",22,,1
CAF,0,0,0,0,,,0,0,,,0,,0,0,,,,0,0,0,,0,,0,0,,,0,,,0,0,,0,0,,,0,,0,,,,0,,,0,,,0,,,0,,,,,,0,0,,,0,1,0,,
TCD,0,0,0,0,,,0,0,,,0,,0,0,,,,0,0,0,,0,,0,0,,,0,,,0,0,,0,0,,,0,,0,,,,0,,,0,,,0,,,0,,,,,,0,0,,,0,,0,,
CHL,24,0,10,41,63,,23,232,1,,59,47,,0,,,3,0,0,18,0,0,,53,95,2,388,0,0,,0,0,,99,24,4,,2,,333,,,,74,,0,0,62,,0,,,0,,,,170,8,29,0,,,567,"5,948",9,,
HKG,0,0,"2,185",101,1,14,249,54,1,,"3,308",76,0,,931,,,2,0,579,,0,124,978,891,1,308,0,1,107,"1,884",93,5,"1,359","6,116",289,,406,2,"4,791",75,0,1,"11,663",7,66,442,,25,0,,,0,"4,768",0,,21,555,"1,156",125,,,"20,887","32,047",0,,
MAC,0,0,0,0,,,0,0,,,0,,0,0,,,,0,0,0,,0,,0,0,,,0,,,0,0,,0,0,,,0,,23,,,,0,,,0,,,0,56,,0,,,,,,0,0,,,0,,0,,
